qid,qid_label,cip_id,cip_label
Q15752727,Dairy Science and Technology,01.0905,Dairy Science.
Q56062772,"Livestock management in Spain from Roman to post-medieval times: a biometrical analysis of cattle, sheep/goat and pig",01.0906,Livestock Management.
Q1999242,Poultry Science,01.0907,Poultry Science.
Q1637030,food science,01.1001,Food Science.
,,01.1002,Food Technology and Processing.
Q441,botany,01.1101,"Plant Sciences, General."
,,01.1102,Agronomy and Crop Science.
Q27725869,"Zahradnictvi (Prague, Czech Republic : 1992)",01.1103,Horticultural Science.
,,01.1104,Agricultural and Horticultural Plant Breeding.
,,01.1105,Plant Protection and Integrated Pest Management.
,,01.1106,Range Science and Management.
,,01.1201,"Soil Science and Agronomy, General."
,,01.1202,Soil Chemistry and Physics.
Q7554937,soil microbiology,01.1203,Soil Microbiology.
Q188460,natural resource,03.0101,"Natural Resources/Conservation, General."
Q5381367,environmental studies,03.0103,Environmental Studies.
Q27020386,Environmental Science,03.0104,Environmental Science.
,,03.0201,Natural Resources Management and Policy.
Q56557294,resource economics,03.0204,Natural Resource Economics.
Q283,water,03.0205,"Water, Wetlands, and Marine Resources Management."
,,03.0206,Land Use Planning and Management/Development.
,,03.0207,Natural Resource Recreation and Tourism.
,,03.0208,Natural Resources Law Enforcement and Protective Services.
,,03.0301,Fishing and Fisheries Sciences and Management.
Q38112,forestry,03.0501,"Forestry, General."
,,03.0502,Forest Sciences and Biology.
Q372561,forest management,03.0506,Forest Management/Forest Resources Management.
Q822620,urban forestry,03.0508,Urban Forestry.
,,03.0509,Wood Science and Wood Products/Pulp and Paper Technology.
,,03.0510,Forest Resources Production and Management.
,,03.0511,Forest Technology/Technician.
,,03.0601,Wildlife and Wildlands Science and Management.
,,04.0201,"Architecture (BArch, BA/BS, MArch, MA/MS, PhD)."
Q515,city,04.0301,"City/Urban, Community and Regional Planning."
Q16000091,environmental design,04.0401,Environmental Design/Architecture.
Q1329946,interior architecture,04.0501,Interior Architecture.
,,04.0601,"Landscape Architecture (BS, BSLA, BLA, MSLA, MLA, PhD)."
,,04.0801,"Architectural History and Criticism, General."
Q4787070,architectural technology,04.0901,Architectural Technology/Technician.
,,04.0902,Architectural and Building Sciences/Technology.
Q695829,real estate development,04.1001,Real Estate Development.
Q4689921,African Studies,05.0101,African Studies.
Q7976,American English,05.0102,American/United States Studies/Civilization.
Q476294,oriental studies,05.0103,Asian Studies/Civilization.
Q162817,East Asian studies,05.0104,East Asian Studies.
Q372461,Central Department,05.0105,Central/Middle and Eastern European Studies.
Q1377029,European studies,05.0106,European Studies/Civilization.
Q28617,Latin American studies,05.0107,Latin American Studies.
Q12211529,Middle Eastern studies,05.0108,Near and Middle Eastern Studies.
Q7122791,Pacific studies,05.0109,Pacific Area/Pacific Rim Studies.
Q63717754,Russian Studies,05.0110,Russian Studies.
Q922219,Scandinavian studies,05.0111,Scandinavian Studies.
Q15746530,South Asian Studies,05.0112,South Asian Studies.
Q7569309,Southeast Asian studies,05.0113,Southeast Asian Studies.
,,05.0114,Western European Studies.
Q4676302,Canadian studies,05.0115,Canadian Studies.
Q464974,Balkan studies,05.0116,Balkans Studies.
Q101540721,University of Washington Baltic Studies Program,05.0117,Baltic Studies.
Q156864,Slavic studies,05.0118,Slavic Studies.
Q27715697,Caribbean Studies,05.0119,Caribbean Studies.
,,05.0120,Ural-Altaic and Central Asian Studies.
,,05.0121,Commonwealth Studies.
,,05.0122,"Regional Studies (U.S., Canadian, Foreign)"
Q269915,sinology,05.0123,Chinese Studies.
Q5501928,French Studies,05.0124,French Studies.
Q166153,German studies,05.0125,German Studies.
Q15764180,Italian Studies,05.0126,Italian Studies.
Q15753133,Japanese Studies,05.0127,Japanese Studies.
Q714838,Korean studies,05.0128,Korean Studies.
Q1463332,Polish studies,05.0129,Polish Studies.
,,05.0130,Spanish and Iberian Studies.
Q96728129,Tibetan Studies,05.0131,Tibetan Studies.
,,05.0132,Ukraine Studies.
Q15765966,Irish Studies Review,05.0133,Irish Studies.
Q96724347,Latin American and Caribbean Studies,05.0134,Latin American and Caribbean Studies.
Q41870,ethnic studies,05.0200,Ethnic Studies.
Q49085,African Americans,05.0201,African-American/Black Studies.
Q15751537,American Indian and Alaska Native Mental Health Research,05.0202,American Indian/Native American Studies.
Q1464994,Latino,05.0203,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies."
Q4806576,Asian American studies,05.0206,Asian-American Studies.
Q35069,women's studies,05.0207,Women's Studies.
Q592,gay,05.0208,Gay/Lesbian Studies.
Q132116,folkloristics,05.0209,Folklore Studies.
Q627208,disability studies,05.0210,Disability Studies.
Q5245796,deaf studies,05.0211,Deaf Studies.
Q11024,communication,09.0100,"Communication, General."
Q65007508,communication,09.0101,Communication Studies/Speech Communication and Rhetoric.
Q853710,mass communication,09.0102,Mass Communication/Media Studies.
Q11030,journalism,09.0401,Journalism.
Q2081584,broadcast journalism,09.0402,Broadcast Journalism.
Q506858,photojournalism,09.0404,Photojournalism.
Q80959271,radio and television,09.0701,Radio and Television.
,,09.0702,Digital Communication and Media/Multimedia.
Q39809,marketing,09.0900,"Public Relations, Advertising, and Applied Communication."
Q1937189,organizational communication,09.0901,"Organizational Communication, General."
Q39809,marketing,09.0902,Public Relations/Image Management.
Q37038,advertising,09.0903,Advertising.
Q1660049,political communication,09.0904,Political Communication.
Q15756151,Health Communication,09.0905,Health Communication.
Q7579398,sports communication,09.0906,Sports Communication.
,,09.0907,International and Intercultural Communication.
Q50737227,Technical and scientific communication: a reply to Calvert,09.0908,Technical and Scientific Communication.
Q3972943,publishing,09.1001,Publishing.
Q1780543,communication technology,10.0105,Communications Technology/Technician.
,,10.0201,Photographic and Film/Video Technology/Technician and Assistant.
,,10.0202,Radio and Television Broadcasting Technology/Technician.
,,10.0203,Recording Arts Technology/Technician.
Q105309987,Graphic Communications International Union Local 767-M,10.0301,"Graphic Communications, General."
Q121361920,"Printing management apparatus, printing system, and computer readable medium",10.0302,Printing Management.
Q389675,prepress,10.0303,Prepress/Desktop Publishing and Digital Imaging Design.
Q202866,animated film,10.0304,"Animation, Interactive Technology, Video Graphics and Special Effects."
,,10.0305,"Graphic and Printing Equipment Operator, General Production."
,,10.0306,Platemaker/Imager.
,,10.0307,Printing Press Operator.
,,10.0308,Computer Typography and Composition Equipment Operator.
Q106337977,"Computer and Information Sciences - ISCIS 2004, 19th International Symposium, Kemer-Antalya, Turkey, October 27-29, 2004",11.0101,"Computer and Information Sciences, General."
Q96704434,Artificial Intelligence and Robotics Research,11.0102,Artificial Intelligence and Robotics.
Q11661,information technology,11.0103,Information Technology.
Q21198,computer science,11.0104,Informatics.
Q9143,programming language,11.0201,"Computer Programming/Programmer, General."
Q9143,programming language,11.0202,"Computer Programming, Specific Applications."
Q9143,programming language,11.0203,"Computer Programming, Vendor/Product Certification."
,,11.0301,Data Processing and Data Processing Technology/Technician.
Q4027615,informatics,11.0401,Information Science/Studies.
Q21572176,computer systems analysis,11.0501,Computer Systems Analysis/Analyst.
Q918751,data entry clerk,11.0601,"Data Entry/Microcomputer Applications, General."
Q3307703,word processing,11.0602,Word Processing.
Q21198,computer science,11.0701,Computer Science.
Q36774,web page,11.0801,"Web Page, Digital/Multimedia and Information Resources Design."
Q367664,data modeling,11.0802,Data Modeling/Warehousing and Database Administration.
Q150971,computer graphics,11.0803,Computer Graphics.
Q1116876,scientific modeling,11.0804,"Modeling, Virtual Environments and Simulation."
,,11.0901,Computer Systems Networking and Telecommunications.
Q15563228,system administration,11.1001,System Administration/Administrator.
Q45165,System of a Down,11.1002,"System, Networking, and LAN/WAN Management/Manager."
,,11.1003,Computer and Information Systems Security.
Q35127,website,11.1004,Web/Multimedia Management and Webmaster.
Q131411262,Information Technology Project Management,11.1005,Information Technology Project Management.
,,11.1006,Computer Support Specialist.
,,12.0301,"Funeral Service and Mortuary Science, General."
,,12.0302,Funeral Direction/Service.
,,12.0303,Mortuary Science and Embalming/Embalmer.
Q2474068,cosmetology,12.0401,"Cosmetology/Cosmetologist, General."
Q58001762,barbering,12.0402,Barbering/Barber.
Q64403,electrolysis,12.0404,Electrolysis/Electrology and Electrolysis Technician.
Q935666,make-up artist,12.0406,Make-Up Artist/Specialist.
Q327496,hairstyle,12.0407,Hair Styling/Stylist and Hair Design.
,,12.0408,Facial Treatment Specialist/Facialist.
Q21550346,aesthetician,12.0409,Aesthetician/Esthetician and Skin Care Specialist.
Q11325221,nail technician,12.0410,Nail Technician/Specialist and Manicurist.
Q84888177,Permanent Cosmetics,12.0411,Permanent Cosmetics/Makeup and Tattooing.
Q232567,Salon-de-Provence,12.0412,Salon/Beauty Salon Management/Manager.
Q2474068,cosmetology,12.0413,"Cosmetology, Barber/Styling, and Nail Instructor."
,,12.0414,Master Aesthetician/Esthetician.
,,12.0500,"Cooking and Related Culinary Arts, General."
,,12.0501,Baking and Pastry Arts/Baker/Pastry Chef.
Q44116174,bartending,12.0502,Bartending/Bartender.
Q64811480,culinary arts,12.0503,Culinary Arts/Chef Training.
Q11707,restaurant,12.0504,"Restaurant, Culinary, and Catering Management/Manager."
Q16920758,food and drink preparation,12.0505,Food Preparation/Professional Cooking/Kitchen Assistant.
Q10682505,butchering,12.0506,Meat Cutting/Meat Cutter.
Q41958,foodservice,12.0507,"Food Service, Waiter/Waitress, and Dining Room Management/Manager."
,,12.0508,Institutional Food Workers.
Q1637030,food science,12.0509,Culinary Science/Culinology.
Q191493,sommelier,12.0510,Wine Steward/Sommelier.
Q8434,education,13.0101,"Education, General."
Q136175361,Bilingual and Multilingual Education in the 21st Century: Building on Experience,13.0201,Bilingual and Multilingual Education.
Q3719890,multicultural education,13.0202,Multicultural Education.
Q1415,Indiana,13.0203,Indian/Native American Education.
Q157416,curriculum and instruction,13.0301,Curriculum and Instruction.
,,13.0401,"Educational Leadership and Administration, General."
Q78296300,ADMINISTRATION OF SPECIAL EDUCATION: ASPECTS OF A PROFESSIONAL PROBLEM,13.0402,Administration of Special Education.
,,13.0403,Adult and Continuing Education Administration.
Q5341295,educational organization,13.0404,"Educational, Instructional, and Curriculum Supervision."
Q136822,higher education,13.0406,Higher Education/Higher Education Administration.
,,13.0407,Community College Education.
,,13.0408,Elementary and Middle School Administration/Principalship.
Q125177916,Secondary school administration and principalship,13.0409,Secondary School Administration/Principalship.
,,13.0410,Urban Education and Leadership.
,,13.0411,Superintendency and Educational System Administration.
Q5341295,educational organization,13.0501,Educational/Instructional Media Design.
,,13.0601,Educational Evaluation and Research.
,,13.0603,Educational Statistics and Research Methods.
Q2585724,educational assessment,13.0604,"Educational Assessment, Testing, and Measurement."
Q98442705,learning sciences,13.0607,Learning Sciences.
Q63718196,International and Comparative Education,13.0701,International and Comparative Education.
,,13.0901,Social and Philosophical Foundations of Education.
,,13.1001,"Special Education and Teaching, General."
Q8434,education,13.1003,Education/Teaching of Individuals with Hearing Impairments Including Deafness.
Q8434,education,13.1004,Education/Teaching of the Gifted and Talented.
Q8434,education,13.1005,Education/Teaching of Individuals with Emotional Disturbances.
Q8434,education,13.1006,Education/Teaching of Individuals with Mental Retardation.
Q8434,education,13.1007,Education/Teaching of Individuals with Multiple Disabilities.
Q8434,education,13.1008,Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments.
Q8434,education,13.1009,Education/Teaching of Individuals with Vision Impairments Including Blindness.
Q8434,education,13.1011,Education/Teaching of Individuals with Specific Learning Disabilities.
Q8434,education,13.1012,Education/Teaching of Individuals with Speech or Language Impairments.
Q8434,education,13.1013,Education/Teaching of Individuals with Autism.
Q8434,education,13.1014,Education/Teaching of Individuals Who are Developmentally Delayed.
Q8434,education,13.1015,Education/Teaching of Individuals in Early Childhood Special Education Programs.
Q8434,education,13.1016,Education/Teaching of Individuals with Traumatic Brain Injuries.
Q8434,education,13.1017,Education/Teaching of Individuals in Elementary Special Education Programs.
Q8434,education,13.1018,Education/Teaching of Individuals in Junior High/Middle School Special Education Programs.
Q8434,education,13.1019,Education/Teaching of Individuals in Secondary Special Education Programs.
Q5176625,Counselor education,13.1101,Counselor Education/School Counseling and Guidance Services.
,,13.1102,College Student Counseling and Personnel Services.
,,13.1201,Adult and Continuing Education and Teaching.
,,13.1202,Elementary Education and Teaching.
Q149566,middle school,13.1203,Junior High/Intermediate/Middle School Education and Teaching.
,,13.1205,Secondary Education and Teaching.
Q1374230,teacher education,13.1206,"Teacher Education, Multiple Levels."
,,13.1207,Montessori Teacher Education.
Q106441261,Waldorf,13.1208,Waldorf/Steiner Teacher Education.
Q126807,kindergarten,13.1209,Kindergarten/Preschool Education and Teaching.
,,13.1210,Early Childhood Education and Teaching.
,,13.1301,Agricultural Teacher Education.
,,13.1302,Art Teacher Education.
,,13.1303,Business Teacher Education.
,,13.1304,Driver and Safety Teacher Education.
Q1860,English,13.1305,English/Language Arts Teacher Education.
Q128676507,Foreign Language Teacher Education: School Placements as a Source of Knowledge about Parents as Partners in the Educational Process,13.1306,Foreign Language Teacher Education.
,,13.1307,Health Teacher Education.
Q7884093,family and consumer science,13.1308,Family and Consumer Sciences/Home Economics Teacher Education.
Q132602172,Technology Teacher Education Programs In Colleges Of Engineering And Technology: A Strategic Link With K 12 Education,13.1309,Technology Teacher Education/Industrial Arts Teacher Education.
,,13.1310,Sales and Marketing Operations/Marketing and Distribution Teacher Education.
Q15765612,Mathematics Teacher Education and Development,13.1311,Mathematics Teacher Education.
Q111191268,Music Teacher Education in This Century: Part II,13.1312,Music Teacher Education.
,,13.1314,Physical Education Teaching and Coaching.
,,13.1315,Reading Teacher Education.
Q58113531,Science teacher education at a distance,13.1316,Science Teacher Education/General Science Teacher Education.
,,13.1317,Social Science Teacher Education.
,,13.1318,Social Studies Teacher Education.
Q120264271,technical teacher education,13.1319,Technical Teacher Education.
,,13.1320,Trade and Industrial Teacher Education.
,,13.1321,Computer Teacher Education.
,,13.1322,Biology Teacher Education.
,,13.1323,Chemistry Teacher Education.
,,13.1324,Drama and Dance Teacher Education.
,,13.1325,French Language Teacher Education.
,,13.1326,German Language Teacher Education.
,,13.1327,Health Occupations Teacher Education.
,,13.1328,History Teacher Education.
,,13.1329,Physics Teacher Education.
,,13.1330,Spanish Language Teacher Education.
,,13.1331,Speech Teacher Education.
,,13.1332,Geography Teacher Education.
,,13.1333,Latin Teacher Education.
Q16960890,School Librarian,13.1334,School Librarian/School Library Media Specialist.
,,13.1335,Psychology Teacher Education.
,,13.1337,Earth Science Teacher Education.
Q948732,environmental education,13.1338,Environmental Education.
Q7691272,teaching English as a second or foreign language,13.1401,Teaching English as a Second or Foreign Language/ESL Language Instructor.
,,13.1402,Teaching French as a Second or Foreign Language.
Q7691294,teaching assistant,13.1501,Teacher Assistant/Aide.
,,13.1502,Adult Literacy Tutor/Instructor.
Q11023,engineering,14.0101,"Engineering, General."
Q132584743,Pre-Engineering Options at Florida Community and State Colleges,14.0102,Pre-Engineering.
Q2876213,aerospace,14.0201,"Aerospace, Aeronautical and Astronautical Engineering."
Q131596,farm,14.0301,Agricultural/Biological Engineering and Bioengineering.
Q150737,architectural engineering,14.0401,Architectural Engineering.
Q864601,biomedicine,14.0501,Biomedical/Medical Engineering.
Q96700141,Ceramic Sciences and Engineering,14.0601,Ceramic Sciences and Engineering.
Q83588,chemical engineering,14.0701,Chemical Engineering.
Q96700311,Chemical and Biomolecular Engineering,14.0702,Chemical and Biomolecular Engineering.
Q77590,civil engineering,14.0801,"Civil Engineering, General."
Q1349130,geotechnical engineering,14.0802,Geotechnical Engineering.
Q633538,structural engineering,14.0803,Structural Engineering.
,,14.0804,Transportation and Highway Engineering.
Q106372193,water resources engineering and management,14.0805,Water Resources Engineering.
Q428691,computer engineering,14.0901,"Computer Engineering, General."
Q5656403,hardware architecture,14.0902,Computer Hardware Engineering.
Q138033744,Computer software engineering series,14.0903,Computer Software Engineering.
Q244404,electrical injury,14.1001,"Electrical, Electronics and Communications Engineering."
,,14.1003,Laser and Optical Engineering.
Q1061219,telecommunications engineering,14.1004,Telecommunications Engineering.
Q96329007,Engineering Mechanics,14.1101,Engineering Mechanics.
Q770766,engineering physics,14.1201,Engineering Physics.
Q770766,engineering physics,14.1301,Engineering Science.
Q15766990,Environmental Pollution,14.1401,Environmental/Environmental Health Engineering.
Q1710723,materials engineering,14.1801,Materials Engineering.
Q101333,mechanical engineering,14.1901,Mechanical Engineering.
Q11467,metallurgy,14.2001,Metallurgical Engineering.
,,14.2101,Mining and Mineral Engineering.
Q101910631,naval architecture and marine engineering,14.2201,Naval Architecture and Marine Engineering.
Q83504,nuclear engineering,14.2301,Nuclear Engineering.
Q26229359,ocean engineering,14.2401,Ocean Engineering.
Q1273174,petroleum engineering,14.2501,Petroleum Engineering.
Q682496,systems engineering,14.2701,Systems Engineering.
,,14.2801,Textile Sciences and Engineering.
Q3395619,Polymer,14.3201,Polymer/Plastics Engineering.
Q2674423,construction engineering,14.3301,Construction Engineering.
Q6083293,forest engineering,14.3401,Forest Engineering.
Q4489420,industrial engineering,14.3501,Industrial Engineering.
Q11049265,manufacturing engineering,14.3601,Manufacturing Engineering.
Q194292,operations research,14.3701,Operations Research.
Q127460285,Surveying engineering at the university of new brunswick: 1960–1990,14.3801,Surveying Engineering.
Q736917,geological formation,14.3901,Geological/Geophysical Engineering.
,,14.4001,Paper Science and Engineering.
Q12176496,electromechanical engineering,14.4101,Electromechanical Engineering.
Q180165,mechatronics,14.4201,"Mechatronics, Robotics, and Automation Engineering."
Q2487696,biochemical engineering,14.4301,Biochemical Engineering.
Q121316255,Engineering Chemistry with Laboratory Experiments,14.4401,Engineering Chemistry.
Q1954904,The Biological Bulletin,14.4501,Biological/Biosystems Engineering.
Q96325759,Engineering Technology,15.0000,"Engineering Technology, General."
,,15.0101,Architectural Engineering Technology/Technician.
,,15.0201,Civil Engineering Technology/Technician.
Q244404,electrical injury,15.0303,"Electrical, Electronic and Communications Engineering Technology/Technician."
,,15.0304,Laser and Optical Technology/Technician.
Q1780509,telecommunications device,15.0305,Telecommunications Technology/Technician.
Q1074539,integrated circuit design,15.0306,Integrated Circuit Design.
Q4086911,biomedical technology,15.0401,Biomedical Technology/Technician.
,,15.0403,Electromechanical Technology/Electromechanical Engineering Technology.
Q96331696,Instrumentation Technology,15.0404,Instrumentation Technology/Technician.
Q66476389,"Robotics technology in mine disaster reconnaissance, rescue and recovery",15.0405,Robotics Technology/Technician.
,,15.0406,Automation Engineer Technology/Technician.
Q4311765,heating,15.0501,"Heating, Air Conditioning and Refrigeration Technology/Technician (ACH/ACR/ACHR/HRAC/HVAC/AC Technology)."
,,15.0503,Energy Management and Systems Technology/Technician.
Q1641351,solar energy technology,15.0505,Solar Energy Technology/Technician.
,,15.0506,Water Quality and Wastewater Treatment Management and Recycling Technology/Technician.
Q132614268,Environmental Engineering Technology As An Area Of Emphasis In Manufacturing,15.0507,Environmental Engineering Technology/Environmental Technology.
,,15.0508,Hazardous Materials Management and Waste Technology/Technician.
,,15.0607,Plastics Engineering Technology/Technician.
Q128824715,Metallurgical technology and metal exchange networks: a case study from the western Anatolian Late Chalcolithic and Bronze Ages,15.0611,Metallurgical Technology/Technician.
Q10952243,industrial technology,15.0612,Industrial Technology/Technician.
Q115154784,manufacturing technology,15.0613,Manufacturing Technology/Technician.
,,15.0614,Welding Engineering Technology/Technician.
,,15.0615,Chemical Engineering Technology/Technician.
Q4049282,SEMATECH,15.0616,Semiconductor Manufacturing Technology.
Q29007912,"Occupational safety and health technology, Catonsville Community College",15.0701,Occupational Safety and Health Technology/Technician.
,,15.0702,Quality Control Technology/Technician.
,,15.0703,Industrial Safety Technology/Technician.
,,15.0704,Hazardous Materials Information Systems Technology/Technician.
Q1541065,Aeronautical Information Publication,15.0801,Aeronautical/Aerospace Engineering Technology/Technician.
Q132617762,Automotive Engineering Technology: A Counter Intuitive Path To Greater Engineering Technology Enrollment,15.0803,Automotive Engineering Technology/Technician.
Q101333,mechanical engineering,15.0805,Mechanical Engineering/Mechanical Technology/Technician.
Q15905645,mining technology,15.0901,Mining Technology/Technician.
Q96725259,Petroleum Technology,15.0903,Petroleum Technology/Technician.
Q132583036,Construction Engineering Technology Program Assessment Framework,15.1001,Construction Engineering Technology/Technician.
Q132747475,Surveying Technology and History: Essential Tensions and Postmodern Possibilities,15.1102,Surveying Technology/Surveying.
,,15.1103,Hydraulics and Fluid Power Technology/Technician.
Q132594576,Computer Engineering Technology Program: A Curriculum Innovation Initiative,15.1201,Computer Engineering Technology/Technician.
Q179310,computing,15.1202,Computer Technology/Computer Systems Technology.
,,15.1203,Computer Hardware Technology/Technician.
,,15.1204,Computer Software Technology/Technician.
,,15.1301,"Drafting and Design Technology/Technician, General."
Q184793,computer-aided design,15.1302,CAD/CADD Drafting and/or Design Technology/Technician.
,,15.1303,Architectural Drafting and Architectural CAD/CADD.
,,15.1304,Civil Drafting and Civil Engineering CAD/CADD.
Q244404,electrical injury,15.1305,Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD.
,,15.1306,Mechanical Drafting and Mechanical Drafting CAD/CADD.
Q132624827,Nuclear Engineering Technology Students Capstone Experience To Assess The Technical Competencies: A Case Study,15.1401,Nuclear Engineering Technology/Technician.
Q11023,engineering,15.1501,Engineering/Industrial Management.
Q5638464,design engineering,15.1502,Engineering Design.
,,15.1503,Packaging Science.
Q11468,nanotechnology,15.1601,Nanotechnology.
,,16.0101,"Foreign Languages and Literatures, General."
Q8162,linguistics,16.0102,Linguistics.
,,16.0103,Language Interpretation and Translation.
Q834903,comparative literature,16.0104,Comparative Literature.
Q321249,applied linguistics,16.0105,Applied Linguistics.
Q207930,languages of Africa,16.0201,"African Languages, Literatures, and Linguistics."
Q99274778,East Asian languages,16.0300,"East Asian Languages, Literatures, and Linguistics, General."
Q109673446,Chinese literature,16.0301,Chinese Language and Literature.
Q6158249,Japanese Language and Literature,16.0302,Japanese Language and Literature.
Q96723068,Korean Language and Literature,16.0303,Korean Language and Literature.
,,16.0304,Tibetan Language and Literature.
Q23526,Slavic,16.0400,"Slavic Languages, Literatures, and Linguistics, General."
Q33136,Baltic,16.0401,"Baltic Languages, Literatures, and Linguistics."
Q96726717,Russian Language and Literature,16.0402,Russian Language and Literature.
,,16.0404,Albanian Language and Literature.
,,16.0405,Bulgarian Language and Literature.
,,16.0406,Czech Language and Literature.
,,16.0407,Polish Language and Literature.
Q9299,Serbian,16.0408,"Serbian, Croatian, and Serbo-Croatian Languages and Literatures."
,,16.0409,Slovak Language and Literature.
,,16.0410,Ukrainian Language and Literature.
Q21200,Germanic languages,16.0500,"Germanic Languages, Literatures, and Linguistics, General."
Q57682365,German Language and Literature Serials: An Annotated Select List of Journals Dealing with German Language and Literature,16.0501,German Language and Literature.
Q106085,North Germanic,16.0502,"Scandinavian Languages, Literatures, and Linguistics."
,,16.0503,Danish Language and Literature.
Q7411,Dutch,16.0504,Dutch/Flemish Language and Literature.
,,16.0505,Norwegian Language and Literature.
,,16.0506,Swedish Language and Literature.
,,16.0601,Modern Greek Language and Literature.
Q15609389,South Asian languages,16.0700,"South Asian Languages, Literatures, and Linguistics, General."
,,16.0701,Hindi Language and Literature.
,,16.0702,"Sanskrit and Classical Indian Languages, Literatures, and Linguistics."
,,16.0704,Bengali Language and Literature.
,,16.0705,Punjabi Language and Literature.
,,16.0706,Tamil Language and Literature.
,,16.0707,Urdu Language and Literature.
Q9168,Persian,16.0801,"Iranian/Persian Languages, Literatures, and Linguistics."
Q19814,Romance languages,16.0900,"Romance Languages, Literatures, and Linguistics, General."
Q11333703,French language studies,16.0901,French Language and Literature.
,,16.0902,Italian Language and Literature.
,,16.0904,Portuguese Language and Literature.
,,16.0905,Spanish Language and Literature.
,,16.0906,Romanian Language and Literature.
,,16.0907,Catalan Language and Literature.
,,16.0908,"Hispanic and Latin American Languages, Literatures, and Linguistics, General."
Q15751537,American Indian and Alaska Native Mental Health Research,16.1001,"American Indian/Native American Languages, Literatures, and Linguistics."
Q34049,Semitic,16.1100,"Semitic Languages, Literatures, and Linguistics, General."
,,16.1101,Arabic Language and Literature.
Q96329783,Hebrew Language and Literature Series,16.1102,Hebrew Language and Literature.
,,16.1103,"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics."
,,16.1200,"Classics and Classical Languages, Literatures, and Linguistics, General."
Q35497,Ancient Greek,16.1202,Ancient/Classical Greek Language and Literature.
,,16.1203,Latin Language and Literature.
Q25293,Celtic languages,16.1301,"Celtic Languages, Literatures, and Linguistics."
,,16.1400,"Southeast Asian Languages, Literatures, and Linguistics, General."
Q781542,Australian Journal of Chemistry,16.1401,"Australian/Oceanic/Pacific Languages, Literatures, and Linguistics."
,,16.1402,Bahasa Indonesian/Bahasa Malay Languages and Literatures.
,,16.1403,Burmese Language and Literature.
Q33298,Filipino,16.1404,Filipino/Tagalog Language and Literature.
Q9205,Khmer,16.1405,Khmer/Cambodian Language and Literature.
Q819,Laos,16.1406,Lao/Laotian Language and Literature.
,,16.1407,Thai Language and Literature.
,,16.1408,Vietnamese Language and Literature.
Q6098912,Turkish Language and Literature,16.1501,Turkish Language and Literature.
,,16.1502,"Finnish and Related Languages, Literatures, and Linguistics."
Q9067,Hungarian,16.1503,Hungarian/Magyar Language and Literature.
,,16.1504,Mongolian Language and Literature.
,,16.1601,American Sign Language (ASL).
,,16.1602,Linguistics of ASL and Other Sign Languages.
,,16.1603,Sign Language Interpretation and Translation.
,,19.0000,Work and Family Studies.
Q7884093,family and consumer science,19.0101,"Family and Consumer Sciences/Human Sciences, General."
,,19.0201,Business Family and Consumer Sciences/Human Sciences.
Q7884093,family and consumer science,19.0202,Family and Consumer Sciences/Human Sciences Communication.
,,19.0203,Consumer Merchandising/Retailing Management.
,,19.0401,"Family Resource Management Studies, General."
Q3578714,consumer economics,19.0402,Consumer Economics.
