category,relationship_type,description,wikidata_property,directionality,parent_relationship,specificity_level,lcc_code,lcsh_heading,fast_id,status,note,source,version,lifecycle_status,reify_as,cidoc_crm_code,cidoc_crm_kind,wikidata_label,crminf_applicable,mapping_source,research_priority,recommended_scope
Cultural,EVOLVED_INTO,Form evolved into another form,,forward,,1,GN,Culture,885059,active,,bidirectional_csv,1.0,implemented,EVENT,E81_Transformation,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Cultural,HERITAGE_OF,Earlier polity is claimed heritage of later group,,inverse,,1,GN,Culture,885059,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Cultural,MYTHIC_ORIGIN_OF,Mythic place is origin of group,,inverse,,1,GN,Culture,885059,active,,bidirectional_csv,1.0,implemented,PROPERTY,P67i_is_referred_to_by,PROPERTY,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Cultural,ORIGIN_MYTH,Group has mythic/legendary place of origin,,forward,,1,GN,Culture,885059,active,,bidirectional_csv,1.0,implemented,PROPERTY,P67_refers_to,PROPERTY,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Diplomatic,ACCEPTED_OFFER,Accepted diplomatic offer/proposal,,forward,,1,JZ,Diplomacy,894415,active,,extraction_appendix,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Diplomatic,APPEALED_TO,Entity appealed/requested help from another,,forward,,1,JZ,Diplomacy,894415,active,,extraction_appendix,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Diplomatic,DIPLOMATIC_ACTION,,,,,,,,,active,Present in canonical seed but absent in source CSV,seed_only,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Diplomatic,NEGOTIATED_AGAINST,Counterpart negotiated with entity,,symmetric,RELATED_TO,3,JZ,Diplomacy,894415,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Diplomatic,NEGOTIATED_WITH,Entity negotiated with counterpart,,symmetric,RELATED_TO,3,JZ,Diplomacy,894415,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Diplomatic,OFFERED_SELF_TO,Offered themselves as subjects/allies to another entity,,forward,,1,JZ,Diplomacy,894415,active,,extraction_appendix,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Diplomatic,OFFER_ACCEPTED_BY,Diplomatic offer was accepted by entity,,inverse,,1,JZ,Diplomacy,894415,active,,extraction_appendix,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Diplomatic,OFFER_REJECTED_BY,Diplomatic offer was rejected by entity,,inverse,,1,JZ,Diplomacy,894415,active,,extraction_appendix,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Diplomatic,RECEIVED_APPEAL_FROM,Entity received appeal/request for help,,inverse,,1,JZ,Diplomacy,894415,active,,extraction_appendix,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Diplomatic,RECEIVED_ENVOYS_FROM,Received diplomatic envoys/representatives from entity,,inverse,,1,JZ,Diplomacy,894415,active,,extraction_appendix,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Diplomatic,RECEIVED_OFFER_FROM,Received offer of subjection/alliance from entity,,inverse,,1,JZ,Diplomacy,894415,active,,extraction_appendix,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Diplomatic,REJECTED_OFFER,Rejected diplomatic offer/proposal,,forward,,1,JZ,Diplomacy,894415,active,,extraction_appendix,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Diplomatic,SENT_ENVOYS_TO,Sent diplomatic envoys/representatives,,forward,,1,JZ,Diplomacy,894415,active,,extraction_appendix,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Economic,CONFISCATED_LAND_FROM,Confiscated land from,,forward,ECONOMIC_ACTION,2,HB,Economics,902116,active,,bidirectional_csv,1.0,implemented,EVENT,E8_Acquisition,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Economic,DISTRIBUTED_LAND_TO,Distributed confiscated/conquered land,,forward,,1,HB,Economics,902116,active,,extraction_appendix,1.0,implemented,EVENT,E8_Acquisition,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Economic,ECONOMIC_ACTION,Generic economic action,,unidirectional,,1,HB,Economics,902116,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Economic,EXPERIENCED_RECESSION,Economy experienced recession,,forward,,1,HB,Economics,902116,active,,bidirectional_csv,1.0,implemented,EVENT,E5_Event,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Economic,LAND_CONFISCATED_BY,Had land confiscated by,,inverse,ECONOMIC_ACTION,2,HB,Economics,902116,active,,bidirectional_csv,1.0,implemented,EVENT,E8_Acquisition,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Economic,LAND_DISTRIBUTED_BY,Land was distributed by entity,,inverse,,1,HB,Economics,902116,active,,extraction_appendix,1.0,implemented,EVENT,E8_Acquisition,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Economic,RECESSION_IN,Recession occurred in economy,,inverse,,1,HB,Economics,902116,active,,bidirectional_csv,1.0,implemented,EVENT,E5_Event,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Economic,SOLD_INTO_SLAVERY,Sold people into slavery,,forward,,1,HB,Economics,902116,active,,extraction_appendix,1.0,implemented,EVENT,E8_Acquisition,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Economic,SOLD_INTO_SLAVERY_BY,People were sold into slavery by entity,,inverse,,1,HB,Economics,902116,active,,extraction_appendix,1.0,implemented,EVENT,E8_Acquisition,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Economic,TAXED,Taxation,,forward,,1,HB,Economics,902116,active,,roman_republic_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Familial,AUNT_OF,Aunt of person,,forward,FAMILIAL_RELATION,3,HQ,Family,1728849,active,,familial_expansion,1.0,implemented,PROPERTY,P107_has_member (family),PROPERTY,Extended family structure,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Familial,CHILD_OF,Person is child of parent,,forward,FAMILIAL_RELATION,2,HQ,Family,1728849,active,,bidirectional_csv,1.0,implemented,PROPERTY,P152i_is_parent_of,PROPERTY,Biological fact,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Familial,COUSIN_OF,Person is cousin,,symmetric,FAMILIAL_RELATION,3,HQ,Family,1728849,active,,familial_expansion,1.0,implemented,PROPERTY,P107_has_member (family),PROPERTY,Extended family structure,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Familial,GRANDCHILD_OF,Grandchild of grandparent,,forward,FAMILIAL_RELATION,3,HQ,Family,1728849,active,,bidirectional_csv,1.0,implemented,PROPERTY,P152 chain,PROPERTY,Derived from parent relations,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Familial,GRANDPARENT_OF,Grandparent of grandchild,,inverse,FAMILIAL_RELATION,3,HQ,Family,1728849,active,,bidirectional_csv,1.0,implemented,PROPERTY,P152 chain,PROPERTY,Derived from parent relations,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Familial,NEPHEW_OR_NIECE_OF,Person is nephew or niece,,inverse,FAMILIAL_RELATION,3,HQ,Family,1728849,active,,familial_expansion,1.0,implemented,PROPERTY,P107_has_member (family),PROPERTY,Extended family structure,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Familial,STEPCHILD_OF,Person is stepchild of stepparent,,forward,FAMILIAL_RELATION,2,HQ,Family,1728849,active,,bidirectional_csv,1.0,implemented,PROPERTY,P107_has_member (family),PROPERTY,Legal/social fact (or reify adoption),false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Familial,STEPPARENT_OF,Stepparent of stepchild,,inverse,FAMILIAL_RELATION,2,HQ,Family,1728849,active,,bidirectional_csv,1.0,implemented,PROPERTY,P107_has_member (family),PROPERTY,Legal/social fact (or reify adoption),false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Familial,UNCLE_OF,Uncle of person,,forward,FAMILIAL_RELATION,3,HQ,Family,1728849,active,,familial_expansion,1.0,implemented,PROPERTY,P107_has_member (family),PROPERTY,Extended family structure,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Geographic,CAMPAIGN_IN,Military campaign location,,forward,,1,G,Geography,940469,active,,roman_republic_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Geographic,EXILED,Person was exiled to place,,forward,LOCATED_IN,2,G,Geography,940469,active,,bidirectional_csv,1.0,implemented,EVENT,E9_Move,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Geographic,EXILED_BY,Place exiled person (jurisdiction),,inverse,LOCATED_IN,2,G,Geography,940469,active,,bidirectional_csv,1.0,implemented,EVENT,E9_Move,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Geographic,FLED_FROM,Fled from location,,forward,LOCATED_IN,2,G,Geography,940469,active,,bidirectional_csv,1.0,implemented,EVENT,E9_Move,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Geographic,FLED_TO,Fled to location (exile/escape),,forward,LOCATED_IN,2,G,Geography,940469,active,,bidirectional_csv,1.0,implemented,EVENT,E9_Move,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Geographic,LOCATION_OF,Place is location of entity,,inverse,,1,G,Geography,940469,active,,bidirectional_csv,1.0,implemented,PROPERTY,P53i (is location of),PROPERTY,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Geographic,MIGRATED_FROM,Group migrated from a place,,forward,LOCATED_IN,2,G,Geography,940469,active,,bidirectional_csv,1.0,implemented,EVENT,E9_Move,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Geographic,MIGRATED_TO,Group migrated to a place,,forward,LOCATED_IN,2,G,Geography,940469,active,,bidirectional_csv,1.0,implemented,EVENT,E9_Move,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Honorific,DECORATED_WITH,Person decorated with award,,forward,HONORED,3,CR,Honors,959979,active,,bidirectional_csv,1.0,implemented,EVENT,E13_Attribute_Assignment,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Honorific,DECORATION_OF,Decoration was awarded to person,,inverse,HONORED,3,CR,Honors,959979,active,,bidirectional_csv,1.0,implemented,EVENT,E13_Attribute_Assignment,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Honorific,GRANTED_TITLE,Title was granted to person,,forward,HONORED,3,CR,Honors,959979,active,,bidirectional_csv,1.0,implemented,EVENT,E13_Attribute_Assignment,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Honorific,HONORED,Honored or praised person,,forward,HONORED,1,CR,Honors,959979,active,,bidirectional_csv,1.0,implemented,EVENT,E13_Attribute_Assignment,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Honorific,HONORED_BY,Was honored by,,inverse,HONORED,1,CR,Honors,959979,active,,bidirectional_csv,1.0,implemented,EVENT,E13_Attribute_Assignment,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Honorific,TITLE_GRANTED_BY,Person was granted title by grantor,,inverse,HONORED,3,CR,Honors,959979,active,,bidirectional_csv,1.0,implemented,EVENT,E13_Attribute_Assignment,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Institutional,INSTITUTIONAL_ACTION,Generic institutional action,,unidirectional,,1,JF,Political institutions,1069240,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Institutional,LEGITIMATED,Institution legitimated authority,,forward,,1,JF,Political institutions,1069240,active,,bidirectional_csv,1.0,implemented,EVENT,E13_Attribute_Assignment,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Institutional,LEGITIMATED_BY,Authority was legitimated by institution,,inverse,,1,JF,Political institutions,1069240,active,,bidirectional_csv,1.0,implemented,EVENT,E13_Attribute_Assignment,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Institutional,REFORMED,Reformed institution/system,,forward,INSTITUTIONAL_ACTION,2,JF,Political institutions,1069240,active,,bidirectional_csv,1.0,implemented,EVENT,E11_Modification,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Institutional,REFORMED_BY,Was reformed by,,inverse,INSTITUTIONAL_ACTION,2,JF,Political institutions,1069240,active,,bidirectional_csv,1.0,implemented,EVENT,E11_Modification,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Institutional,REINSTATED,Reinstated dormant office/institution,,forward,INSTITUTIONAL_ACTION,2,JF,Political institutions,1069240,active,,bidirectional_csv,1.0,implemented,EVENT,E63_Beginning_of_Existence,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Institutional,REINSTATED_BY,Was reinstated by,,inverse,INSTITUTIONAL_ACTION,2,JF,Political institutions,1069240,active,,bidirectional_csv,1.0,implemented,EVENT,E63_Beginning_of_Existence,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Legal,CHARGED_WITH,Person was charged with crime,,forward,LEGAL_ACTION,2,K,Law,993678,active,,bidirectional_csv,1.0,implemented,EVENT,E13_Attribute_Assignment,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Legal,CHARGES_AGAINST,Crime was charged against person,,inverse,LEGAL_ACTION,2,K,Law,993678,active,,bidirectional_csv,1.0,implemented,EVENT,E13_Attribute_Assignment,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Legal,CONDEMNATION_OF,Condemnation without trial of person,,inverse,LEGAL_ACTION,3,K,Law,993678,active,,bidirectional_csv,1.0,implemented,EVENT,E13_Attribute_Assignment,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Legal,CONDEMNED_WITHOUT_TRIAL,Condemned without judicial trial,,forward,LEGAL_ACTION,3,K,Law,993678,active,,bidirectional_csv,1.0,implemented,EVENT,E13_Attribute_Assignment,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Legal,EXECUTED,Entity executed individual/small group,,forward,LEGAL_ACTION,3,K,Law,993678,active,,bidirectional_csv,1.0,implemented,EVENT,E69_Death,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Legal,EXECUTED_BY,Individual was executed by entity,,inverse,LEGAL_ACTION,3,K,Law,993678,active,,bidirectional_csv,1.0,implemented,EVENT,E69_Death,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Legal,IMPRISONED_IN,Person was imprisoned in facility,,forward,LEGAL_ACTION,2,K,Law,993678,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Legal,IMPRISONMENT_OF,Facility held person imprisoned,,inverse,LEGAL_ACTION,2,K,Law,993678,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Legal,LEGAL_ACTION,Generic legal action,,unidirectional,,1,K,Law,993678,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Legal,SENTENCED_TO,Person was sentenced to punishment,,forward,LEGAL_ACTION,2,K,Law,993678,active,,bidirectional_csv,1.0,implemented,EVENT,E13_Attribute_Assignment,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Legal,SENTENCE_OF,Punishment was sentenced to person,,inverse,LEGAL_ACTION,2,K,Law,993678,active,,bidirectional_csv,1.0,implemented,EVENT,E13_Attribute_Assignment,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Measurement,HAS_INDICATOR,Entity has quantified indicator,,forward,,1,QA,Measurement,1715944,active,,bidirectional_csv,1.0,implemented,PROPERTY,P43_has_dimension,PROPERTY,Quantitative property,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Measurement,INDICATOR_OF,Quantified indicator describes entity,,inverse,,1,QA,Measurement,1715944,active,,bidirectional_csv,1.0,implemented,PROPERTY,P43i_is_dimension_of,PROPERTY,(Inverse),false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Military,BESIEGED,Laid siege to place,,forward,FOUGHT_IN,3,U,Military art and science,1020874,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Military,BESIEGED_BY,Place was besieged by,,inverse,FOUGHT_IN,3,U,Military art and science,1020874,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Military,BETRAYED,Entity betrayed trust/loyalty,,forward,MILITARY_ACTION,3,U,Military art and science,1020874,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Military,BETRAYED_BY,Entity was betrayed,,inverse,MILITARY_ACTION,3,U,Military art and science,1020874,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Military,COMMANDED_BY,Was commanded by,,inverse,POSITION_HELD,2,U,Military art and science,1020874,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Military,DEFEATED,Defeated opponent in battle/campaign,,forward,FOUGHT_IN,3,U,Military art and science,1020874,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Military,DEFEATED_BY,Was defeated by opponent,,inverse,FOUGHT_IN,3,U,Military art and science,1020874,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Military,DEFECTED_FROM,Defected from,,inverse,RELATED_TO,3,U,Military art and science,1020874,active,,bidirectional_csv,1.0,implemented,EVENT,E86_Leaving,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Military,DEFECTED_TO,Defected to join,,forward,RELATED_TO,3,U,Military art and science,1020874,active,,bidirectional_csv,1.0,implemented,EVENT,E85_Joining,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Military,GARRISONED,Left military garrison in place,,forward,,1,U,Military art and science,1020874,active,,extraction_appendix,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Military,GARRISONED_BY,Place was garrisoned by military force,,inverse,,1,U,Military art and science,1020874,active,,extraction_appendix,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Military,LEVELLED,Completely destroyed/razed to ground,,forward,,1,U,Military art and science,1020874,active,,extraction_appendix,1.0,implemented,EVENT,E6_Destruction,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Military,LEVELLED_BY,Place was completely destroyed/razed,,inverse,,1,U,Military art and science,1020874,active,,extraction_appendix,1.0,implemented,EVENT,E6_Destruction,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Military,MASSACRED,Massacred group of people,,forward,FOUGHT_IN,3,U,Military art and science,1020874,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Military,MASSACRED_BY,Was massacred by,,inverse,FOUGHT_IN,3,U,Military art and science,1020874,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Military,MILITARY_ACTION,Generic military action,,unidirectional,,1,U,Military art and science,1020874,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Military,SACKED,Pillaged or sacked place,,forward,FOUGHT_IN,3,U,Military art and science,1020874,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Military,SACKED_BY,Place was sacked by,,inverse,FOUGHT_IN,3,U,Military art and science,1020874,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
Military,SALLIED_FROM,Made military sortie/sally from besieged place,,forward,,1,U,Military art and science,1020874,active,,extraction_appendix,1.0,implemented,EVENT,E9_Move,CLASS,,false,relationship_types_seed.cypher,high,Likely Wikidata P exists; verify semantics/directionality
