Rank,Title,Authors,Publisher,Appearances,Score
27,Politics in the <em>Roman</em> <em>Republic</em>,Henrik Mouritsen,Cambridge University Press,61,4
28,<em>Roman</em> <em>Republican</em> Theatre,Gesine Manuwald,Cambridge University Press,61,3
29,Coinage and Money Under the <em>Roman</em> <em>Republic</em>: Italy and the Mediterranean Economy,Michael H Crawford,,58,4
30,Empire and Memory: The Representation of the <em>Roman Republic</em> in Imperial Culture,Alain M Gowing,Cambridge University Press,56,3
31,<em>Roman</em> Manliness: Virtus and the <em>Roman Republic</em>,Myles Anthony McDonnell,Cambridge University Press,55,3
32,A History of the <em>Roman</em> <em>Republic</em>,Klaus Bringmann,Polity Press,51,3
33,Women's Religious Activity in the <em>Roman</em> <em>Republic</em>,Celia E Schultz,The University of North Carolina Press,48,3
34,The Breakdown of the <em>Roman</em> <em>Republic</em>: From Oligarchy to Empire,Christopher S Mackay,Cambridge University Press,47,2
35,"Temples, Religion, and Politics in the <em>Roman</em> <em>Republic</em>",Eric M Orlin,Brill Academic Publishers,46,3
36,Julius Caesar and the Transformation of the <em>Roman</em> <em>Republic</em>,Tom Stevenson,,46,3
37,Oratory and Political Career in the Late <em>Roman</em> <em>Republic</em>,Henriette Van Der Blom,Cambridge University Press,46,3
38,Cicero and the <em>Roman</em> <em>Republic</em>,Manfred Fuhrmann,,45,3
39,Controlling Laughter: Political Humor in the Late <em>Roman Republic</em>,Anthony Corbeill,Princeton University Press,44,3
40,"Morals, Politics, and the Fall of the <em>Roman</em> <em>Republic</em>",Barbara Levick,Greece and Rome,43,3
41,"The Political Elite of the <em>Roman</em> <em>Republic</em>: Comments on Recent Discussion of the Concepts ""Nobilitas and Homo Novus",Leonhard A Burckhardt,,42,2
42,Imperial Expansion and Moral Decline in the <em>Roman</em> <em>Republic</em>,A W Lintott,BRILL eBooks,42,2
43,"Public Land in the <em>Roman</em> <em>Republic</em>: A Social and Economic History of Ager Publicus in Italy, 396-89 B.C",Saskia T Roselaar,Oxford University Press,41,3
44,"Greeks, Foreigners, and <em>Roman</em> <em>Republican</em> Portraits",R R R Smith,The Journal of Roman Studies,36,2
45,"Remembering the <em>Roman</em> <em>Republic</em>: Culture, Politics and History Under the Principate",Andrew B Gallia,Cambridge University Press,35,2
46,The Calendar of the <em>Roman</em> <em>Republic</em>,Agnes Kirsopp Michels,Princeton University Press,33,2
47,The Last Age of the <em>Roman</em> <em>Republic</em>,J A Crook,,33,2
48,Reconstructing the <em>Roman</em> <em>Republic</em>: An Ancient Political Culture and Modern Research,KarlJoachim Holkeskamp,Princeton University Press,29,1
49,Electoral Bribery in the <em>Roman</em> <em>Republic</em>,Andrew Lintott,,28,2
50,Politics and Aristocracy in the <em>Roman</em> <em>Republic</em>,John North,Classical Philology,27,2
51,Popular Leadership and Collective Behavior in the Late <em>Roman</em> <em>Republic</em>,Paul J J Vanderbroeck,,25,2
52,The Constitution of the <em>Roman</em> <em>Republic</em>,J A North,,24,2
53,"Trials in the Late <em>Roman</em> <em>Republic</em>, 149 BC to 50 BC",Michael Charles Alexander,University of Toronto Press,24,1
54,"<em>Roman</em> <em>Republican</em> Villas: Architecture, Context, and Ideology","Jeffrey Becker, Nicola Terrenato",The University of Michigan Press,23,2
55,Crisis Management During the <em>Roman</em> <em>Republic</em>: The Role of Political Institutions in Emergencies,Gregory K Golden,Cambridge University Press,22,2
56,The Priests of the <em>Roman</em> <em>Republic</em>: A Study of Interactions Between Priesthoods and Magistracies,G J Szemler,Latomus,22,2
57,Hunger and the Sword: Warfare and Food Supply in <em>Roman Republican</em> Wars (264-30 B.C.),Paul Erdkamp,Gieben,22,1
58,"The Social War, 91 to 88 BCE: A History of the Italian Insurgency Against the <em>Roman Republic</em>",Christopher J Dart,Taylor & Francis,21,2
59,Chronicle of the <em>Roman</em> <em>Republic</em>: The Rulers of Ancient Rome From Romulus to Augustus,Philip Matyszak,Thames & Hudson,21,1
60,Cicero and the End of the <em>Roman</em> <em>Republic</em>,Walter Kirkpatrick Lacey,Hodder & Stoughton,20,1
61,"Judicial Reform and Land Reform in the <em>Roman</em> <em>Republic</em>: A New Edition, With Translation and Commentary, of the Laws From Urbino",Andrew Lintott,Cambridge University Press,19,2
62,The Cavalry of the <em>Roman</em> <em>Republic</em>: Cavalry Combat and Elite Reputations in the Middle and Late Republic,Jeremiah McCall,Routledge,19,1
63,Spectacle and Political Culture in the <em>Roman</em> <em>Republic</em>,Harriet I Flower,Cambridge University Press,18,2
64,Reading the <em>Roman</em> <em>Republic</em> in Early Modern England,Freyja Cox Jensen,Brill Academic Publishers,18,1
65,The Life of <em>Roman</em> <em>Republicanism</em>,Joy Connolly,Princeton University Press,17,2
66,"On Defining the Political Culture of the <em>Roman</em> <em>Republic</em>: Some Comments on Rosenstein, Williamson, and North",W V Harris,Classical Philology,17,1
67,The Development of Agriculture in the 'Ager Cosanus' During the <em>Roman</em> <em>Republic</em>: Problems of Evidence and Interpretation,D W Rathbone,The Journal of Roman Studies,16,1
68,Women in the <em>Roman</em> <em>Republic</em>,Phyllis Culham,Cambridge University Press,16,1
69,Consuls and Res Publica: Holding High Office in the <em>Roman Republic</em>,Hans Beck,Cambridge University Press,16,1
70,Public Opinion and Politics in the Late <em>Roman</em> <em>Republic</em>,Cristina Rosillo L Opez,,16,1
71,A History of Exile in the <em>Roman</em> <em>Republic</em>,Gordon P Kelly,Cambridge University Press,16,1
72,Slave Theater in the <em>Roman</em> <em>Republic</em>,Amy Richlin,Cambridge University Press,15,1
73,Murder Was Not a Crime: Homicide and Power in the <em>Roman Republic</em>,Judy E Gaughan,University of Texas Press,15,1
74,Law and Divination in the Late <em>Roman</em> <em>Republic</em>,Federico Santangelo,BRILL eBooks,15,1
75,Single Combat in the <em>Roman</em> <em>Republic</em>,S P Oakley,The Classical Quarterly,15,1
76,The Voting Districts of the <em>Roman</em> <em>Republic</em>: The Thirty-Five Urban and Rural Tribes,Lily Ross Taylor,American Academy,15,1
77,Imperialism in the <em>Roman</em> <em>Republic</em>,Erich S Gruen,,15,1
78,Popular Power in the <em>Roman</em> <em>Republic</em>,Alexander Yakobson,,15,1
79,Military Organization and Social Change in the Later <em>Roman</em> <em>Republic</em>,John Patterson,Routledge,15,1
80,"Patterns and Process in Late <em>Roman</em> <em>Republican</em> Coin Hoards, 157-2 BC",Kris Lockyear,Archaeopress,15,1
81,Slavery in the <em>Roman</em> <em>Republic</em>,Keith Bradley,Cambridge University Press,15,1
82,"Imperium, Potestas, and the Pomerium in the <em>Roman</em> <em>Republic</em>",Fred K Drogula,,14,2
83,Processes of Integration and Identity Formation in the <em>Roman</em> <em>Republic</em>,Saskia T Roselaar,Brill Academic Publishers,14,1
84,Articulating Local Cultures: Power and Identity Under the Expanding <em>Roman Republic</em>,Benjami Costa,,14,1
85,Chariot-Racing in the <em>Roman</em> <em>Republic</em>,Elizabeth Rawson,,14,1
86,Blood in the Forum: The Struggle for the <em>Roman Republic</em>,Pamela Marin,,13,1
87,<em>Roman</em> Crossings: Theory and Practice in the <em>Roman Republic</em>,"Kathryn Welch, T W Hillard",,13,1
88,Cicero and the <em>Roman</em> <em>Republic</em>,Frank Richard Cowell,Penguin Books,13,1
89,<em>Roman</em> <em>Republicanism</em>: The Underrated Legacy,Thomas N Mitchell,,13,1
90,Forging Identity in the <em>Roman</em> <em>Republic</em>: Trojan Ancestry and Veristic Portraiture,Charles Brian Rose,,12,2
91,Augustan Poetry and the <em>Roman</em> <em>Republic</em>,"Joseph Farrell, Damien P Nelis",Oxford University Press,12,1
92,The Law of Persons in the Later <em>Roman</em> <em>Republic</em>,Alan Watson,,12,1
93,Priesthood in the <em>Roman</em> <em>Republic</em>,Mary Beard,,11,1
94,Marcus Crassus and the Late <em>Roman</em> <em>Republic</em>,Allen Mason Ward,University of Missouri Press,11,1
95,Triumph in Defeat: Military Loss and the <em>Roman Republic</em>,Jessica H Clark,Oxford University Press,11,1
96,Finis Rei Publicae: Eyewitnesses to the End of the <em>Roman Republic</em>: A Textbook for Intermediate Latin,"Knapp, Vaughn",Focus Publishing / R. Pullins Company,11,1
97,Res Publica and the <em>Roman</em> <em>Republic</em>,Louise Hodgson,Oxford University Press,10,1
98,Money in the Late <em>Roman</em> <em>Republic</em>,David B Hollander,Brill Academic Publishers,10,1
99,Amicitia' in the Late <em>Roman</em> <em>Republic</em>,P A Brunt,Proceedings of the Cambridge Philological Society,10,1
100,Tactical Reform in the <em>Roman</em> <em>Republican</em> Army,M J V Bell,,10,1
