item,itemLabel
http://www.wikidata.org/entity/Q27732774,jiinshihoto
http://www.wikidata.org/entity/Q27732836,jinsoin
http://www.wikidata.org/entity/Q27732839,jizusoippo
http://www.wikidata.org/entity/Q27732842,jumihaidokuto
http://www.wikidata.org/entity/Q27732845,junchoto
http://www.wikidata.org/entity/Q27735791,juzendaihoto
http://www.wikidata.org/entity/Q27735828,kakkonto
http://www.wikidata.org/entity/Q27735856,kakkontokasenkyushin'i
http://www.wikidata.org/entity/Q27735881,kambakutaisoto
http://www.wikidata.org/entity/Q27811340,kamikihito
http://www.wikidata.org/entity/Q27811343,kamishoyosan
http://www.wikidata.org/entity/Q27811344,kanzoshasinto
http://www.wikidata.org/entity/Q27811345,kanzoto
http://www.wikidata.org/entity/Q27811347,keigairengyoto
http://www.wikidata.org/entity/Q27811349,keihito
http://www.wikidata.org/entity/Q27811350,keishibukuryogan
http://www.wikidata.org/entity/Q27811351,keishibukuryogankayokuinin
http://www.wikidata.org/entity/Q27811355,keishikajutsubuto
http://www.wikidata.org/entity/Q27811357,keishikakobokukyoninto
http://www.wikidata.org/entity/Q27811358,keishikaogito
http://www.wikidata.org/entity/Q27811360,keishikaryukotsuboreito
http://www.wikidata.org/entity/Q27811363,keishikashakuyakudaioto
http://www.wikidata.org/entity/Q27811369,keishikashakuyakuto
http://www.wikidata.org/entity/Q27811371,keishimaokakuhanto
http://www.wikidata.org/entity/Q27811374,keishininjinto
http://www.wikidata.org/entity/Q27811378,keishito
http://www.wikidata.org/entity/Q27811379,kihito
http://www.wikidata.org/entity/Q27811382,kikyoto
http://www.wikidata.org/entity/Q27824988,kososan
http://www.wikidata.org/entity/Q27824990,kumibinroto
http://www.wikidata.org/entity/Q27824996,kyukikyogaito
http://www.wikidata.org/entity/Q27824998,makyokansekito
http://www.wikidata.org/entity/Q27825004,makyoyokukanto
http://www.wikidata.org/entity/Q27825044,maobushisaishinto
http://www.wikidata.org/entity/Q27825045,maoto
http://www.wikidata.org/entity/Q27825046,mashiningan
http://www.wikidata.org/entity/Q27825047,mokuboito
http://www.wikidata.org/entity/Q27826320,nichinto
http://www.wikidata.org/entity/Q27826321,nijutsuto
http://www.wikidata.org/entity/Q27826322,ninjinto
http://www.wikidata.org/entity/Q27826323,ninjinyoeito
http://www.wikidata.org/entity/Q27826324,nyoshinsan
http://www.wikidata.org/entity/Q27868179,ogikenchuto
http://www.wikidata.org/entity/Q27868180,ogonto
http://www.wikidata.org/entity/Q27868181,orengedokuto
http://www.wikidata.org/entity/Q27868182,orento
http://www.wikidata.org/entity/Q27868224,rikkosan
http://www.wikidata.org/entity/Q27868225,rikkunshito
http://www.wikidata.org/entity/Q27868227,rokumijiogan
http://www.wikidata.org/entity/Q27868228,ryokankyomishingeninto
http://www.wikidata.org/entity/Q27868229,ryokeijutsukanto
http://www.wikidata.org/entity/Q27868230,ryokyojutsukanto
http://www.wikidata.org/entity/Q27868264,ryutanshakanto
http://www.wikidata.org/entity/Q27868268,saibokuto
http://www.wikidata.org/entity/Q27868270,saikanto
http://www.wikidata.org/entity/Q27868271,saikokaryukotsuboreito
http://www.wikidata.org/entity/Q27868274,saikokeishikankyoto
http://www.wikidata.org/entity/Q27868275,saikokeishito
http://www.wikidata.org/entity/Q27868287,saikoseikanto
http://www.wikidata.org/entity/Q27868290,saireito
http://www.wikidata.org/entity/Q27868291,sammotsuogonto
http://www.wikidata.org/entity/Q27868292,san'oshashinto
http://www.wikidata.org/entity/Q27868293,sansoninto
http://www.wikidata.org/entity/Q27868295,seihaito
http://www.wikidata.org/entity/Q27868303,seijobofuto
http://www.wikidata.org/entity/Q27868304,seishinrenshiin
http://www.wikidata.org/entity/Q27868305,seishoekkito
http://www.wikidata.org/entity/Q27868307,senkyuchachosan
http://www.wikidata.org/entity/Q27868324,shakanzoto
http://www.wikidata.org/entity/Q27868325,shakuyakukanzoto
http://www.wikidata.org/entity/Q27868327,shichimotsukokato
http://www.wikidata.org/entity/Q27868328,shigyakusan
http://www.wikidata.org/entity/Q27868330,shigyakuto
http://www.wikidata.org/entity/Q27868361,shikunshito
http://www.wikidata.org/entity/Q27868363,shimbuto
http://www.wikidata.org/entity/Q27868365,shimpito
http://www.wikidata.org/entity/Q27868366,shin'iseihaito
http://www.wikidata.org/entity/Q27868367,shiunkou
http://www.wikidata.org/entity/Q27868377,shofusan
http://www.wikidata.org/entity/Q27868380,shohangekabukuryoto
http://www.wikidata.org/entity/Q27868381,shokenchuto
http://www.wikidata.org/entity/Q27868383,shomakakkonto
http://www.wikidata.org/entity/Q27868385,shosaikoto
http://www.wikidata.org/entity/Q27868386,shosaikotokakikyosekko
http://www.wikidata.org/entity/Q27868397,shoseiryuto
http://www.wikidata.org/entity/Q27868399,sokeikakketsuto
http://www.wikidata.org/entity/Q27868403,takushato
http://www.wikidata.org/entity/Q27868404,tokakujokito
http://www.wikidata.org/entity/Q27868405,tokiinshi
http://www.wikidata.org/entity/Q27868406,tokikenchuto
http://www.wikidata.org/entity/Q27894747,tokishakuyakukabushito
http://www.wikidata.org/entity/Q27894749,tokishigyakukagoshuyushokyoto
http://www.wikidata.org/entity/Q27894750,tokishakuyakusan
http://www.wikidata.org/entity/Q27894752,tokito
http://www.wikidata.org/entity/Q27894754,tsudosan
http://www.wikidata.org/entity/Q27894780,unkeito
http://www.wikidata.org/entity/Q27894784,unseiin
http://www.wikidata.org/entity/Q27894786,untanto
http://www.wikidata.org/entity/Q27894791,yokuininto
http://www.wikidata.org/entity/Q27894795,yokukansan
http://www.wikidata.org/entity/Q27894800,yokukansankachimpihange
http://www.wikidata.org/entity/Q28689509,Q28689509
http://www.wikidata.org/entity/Q86656575,Qingfeipaidutang
http://www.wikidata.org/entity/Q91677786,Lian-Hua qingwen
http://www.wikidata.org/entity/Q105252811,Taiwan Chingguan Yihau
http://www.wikidata.org/entity/Q109598185,Q109598185
http://www.wikidata.org/entity/Q115088832,Q115088832
http://www.wikidata.org/entity/Q126817616,Q126817616
http://www.wikidata.org/entity/Q127424438,Q127424438
http://www.wikidata.org/entity/Q132533381,Xiao Chai Hu Tang
http://www.wikidata.org/entity/Q1733935,Karlshöhe Ludwigsburg
http://www.wikidata.org/entity/Q12329782,OK2010
http://www.wikidata.org/entity/Q76003093,Collective contract shopping
http://www.wikidata.org/entity/Q112424977,OK13
http://www.wikidata.org/entity/Q353275,German wine classification
http://www.wikidata.org/entity/Q4818177,Attempts at reconciliation in Somalia
http://www.wikidata.org/entity/Q4606456,2006 Iraqi government formation
http://www.wikidata.org/entity/Q4610561,2008 Austrian government formation
http://www.wikidata.org/entity/Q4617587,2010 Iraqi government formation
http://www.wikidata.org/entity/Q4618714,2010 Ukrainian government formation
http://www.wikidata.org/entity/Q4618739,2010 United Kingdom government formation
http://www.wikidata.org/entity/Q4620148,2010–2012 Bosnia and Herzegovina government formation
http://www.wikidata.org/entity/Q5601958,"Greek government formation, May 2012"
http://www.wikidata.org/entity/Q24907657,2015–16 Spanish government formation
http://www.wikidata.org/entity/Q28057188,Q28057188
http://www.wikidata.org/entity/Q30241518,Q30241518
http://www.wikidata.org/entity/Q48965786,2015–2016 Catalan government formation
http://www.wikidata.org/entity/Q54084797,2018 Italian government formation
http://www.wikidata.org/entity/Q64511106,2019 Finnish government formation
http://www.wikidata.org/entity/Q66823380,2019 Italian government crisis
http://www.wikidata.org/entity/Q104586086,Q104586086
http://www.wikidata.org/entity/Q108920010,2019–2020 Spanish government formation
http://www.wikidata.org/entity/Q110070510,Q110070510
http://www.wikidata.org/entity/Q110088050,Q110088050
http://www.wikidata.org/entity/Q110094621,Q110094621
http://www.wikidata.org/entity/Q110157852,Q110157852
http://www.wikidata.org/entity/Q110728157,Q110728157
http://www.wikidata.org/entity/Q110735574,Q110735574
http://www.wikidata.org/entity/Q110896416,Q110896416
http://www.wikidata.org/entity/Q110896421,Q110896421
http://www.wikidata.org/entity/Q110919112,Q110919112
http://www.wikidata.org/entity/Q110919118,Q110919118
http://www.wikidata.org/entity/Q114799742,2022 Italian government formation
http://www.wikidata.org/entity/Q119552355,2023 government formation talks in Finland
http://www.wikidata.org/entity/Q121409298,2023 Spanish government formation
http://www.wikidata.org/entity/Q133579261,1996 Spanish government formation
http://www.wikidata.org/entity/Q8061329,Yunnan Baiyao
http://www.wikidata.org/entity/Q105252811,Taiwan Chingguan Yihau
http://www.wikidata.org/entity/Q137381387,Al-Mihrass
http://www.wikidata.org/entity/Q9070625,Tokyo Round
http://www.wikidata.org/entity/Q11510140,Japan-US textile negotiations
http://www.wikidata.org/entity/Q17214776,Japan-Australia sugar negotiations
http://www.wikidata.org/entity/Q86733761,Japan-US trade negotiation (2018-2019)
http://www.wikidata.org/entity/Q11672882,Takanawa negotiations
http://www.wikidata.org/entity/Q12292719,Q12292719
http://www.wikidata.org/entity/Q96297140,Mission Currie-Foot
http://www.wikidata.org/entity/Q49776,strike
http://www.wikidata.org/entity/Q6934887,Multiple Equivalent Simultaneous Offers
http://www.wikidata.org/entity/Q7836873,treating
http://www.wikidata.org/entity/Q118271883,Dulles Intimidation
http://www.wikidata.org/entity/Q9385195,Trautmann mediation
http://www.wikidata.org/entity/Q55650020,Amirav-Husseini peace meetings
http://www.wikidata.org/entity/Q85879321,Ugaki Operation
http://www.wikidata.org/entity/Q85881485,Operation Kiri
http://www.wikidata.org/entity/Q85883212,Miao Pin operation
http://www.wikidata.org/entity/Q85883314,Funatsu Peace Plan
http://www.wikidata.org/entity/Q85884167,Qian Yongming–Zhou Zuomin Operation
http://www.wikidata.org/entity/Q109365088,Jiang Hao Operation
http://www.wikidata.org/entity/Q109365094,Stuart mediation
http://www.wikidata.org/entity/Q109365096,He Zhuguo Operation
http://www.wikidata.org/entity/Q109595164,Miyazaki Operation
http://www.wikidata.org/entity/Q124446782,Wang Jingwei Operation
http://www.wikidata.org/entity/Q107750189,Die historische sammlung Otto Gerstenberg
http://www.wikidata.org/entity/Q108332184,French cavalry in World War II
