
item,itemLabel,itemDescription,enwiki,period,periodLabel,start,end,instance,instanceLabel
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q12554,Middle Ages,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3024240,historical country
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q12554,Middle Ages,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3024240,historical country
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q5308718,early modern period,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3024240,historical country
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q5308718,early modern period,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3024240,historical country
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q12554,Middle Ages,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q20856058,landgraviate
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q12554,Middle Ages,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q20856058,landgraviate
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q5308718,early modern period,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q20856058,landgraviate
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q5308718,early modern period,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q20856058,landgraviate
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q12554,Middle Ages,1200-01-01T00:00:00Z,1700-01-01T00:00:00Z,http://www.wikidata.org/entity/Q20856058,landgraviate
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q5308718,early modern period,1200-01-01T00:00:00Z,1700-01-01T00:00:00Z,http://www.wikidata.org/entity/Q20856058,landgraviate
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q12554,Middle Ages,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q20856058,landgraviate
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q12554,Middle Ages,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q20856058,landgraviate
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q5308718,early modern period,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q20856058,landgraviate
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q5308718,early modern period,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q20856058,landgraviate
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q12554,Middle Ages,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26830017,state in the Holy Roman Empire
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q12554,Middle Ages,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26830017,state in the Holy Roman Empire
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q5308718,early modern period,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26830017,state in the Holy Roman Empire
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q5308718,early modern period,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26830017,state in the Holy Roman Empire
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q12554,Middle Ages,1200-01-01T00:00:00Z,1700-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26830017,state in the Holy Roman Empire
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q5308718,early modern period,1200-01-01T00:00:00Z,1700-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26830017,state in the Holy Roman Empire
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q12554,Middle Ages,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26830017,state in the Holy Roman Empire
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q12554,Middle Ages,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26830017,state in the Holy Roman Empire
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q5308718,early modern period,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26830017,state in the Holy Roman Empire
http://www.wikidata.org/entity/Q58942549,landgraviate of Lower Alsace,"historical region of France, former landgraviate of the Holy Roman Empire",Lower Alsace,http://www.wikidata.org/entity/Q5308718,early modern period,1200-01-01T00:00:00Z,1646-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26830017,state in the Holy Roman Empire
http://www.wikidata.org/entity/Q21077045,landgraviate of Upper Alsace,"historical region of France, landgraviate of the Holy Roman Empire",Upper Alsace,http://www.wikidata.org/entity/Q12554,Middle Ages,1200-01-01T00:00:00Z,1648-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3024240,historical country
http://www.wikidata.org/entity/Q21077045,landgraviate of Upper Alsace,"historical region of France, landgraviate of the Holy Roman Empire",Upper Alsace,http://www.wikidata.org/entity/Q5308718,early modern period,1200-01-01T00:00:00Z,1648-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3024240,historical country
http://www.wikidata.org/entity/Q21077045,landgraviate of Upper Alsace,"historical region of France, landgraviate of the Holy Roman Empire",Upper Alsace,http://www.wikidata.org/entity/Q12554,Middle Ages,1200-01-01T00:00:00Z,1648-01-01T00:00:00Z,http://www.wikidata.org/entity/Q20856058,landgraviate
http://www.wikidata.org/entity/Q21077045,landgraviate of Upper Alsace,"historical region of France, landgraviate of the Holy Roman Empire",Upper Alsace,http://www.wikidata.org/entity/Q5308718,early modern period,1200-01-01T00:00:00Z,1648-01-01T00:00:00Z,http://www.wikidata.org/entity/Q20856058,landgraviate
http://www.wikidata.org/entity/Q21077045,landgraviate of Upper Alsace,"historical region of France, landgraviate of the Holy Roman Empire",Upper Alsace,http://www.wikidata.org/entity/Q12554,Middle Ages,1200-01-01T00:00:00Z,1648-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26830017,state in the Holy Roman Empire
http://www.wikidata.org/entity/Q21077045,landgraviate of Upper Alsace,"historical region of France, landgraviate of the Holy Roman Empire",Upper Alsace,http://www.wikidata.org/entity/Q5308718,early modern period,1200-01-01T00:00:00Z,1648-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26830017,state in the Holy Roman Empire
http://www.wikidata.org/entity/Q334714,Duchy of Athens,former country (1205–1458),Duchy of Athens,http://www.wikidata.org/entity/Q1197995,Frankokratia,1205-01-01T00:00:00Z,1458-01-01T00:00:00Z,http://www.wikidata.org/entity/Q154547,duchy
http://www.wikidata.org/entity/Q334714,Duchy of Athens,former country (1205–1458),Duchy of Athens,http://www.wikidata.org/entity/Q1197995,Frankokratia,1205-01-01T00:00:00Z,1458-01-01T00:00:00Z,http://www.wikidata.org/entity/Q190967,Crusader states
http://www.wikidata.org/entity/Q334714,Duchy of Athens,former country (1205–1458),Duchy of Athens,http://www.wikidata.org/entity/Q1197995,Frankokratia,1205-01-01T00:00:00Z,1458-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1371288,vassal state
http://www.wikidata.org/entity/Q334714,Duchy of Athens,former country (1205–1458),Duchy of Athens,http://www.wikidata.org/entity/Q1197995,Frankokratia,1205-01-01T00:00:00Z,1458-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3024240,historical country
http://www.wikidata.org/entity/Q332005,Principality of Achaea,Crusader principality in southern Greece,Principality of Achaea,http://www.wikidata.org/entity/Q1197995,Frankokratia,1205-01-01T00:00:00Z,1432-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3024240,historical country
http://www.wikidata.org/entity/Q332005,Principality of Achaea,Crusader principality in southern Greece,Principality of Achaea,http://www.wikidata.org/entity/Q1197995,Frankokratia,1205-01-01T00:00:00Z,1430-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3024240,historical country
http://www.wikidata.org/entity/Q2684394,Taifa of Baeza,,Taifa of Baeza,http://www.wikidata.org/entity/Q3540212,taifa (third period),1224-01-01T00:00:00Z,1226-01-01T00:00:00Z,http://www.wikidata.org/entity/Q217177,taifa
http://www.wikidata.org/entity/Q2684394,Taifa of Baeza,,Taifa of Baeza,http://www.wikidata.org/entity/Q3540212,taifa (third period),1224-01-01T00:00:00Z,1226-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3024240,historical country
http://www.wikidata.org/entity/Q11457474,Kangi famine,famine in Japan,Kanki famine,http://www.wikidata.org/entity/Q1194200,Kangi,1230-01-01T00:00:00Z,1239-01-01T00:00:00Z,http://www.wikidata.org/entity/Q168247,famine
http://www.wikidata.org/entity/Q679052,Nikolaikirche (Berlin),"church in Berlin, Germany","St. Nicholas Church, Berlin",http://www.wikidata.org/entity/Q148499,Margraviate of Brandenburg,1230-01-01T00:00:00Z,1944-01-01T00:00:00Z,http://www.wikidata.org/entity/Q16970,church building
http://www.wikidata.org/entity/Q679052,Nikolaikirche (Berlin),"church in Berlin, Germany","St. Nicholas Church, Berlin",http://www.wikidata.org/entity/Q148499,Margraviate of Brandenburg,1230-01-01T00:00:00Z,1944-01-01T00:00:00Z,http://www.wikidata.org/entity/Q8719053,music venue
http://www.wikidata.org/entity/Q679052,Nikolaikirche (Berlin),"church in Berlin, Germany","St. Nicholas Church, Berlin",http://www.wikidata.org/entity/Q148499,Margraviate of Brandenburg,1230-01-01T00:00:00Z,1944-01-01T00:00:00Z,http://www.wikidata.org/entity/Q16735822,history museum
http://www.wikidata.org/entity/Q8351224,Valencian Courts,Legislature of the Kingdom of Valencia,,http://www.wikidata.org/entity/Q9008644,Ancient Regime of Spain,1238-01-01T00:00:00Z,1707-06-29T00:00:00Z,http://www.wikidata.org/entity/Q11204,legislature
http://www.wikidata.org/entity/Q8351224,Valencian Courts,Legislature of the Kingdom of Valencia,,http://www.wikidata.org/entity/Q9008644,Ancient Regime of Spain,1238-01-01T00:00:00Z,1707-06-29T00:00:00Z,http://www.wikidata.org/entity/Q1752346,assembly
http://www.wikidata.org/entity/Q8351224,Valencian Courts,Legislature of the Kingdom of Valencia,,http://www.wikidata.org/entity/Q9008644,Ancient Regime of Spain,1238-01-01T00:00:00Z,1707-06-29T00:00:00Z,http://www.wikidata.org/entity/Q2761147,meeting
http://www.wikidata.org/entity/Q11929483,Q11929483,,,http://www.wikidata.org/entity/Q212976,Late Middle Ages,1249-07-14T00:00:00Z,1718-07-22T00:00:00Z,http://www.wikidata.org/entity/Q614593,collegiate body
http://www.wikidata.org/entity/Q11929483,Q11929483,,,http://www.wikidata.org/entity/Q5308718,early modern period,1249-07-14T00:00:00Z,1718-07-22T00:00:00Z,http://www.wikidata.org/entity/Q614593,collegiate body
http://www.wikidata.org/entity/Q5594076,Gran i General Consell,,Gran i General Consell,http://www.wikidata.org/entity/Q5308718,early modern period,1249-07-14T00:00:00Z,1718-07-22T00:00:00Z,http://www.wikidata.org/entity/Q1752346,assembly
http://www.wikidata.org/entity/Q5594076,Gran i General Consell,,Gran i General Consell,http://www.wikidata.org/entity/Q5308718,early modern period,1249-07-14T00:00:00Z,1718-07-22T00:00:00Z,http://www.wikidata.org/entity/Q15893266,former entity
http://www.wikidata.org/entity/Q5594076,Gran i General Consell,,Gran i General Consell,http://www.wikidata.org/entity/Q212976,Late Middle Ages,1249-07-14T00:00:00Z,1718-07-22T00:00:00Z,http://www.wikidata.org/entity/Q1752346,assembly
http://www.wikidata.org/entity/Q5594076,Gran i General Consell,,Gran i General Consell,http://www.wikidata.org/entity/Q212976,Late Middle Ages,1249-07-14T00:00:00Z,1718-07-22T00:00:00Z,http://www.wikidata.org/entity/Q15893266,former entity
http://www.wikidata.org/entity/Q12407079,Mamluk Palestine,historical period in Palestine 1260 - 1517,,http://www.wikidata.org/entity/Q12554,Middle Ages,1260-01-01T00:00:00Z,1517-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1620908,historical region
http://www.wikidata.org/entity/Q12407079,Mamluk Palestine,historical period in Palestine 1260 - 1517,,http://www.wikidata.org/entity/Q12554,Middle Ages,1260-01-01T00:00:00Z,1517-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period
http://www.wikidata.org/entity/Q106394714,Signoria of Verona,governing authority,,http://www.wikidata.org/entity/Q212976,Late Middle Ages,1262-01-01T00:00:00Z,1405-07-03T00:00:00Z,http://www.wikidata.org/entity/Q3024240,historical country
http://www.wikidata.org/entity/Q9409377,Q9409377,,,http://www.wikidata.org/entity/Q236205,Kamakura period,1275-01-01T00:00:00Z,1334-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q6412664,Realm of Stefan Dragutin,medieval Serbian kingdom,Realm of Stefan Dragutin,http://www.wikidata.org/entity/Q12554,Middle Ages,1282-01-01T00:00:00Z,1325-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3024240,historical country
