qid,primary_facet,related_facets
Q12831143,GEOGRAPHIC,SOCIAL:0.8|ECONOMIC:0.7|CULTURAL:0.6
Q128893816,SCIENTIFIC,GEOGRAPHIC:0.6
Q128894857,SCIENTIFIC,
Q1298380,SCIENTIFIC,SOCIAL:0.5
Q1298583,SCIENTIFIC,
Q130217834,SCIENTIFIC,ENVIRONMENTAL:0.7
Q131089,SCIENTIFIC,GEOGRAPHIC:0.8
Q131476,SCIENTIFIC,
Q132116,CULTURAL,
Q1328688,SCIENTIFIC,POLITICAL:0.7
Q1337681,SCIENTIFIC,ENVIRONMENTAL:0.6
Q133908,INTELLECTUAL,CULTURAL:0.7|POLITICAL:0.5
Q13420675,COMMUNICATION,INTELLECTUAL:0.7
Q134435,GEOGRAPHIC,ENVIRONMENTAL:0.6
Q134783,SCIENTIFIC,ENVIRONMENTAL:0.7|ARCHAEOLOGICAL:0.5
Q134986538,INTELLECTUAL,CULTURAL:0.8|ARTISTIC:0.7|LINGUISTIC:0.6
Q134995,COMMUNICATION,INTELLECTUAL:0.6
Q135238310,ARCHAEOLOGICAL,
Q136352,SCIENTIFIC,
Q1367176,CULTURAL,LINGUISTIC:0.7|POLITICAL:0.6
Q1370637,TECHNOLOGICAL,ECONOMIC:0.7|ENVIRONMENTAL:0.5
Q1371429,CULTURAL,ENVIRONMENTAL:0.8|SCIENTIFIC:0.6
Q1371704,ARCHAEOLOGICAL,
Q1380539,SOCIAL,TECHNOLOGICAL:0.8
Q1383443,RELIGIOUS,SOCIAL:0.7
Q1387972,ENVIRONMENTAL,SCIENTIFIC:0.8
Q1409472,ENVIRONMENTAL,SCIENTIFIC:0.7
Q1409625,SCIENTIFIC,GEOGRAPHIC:0.6
Q1413128,LINGUISTIC,CULTURAL:0.6
Q1416259,SCIENTIFIC,SOCIAL:0.5
Q14254438,RELIGIOUS,INTELLECTUAL:0.7
Q14565700,SOCIAL,INTELLECTUAL:0.6
Q1456948,SCIENTIFIC,GEOGRAPHIC:0.7|ENVIRONMENTAL:0.6
Q145903,ARCHAEOLOGICAL,
Q14632398,SCIENTIFIC,
Q146326,TECHNOLOGICAL,ENVIRONMENTAL:0.9
Q146893,LINGUISTIC,GEOGRAPHIC:0.5|CULTURAL:0.4
Q1495452,ECONOMIC,SOCIAL:0.6
Q1513879,TECHNOLOGICAL,LINGUISTIC:0.8|COMMUNICATION:0.6
Q15141361,DIPLOMATIC,POLITICAL:0.6
Q1516555,POLITICAL,SOCIAL:0.8|INTELLECTUAL:0.5
Q1519812,POLITICAL,SCIENTIFIC:0.8|SOCIAL:0.6
Q1550690,ENVIRONMENTAL,SCIENTIFIC:0.8|ARCHAEOLOGICAL:0.4
Q156864,CULTURAL,LINGUISTIC:0.8
Q15783860,SOCIAL,ECONOMIC:0.7
Q15805624,ARTISTIC,LINGUISTIC:0.8|CULTURAL:0.7
Q159385,POLITICAL,DIPLOMATIC:0.8|GEOGRAPHIC:0.7
Q160039,ECONOMIC,SCIENTIFIC:0.7
Q160398,SCIENTIFIC,
Q160845,LINGUISTIC,SOCIAL:0.8
Q161437,SCIENTIFIC,
Q161733,SOCIAL,POLITICAL:0.7
Q161764,SCIENTIFIC,ENVIRONMENTAL:0.7
Q162555,SCIENTIFIC,
Q162606,SCIENTIFIC,
Q16267481,CULTURAL,LINGUISTIC:0.8|INTELLECTUAL:0.7
Q163082,SCIENTIFIC,ENVIRONMENTAL:0.5
Q16331597,ARTISTIC,
Q1637030,SCIENTIFIC,TECHNOLOGICAL:0.7
Q16387,COMMUNICATION,INTELLECTUAL:0.7|TECHNOLOGICAL:0.6
Q1640893,SOCIAL,POLITICAL:0.5
Q164204,ARTISTIC,CULTURAL:0.8|INTELLECTUAL:0.7
Q1648514,SCIENTIFIC,ENVIRONMENTAL:0.6
Q16579254,SCIENTIFIC,
Q165838,ENVIRONMENTAL,SCIENTIFIC:0.8
Q1660049,POLITICAL,COMMUNICATION:0.8
Q1660119,ECONOMIC,GEOGRAPHIC:0.6
Q166153,CULTURAL,LINGUISTIC:0.8|INTELLECTUAL:0.6
Q1662013,ECONOMIC,TECHNOLOGICAL:0.6|SOCIAL:0.4
Q166542,DIPLOMATIC,POLITICAL:0.8
Q16937537,TECHNOLOGICAL,COMMUNICATION:0.8|SCIENTIFIC:0.6
Q169525,SCIENTIFIC,TECHNOLOGICAL:0.8
Q17013672,SCIENTIFIC,
Q170201,SCIENTIFIC,
Q17081927,COMMUNICATION,SOCIAL:0.8
Q170912,SCIENTIFIC,SOCIAL:0.7
Q171141,CULTURAL,ARTISTIC:0.6|SOCIAL:0.5
Q171171,SCIENTIFIC,
Q17119209,ARTISTIC,ENVIRONMENTAL:0.7|CULTURAL:0.5
Q1718437,TECHNOLOGICAL,SCIENTIFIC:0.7
Q1721024,CULTURAL,LINGUISTIC:0.8
Q172145,SCIENTIFIC,TECHNOLOGICAL:0.6
Q173113,SCIENTIFIC,ECONOMIC:0.5|ENVIRONMENTAL:0.6
Q1735721,RELIGIOUS,INTELLECTUAL:0.5
Q1750812,TECHNOLOGICAL,SCIENTIFIC:0.7
Q175403,TECHNOLOGICAL,SCIENTIFIC:0.8
Q1757598,ARTISTIC,INTELLECTUAL:0.5
Q1772875,SCIENTIFIC,ENVIRONMENTAL:0.8
Q177304,SOCIAL,CULTURAL:0.8
Q1773974,SCIENTIFIC,SOCIAL:0.6
Q177571,ECONOMIC,INTELLECTUAL:0.6
Q177635,SCIENTIFIC,
Q1779521,SOCIAL,SCIENTIFIC:0.7|CULTURAL:0.6
Q1781695,GEOGRAPHIC,SOCIAL:0.7|ECONOMIC:0.6
Q178433,LINGUISTIC,
Q179012,TECHNOLOGICAL,ECONOMIC:0.6
Q179235,INTELLECTUAL,
Q179509,SCIENTIFIC,ENVIRONMENTAL:0.8
Q1799172,CULTURAL,SOCIAL:0.8
Q179957,LINGUISTIC,ARCHAEOLOGICAL:0.7|INTELLECTUAL:0.5
Q1800439,RELIGIOUS,
Q1803786,TECHNOLOGICAL,SCIENTIFIC:0.6
Q180634,TECHNOLOGICAL,
Q181505,SCIENTIFIC,
Q182468,GEOGRAPHIC,SCIENTIFIC:0.8|ENVIRONMENTAL:0.7
Q182557,LINGUISTIC,TECHNOLOGICAL:0.7
Q183257,SCIENTIFIC,SOCIAL:0.6
Q18336,ARTISTIC,SOCIAL:0.7|POLITICAL:0.6
Q18345563,POLITICAL,SOCIAL:0.7
Q18366,SCIENTIFIC,
Q184199,TECHNOLOGICAL,COMMUNICATION:0.6
Q184524,LINGUISTIC,COMMUNICATION:0.6
Q185035,ARTISTIC,ENVIRONMENTAL:0.8|TECHNOLOGICAL:0.6
Q185698,INTELLECTUAL,SCIENTIFIC:0.6
Q1858421,LINGUISTIC,CULTURAL:0.6|INTELLECTUAL:0.4
Q185925,ARTISTIC,COMMUNICATION:0.7|TECHNOLOGICAL:0.5
Q185973,SCIENTIFIC,
Q186249,TECHNOLOGICAL,SCIENTIFIC:0.8
Q188449,SCIENTIFIC,TECHNOLOGICAL:0.7
Q188462,POLITICAL,RELIGIOUS:0.8
Q188847,ENVIRONMENTAL,SCIENTIFIC:0.8
Q189131,TECHNOLOGICAL,SCIENTIFIC:0.8
Q189436,TECHNOLOGICAL,LINGUISTIC:0.8|SCIENTIFIC:0.6
Q189447,ECONOMIC,TECHNOLOGICAL:0.6
Q189603,SCIENTIFIC,SOCIAL:0.8|POLITICAL:0.6
Q1898366,SCIENTIFIC,ENVIRONMENTAL:0.8
Q190375,LINGUISTIC,
Q190553,SCIENTIFIC,SOCIAL:0.8
Q192292,INTELLECTUAL,RELIGIOUS:0.7
Q192386,MILITARY,SCIENTIFIC:0.6
Q192625,LINGUISTIC,
Q192694,SCIENTIFIC,ENVIRONMENTAL:0.7|ARCHAEOLOGICAL:0.5
Q192781,MILITARY,
Q1929761,COMMUNICATION,INTELLECTUAL:0.6
Q193870,SCIENTIFIC,TECHNOLOGICAL:0.7
Q194292,SCIENTIFIC,ECONOMIC:0.6|TECHNOLOGICAL:0.5
Q194294,INTELLECTUAL,SCIENTIFIC:0.6
Q1955092,CULTURAL,ARTISTIC:0.7|SOCIAL:0.8
Q19924411,ENVIRONMENTAL,SCIENTIFIC:0.8|ECONOMIC:0.6
Q1995140,SCIENTIFIC,
Q199569,POLITICAL,SOCIAL:0.8|CULTURAL:0.7|ECONOMIC:0.6
Q199655,COMMUNICATION,INTELLECTUAL:0.6
Q20113959,ENVIRONMENTAL,POLITICAL:0.6
Q201486,SCIENTIFIC,
Q20417087,ENVIRONMENTAL,SCIENTIFIC:0.8
Q207011,SCIENTIFIC,TECHNOLOGICAL:0.4
Q207434,TECHNOLOGICAL,COMMUNICATION:0.7|SCIENTIFIC:0.6
Q207892,POLITICAL,
Q208163,TECHNOLOGICAL,SCIENTIFIC:0.7
Q208365,CULTURAL,ARTISTIC:0.7
Q2085115,SCIENTIFIC,
Q2116028,SOCIAL,CULTURAL:0.8|SCIENTIFIC:0.6
Q21198,TECHNOLOGICAL,SCIENTIFIC:0.6
Q21201,SOCIAL,
Q212105,INTELLECTUAL,SOCIAL:0.7
Q2135371,POLITICAL,
Q214746,SCIENTIFIC,
Q214781,SCIENTIFIC,
Q214963,SCIENTIFIC,TECHNOLOGICAL:0.6
Q21541550,MILITARY,GEOGRAPHIC:0.8
Q215501,SCIENTIFIC,ENVIRONMENTAL:0.7
Q216685,SCIENTIFIC,TECHNOLOGICAL:0.6
Q2177756,DIPLOMATIC,
Q2181985,CULTURAL,SOCIAL:0.7
Q219695,SCIENTIFIC,SOCIAL:0.6
Q222046,SCIENTIFIC,
Q2249329,ENVIRONMENTAL,SCIENTIFIC:0.8
Q227675,SCIENTIFIC,ECONOMIC:0.6
Q228736,SCIENTIFIC,TECHNOLOGICAL:0.8
Q2294553,ECONOMIC,
Q2299570,SOCIAL,SCIENTIFIC:0.7
Q23019185,CULTURAL,LINGUISTIC:0.7|ARCHAEOLOGICAL:0.6
Q2305951,TECHNOLOGICAL,ARTISTIC:0.6|SCIENTIFIC:0.7
Q2329,SCIENTIFIC,
Q23404,SOCIAL,CULTURAL:0.9
Q2346,SCIENTIFIC,
Q2347178,SCIENTIFIC,SOCIAL:0.6
Q23498,ARCHAEOLOGICAL,
Q2363192,ENVIRONMENTAL,SCIENTIFIC:0.8
Q2393450,ARTISTIC,CULTURAL:0.7|SOCIAL:0.4
Q2414942,ECONOMIC,SCIENTIFIC:0.7
Q24208053,ECONOMIC,
Q2428433,ENVIRONMENTAL,SCIENTIFIC:0.8
Q243606,ARTISTIC,TECHNOLOGICAL:0.7
Q2442870,SCIENTIFIC,ENVIRONMENTAL:0.5
Q2466,SCIENTIFIC,ENVIRONMENTAL:0.6
Q249,COMMUNICATION,TECHNOLOGICAL:0.8
Q24965354,ENVIRONMENTAL,ECONOMIC:0.7|SCIENTIFIC:0.7
Q25261,SCIENTIFIC,ENVIRONMENTAL:0.7
Q2539,SCIENTIFIC,TECHNOLOGICAL:0.8
Q2549249,SCIENTIFIC,
Q2560087,MILITARY,
Q2585592,TECHNOLOGICAL,SCIENTIFIC:0.7
Q2609670,POLITICAL,ECONOMIC:0.6
Q2620112,LINGUISTIC,CULTURAL:0.7
Q26331146,LINGUISTIC,CULTURAL:0.7
Q26643,ECONOMIC,
Q2665156,RELIGIOUS,INTELLECTUAL:0.7|SOCIAL:0.6
Q269915,CULTURAL,LINGUISTIC:0.7|INTELLECTUAL:0.6
Q2699874,SCIENTIFIC,
Q27172,SCIENTIFIC,CULTURAL:0.6|SOCIAL:0.5
Q2725393,SCIENTIFIC,SOCIAL:0.7|POLITICAL:0.6
Q272737,SCIENTIFIC,ENVIRONMENTAL:0.7
Q2728012,SCIENTIFIC,
Q2746658,CULTURAL,ARTISTIC:0.7|SOCIAL:0.6
Q27778,POLITICAL,SOCIAL:0.8|CULTURAL:0.6
Q27841,ECONOMIC,SOCIAL:0.8|CULTURAL:0.7
Q27908,INTELLECTUAL,ARTISTIC:0.8|CULTURAL:0.5
Q27968,LINGUISTIC,CULTURAL:0.7|ARTISTIC:0.6
Q28065,SCIENTIFIC,ARCHAEOLOGICAL:0.6|CULTURAL:0.5
Q28161,ECONOMIC,SOCIAL:0.7
Q2853046,SOCIAL,INTELLECTUAL:0.7|CULTURAL:0.6
Q28598,CULTURAL,SOCIAL:0.7
Q2861470,SCIENTIFIC,
Q2880775,SCIENTIFIC,
Q28856,LINGUISTIC,ARTISTIC:0.5|COMMUNICATION:0.6
Q2901245,COMMUNICATION,INTELLECTUAL:0.5
Q29051,SOCIAL,CULTURAL:0.8
Q2920921,ECONOMIC,SOCIAL:0.6
Q29407,LINGUISTIC,CULTURAL:0.8
Q295354,POLITICAL,ECONOMIC:0.8|INTELLECTUAL:0.5
Q295425,ENVIRONMENTAL,SCIENTIFIC:0.9
Q295465,INTELLECTUAL,ENVIRONMENTAL:0.8
Q3009579,SCIENTIFIC,
Q30642,LINGUISTIC,TECHNOLOGICAL:0.9|COMMUNICATION:0.6
Q31151,SCIENTIFIC,DEMOGRAPHIC:0.5
Q31218,ECONOMIC,SCIENTIFIC:0.7|POLITICAL:0.5
Q3179130,POLITICAL,SOCIAL:0.6
Q321249,LINGUISTIC,COMMUNICATION:0.6
Q327092,TECHNOLOGICAL,SCIENTIFIC:0.8
Q327657,SCIENTIFIC,
Q328798,POLITICAL,ENVIRONMENTAL:0.8
Q3297447,ECONOMIC,
Q3306816,ENVIRONMENTAL,SCIENTIFIC:0.8
Q3324383,SCIENTIFIC,GEOGRAPHIC:0.7|ENVIRONMENTAL:0.6
Q333,SCIENTIFIC,
Q33521,SCIENTIFIC,TECHNOLOGICAL:0.6
Q336,SCIENTIFIC,INTELLECTUAL:0.7
Q3361737,SCIENTIFIC,ENVIRONMENTAL:0.7|ARCHAEOLOGICAL:0.5
Q338,SCIENTIFIC,
Q338346,ENVIRONMENTAL,SCIENTIFIC:0.8
Q3391448,ECONOMIC,POLITICAL:0.7|SOCIAL:0.6
Q34178,RELIGIOUS,INTELLECTUAL:0.8
Q34187,RELIGIOUS,CULTURAL:0.7|SOCIAL:0.6
Q34749,SOCIAL,
Q3510806,SCIENTIFIC,
Q352842,INTELLECTUAL,COMMUNICATION:0.6|SOCIAL:0.5
Q35395,LINGUISTIC,SCIENTIFIC:0.4
Q3578569,ENVIRONMENTAL,SCIENTIFIC:0.7
Q358120,SOCIAL,CULTURAL:0.8|ARCHAEOLOGICAL:0.7
Q3606845,SCIENTIFIC,ECONOMIC:0.5|ENVIRONMENTAL:0.6
Q3615129,SCIENTIFIC,
Q3620447,CULTURAL,ARTISTIC:0.7|SOCIAL:0.6
Q3621186,LINGUISTIC,CULTURAL:0.8|INTELLECTUAL:0.6
Q3624786,SCIENTIFIC,SOCIAL:0.6
Q3630257,SCIENTIFIC,ENVIRONMENTAL:0.6
Q36442,POLITICAL,SOCIAL:0.7
Q36649,ARTISTIC,
Q3743137,ENVIRONMENTAL,ECONOMIC:0.6|POLITICAL:0.5
Q3745495,LINGUISTIC,CULTURAL:0.6
Q37547,SCIENTIFIC,
Q376022,INTELLECTUAL,RELIGIOUS:0.7|CULTURAL:0.6
Q37732,DEMOGRAPHIC,
Q3798668,TECHNOLOGICAL,SCIENTIFIC:0.7
Q380274,SCIENTIFIC,
Q380313,COMMUNICATION,INTELLECTUAL:0.6
Q38112,ENVIRONMENTAL,TECHNOLOGICAL:0.7|ECONOMIC:0.6
Q382451,CULTURAL,LINGUISTIC:0.8|INTELLECTUAL:0.6
Q383973,TECHNOLOGICAL,ENVIRONMENTAL:0.4
Q3872,SCIENTIFIC,SOCIAL:0.6
Q39072,ECONOMIC,
Q3922674,ARTISTIC,TECHNOLOGICAL:0.6
Q39286,SCIENTIFIC,
Q394,SCIENTIFIC,TECHNOLOGICAL:0.7
Q395,SCIENTIFIC,
Q396152,SCIENTIFIC,ENVIRONMENTAL:0.8
Q396338,ENVIRONMENTAL,SCIENTIFIC:0.8
Q396340,ECONOMIC,SCIENTIFIC:0.6
Q3972943,COMMUNICATION,TECHNOLOGICAL:0.6|ECONOMIC:0.5
Q397350,ENVIRONMENTAL,SCIENTIFIC:0.7
Q39809,ECONOMIC,COMMUNICATION:0.6|SOCIAL:0.5
Q40634,LINGUISTIC,INTELLECTUAL:0.6
Q407784,SCIENTIFIC,SOCIAL:0.6
Q40821,SCIENTIFIC,
Q40998,LINGUISTIC,
Q411,SCIENTIFIC,
Q413,SCIENTIFIC,
Q418,COMMUNICATION,TECHNOLOGICAL:0.8
Q420,SCIENTIFIC,
Q42002,RELIGIOUS,CULTURAL:0.8|INTELLECTUAL:0.7
Q42250,SCIENTIFIC,ENVIRONMENTAL:0.8
Q42515,GEOGRAPHIC,SCIENTIFIC:0.6|ARTISTIC:0.4
Q4260703,TECHNOLOGICAL,ECONOMIC:0.6
Q428691,TECHNOLOGICAL,SCIENTIFIC:0.6
Q43035,TECHNOLOGICAL,SCIENTIFIC:0.7
Q431,SCIENTIFIC,
Q43455,CULTURAL,SOCIAL:0.7
Q4353946,SOCIAL,POLITICAL:0.6
Q4388032,SCIENTIFIC,
