qid,label,subclass_of,subclass_of_label,lcsh_id,fast_id,lcc,ddc
Q114778863,irrigation engineering,Q1130265|Q194118|Q77590,hydraulic engineering|agricultural technology|civil engineering,sh85068296,979596,,
Q843909,Islamic studies,Q476294,oriental studies,sh85068408,979852,,297|297.071
Q3745495,Italian philology,Q40634,philology,sh85068840,,,
Q515601,Italian studies,Q1277348|Q40634,Romance studies|philology,,,,450|850
Q875592,Japanese studies,Q162817|Q476294,East Asian studies|oriental studies,,,,306.0952|495.6|895.6|952
Q42002,Jewish studies,Q1066186|Q1143546|Q34187,study of history|cultural studies|religious studies,sh85070866,,,
Q4932206,jurisprudence,Q180592|Q34749|Q382995,social philosophy|social science|legal science,sh85071088,,,348.04
Q109984173,kelp forest ecology,Q4530312|Q7150,marine ecology|ecology,sh85071895,986730,QH541.5.K4,
Q657632,kinesiology,Q336,science,sh85072383,,QP303,152.3|612.76|613.7|796.01|796.07
Q1929761,knowledge organization,Q13420675,library and information science,sh99001059,,,001.01|020
Q855159,kokugaku,Q875592,Japanese studies,sh85072815,,,
Q28161,labour economics,Q8134,economics,sh85073687,,,331
Q114570397,lake conservation,Q1462136|Q20113959,water conservation|nature conservation,sh95006396,990854,,
Q104923359,lake ecology,Q20417087|Q7150,freshwater ecology|ecology,sh85074005,990855,QH541.5.L3,
Q47844,landscape architecture,Q107425|Q12271,landscape|architecture,sh85074398,991814,,712
Q7748,law,Q1151067,rule,sh85075119,,K|K1-K7720.22,340|348
Q295354,law and economics,Q3296256|Q4932206,applied economics|jurisprudence,sh95009376,,,
Q695742,law of Germany,Q7748,law,sh85075162,,,
Q2135371,Law of Switzerland,Q7748,law,sh85075191,,,
Q1195662,legal anthropology,Q23404|Q4932206,anthropology|jurisprudence,sh85075292,,,340.115|340.52
Q680004,legal history,Q1066186|Q4932206,study of history|jurisprudence,sh85075133,,,340.09
Q2442870,lepidopterology,Q39286,entomology,sh2012002108,1894342,,
Q184524,lexicography,Q178433,lexicology,sh85076357,,P327-P327.5,413.028
Q178433,lexicology,Q8162,linguistics,sh85076359,,,413
Q13420675,library and information science,Q1235196|Q16387|Q199655,documentation science|information science|library science,,,Z664.2-Z718.85,
Q199655,library science,Q16387,information science,sh85076723,997916,,020
Q105442202,lichen ecology,Q1387972,plant ecology,sh2003009604,998098,,
Q864928,life sciences,Q7991,natural science,sh85076841,,,
Q165838,limnology,Q4782809,aquatic science,sh85077053,998940,,551.48
Q11697471,linguistic palaeontology,Q8162,linguistics,sh85077220,,,
Q192625,linguistic typology,Q8162,linguistics,sh85139174,1160078,,410.1
Q8162,linguistics,Q34749|Q80083,social science|humanities,sh85077222,999202,P120.52-P149.22|P121,410
Q8236,literacy,Q116671462|Q205961,basic study subject|skill,sh85077482,999859,,374.0124|379.24
Q459381,literary theory,Q208217,literary studies,sh85077509,,,801
Q107364261,litigation,Q7748,law,sh85029370,,,
Q2539,machine learning,Q11660,artificial intelligence,sh85079324,,,006.31
Q2549249,magnetohydrodynamics,Q172145,fluid mechanics,sh85079784,,,538.6
Q3615129,mammal anatomy,Q10818163|Q8198634,vertebrate anatomy|animal anatomy,sh85080261,1006953,QL739,
Q2920921,management,Q1783823|Q29017603|Q338754,coordination|control|control,sh85080336,1007141,,650
Q2414942,management science,Q5001951,business studies,sh85080363,1007306,,658
Q3297447,managerial economics,Q24208053|Q2920921,business economics|management,sh85080365,,,
Q104200275,mangrove ecology,Q104200509|Q104200524|Q2249329,coastal ecology|swamp ecology|forest ecology,sh85080528,1007671,,
Q104258810,marine benthic ecology,Q3578569|Q4530312|Q7150,benthic ecology|marine ecology|ecology,sh2020000914,,,
Q7173,marine biology,Q1130698|Q5728861,hydrobiology|aquatic biology,sh85081138,,,578.77
Q104258221,marine chemical ecology,Q4530312|Q700919,marine ecology|chemical ecology,sh91005227,1009482,,
Q4530312,marine ecology,Q7150|Q7173,ecology|marine biology,sh85081156,1009513,,
Q109534974,marine geophysics,Q1337681|Q46255,physical oceanography|geophysics,sh85081193,1009623,,
Q107267429,marine mammalogy,Q183904|Q7173,mammalogy|marine biology,sh98000806,1009689,,
Q74128869,maritime anthropology,Q23404,anthropology,sh85081307,,,
Q39809,marketing,Q122827343|Q131512,public communication|farmer,sh85081333,,,658.8
Q104231397,marsh ecology,Q104200566,wetland ecology,sh85081577,1010755,QH541.5.M3,
Q2853046,Marxist anthropology,Q23404,anthropology,sh85029133,,,
Q11033,mass media,Q121182|Q340169|Q43229,information system|communications media|organization,sh85081863,1011219,,302.23
Q228736,materials science,Q1665984|Q7991,interdisciplinary science|natural science,sh85082094,,,620.11
Q7754,mathematical analysis,Q837863,pure mathematics,sh85082116,,,515
Q74130636,mathematical anthropology,Q23404,anthropology,sh85082119,,,
Q751611,mathematical biology,Q2419229|Q33521,theoretical biology|applied mathematics,sh85014235,,,570.151
Q747534,mathematical economics,Q8134,economics,sh85040869,,,330.0151
Q395,mathematics,Q7991,natural science,sh85082139,,,510
Q104913705,matorral ecology,Q104783371|Q7150,shrubland ecology|ecology,sh85082201,1012388,,
Q104816272,meadow ecology,Q7150,ecology,sh85082670,1013112,QH541.5.M4,
Q1779521,medical anthropology,Q23404,anthropology,sh85082859,,,
Q1120908,medical physics,Q413|Q77604,physics|radiology,sh85083001,,,610.153
Q11790210,medical sciences,Q864928,life sciences,sh85083022,1014601,,
Q11190,medicine,Q843601,health sciences,sh85083064,1014893,,610
Q192292,medieval philosophy,Q5891,philosophy,sh85100956,,,180
Q119190,medieval studies,Q1066186,study of history,sh85085002,,,
Q25261,meteorology,Q757520|Q8008,atmospheric sciences|Earth science,sh85084334,,,551.5
Q185698,methodology,Q217602,analysis,sh85084414,1018722,,101
Q394,metrology,Q14632398,physical science,sh2001008470,,,389
Q7193,microbiology,Q420|Q475023,biology|exact science,sh85084783,,QR1-QR502,579
Q39072,microeconomics,Q8134,economics,sh85084819,,,338.5
Q175403,microelectronics,Q11650,electronics,sh85084822,,,621.381
Q338346,microscale meteorology,Q25261,meteorology,sh85084862,1019897,,
Q12211529,Middle Eastern studies,Q476294,oriental studies,sh85090514,,,
Q2560087,military art,Q192386,military science,sh85085132,,,355
Q192781,military history,Q1066186|Q17524420,study of history|aspect of history,sh00005863|sh85085207,1021222,,355.009
Q192386,military science,Q336,science,,,,350
Q21541550,military topography,Q134435|Q1425296,topography|military geography,sh85085307,,,
Q83353,mineralogy,Q1069,geology,sh85085589,,,549
Q44497,mining,Q548599,exploitation of natural resources,,,,622
Q1370637,mining engineering,Q11023|Q44497|Q55648438,engineering|mining|natural resources engineering,sh85085712,1022890,,
Q104876110,miombo ecology,Q104804153|Q2249329|Q7150,savanna ecology|forest ecology|ecology,sh98005403,1023526,,
Q860746,modern philosophy,Q5891,philosophy,sh85100960,,B790-B5802,
Q1056943,molecular pathology,Q3523816|Q7208,molecular medicine|pathology,sh85098691,,,
Q113884277,molecular pharmacology,Q128406|Q7202,pharmacology|molecular biology,sh86006824,,,615.1
Q3324383,morphotectonics,Q52109|Q7950,geomorphology|plate tectonics,sh88006193,1026468,QE511.44,
Q105080727,mudflat ecology,Q105081275|Q6057206|Q7150,tidal flat ecology|intertidal ecology|ecology,sh85088243,1028644,,
Q460162,museology,Q1066186,study of history,sh2021008605|sh85088722,1030114|2033919,,069
Q12472341,music appreciation,Q27908,music education,sh85088894,,,
Q27908,music education,Q136076495|Q7922,musicking|pedagogy,sh85088796,1030347,MT1-MT999,372.87044|780.7|780.71
Q164204,musicology,Q136076495|Q1418771|Q944537,musicking|culturology|Geisteswissenschaften,sh85089048,,,780.72
Q7175,mycology,Q420,biology,sh85089188,1031307,,579.5|616.96901
Q912169,nanoscience,Q336,science,sh2002000242,1032629,,500
Q382451,narratology,Q132116|Q459381,folkloristics|literary theory,sh85038364,,,
Q484591,natural history,Q7991,natural science,sh85090222,1034268,,508
Q1513879,natural language generation,Q30642|Q8366,natural language processing|algorithm,sh2017004703,,,
Q30642,natural language processing,Q11660|Q11862829|Q182557|Q21198|Q750843,artificial intelligence|academic discipline|computational linguistics|computer science|information processing,sh88002425,,,
Q3743137,natural resource management,Q29017603,control,sh2001000588,1034438,,
Q7991,natural science,Q336,science,,,,500
Q20113959,nature conservation,Q628403,conservation,sh85090284,1034632,,
Q123654087,nautical cartography,Q42515,cartography,,,,623.8922
Q1136352,naval architecture,Q11023|Q12271,engineering|architecture,sh85090355,,,623.81
Q23019185,Near Eastern studies,Q476294,oriental studies,sh85090514,,,
Q898674,neonatology,Q420,biology,sh85090800,,,618.9201
Q177635,nephrology,Q11180|Q11190,internal medicine|medicine,sh85090860,,,616.61
Q948647,neuroanatomy,Q207011|Q2728012|Q514|Q83042,neuroscience|neurobiology|anatomy|neurology,sh85091113,1036307,,573.833|611.8
Q2728012,neurobiology,Q207011|Q420,neuroscience|biology,sh85091114,1036315,,
Q1045712,neuroeconomics,Q207011|Q8134,neuroscience|economics,sh2005008805,,,
Q83042,neurology,Q11190|Q131850943|Q207011,medicine|medicine of the nerves|neuroscience,sh85091139,,,616.8
Q2699874,neuropsychiatry,Q7867,psychiatry,sh85091161,,,616.8
Q3872,neuropsychology,Q83042|Q9418,neurology|psychology,sh85091163,,QP351-QP495,612.8
Q207011,neuroscience,Q336|Q864928,science|life sciences,sh91006099,,,573.8|612.8
Q188449,neurosurgery,Q40821,surgery,sh85090934,,,617.48
Q683794,new media,Q11033,mass media,,,,302.231
Q214963,nuclear medicine,Q11190|Q113129019|Q77604,medicine|clinical sciences|radiology,sh85093011,,,616.075  75
Q631286,numismatics,Q1066186,study of history,sh85093255,,,737
Q121176,nursing,Q11190|Q2421951,medicine|care,sh85093362,1041731,,610.73
Q104839637,ocean bottom ecology,Q104258810|Q7150,marine benthic ecology|ecology,sh2008005914,1746012,QH541.5.O24,
Q108703418,ocean circulation,Q1337681,physical oceanography,sh85093882,1043477,,
Q162555,oncology,Q11190,medicine,sh85094724,,,616.994
Q194292,operations research,Q2167061|Q2414942|Q6027873,systems science|management science|industrial engineering and operations research,sh85095020,,T57.6-T57.97,003|658.4034
Q161437,ophthalmology,Q11190|Q113129180,medicine|ophthalmology and optometry,sh85095071,,,617|617.7
Q618211,optometry,Q113129180|Q843601,ophthalmology and optometry|health sciences,sh85095209,,,617.75
Q107268129,oratory,Q81009|Q861911,rhetoric|oration,sh85095299,1047214,,
Q11351,organic chemistry,Q2329,chemistry,sh85023022,853501,,547
Q476294,oriental studies,Q928786,area studies,sh85008624,,,492.072|892.072
Q901704,orography,Q8008,Earth science,,,,551.432
Q118301,orthodontics,Q12128,dentistry,sh85095770,,,617.643
Q216685,orthopedics,Q40821,surgery,sh85095799,,,616.7
Q623313,Ottoman studies,Q12211529|Q476294|Q8427,Middle Eastern studies|oriental studies|Turkology,,,,494.35|894.35
Q179957,palaeography,Q1066186,study of history,sh85097064,1051420,,417.7
Q7206,paleoanthropology,Q23404|Q7205,anthropology|paleontology,sh2001004516,,,569.9
Q192694,paleobotany,Q1578310|Q441,paleobiology|botany,sh85097026,,,561
Q3361737,paleoentomology,Q210369|Q39286,paleozoology|entomology,sh95005625,1051405,,
Q95989990,paleohistology,Q7168|Q7205,histology|paleontology,sh2020005789,,,
Q85791890,paleohydrology,Q42250,hydrology,sh85097104,1051497,,
Q1550690,paleolimnology,Q165838|Q85791890,limnology|paleohydrology,sh85097105,1051499,,
Q7205,paleontology,Q1402508,field research,sh85097123,1051513,,560
Q1858421,paremiology,Q1126894,phraseology,sh85107841,,,398.9
Q7208,pathology,Q113129019|Q2057971,clinical sciences|health problem,sh85098685,,,616.07
Q105098252,peat bog ecology,Q104373905|Q7150,bog ecology|ecology,sh87003678,1056230,,
Q104373908,peatland ecology,Q104200566,wetland ecology,sh87003614,1056266,,
Q7922,pedagogy,Q8434|Q944537,education|Geisteswissenschaften,,,,370
Q123028,pediatrics,Q11190,medicine,sh85099185,,,618.92
Q215501,pedology,Q9161265,soil science,,,,631.4
Q106511866,perceptual-motor process,Q160402|Q3326454,perception|movement,sh85099718,1057663,,
Q104373927,permafrost ecology,Q7150,ecology,sh2010007471,1762498,,
Q163082,petrology,Q1069,geology,sh85100472,1059885,QE420-QE499,552
Q2085115,pharmaceutical biology,Q113884277,molecular pharmacology,,,,615.321
Q186249,pharmaceutics,Q11016|Q614304|Q7180763,technology|pharmacy|pharmaceutical sciences,sh85100590,,,615.19
Q272737,phenology,Q420,biology,sh85100673|sh85102793,1060498,,578.42|581.43
Q179235,phenomenology,Q2089603|Q5891,phenomenology|philosophy,sh85100683,,B829.5.A-B829.5.Z,142.7
Q40634,philology,Q8162|Q944537,linguistics|Geisteswissenschaften,sh85100821,,,400|800
Q488059,philosophical anthropology,Q23404|Q5891,anthropology|philosophy,sh85100845,1060766,,128
Q5891,philosophy,Q105948247,knowledge system,sh85100849|sh99005065,1060777,,100|109
Q126842,philosophy of law,Q5891,philosophy,sh85075139,,K201-K487,340.1
Q59115,philosophy of science,Q5891,philosophy,sh85118582,,Q174-Q175.3,001.01|1--01|121|501
Q35395,phonetics,Q110761784|Q8162,phonetics and speech science|linguistics,sh85101053,,,414.8
Q40998,phonology,Q8162,linguistics,sh99005585,,,414
Q128893816,photogeology,Q1069,geology,sh85001264,798096,QE33.2.A3,
Q625648,photometry,Q12453|Q14620,measurement|optics,sh85101383,,,535.220287
Q1073340,photometry,Q625648,photometry,sh85101384,,,522.62
Q1126894,phraseology,Q8162,linguistics,sh85101436,,,418
Q11372,physical chemistry,Q2329,chemistry,sh85023027,853521,,541
Q52107,physical geography,Q1071|Q7991,geography|natural science,sh85101552,,,910.02
Q128894857,physical geology,Q1069,geology,sh85101560,1062672,,
Q1337681,physical oceanography,Q413|Q43518,physics|oceanography,sh2021001476,2027046,,
Q14632398,physical science,Q7991,natural science,sh89005705,,,
Q413,physics,Q14632398|Q7991,physical science|natural science,sh85101653,,,530
Q521,physiology,Q420,biology,sh85101679|sh99005103,1063177,,571
Q1138244,phytosociology,Q1387972|Q900651,plant ecology|coenology,,,,581.7
Q751439,planetary geology,Q104499|Q1069,planetary science|geology,sh88000316,,,
Q104499,planetary science,Q1195766,space sciences,sh85102652,1065123,,523.4
Q84861608,plant conservation,Q20113959,nature conservation,sh85102720,1065351,,
Q1387972,plant ecology,Q441|Q7150,botany|ecology,sh85015985,1065415,,581.7
Q100913396,plant ecophysiology,Q1387972|Q185973|Q295425,plant ecology|plant physiology|ecophysiology,sh88005635,1065426,,
Q116251723,plant microbiology,Q441|Q7193,botany|microbiology,sh85102865,1066055,QR351,
Q100985929,plant molecular biology,Q441|Q7202,botany|molecular biology,sh86001899,1065557,QK728,
Q655362,plant morphology,Q183252|Q441,morphology|botany,sh85015992,,,
Q8328350,plant nutrition,Q17652193|Q185973|Q397334,nutritional science|plant physiology|agricultural chemistry,sh85102868,,,
Q185973,plant physiology,Q441|Q521,botany|physiology,sh85102796,,,575
Q104825414,plant-fungus relationships,Q104825374|Q1387972,fungal ecology|plant ecology,sh91003722,1065751,,
Q835023,poetics,Q459381,literary theory,sh85103703,,,801.93|808.1
Q482,poetry,Q7725634,literary work,sh85103704,1067691,PN1010-PN1551,808.81
Q3179130,policy studies,Q34749|Q36442,social science|political science,sh85104264,,,
Q27778,political anthropology,Q29051,social anthropology,sh85104345,,,320.11
Q1660049,political communication,Q11024|Q7163,communication|politics,sh85029088,,,320.014
Q36442,political science,Q15831440,political studies,sh85104440,1069781,,320
Q7163,politics,Q1914636|Q3482410|Q4686698,activity|group behaviour|adversarial process,sh2002011436,1919741,,320|324
Q104923005,pond ecology,Q20417087|Q7150,freshwater ecology|ecology,sh85104781,1070925,QH541.5.P63,
Q31151,population genetics,Q7162,genetics,sh85104920,,,576.58
Q1721024,Portuguese studies,Q1277348,Romance studies,sh85105328,,,
Q1803786,power engineering,Q2151621|Q2695280|Q43035,energy industry|technique|electrical engineering,,,,621.31
Q1383443,practical theology,Q216545,Christian theology,sh85134705,,BV1-BV5099,260
Q104825199,prairie ecology,Q104800105|Q7150,grassland ecology|ecology,sh85106067,1074601,,
Q1773974,preventive medicine,Q11190|Q31207,medicine|health care,sh85083162,,RA421-RA790.95,613
Q834933,progressive education,Q7922|Q8434,pedagogy|education,sh85107319,,,
Q179012,project management,Q185698|Q2920921,methodology|management,sh85065919,,,658.404
Q169525,protein engineering,Q580689,bioengineering,sh86007375,1079685,TP248.65.P76,
Q471857,proteomics,Q3516872|Q4751159,molecular biology technique|analytical chemical technique,sh2002000814,,,
Q7867,psychiatry,Q11190|Q113129019|Q131850943|Q9418,medicine|clinical sciences|medicine of the nerves|psychology,sh85108381,,,616.89
Q2116028,psychological anthropology,Q12572036|Q23404|Q28598,ethnopsychology|anthropology|cultural anthropology,,,,155.89|302
Q9418,psychology,Q1587903|Q3919817|Q843601,human science|behavioral sciences|health sciences,sh85108459,1081447,,150
Q183257,psychotherapy,Q179661,medical treatment,sh85108516,,RC475-RC489.2,616.8914
Q189603,public health,Q34749|Q843601,social science|health sciences,sh85108638,1082238,RA|RA421-RA790.95,362.1
Q18345563,public interest law,Q7748,law,sh85108690,,,
Q207892,public law,Q15831440|Q7748,political studies|law,sh85108696,,,342
Q546113,public policy,Q1156854,policy,sh85056091,,,
Q4353946,public sociology,Q21201,sociology,sh98003718,,,
Q3972943,publishing,Q11024|Q1914636|Q80083,communication|activity|humanities,sh85108871,1083463,,002|801.959
Q1147173,Q1147173,Q2043282,business administration,,,,381
Q789784,Q789784,Q1147173,Q1147173,,,,381.2|382
Q110257133,queer musicology,Q164204,musicology,sh2021005718,,ML3797.4,
Q98929208,queer studies,Q1143546|Q17884|Q34749,cultural studies|LGBTQ|social science,sh95001341,939054,,
Q7278933,race and crime,Q161733|Q7278944,criminology|race and society,sh97006302,,,
Q690200,radiobiology,Q420,biology,sh85110669,,,571.45|612.01448
Q4260703,railway engineering,Q775325,transportation engineering,sh85110872,,,
Q105441712,rainforest ecology,Q2249329|Q7150,forest ecology|ecology,sh85111192,1089445,QH541.5.R27|QK938.R34,
Q24965354,rangeland management,Q3743137|Q5333882,natural resource management|ecosystem management,sh85111362,1089831,,
Q1660119,real estate economics,Q8134,economics,,,,333.33
Q104376784,reef ecology,Q4530312,marine ecology,sh91003021,1092349,,
Q1781695,regional science,Q34749,social science,,,,711.3
Q614221,religion and geography,Q12831143|Q34187,human geography|religious studies,sh85112568,,,
Q14254438,religious ethics,Q9465,ethics,sh85112567,,BJ1188-BJ1295,
Q34187,religious studies,Q34749,social science,sh85112556,,,
Q106099201,reptile anatomy,Q10818163|Q8198634,vertebrate anatomy|animal anatomy,sh85112965,1095022,QL669,
Q104862661,reptilian ecology,Q10900987|Q174416|Q7150|Q73403730,animal ecology|herpetology|ecology|vertebrate ecology,,,QL669.8,
Q104923349,reservoir ecology,Q20417087|Q7150,freshwater ecology|ecology,sh85113070,1095460,QH541.5.R4,
Q2428433,restoration ecology,Q7150,ecology,sh87004578,,,
Q81009,rhetoric,Q1799072,method,sh00007543|sh85113628,1096948,P301-P301.5,800
Q327657,rheumatology,Q11190|Q113129019,medicine|clinical sciences,sh88000877,,,616.723
Q104233395,riparian ecology,Q104200566,wetland ecology,sh85114177,1098090,QH541.5.R52,
Q189447,risk management,Q2920921|Q757012,management|quality management,sh2004006348|sh85114200,1098164,,
Q1277348,Romance studies,Q11790583|Q1377029,modern philology|European studies,sh85114963,1099881,,440|840
Q55693890,Russian philology,Q40634,philology,sh85116004,,,
Q106918412,sagebrush steppe ecology,Q106918414|Q7150,steppe ecology|ecology,sh2006020223,1742123,,
Q106918389,salt lake ecology,Q104923359,lake ecology,sh85116765,1104276,QH541.5.S22,
Q104233266,salt marsh ecology,Q104231397|Q105081301|Q7150,marsh ecology|seashore ecology|ecology,sh85135280,1104280,QH541.5.S24,
Q104804153,savanna ecology,Q7150,ecology,sh85117744,1105938,QH541.5.P7,
Q336,science,Q105606485|Q105948247|Q221173|Q42240|Q9081|Q9471,intellectual activity|knowledge system|outline of academic disciplines|research|knowledge|epistemology,sh00007934|sh85118553,1108176,Q,001.2
Q105081301,seashore ecology,Q104200509|Q7150,coastal ecology|ecology,sh85119369,1110404,QH541.5.S35,
Q107547967,seed ecology,Q1387972|Q7150,plant ecology|ecology,sh88005748,1111129,,
Q1409625,selenography,Q104499,planetary science,sh2007008620,,,
Q1298583,sensorimotor integration,Q106511866,perceptual-motor process,sh85120056,1112603,QP454,
Q26331146,Serbo-Croatian studies,Q156864,Slavic studies,sh85120203,,,
Q109523058,serials librarianship,Q199655,library science,sh98005480,1113145,Z692.S5,
Q502159,serology,Q101929|Q177719|Q7193,immunology|medical diagnosis|microbiology,sh85120300,,,616.0756|616.0795
Q170912,sexology,Q11190|Q21201|Q9418,medicine|sociology|psychology,sh90004841,,,155.3|306.7|612.6
Q967177,sexual ethics,Q9465,ethics,sh85120731,,,176.4|205.66|241.664|306.7
Q482752,sharia,Q670732|Q7748,religious law|law,sh85068454,979949,,340.59
Q104783371,shrubland ecology,Q7150,ecology,sh85122146,1117863,QH541.5.S55,
Q208163,signal processing,Q11016|Q3249551,technology|process,sh85122397,1118281,,003.54
Q269915,sinology,Q162817|Q476294,East Asian studies|oriental studies,sh85024195,,,495.1|895.1
Q156864,Slavic studies,Q11790583|Q1413113|Q1595873,modern philology|Eastern European studies|domestic studies,,,,491.8
Q29051,social anthropology,Q23404,anthropology,,,,306
Q57204579,social ecology,Q7150,ecology,sh92004049,,,
Q847808,social engineering,Q11023|Q82604,engineering|design,sh87001696,,,
Q17081927,social marketing,Q39809,marketing,sh89002650,1122635,,
Q828395,social policy,Q546113|Q769620,public policy|social action,sh85123985,,,361.25
Q34749,social science,Q33122512|Q97929320,"social sciences and humanities|humanities, arts and social sciences",sh85124003,1122877,H,300
Q1193625,social science methodology,Q17079481|Q46857,scholarly method|scientific method,sh85124011,,,
Q14565700,social studies,Q34749|Q600134,social science|course,sh85124019,,,
Q190553,sociobiology,Q420,biology,sh85124192,,HM628,304.5
Q160845,sociolinguistics,Q8162,linguistics,sh85124195,,,306.44
Q21201,sociology,Q34749,social science,sh85124200,,,301
Q15783860,sociology of work,Q1570681|Q21201|Q610859|Q629107|Q9339103,sociology of culture|sociology|economic sociology|work studies|sociology of organisations,,,,306.36
Q1380539,sociotechnology,Q21201,sociology,sh85133169,,,
Q80993,software engineering,Q21198|Q682496,computer science|systems engineering,sh87007398,1124185,,005.1
Q104666928,soil physical chemistry,Q11372,physical chemistry,sh85124368,1124534,S592.53,
Q9161265,soil science,Q8008,Earth science,sh85124376,,S590-S599.9,
Q1080293,solid mechanics,Q228736|Q41217,materials science|mechanics,,,,531
Q2299570,somatology,Q219488|Q23404,primatology|anthropology,sh85101512,,,
Q1195766,space sciences,Q336|Q338,science|cosmology,sh85125953,1127807,,629.435
Q212105,special education,Q627208|Q7922|Q8434,disability studies|pedagogy|education,sh85046212,,,371|371.9
Q189436,speech recognition,Q182557|Q30642|Q40889874,computational linguistics|natural language processing|sound recognition,sh85010109,,,006.454
Q1799172,sports anthropology,Q28598,cultural anthropology,,,,306.483|599.9|612.044|612.76|796.01
Q840545,sports medicine,Q11180|Q11190|Q113129019|Q1773974|Q2678675|Q3505712|Q472094,internal medicine|medicine|clinical sciences|preventive medicine|physical medicine and rehabilitation|family medicine|exercise physiology,sh85126948,,RC1200-RC1245,617.102  7
Q1298380,sports science,Q336|Q657632,science|kinesiology,sh86000064,,,
Q120910099,statistical analysis,Q7754,mathematical analysis,,,,519.53
Q106918414,steppe ecology,Q7150,ecology,sh85127983,1133112,,
Q134783,stratigraphy,Q1069,geology,sh85054086,,,551.7
Q104780697,stream ecology,Q20417087|Q7150,freshwater ecology|ecology,sh85128566,1134567,QH541.5.S7,
Q1066186,study of history,Q80083,humanities,,,,901
Q739465,study of the Hebrew language,Q2142577|Q40634|Q8162,Semitic studies|philology|linguistics,,,,492.4|892.4
Q28856,stylistics,Q8162,linguistics,sh85074540,,,809
Q1050578,submarine geology,Q1069|Q3349060|Q43518,geology|oceanology|oceanography,sh85129495,,,551.468
Q40821,surgery,Q113129019,clinical sciences,sh85130766,,,617
Q185035,sustainable architecture,Q12271,architecture,sh00004838,1139728,NA2542.36,720.47
Q523256,sustainable design,Q82604,design,sh2007001468,1742533,,
Q104200524,swamp ecology,Q104200566|Q7150,wetland ecology|ecology,sh85130976,1139915,QH541.5.S9,
Q3510806,symptomatology,Q11190,medicine,,,,616.0754
Q682496,systems engineering,Q11023,engineering,sh85131750,,,620.001171
Q596086,taphonomy,Q7205,paleontology,sh88003783,,,560.41
Q352842,teaching,Q3249551|Q4350200|Q61788126,process|information transfer|educational activity,,,,370
Q11016,technology,Q34104,science and technology,sh85133147,,,405.09
Q418,telecommunications,Q1472062,remote communication,sh85133270,1145830,,384|621.382
Q485669,telematics,Q21198|Q418,computer science|telecommunications,sh89005491,,,384
Q105441814,temperate rainforest ecology,Q105441712|Q7150,rainforest ecology|ecology,sh2010012572,1763243,,
Q1718437,textile chemistry,Q911772,chemical technology,,,,677.02835
Q620462,thanatology,Q336|Q538904,science|applied psychology,sh86006398,,,128.5|155.937
Q3620447,theatre anthropology,Q28598,cultural anthropology,sh99001177,1149222,,
Q34178,theology,Q11862829|Q80083,academic discipline|humanities,sh2001008984,,,230
Q2585592,thermal engineering,Q11023,engineering,,,,621
Q109676580,thermobiology,Q420,biology,sh85134776,1149810,,
Q11473,thermodynamics,Q14632398,physical science,sh85134783,,,536.7
Q105081275,tidal flat ecology,Q6057206|Q7150,intertidal ecology|ecology,sh85135266,1150766,,
Q105081450,tide pool ecology,Q105081301|Q4530312|Q7150,seashore ecology|marine ecology|ecology,sh85135274,1150782,QH541.5.S35,
Q134435,topography,Q52107,physical geography,sh85136077,,,910
Q7832334,traditional ecological knowledge,Q108352346|Q1428168|Q188847,indigenous studies|traditional knowledge|environmental science,sh2003006652,1153965,,
Q775325,transportation engineering,Q2516517|Q77590,transport sciences|civil engineering,sh85137069,,,
Q108304567,tree island ecology,Q104200566|Q7150,wetland ecology|ecology,sh2002008688,1155944,,
Q193870,tribology,Q101333|Q228736|Q413,mechanical engineering|materials science|physics,sh85137428,,,621.89
Q8427,Turkology,Q476294,oriental studies,sh85138870,,,494.3|894.3
Q104800917,underground ecology,Q7150,ecology,sh99013824,1160934,QH541.5.U55,
Q105650,urology,Q930752,medical specialty,sh85141451,,,616.6
Q104780631,valley ecology,Q104780697|Q7150,stream ecology|ecology,sh85141850,1163833,QH541.5.V3,
Q107217372,vernal pool ecology,Q104196941|Q7150,aquatic ecology|ecology,sh87003044,1165416,,
Q10818163,vertebrate anatomy,Q8198634,animal anatomy,sh85142903,1165546,QL801,
Q107428576,veterinary hygiene,Q162297|Q170201,hygiene|veterinary medicine,sh85143038,,,
Q170201,veterinary medicine,Q110245063|Q11190|Q21012419,veterinary science|medicine|animal care,sh85143046,,,636.089
Q7923729,veterinary public health,Q170201|Q189603,veterinary medicine|public health,,,SF740-SF740.2,
Q111326845,veterinary urology,Q105650|Q170201,urology|veterinary medicine,sh85143085,1166110,,
Q645938,victimology,Q161733|Q1742975,criminology|psychotraumatology,,,,362.88
Q2746658,visual anthropology,Q29051,social anthropology,sh93005976,,,305.80208
Q1757598,visual art education,Q352842|Q8434,teaching|education,sh85007505,,,372.5|707.1
Q36649,visual arts,Q735,art,sh85007461,,,
Q110968692,watershed hydrology,Q105277236|Q42250,watershed science|hydrology,sh2005004309,1738283,,
Q135238310,wetland archaeology,Q23498,archaeology,sh85145638,1172331,,
Q7990118,wetland conservation,Q20113959,nature conservation,sh85146325,1174133,,
Q104200566,wetland ecology,Q7150,ecology,sh85146326,1174157,QH541.5.M3,
Q1772875,wildlife biology,Q420|Q7150,biology|ecology,,,,591.63|599.163
Q766328,wildlife conservation,Q20113959|Q451967,nature conservation|intentional human activity,sh85146731,1175253,,639
