qid,label,list,backlinks
Q115669282,'Algerian studies',academic_only,0
Q4724367,'Algorithmic mechanism design',academic_only,1
Q106595016,'American Indian law',academic_only,0
Q98822785,'American ethnic studies',academic_only,0
Q233762,'American literature',academic_only,17
Q104203314,'American literature and culture',academic_only,0
Q16147165,'American political science',academic_only,0
Q470125,'American studies',academic_only,2
Q110164233,'Americanism',academic_only,0
Q3615122,'Anatolian studies',academic_only,0
Q112800417,'Ancient Cultures',academic_only,1
Q20072760,'Ancient culture',academic_only,0
Q115669295,'Angolan studies',academic_only,0
Q112939936,'Animal cell and molecular biology',academic_only,0
Q111327232,'Animal neurobiology',academic_only,0
Q110295623,'Animal protection (incl. pests and pathogens)',academic_only,0
Q125804035,'Antisemitism studies',academic_only,0
Q55586011,'Applied Inter-American Studies',academic_only,0
Q30082957,'Arabian philology',academic_only,0
Q85873793,'Arabic Language Studies',academic_only,0
Q194380,'Arabic literature',academic_only,18
Q3621186,'Arabic studies',academic_only,4
Q625699,'Aramaic  studies',academic_only,0
Q110408083,'Archaeology of New Guinea and Pacific Islands (excl. New Zealand)',academic_only,0
Q112913855,'Architectural history, theory and criticism',academic_only,0
Q4787060,'Architectural management',academic_only,0
Q4787572,'Arctic geoengineering',academic_only,0
Q513850,'Armenian studies',academic_only,0
Q114029871,'Aromanian studies',academic_only,0
Q12778063,'Art studies',academic_only,0
Q119441624,'Arthurian Studies',academic_only,0
Q25305034,'Artificial economics',academic_only,0
Q4801532,'Arts in education',academic_only,0
Q137303847,'Arts in health',academic_only,1
Q4806576,'Asian American studies',academic_only,0
Q105396037,'Asian and African studies',academic_only,0
Q100709157,'Asian law',academic_only,0
Q4806809,'Asian studies',academic_only,9
Q156859,'Assyriology',academic_only,2
Q121046284,'Assyriology',academic_only,0
Q98593295,'Atlantic Canada studies',academic_only,0
Q778187,'Atmospheric dispersion modeling',academic_only,3
Q1151533,'Atomic, molecular, and optical physics',academic_only,3
Q4825228,'Australian studies',academic_only,0
Q9162435,'Austronesian studies',academic_only,0
Q104870168,'Automation in construction',academic_only,0
Q110259434,'Automotive engineering materials',academic_only,0
Q137918344,'Avestan studies',academic_only,0
Q24901047,'Bachelor of Letters',academic_only,0
Q27779502,"Bahá'í studies",academic_only,0
Q18110384,'Bangla studies',academic_only,0
Q4867057,'Basic writing',academic_only,0
Q4874481,'Bayesian statistics',academic_only,3
Q133878530,'Behavioral law and economics',academic_only,0
Q110259463,'Behavioural epidemiology',academic_only,0
Q816139,'Belarusian studies',academic_only,0
Q136753014,'Belief studies',academic_only,0
Q2482496,'Berestology',academic_only,0
Q136466753,'Biasology',academic_only,3
Q47489173,'Bible as literature',academic_only,1
Q110895422,'Biodiscovery',academic_only,0
Q112969963,'Biogeography and phylogeography',academic_only,2
Q106508917,'Biogerontology',academic_only,0
Q423731,'Biographical evaluation',academic_only,0
Q110231341,'Bioinformatics and computational biology',academic_only,3
Q107292784,'Biomagnetics',academic_only,0
Q112933755,'Biosecurity science and invasive species ecology',academic_only,1
Q110955047,'Black Canadian studies',academic_only,0
Q47011897,'Black Loch Crannog',academic_only,0
Q136455925,'Brazilian studies',academic_only,0
Q112939639,'British and Irish literature',academic_only,2
Q764912,'British literature',academic_only,8
Q4971458,'British studies',academic_only,0
Q114562193,'Brussels studies',academic_only,0
Q1000976,'Buddhist studies',academic_only,6
Q5258544,'Buddhology',academic_only,2
Q2882044,'Buffy studies',academic_only,0
Q112969975,'Building information modelling and management',academic_only,0
Q4098870,'Bulgakov studies',academic_only,0
Q4090659,'Bulgarian studies',academic_only,1
Q113408511,'Bunin studies',academic_only,0
Q115669827,'Burkina Faso studies',academic_only,0
Q4999358,'Burma studies',academic_only,0
Q115669332,'Cameroon studies',academic_only,0
Q4676302,'Canadian studies',academic_only,1
Q112939624,'Cancer cell biology',academic_only,0
Q115669342,'Cape Verde studies',academic_only,0
Q85710429,'Caribbean studies',academic_only,0
Q124610402,'Cartographic Communication',academic_only,0
Q2690276,'Cartographic Semiology',academic_only,0
Q124623978,'Cartography & GIS',academic_only,0
Q1735560,'Catalan philology',academic_only,0
Q591016,'Catholic Bible',academic_only,0
Q5775590,'Catholic dogmatic theology',academic_only,0
Q25109832,'Catholic ecclesiology',academic_only,0
Q118874912,'Catholic studies',academic_only,0
Q112956335,'Cellular interactions',academic_only,0
Q5058556,'Celtic literature',academic_only,1
Q27997,'Celtic studies',academic_only,0
Q5060376,'Central Asian studies',academic_only,0
Q23019169,'Central European studies',academic_only,1
Q48127094,'Chekhov studies',academic_only,0
Q5095927,'Chicana/o studies',academic_only,1
Q5097921,'Child safeguarding',academic_only,0
Q5369632,'Chinese Classical Studies',academic_only,3
Q756615,'Chinese art',academic_only,15
Q30921574,'Chinese epigraphy',academic_only,0
Q133908,'Chinese historiography',academic_only,1
Q2135373,'Chinese law',academic_only,2
Q67312597,'Chinese lexicology',academic_only,0
Q456012,'Chinese literature',academic_only,29
Q5110315,'Christian counseling',academic_only,0
Q124399811,'Christian economic ethics',academic_only,0
Q2665156,'Christian ethics',academic_only,4
Q104467841,'Christian leadership',academic_only,0
Q110419499,'Christian studies',academic_only,1
Q136505556,'Cinematic Taxonomy',academic_only,0
Q5124771,'Civionics',academic_only,0
Q120969801,'Claims',academic_only,0
Q8011708,'Classical Chinese semantics',academic_only,0
Q112939719,'Classical Greek and Roman history',academic_only,0
Q48550423,'Classics',academic_only,0
Q116457479,'Claudel studies',academic_only,0
Q5133463,'Climate change and ecosystems',academic_only,0
Q110469028,'Climate change law',academic_only,0
Q112939741,'Climate change processes',academic_only,0
Q112939747,'Climate change science',academic_only,3
Q115827802,'Coastal hydrogeology',academic_only,0
Q124610929,'Cognitive cartography',academic_only,0
Q5145857,'Collaborative software development model',academic_only,0
Q30693854,'Community Governance',academic_only,2
Q136759127,'Computational Aesthetics',academic_only,1
Q120969791,'Computational folkloristics',academic_only,0
Q110259460,'Computational physiology',academic_only,0
Q131289096,'Computer technology',academic_only,0
Q83370911,'Comunicação Empresarial e Relações Públicas',academic_only,0
Q5159047,'Concrete Industry Management',academic_only,0
Q115669378,'Congolese studies (Democratic Republic of Congo)',academic_only,0
Q124811051,'Conservation Biogeography',academic_only,0
Q110408090,'Conservation of Pacific Peoples heritage',academic_only,0
Q60416418,'Conservation paleobiology',academic_only,0
Q105664419,'Construction Technology',academic_only,1
Q55338315,'Contemporary Mediterranean Studies',academic_only,0
Q1784169,'Coptology',academic_only,1
Q20122804,'Creative technology',academic_only,0
Q5186692,'Critical applied linguistics',academic_only,0
Q5186711,'Critical ethnography',academic_only,0
Q1140539,'Critical legal studies',academic_only,2
Q575929,'Croatian studies',academic_only,0
Q112956198,'Crop and pasture biochemistry and physiology',academic_only,0
Q5191417,'Crystal structure prediction',academic_only,0
Q131544729,'Cultural Resources Studies',academic_only,0
Q120910082,'Cultural heritage access',academic_only,0
Q64869177,'Culture and communication',academic_only,0
Q113001573,'Culture, representation and identity',academic_only,0
Q112976895,'Curriculum and pedagogy theory and development',academic_only,2
Q59068,'Czech studies',academic_only,1
Q120910095,'DEO',academic_only,0
Q120969808,'DL reasoners',academic_only,0
Q5225989,'Darwin Industry',academic_only,0
Q840067,'Defeasible reasoning',academic_only,0
Q24833600,'Department of Industrial Management',academic_only,0
Q120910091,'Description logic programs',academic_only,0
Q3011219,'Design for X',academic_only,0
Q136715992,'Didactics of Religious Education in Schools',academic_only,0
Q136758824,'Digital Epistemology',academic_only,2
Q104869363,'Disability anthropology',academic_only,0
Q120910080,'Discourse relations',academic_only,0
Q115669401,'Djiboutian studies',academic_only,0
Q2754873,'Doctor of Both Laws',academic_only,0
Q120969788,'Document similarity',academic_only,0
Q1128227,'Dravidian studies',academic_only,1
Q119285919,'Dress history',academic_only,0
Q839477,'Dunhuangology',academic_only,0
Q1987969,'Dutch studies',academic_only,1
Q113208985,'Dynamical systems applications',academic_only,0
Q3734933,'EU project management',academic_only,0
Q113098010,'Earth and space science informatics',academic_only,1
Q8008,'Earth science',academic_only,35
Q3013544,'Earth systems engineering and management',academic_only,0
Q162817,'East Asian studies',academic_only,9
Q1440799,'Eastern Church Studies',academic_only,0
Q1413113,'Eastern European studies',academic_only,2
Q3250393,'Eastern religions',academic_only,1
Q113732282,'Eathworms study',academic_only,0
Q11551012,'Edo studies',academic_only,0
Q145903,'Egyptology',academic_only,3
Q11616914,'Eigaku',academic_only,0
Q3587639,'Electronics, Electrical Engineering and Automation',academic_only,0
Q113203792,'Embedding Pacific Peoples knowledges, histories, culture, country, perspectives and ethics in education',academic_only,0
Q125376696,'English Rhetoric & Linguistics',academic_only,0
Q133546019,'English and Comparative Literature',academic_only,0
Q112977070,'English and literacy curriculum and pedagogy',academic_only,2
Q130192,'English as a second or foreign language',academic_only,0
Q109587623,'English literature',academic_only,0
Q107550344,'English pedagogy',academic_only,0
Q27968,'English studies',academic_only,5
Q5379885,'Enrollment management',academic_only,0
Q109735643,'Enterprise ontology',academic_only,0
Q5380492,'Entertainment technology',academic_only,0
Q112939668,'Environmental biogeochemistry',academic_only,0
Q112980842,'Environmental education curriculum and pedagogy',academic_only,0
Q5381327,'Environmental magnetism',academic_only,0
Q112955700,'Environmental rehabilitation',academic_only,1
Q110252455,'Environmental studies in animal production',academic_only,0
Q137780862,'Epistemocriticism',academic_only,0
Q136831181,'Epistemology of the Image',academic_only,4
Q115669424,'Eritrean studies',academic_only,0
Q1334834,'Estonian literature',academic_only,2
Q257910,'Ethiopian studies',academic_only,0
Q124611847,'Ethnocartography',academic_only,0
Q23019171,'Eurasian studies',academic_only,1
Q1377396,'European Culture and Economy',academic_only,0
Q64814369,'European Law and Policy',academic_only,0
Q64808958,'European and Nordic studies',academic_only,0
Q15075764,'European ethnology (Volkskunde)',academic_only,1
Q1048268,'European integration',academic_only,1
Q108371114,'European integration studies',academic_only,0
Q1377029,'European studies',academic_only,14
Q112939752,'Evolutionary impacts of climate change',academic_only,0
Q28130303,'Exometabolomics',academic_only,0
Q114024742,'Experimental jurisprudence',academic_only,0
Q120969781,'Factoid question answering',academic_only,0
Q110252335,'Farm management, rural management and agribusiness',academic_only,0
Q118906198,'Fashion psychology',academic_only,0
Q5438164,'Fault mechanics',academic_only,0
Q124610984,'Feminist cartography',academic_only,0
Q30324052,'Feminist institutionalism',academic_only,0
Q111954024,'Feminist science and technology studies',academic_only,0
Q2088309,'Filipinology',academic_only,0
Q120969816,'Financial Transparency System',academic_only,0
Q657107,'Financial econometrics',academic_only,0
Q64869210,'Finnish and Finno-Ugrian language and culture',academic_only,0
Q362748,'Finnish studies',academic_only,0
Q133260960,'Finno-Ugric linguistics',academic_only,0
Q897219,'Finno-Ugric studies',academic_only,5
Q116547272,'Forestry biomass and bioproducts',academic_only,0
Q116547270,'Forestry product quality assessment',academic_only,0
Q108366776,'Francophone studies',academic_only,0
Q1453477,'Freebase',academic_only,2
Q17076284,'French as a foreign language',academic_only,1
Q105233699,'French horn performance',academic_only,0
Q120462065,'French language and civilization',academic_only,0
Q11333703,'French language studies',academic_only,0
Q6689,'French literature',academic_only,20
Q90921731,'French sociology',academic_only,0
Q1450761,'French studies',academic_only,3
Q120969786,'Full-Network embedding',academic_only,0
Q124623836,'GIS analysis',academic_only,0
Q124624042,'GIS science',academic_only,0
Q133898182,'GIS technology',academic_only,1
Q125464837,'Galician studies',academic_only,0
Q61378343,'Galician-Portuguese literature',academic_only,0
Q115669443,'Gambian studies',academic_only,0
Q1499017,'Geistesgeschichte',academic_only,0
Q944537,'Geisteswissenschaften',academic_only,9
Q20919947,'Gender and Law',academic_only,0
Q112947517,'Gene expression',academic_only,0
Q126131200,'General Arts',academic_only,0
Q585511,'Genographic Project',academic_only,0
Q112939581,'Genomics and transcriptomics',academic_only,2
Q15734393,'Geo-Government',academic_only,0
Q2396610,'GeoWeb',academic_only,1
Q124623818,'Geographical Analysis',academic_only,0
Q56313535,'Geopoetics',academic_only,0
Q3736210,'Georgian literature',academic_only,0
Q107560101,'Georgian studies',academic_only,1
Q120910086,'Geospatial semantics',academic_only,0
Q133260943,'German linguistics',academic_only,0
Q76996465,'German philology',academic_only,0
Q166153,'German studies',academic_only,6
Q15805624,'German-language poetry',academic_only,0
Q2620112,'Germanic philology',academic_only,3
Q110252339,'Germplasm management',academic_only,0
Q115669458,'Ghana studies',academic_only,0
Q5593683,'Grammatical Framework',academic_only,0
Q972132,'Greek epigraphy',academic_only,1
Q64968842,'Greek philology',academic_only,0
Q16267481,'Greek studies',academic_only,2
Q12310624,'Greenlandic and Arctic Studies',academic_only,0
Q124645587,'Hacker Cartography',academic_only,0
Q107427,'Halakha',academic_only,152
Q5684622,'Hawaiian studies',academic_only,0
Q29980364,'Hebrew Bible studies',academic_only,0
Q65048723,'Hellenic Culture',academic_only,0
Q489119,'Hellenic studies',academic_only,2
Q5862008,'Hellenistic philology',academic_only,0
Q64688316,'Hindi Language and Indian Culture',academic_only,0
Q5766501,'Hindu studies',academic_only,1
Q137655696,'History of French art',academic_only,0
Q138340308,'History of consumption',academic_only,0
Q491481,'Hittitology',academic_only,0
Q1568255,'Holocaust studies',academic_only,0
Q109505011,'Holodomor studies',academic_only,0
Q5890329,'Homeric scholarship',academic_only,0
Q104628254,'Hong Kong studies',academic_only,0
Q112914409,'Horticultural production',academic_only,2
Q65007547,'Huarahi Māori',academic_only,0
Q134564271,'Human Resources Development',academic_only,0
Q110467952,'Human rights and justice issues (excl. law)',academic_only,0
Q136334943,'Human-AI Relationality (HAIR)',academic_only,2
Q5939515,'Humanitarian engineering',academic_only,0
Q133260951,'Hungarian linguistics',academic_only,0
Q855627,'Hungarian studies',academic_only,1
Q3143746,'Hydrogeophysics',academic_only,0
Q3738441,'I Ching studies',academic_only,7
Q64943358,'ICT innovation',academic_only,0
Q35832005,'Iberian studies',academic_only,0
Q113951766,'Iberoamerican studies',academic_only,0
Q12823036,'Ibora',academic_only,0
Q136831245,'Image Theory',academic_only,1
Q138340266,'Imperial history',academic_only,0
Q124610312,'Inclusive Cartography',academic_only,1
Q376022,'Indian philosophy',academic_only,25
Q111956099,'Indigenous librarianship',academic_only,0
Q113127911,'Indigenous methodologies',academic_only,1
Q113127851,'Indigenous studies culture, language and history',academic_only,0
Q113127888,'Indigenous studies health and wellbeing',academic_only,1
Q1413128,'Indo-European studies',academic_only,2
Q625510,'Indology',academic_only,4
Q1661989,'Industry 4.0',academic_only,6
Q111325778,'Information Technology and E-Business',academic_only,0
Q110620325,'Information governance, policy and ethics',academic_only,0
Q109753123,'Information systems planning',academic_only,0
Q110298626,'Insurance studies',academic_only,0
Q1665395,'Integral yoga',academic_only,3
Q55586010,'Inter-American Studies',academic_only,0
Q27567821,'International Chinese Education',academic_only,0
Q126481638,'International Media Computing',academic_only,0
Q19366771,'International Relations',academic_only,1
Q55659899,'International Trade',academic_only,0
Q96758157,'International and European Studies',academic_only,0
Q113001577,'International humanitarian and human rights law',academic_only,2
Q6056000,'Internet linguistics',academic_only,1
Q6056054,'Internet studies',academic_only,3
Q10273079,'Interreligious studies',academic_only,0
Q135050458,'Intersectionality Studies',academic_only,0
Q114344316,'Iranian Diaspora Studies',academic_only,0
Q1367176,'Iranian studies',academic_only,1
Q123556059,'Irish studies',academic_only,0
Q130343258,'Irrigation, drainage and rural engineering',academic_only,0
Q6082500,'Islamic Jerusalem Studies',academic_only,0
Q193104,'Islamic philosophy',academic_only,14
Q133707398,'Islamic revealed knowledge and heritage',academic_only,0
Q843909,'Islamic studies',academic_only,21
Q136807922,'Islamic worldview',academic_only,1
Q3155376,'Islamology',academic_only,0
Q120727705,'Island studies',academic_only,0
Q13416553,'Isotope hydrology',academic_only,0
Q101834434,'Israel studies',academic_only,0
Q3745495,'Italian philology',academic_only,0
Q515601,'Italian studies',academic_only,2
Q11509142,'Japanese linguistics',academic_only,3
Q231425,'Japanese literature',academic_only,20
Q11506048,'Japanese mythography',academic_only,0
Q875592,'Japanese studies',academic_only,6
Q11723387,'Javanology',academic_only,0
Q108823107,'Jewish communities studies',academic_only,1
Q42002,'Jewish studies',academic_only,13
Q10879912,'Jian jia xue pai',academic_only,0
Q15900575,'Jin Yong studies',academic_only,0
Q4210217,'Kalmykology',academic_only,1
Q1075418,'Kansei engineering',academic_only,0
Q149678,'Kashubian studies',academic_only,0
Q18405225,'Khanty studies',academic_only,0
Q137766326,'Knowledge Graph Engineering',academic_only,0
Q120969700,'Knowledge base generation',academic_only,0
Q120969776,'Knowledge patterns',academic_only,0
Q714838,'Korean studies',academic_only,2
Q851739,'Kurdish studies',academic_only,0
Q11581021,'Kōgaku',academic_only,0
Q6502543,'LGBT linguistics',academic_only,2
Q112913817,'Land capability and soil productivity',academic_only,0
Q30693224,'Land change modeling',academic_only,0
Q106696937,'Land change science',academic_only,0
Q6483833,'Land-use forecasting',academic_only,0
Q3217551,'Langues étrangères appliquées',academic_only,0
Q108366652,'Latin American and Caribbean Studies',academic_only,0
Q1147454,'Latin American literature',academic_only,3
Q28617,'Latin American studies',academic_only,2
Q107095915,'Latin and South American history',academic_only,0
Q113128791,'Latin and classical Greek literature',academic_only,1
Q1806979,'Latin studies',academic_only,1
Q28075,'Latino studies',academic_only,0
Q9259810,'Latvian studies',academic_only,0
Q2135371,'Law of Switzerland',academic_only,9
Q132857311,'Learning Design',academic_only,0
Q357196,'Legal Linguistics',academic_only,0
Q120910097,'Legal Semantic Web',academic_only,0
Q120969826,'Legal knowledge modeling',academic_only,0
Q1519115,'Legisprudence',academic_only,1
Q124412326,'Lettres',academic_only,0
Q115669699,'Liberian studies',academic_only,0
Q1115369,'Librettology',academic_only,0
Q115669714,'Libyan studies',academic_only,0
Q96387450,'Life course research',academic_only,2
Q120969814,'Linguistic data',academic_only,0
Q98925312,'Link prediction',academic_only,0
Q120910088,'Link prediction and discovery',academic_only,0
Q120910101,'Linked Data assessment',academic_only,0
Q10978135,'Lithuanian studies',academic_only,0
Q110252205,'Livestock cloning',academic_only,0
Q56297375,'Lorenz–Mie theory',academic_only,0
Q722609,'MARC standards',academic_only,6
Q120969831,'MCQ generation',academic_only,0
Q3110349,'Macedonian literature',academic_only,0
Q136306794,'Machine Learning Physics',academic_only,0
Q6723706,'Machine control',academic_only,0
Q109570989,'Machine learning in earth sciences',academic_only,0
Q972270,'Madonna studies',academic_only,0
Q131300104,'Maghreb integration',academic_only,0
Q115669800,'Maghreb studies',academic_only,0
Q1270672,'Malay studies',academic_only,0
Q55585049,'Maltese studies',academic_only,0
Q56219570,'Mande studies',academic_only,0
Q112980803,'Manufacturing robotics',academic_only,0
Q6950632,'Maori politics',academic_only,1
Q12244500,'Maqāṣid al-Sharīʿah',academic_only,1
Q112939736,'Marine geoscience',academic_only,0
Q6770925,'Marketing science',academic_only,1
Q115035920,'Markets and Financial Intermediaries',academic_only,0
Q3256817,'Martinican literature (French)',academic_only,0
Q2853046,'Marxist anthropology',academic_only,0
Q3303205,'Masonic studies',academic_only,0
Q120969813,'Massive data',academic_only,0
Q6786613,'Materiomics',academic_only,0
Q1420638,'Mathetics',academic_only,0
Q12771257,'Maya studies',academic_only,0
Q3499804,'Medical Biology',academic_only,0
Q136471013,'Medieval & Renaissance Studies',academic_only,0
Q55586008,'Medieval Icelandic Studies',academic_only,0
Q359146,'Mediology',academic_only,1
Q66689386,'Mediterranean Landscape Ecology',academic_only,0
Q128591289,'Meeting Science',academic_only,0
Q106594369,'Michael Jackson Studies',academic_only,0
Q65281046,'Microblogging',academic_only,0
Q113128598,'Middle Eastern language studies',academic_only,0
Q12211529,'Middle Eastern studies',academic_only,6
Q3857553,'Milan Approach',academic_only,0
Q2026729,'Mishpat Ivri',academic_only,16
Q12183345,'Modern Arabic literature',academic_only,0
Q66490562,'Modern Greek Studies',academic_only,0
Q110256118,'Modern International Studies',academic_only,0
Q1944500,'Mongolian studies',academic_only,0
Q11785348,'Montenegrin studies',academic_only,0
Q124624869,'Moral geography',academic_only,0
Q3850041,'Mormon studies',academic_only,1
Q137776711,'Museum in Health',academic_only,0
Q112970980,'Music technology and recording',academic_only,0
Q36451,'Māori',academic_only,0
Q124774329,'Māori Studies',academic_only,0
Q110373956,'Māori accounting',academic_only,0
Q110350495,'Māori agriculture and forestry',academic_only,0
Q110351391,'Māori and disability',academic_only,0
Q110373965,'Māori anthropology',academic_only,0
Q110252734,'Māori archaeology',academic_only,0
Q110373973,'Māori architecture',academic_only,0
Q110402649,'Māori astronomy and cosmology',academic_only,0
Q110402659,'Māori biological sciences',academic_only,0
Q110351465,'Māori biomedical and clinical sciences',academic_only,0
Q110402777,'Māori chemistry',academic_only,0
Q110373988,'Māori commerce',academic_only,0
Q110374002,'Māori community and regional development',academic_only,0
Q110374026,'Māori community governance and decision making',academic_only,0
Q110374014,'Māori community-based research',academic_only,0
Q110402695,'Māori computing technology use and design',academic_only,0
Q110374038,'Māori criminology',academic_only,0
Q110351630,'Māori cultural determinants of health',academic_only,0
Q110252809,'Māori cultural history',academic_only,0
Q110252680,'Māori culture, language and history',academic_only,7
Q110252862,'Māori curatorial, archives and museum studies',academic_only,0
Q110402900,'Māori curriculum and pedagogy',academic_only,0
Q110402846,'Māori data sovereignty',academic_only,0
Q110377631,'Māori design practice and management',academic_only,0
Q110351700,'Māori diet and nutrition',academic_only,0
Q110321576,'Māori early childhood education',academic_only,0
Q110350598,'Māori earth sciences',academic_only,0
Q110391017,'Māori economics',academic_only,0
Q110321565,'Māori education',academic_only,8
Q110321623,'Māori educational methods',academic_only,0
Q110402787,'Māori engineering',academic_only,0
Q110350758,'Māori environmental conservation',academic_only,0
Q110350165,'Māori environmental knowledges',academic_only,6
Q110351753,'Māori epidemiology',academic_only,0
Q110267069,'Māori ethics',academic_only,0
Q110391034,'Māori finance',academic_only,0
Q110350936,'Māori fisheries and customary fisheries',academic_only,0
Q110402738,'Māori genomics',academic_only,0
Q110351323,'Māori health and wellbeing',academic_only,21
Q110351795,'Māori health policy',academic_only,0
Q110351896,'Māori health promotion',academic_only,0
Q110321745,'Māori higher education',academic_only,0
Q85787414,'Māori history',academic_only,0
Q110391039,'Māori human geography and demography',academic_only,0
Q110402800,'Māori information and knowledge management systems',academic_only,0
Q110402852,'Māori innovation',academic_only,0
Q110402858,'Māori knowledge management methods',academic_only,0
Q110351062,'Māori land and water management',academic_only,0
Q110404093,'Māori land law',academic_only,0
Q110354861,'Māori land, culture and identity',academic_only,0
Q110348169,'Māori language education',academic_only,0
Q110393792,'Māori law and justice',academic_only,0
Q110393809,'Māori legislation',academic_only,0
Q110352377,'Māori life course',academic_only,0
Q110267075,'Māori linguistics and languages',academic_only,1
Q110267078,'Māori literature, journalism and professional writing',academic_only,1
Q110393813,'Māori management',academic_only,0
Q110351198,'Māori marine environment science',academic_only,0
Q110393815,'Māori marketing',academic_only,0
Q110402751,'Māori mathematical, physical and chemical sciences - excl. astronomy and cosmology',academic_only,3
Q110402757,'Māori mathematics',academic_only,0
Q110267088,'Māori media, film, animation and photography',academic_only,0
Q110352566,'Māori medicine and treatments',academic_only,0
Q110352732,'Māori midwifery and paediatrics',academic_only,0
Q110352847,'Māori mothers and babies health and wellbeing',academic_only,0
Q110267151,'Māori music and performing arts',academic_only,1
Q110402865,'Māori natural language processing',academic_only,0
Q110393824,'Māori not-for-profit social enterprises',academic_only,0
Q110353047,'Māori nursing',academic_only,0
Q110393859,'Māori peoples and the law',academic_only,0
Q110373936,'Māori peoples, society and community',academic_only,27
Q110393876,'Māori perspectives',academic_only,0
Q110267163,'Māori philosophy',academic_only,0
Q110402769,'Māori physics',academic_only,0
Q110393897,'Māori political participation and representation',academic_only,0
Q110348217,'Māori primary education',academic_only,0
Q110353125,'Māori psychology',academic_only,1
Q110353362,'Māori psychology knowledge systems',academic_only,0
Q110353571,'Māori public health and wellbeing',academic_only,0
Q110267165,'Māori religion and religious studies',academic_only,1
Q110353673,'Māori remote health',academic_only,0
Q110321513,'Māori repatriation',academic_only,0
Q113213783,'Māori research',academic_only,0
Q110321526,'Māori research methods',academic_only,0
Q110394049,'Māori resource law',academic_only,0
Q18167244,'Māori science',academic_only,13
Q110348306,'Māori secondary education',academic_only,0
Q110353935,'Māori social determinants of health',academic_only,0
Q110394106,'Māori social impact and program evaluation',academic_only,0
Q110394161,'Māori social work and social justice',academic_only,0
Q110353757,'Māori social, cultural, emotional and spiritual wellbeing',academic_only,0
Q110394226,'Māori sociological studies',academic_only,2
Q110354095,'Māori sport and physical activity',academic_only,0
Q110349935,'Māori technical, further, continuing and community education',academic_only,0
Q110354278,'Māori theory of change models for health',academic_only,0
Q110394319,'Māori tourism',academic_only,0
Q110394368,'Māori urban and regional planning',academic_only,0
Q110321558,'Māori visual arts and crafts',academic_only,0
Q110354365,'Māori youth and family',academic_only,0
Q110350108,'Mātauranga Māori in education',academic_only,0
Q11652447,'Nagasaki studies',academic_only,0
Q115669680,'Namibian studies',academic_only,0
Q138057475,'Narrative Engineering',academic_only,1
Q27752,'Native American studies',academic_only,2
Q6980606,'Natural Science Tripos',academic_only,0
Q23019185,'Near Eastern studies',academic_only,2
Q6984343,'Near-surface geophysics',academic_only,0
Q24952707,'Neo-Latin philology',academic_only,0
Q120969787,'Neural-symbolic integration',academic_only,0
Q107407196,'Neuroscience of sleep',academic_only,0
Q21083421,'New Hermeneutic',academic_only,0
Q7010974,'New Philology',academic_only,0
Q1981839,'New Testament studies',academic_only,1
Q114082626,'New Zealand fiction',academic_only,0
Q936855,'New Zealand literature',academic_only,3
Q114082643,'New Zealand poetry',academic_only,0
Q112981121,'New Zealand political studies',academic_only,0
Q136909470,'Neya Global Non-Profit Knowledge Architecture (NPKA)',academic_only,1
Q115669647,'Nigerian studies',academic_only,0
Q115193792,'Non-European Cultures',academic_only,0
Q111182436,'Non-market economics',academic_only,0
Q114476,'Noology',academic_only,0
