qid,label,description,instance_of,instance_of_label,part_of,part_of_label,subclass_of,subclass_of_label
Q120969814,Linguistic data,area of research,Q11862829,academic discipline,,,,
Q98925312,Link prediction,problem in network theory of predicting the existence of an unobserved link between two entities in a network,Q11862829,academic discipline,,,,
Q120910088,Link prediction and discovery,area of research,Q11862829,academic discipline,,,,
Q120910101,Linked Data assessment,area of research,Q11862829,academic discipline,,,,
Q722609,MARC standards,digital formats for library cataloguing,Q11862829,academic discipline,,,,
Q120969831,MCQ generation,area of research,Q11862829,academic discipline,,,,
Q120969813,Massive data,area of research,Q11862829,academic discipline,,,,
Q65281046,Microblogging,a blog which is typically smaller in file size,Q11862829,academic discipline,,,,
Q66490562,Modern Greek Studies,,Q11862829,academic discipline,,,,
Q120969787,Neural-symbolic integration,area of research,Q11862829,academic discipline,,,,
Q120969785,OWL2 RL,area of research,Q11862829,academic discipline,,,,
Q120910089,Ontobroker,area of research,Q11862829,academic discipline,,,,
Q120969774,Ontology mining,area of research,Q11862829,academic discipline,,,,
Q120910083,Ontology reasoning systems,area of research,Q11862829,academic discipline,,,,
Q120910098,Ontology search,area of research,Q11862829,academic discipline,,,,
Q120969777,Ontology use,area of research,Q11862829,academic discipline,,,,
Q120969827,Open Knowledge Extraction,area of research,Q11862829,academic discipline,,,,
Q120910100,PWO,area of research,Q11862829,academic discipline,,,,
Q127656899,Pekingology,the study of the policies and practices of Communist China,Q11862829,academic discipline,,,Q269915,sinology
Q120969830,Property paths,area of research,Q11862829,academic discipline,,,,
Q120969829,Question Answering over Linked Data,area of research,Q11862829,academic discipline,,,,
Q109734057,R2RML,R2RML is a W3C Standard for a language expressing customized mappings from relational databases to RDF datasets,Q62210692,OWL ontology,,,,
Q120969784,RDF Data Cube,area of research,Q11862829,academic discipline,,,,
Q120969834,RDF dataset profiling,area of research,Q11862829,academic discipline,,,,
Q120969807,SHACL shape learning,area of research,Q11862829,academic discipline,,,,
Q120910094,Scalable reasoning,area of research,Q11862829,academic discipline,,,,
Q62211950,Semantic Sensor Network Ontology,area of research,Q62210692,OWL ontology,,,,
Q54837,Semantic Web,extension of the Web to facilitate data exchange,Q11862829,academic discipline,,,Q7449064,Semantic integration
Q120910069,Semantic Web of Things,area of research,Q11862829,academic discipline,,,,
Q120910084,Semantic browsing,area of research,Q11862829,academic discipline,,,,
Q120969832,Semantic entity annotation system,area of research,Q11862829,academic discipline,,,,
Q7449072,Semantic matching,area of research,Q11862829,academic discipline,,,,
Q120910090,Semantic publishing models,area of research,Q11862829,academic discipline,,,,
Q9393074,Sindhology,"field of South Asian studies and academic research that covers the history, society, culture, literature and people of Sindh, Pakistan",Q11862829,academic discipline,,,Q7125797,Pakistan studies
Q4423818,Slovak studies,"the study of Slovak language, culture, and history",Q11862829,academic discipline,Q16872093,West Slavic Studies,Q16872093,West Slavic Studies
Q120910102,Smart environments,area of research,Q11862829,academic discipline,,,,
Q26792203,Solap,human settlement in India,Q11862829,academic discipline,,,,
Q15609389,South Asian languages,languages of a geographic region,Q4671286,academic major,Q118987766,South and Southeast Asian languages,Q2624777,languages of Asia
Q118987766,South and Southeast Asian languages,group of Asian languages,Q11862829,academic discipline,,,Q2624777,languages of Asia
Q17149027,Taiwan studies,academic discipline,Q11862829,academic discipline,,,Q269915,sinology
Q7681446,Tamilology,"study of the Tamil language, Tamil literature, and the culture of the Tamil people",Q11862829,academic discipline,,,Q105397778,South Asia studies
Q120969800,Taxonomy enrichment,area of research,Q11862829,academic discipline,,,,
Q120910096,Temporal reference system,area of research,Q11862829,academic discipline,,,,
Q120910078,Terminology generation,area of research,Q11862829,academic discipline,,,,
Q120969799,Topic evolution,area of research,Q11862829,academic discipline,,,,
Q169411,Unified Modeling Language,software system design modeling tool,Q29077376,data modeling language,,,,
Q110857459,Victorian studies,academic discipline; study of the literature and culture of Britain in the period roughly defined by Queen Victoria’s reign (1837-1901),Q11862829,academic discipline,,,,
Q111597209,Yugoslav studies,"field within area studies; study of Yugoslavian history, culture, ethnology, etc.",Q11862829,academic discipline,,,Q156864,Slavic studies
Q107514431,accordion performance,performance of music on the accordion,Q11862829,academic discipline,,,Q6942562,musical performance
Q127069206,acridology,the study of grasshoppers and locusts (infraorder Acrididea),Q99397804,branch of zoology,,,Q4337149,orthopterology
Q110797464,action table,game mechanic of tabletop role-playing game (table determining action outcomes),Q12139612,list,,,Q110113602,combat mechanic
Q4680662,adaptation,computer science term; process where an interactive system (adaptive system) adapts its behaviour to individual users based on information acquired about its user(s) and its environment,Q121063989,adaptation,,,,
Q115982628,administrative management,a field of study and practice focused on the efficient and effective management of an organization's administrative operations,Q11862829,academic discipline,,,,
Q11943008,adolescent psychology,study of the psychology of adolescents,Q60680430,branch of psychology,,,Q175002,developmental psychology
Q130236362,aeronautical climatology,the application of the data and techniques of climatology to aviation meteorological problems,Q11862829,academic discipline,,,Q52139,climatology
Q4057127,agricultural technology,"use of technology in agriculture, horticulture, and aquaculture with the aim of improving yield, efficiency, and profitability",Q112057532,type of technology,,,Q3606845,agricultural science
Q396338,agroecology,study of ecological processes in agriculture,Q104193250,branch of ecology,,,Q3606845,agricultural science
Q396152,agrometeorology,the branch of meteorology that deals with the relationship of weather and climate to crop and livestock production and soil management,Q130304502,branch of meteorology,,,Q3606845,agricultural science
Q136262570,allied health sciences,academic discipline,Q44597158,health specialty,,,Q843601,health sciences
Q10818148,amphibian anatomy,anatomy of Amphibia,Q11862829,academic discipline,,,Q10818163,vertebrate anatomy
Q111680417,amphibian genetics,study of the genetics of amphibians,Q11862829,academic discipline,,,Q110310405,animal genetics
Q127328327,amphibiology,branch of zoology dealing with amphibians,Q1047113,field of study,,,Q174416,herpetology
Q435608,ancient history,aspect of history and classics,Q17524420,aspect of history,,,Q1066186,study of history
Q11015354,anemology,the study of winds,Q11862829,academic discipline,,,Q25261,meteorology
Q111604218,animal ecophysiology,ecophysiology of animals,Q104193250,branch of ecology,,,Q10900987,animal ecology
Q110310405,animal genetics,academic discipline; study of the genetics of animals,Q11862829,academic discipline,,,Q7162,genetics
Q111327198,animal immunology,study of immunology of animals,Q99397804,branch of zoology,,,Q101929,immunology
Q1469725,animal taxonomy,"science of naming, defining and classifying animals",Q11862829,academic discipline,,,Q8269924,taxonomy
Q118323427,annelidology,study of annelids,Q99397804,branch of zoology,,,Q124650805,vermeology
Q857525,annotation,piece of metadata attached to a document or other entity,Q11862829,academic discipline,Q4769616,annotated bibliography,Q386724,work
Q97374093,anthropology of gender and sexuality,field of research,Q106720965,branch of anthropology,,,Q23404,anthropology
Q1955092,anthropology of music,"branch of cultural anthropology that studies musical traditions, world music and music traditions",Q106720965,branch of anthropology,,,Q28598,cultural anthropology
Q27890,anthropology of religion,study of religion related to other religions or institutions,Q106720965,branch of anthropology,,,Q34187,religious studies
Q165194,application programming interface,software interface between computers and/or programs,Q11862829,academic discipline,,,Q241317,computing platform
Q177304,applied anthropology,subfield of anthropology,Q106720965,branch of anthropology,,,Q28797,applied science
Q1694247,applied geodesy,subdiscipline of geodesy,Q11862829,academic discipline,,,Q131089,geodesy
Q112225704,applied hydrobiology,the application of hydrobiology to practical problems,Q28598684,branch of biology,,,Q1130698,hydrobiology
Q11062968,applied meteorology,"the application of meteorological knowledge, current weather data, analyses, or forecasts to specific problems, such as those relating to transport, industrial processes, agriculture, etc.",Q130304502,branch of meteorology,,,Q28797,applied science
Q5728861,aquatic biology,branch of biology that studies aquatic life,Q28598684,branch of biology,,,Q4782809,aquatic science
Q136026858,arbovirology,a branch of virology that deals with the arboviruses,Q28598684,branch of biology,,,Q7215,virology
Q635374,architectural education,teaching of and training in architecture,Q108161738,branch of education,,,Q352842,teaching
Q12271,architecture,"process of planning, designing and construction",Q56055944,type of arts,Q113129241,built environment and design studies,Q82604,design
Q126733835,areology,branch of astronomy which studies the planet Mars in all of its aspects,Q11862829,academic discipline,,,Q333,astronomy
Q928865,art therapy,therapeutic technique that incorporates creative methods of expression through visual art media,Q130699387,type of psychotherapy,,,Q838202,expressive therapy
Q2845653,arthropod anatomy,anatomy of arthropods,Q11862829,academic discipline,,,Q25570959,animal structure
Q110512905,asexual studies,academic discipline that studies asexuality and asexual people,Q11862829,academic discipline,,,Q98929208,queer studies
Q411,astrobiology,study of the formation of life on Earth and elsewhere on other planets in outer space,Q131565179,branch of astronomy,,,Q420,biology
Q11680018,astrochemistry,study of the abundance and reactions of chemical elements and molecules in the universe,Q131565179,branch of astronomy,,,Q11491273,applied chemistry
Q181505,astrometry,branch of astronomy that covers star positions and their movements,Q131565179,branch of astronomy,,,Q333,astronomy
Q2555318,automated reasoning,subfield of computer science and logic,Q126723190,type of reasoning,Q2878974,theoretical computer science,,
Q122951657,avian pathology,study of the diseases of birds,Q11862829,academic discipline,,,Q7208,pathology
Q136799183,bandura performance,performance of music on the bandura,Q11862829,academic discipline,,,Q6942562,musical performance
Q106148843,baroque flute performance,performance of music on the Baroque flute,Q11862829,academic discipline,,,Q6942562,musical performance
Q106421780,bassoon performance,performance of music on the bassoon,Q11862829,academic discipline,,,Q6942562,musical performance
Q20730570,batology,the study of brambles,Q17002728,branch of botany,,,Q441,botany
Q4869597,batrachology,branch of herpetology that studies amphibians,Q99397804,branch of zoology,,,Q174416,herpetology
Q864191,bioacoustics,biological subdiscipline,Q28598684,branch of biology,,,Q82811,acoustics
Q1898366,bioclimatology,branch of climatology that deals with the effects of the physical environment on living organisms over an extended period of time,Q11862829,academic discipline,,,Q52139,climatology
Q12535586,bioecology,the ecology of organisms and their interactions with each other; the branch of science concerned with this,Q28598684,branch of biology,,,Q7150,ecology
Q27172,biological anthropology,branch of anthropology that studies the physical development of the human species,Q106720965,branch of anthropology,Q23404,anthropology,Q23404,anthropology
Q1048526,biomedical informatics,the science of information as applied to or studied in the context of biomedicine,Q11862829,academic discipline,,,Q4027615,informatics
Q130320558,biomolecular archaeology,"subfield of archaeometry: the study of ancient molecules (especially nucleic acids, proteins, lipids, and carbohydrates) produced by past living organisms",Q11862829,academic discipline,,,Q637284,archaeological science
Q136352,bird anatomy,anatomy of birds,Q11862829,academic discipline,,,Q10818163,vertebrate anatomy
Q111680421,bird genetics,study of the genetics of birds,Q11862829,academic discipline,,,Q110310405,animal genetics
Q111680396,bird physiology,study of the physiology of birds,Q11862829,academic discipline,,,Q2432331,zoophysiology
Q20514253,blockchain,distributed data store for digital transactions,Q11862829,academic discipline,,,Q25110971,distributed ledger
Q130236442,blood physiology,the study of the physiology of blood,Q28598684,branch of biology,,,Q521,physiology
Q108226334,braided river ecology,ecology of braided rivers,Q104193250,branch of ecology,,,Q104780697,stream ecology
Q109727983,burn surgery,field within surgery,Q11862829,academic discipline,,,Q40821,surgery
Q111843526,business anthropology,branch of anthropology focused on the study of business organizations,Q106720965,branch of anthropology,Q21505779,social and cultural anthropology,Q177304,applied anthropology
Q1017569,business development,tasks and processes to develop and implement growth opportunities within and between organizations,Q11862829,academic discipline,,,Q5001951,business studies
Q107278510,canal ecology,ecology of canals,Q104193250,branch of ecology,,,Q104196941,aquatic ecology
Q112269680,cartooning,study and practice of drawing cartoons and comics,Q11862829,academic discipline,,,Q21550668,illustration
Q5051759,catchment hydrology,"hydrology of catchments, areas where water is collected by the natural landscape",Q11862829,academic discipline,,,Q42250,hydrology
Q126368867,cecidiology,"branch of biology that is concerned with the galls produced on plants by insects, mites, and fungi",Q28598684,branch of biology,,,Q420,biology
Q10472873,cell engineering,methods for growing cells for biosynthetic production of molecules,Q12015335,branch of engineering,,,Q580689,bioengineering
Q105279359,cello music performance,performance of music on the cello,Q11862829,academic discipline,,,Q6942562,musical performance
Q57629717,chaos engineering,subfield of engineering,Q12015335,branch of engineering,,,Q2193887,reliability engineering
Q24002214,cheloniology,branch of herpetology devoted to the study of turtles and tortoises,Q99397804,branch of zoology,,,Q9307400,reptiliology
Q700919,chemical ecology,study of chemicals involved in the interactions of living organisms,Q104193250,branch of ecology,,,Q7150,ecology
Q2329,chemistry,"branch of physical science concerned with the composition, structure and properties of matter",Q11862829,academic discipline,,,Q14632398,physical science
Q910067,chemometrics,science of extracting information from chemical systems by data-driven means,Q11862829,academic discipline,,,Q12483,statistics
Q128284215,chromosomology,the branch of cytology devoted to study of the chromosomes,Q28598684,branch of biology,,,Q3009579,cytology
Q1800439,church history,academic discipline studying the history of Christianity,Q81517619,branch of history,,,Q846742,history of religions
Q77590,civil engineering,"engineering discipline specializing in design, construction and maintenance of the built environment",Q12015335,branch of engineering,,,Q136580777,civil and environmental engineering
Q106991653,clarinet performance,performance of music on the clarinet,Q11862829,academic discipline,,,Q6942562,musical performance
Q107278364,cliff ecology,ecology of cliffs,Q104193250,branch of ecology,,,Q7150,ecology
Q110477651,climate change ecology,branch of ecology; study of the effects of anthropogenic climate change on any aspect of ecology,Q104193250,branch of ecology,,,Q52139,climatology
Q130109910,climatopathology,the branch of pathology concerned with diseases which are attributable to the effects of climate,Q11862829,academic discipline,,,Q7208,pathology
Q113097664,clinical child psychology,subdiscipline of clinical psychology,Q60680430,branch of psychology,,,Q3411686,child psychology
Q106195625,coaching,training and organizing an athlete or sports team,Q18175633,sport action,,,Q3055155,sports training
Q126368892,coccidology,"branch of entomology that is concerned with the scales, mealybugs, and other members of the superfamily Coccoidea",Q99397804,branch of zoology,,,Q39286,entomology
Q2200417,cognition,"mental action or process of acquiring knowledge and understanding through thought, experience, and the senses",Q116505632,type of process,Q77468620,psychological terminology,Q14912053,nervous system process
Q2853045,cognitive anthropology,branch of anthropology,Q106720965,branch of anthropology,Q28598,cultural anthropology,Q147638,cognitive science
Q2668072,collection,set of purposely gathered physical or digital objects with some common characteristics,Q11862829,academic discipline,,,Q16887380,group
Q131560888,cometology,the branch of astronomy concerned with comets,Q131565179,branch of astronomy,,,Q333,astronomy
Q333657,communication design,academic discipline,Q11862829,academic discipline,,,,
Q11680831,communication studies,academic field that deals with processes of communication,Q11862829,academic discipline,Q113128675,"language, communication, and cultural studies",Q34749,social science
Q1122550,computer music,application of computing technology in music,Q109659781,music production technique,,,,
Q11492827,computer science and engineering,academic program at many universities which comprises scientific and engineering aspects of computing,Q11862829,academic discipline,,,Q85753733,computing education
Q120969792,conceptual clustering trees,area of research,Q11862829,academic discipline,,,,
Q120910065,conceptual modeling,area of research,Q11862829,academic discipline,,,,
Q5158431,conceptual spaces,area of research,Q11862829,academic discipline,Q77468620,psychological terminology,,
Q214781,condensed matter physics,branch of physics dealing with a property of matter,Q11862829,academic discipline,,,Q21213340,continuum physics
Q105497417,conservation education,field of education,Q11862829,academic discipline,,,Q948732,environmental education
Q120910075,constraints,area of research,Q11862829,academic discipline,,,,
Q105535151,contemporary performance,,Q11862829,academic discipline,,,Q6942562,musical performance
Q130304484,correlative meteorology,the application of statistical correlation techniques to a series of meteorological observations,Q130304502,branch of meteorology,,,Q25261,meteorology
Q4390239,counseling,"act of therapy, coaching, advising, guiding, and listening, often in the psychological domain",Q60680430,branch of psychology,Q113192683,"counselling, wellbeing and community services",Q11588306,social services
Q3624786,criminal anthropology,subfield of anthropology,Q106720965,branch of anthropology,,,Q6656244,anthropometry
Q43504,criminalistics,the application of science to criminal and civil laws during criminal investigation,Q11862829,academic discipline,,,Q7991,natural science
Q161733,criminology,study of the causes and manifestations of crime,Q11862829,academic discipline,,,Q34749,social science
Q132583791,cryoenzymology,the study of enzymes at very low temperatures,Q11862829,academic discipline,,,Q2880775,enzymology
Q120910067,cyber-physical systems,area of research,Q2267705,field of study,,,,
Q104774297,cypress swamp ecology,ecology of cypress swamps,Q104193250,branch of ecology,,,Q104200524,swamp ecology
Q113884152,cytomorphology,study of the structure of cells,Q11862829,academic discipline,,,Q3009579,cytology
Q122705444,dairy science,scientific and academic discipline around the development of dairy products,Q11862829,academic discipline,,,Q3606845,agricultural science
Q42417149,data exploration,"approach similar to initial data analysis, whereby a data analyst uses visual exploration to understand what is in a dataset and the characteristics of the data, rather than through traditional data management systems",Q11862829,academic discipline,,,,
Q120910074,data interlinking,area of research,Q11862829,academic discipline,,,,
Q2330408,data mapping,process of linking data objects in distinct models,Q11862829,academic discipline,,,Q6723621,machine-readable data
Q4368942,data retrieval,"obtaining data from a database management system, often using a query with a set of criteria",Q11862829,academic discipline,,,Q816826,information retrieval
Q108509507,deaconess studies,the scholarly study of the theology and practice of the office of deaconess,Q11862829,academic discipline,,,Q107508911,theological studies
Q330268,decision support system,system that supports business or organizational decision-making processes,Q11862829,academic discipline,,,Q1391080,business software
Q73941450,demographic anthropology,branch of anthropology,Q106720965,branch of anthropology,,,Q37732,demography
Q125994057,dendropathology,study of tree diseases,Q11862829,academic discipline,,,Q188956,plant pathology
Q5700493,dental anthropology,branch of anthropology around the use of human teeth,Q106720965,branch of anthropology,,,Q23404,anthropology
Q387196,description logic,family of formal knowledge representation languages,Q11862829,academic discipline,Q8078,logic,Q192161,formal language
Q120969809,description logic reasoning systems,area of research,Q11862829,academic discipline,,,,
Q119175782,desert science,subdiscipline of earth science,Q11862829,academic discipline,,,Q8008,Earth science
Q131344606,desmidiology,branch of botany that deals with desmids,Q17002728,branch of botany,,,Q441,botany
Q1345628,development anthropology,application of anthropological perspectives to the multidisciplinary branch of development studies,Q106720965,branch of anthropology,,,Q651571,development studies
Q130261998,digestive physiology,the study of the physiology of the digestive system,Q28598684,branch of biology,,,Q2432331,zoophysiology
Q601854,digital anthropology,subdiscipline of anthropology,Q106720965,branch of anthropology,,,Q23404,anthropology
Q632897,digital preservation,"formal endeavor to ensure that digital information of continuing value remains accessible, trustworthy, and usable",Q11862829,academic discipline,,,Q123819222,storing
Q12773591,discipline of pedagogy,,Q11862829,academic discipline,,,Q7922,pedagogy
Q120910072,disjointness learning,area of research,Q11862829,academic discipline,,,,
Q180634,distributed computing,system whose components are located on different networked computers,Q11862829,academic discipline,,,Q232661,parallel computing
Q120910068,distributed reasoning,area of research,Q11862829,academic discipline,,,,
Q5283178,distributed social network,Internet social networking service that is decentralized and distributed across distinct providers,Q11862829,academic discipline,,,Q111381712,decentralized social network
Q5283209,distributional semantics,research area in semantic similarities between linguistic items,Q11862829,academic discipline,,,Q182557,computational linguistics
Q105237946,double bass performance,performance of music on the double bass,Q11862829,academic discipline,,,Q6942562,musical performance
Q3630257,dynamic geology,branch of geology that deals with the causes and processes of geologic phenomena,Q87058424,branch of geology,,,Q128894857,physical geology
Q130217834,dynamic meteorology,a branch of meteorology that deals with motions of the atmosphere and the forces that cause them,Q130304502,branch of meteorology,,,Q25261,meteorology
Q116845132,early performance,performance of early music,Q11862829,academic discipline,,,Q6942562,musical performance
Q909789,earthquake engineering,interdisciplinary branch of engineering,Q12015335,branch of engineering,,,,
Q130111976,eccrinology,branch of physiology that deals with secretion and secretory organs,Q28598684,branch of biology,,,Q521,physiology
Q127420314,echinology,branch of zoology that deals with echinoderms,Q99397804,branch of zoology,,,Q12744095,invertebrate zoology
Q2984315,ecological anthropology,study of human and cultural adaptations to environments,Q106720965,branch of anthropology,,,Q23404,anthropology
Q130304428,ecological climatology,"an interdisciplinary framework to understand the functioning of terrestrial landscapes in the climate system, in order to understand the physical, chemical, and biological processes by which landscapes affect and are affected by climate",Q11862829,academic discipline,,,Q52139,climatology
Q7150,ecology,scientific study of the relationships between living organisms,Q28598684,branch of biology,,,Q5333289,ecology and evolutionary biology
Q5333289,ecology and evolutionary biology,"interdisciplinary field of study concerning interactions between organisms and their ever-changing environment, including perspectives from both evolutionary biology and ecology",Q1047113,field of study,,,Q420,biology
Q27841,economic anthropology,"scholarly field that attempts to explain human economic behavior in its widest historic, geographic and cultural scope",Q106720965,branch of anthropology,,,Q23404,anthropology
Q5333460,economic entomology,"branch of entomology that studies insects that benefit or harm humans, domestic animals, and crops",Q99397804,branch of zoology,,,Q39286,entomology
Q853915,economic geology,"branch of geology concerning the scientific study of the formation, location, and use of marketable geologic materials including fuels, metals, minerals, and water.",Q87058424,branch of geology,,,Q1069,geology
Q8134,economics,"social science that studies the production, distribution, and consumption of goods and services",Q11862829,academic discipline,Q3475802,economic and social sciences,Q34749,social science
Q15088481,ecopsychology,study of the psychological relationship between humans and the natural world,Q60680430,branch of psychology,,,Q9418,psychology
Q1412144,ecotoxicology,study of effects of released pollutants on the environment and biota,Q1047113,field of study,Q113114761,bioavailability and ecotoxicology,Q3995923,environmental toxicology
Q5341272,educational anthropology,sub-field of anthropology focusing on education,Q106720965,branch of anthropology,,,Q23404,anthropology
Q120969820,egocentric reference system,area of research,Q11862829,academic discipline,,,,
Q2474620,electrochemical engineering,branch of engineering dealing with the technological applications of electrochemical phenomena,Q12015335,branch of engineering,,,Q83588,chemical engineering
Q124326537,electropathology,"abnormal electrical activity, especially of the heart, associated with a disease or disorder",Q11862829,academic discipline,,,Q7208,pathology
Q113884103,electrorheology,the study of the changes in flow properties that occur in certain fluids exposed to electric fields,Q11862829,academic discipline,,,Q271707,rheology
Q5374252,empirical psychology,"the study of the human mind by means of observation and experiment, rather than by deduction from general principles",Q60680430,branch of psychology,,,Q9418,psychology
Q1341277,energy research,field of study,Q11862829,academic discipline,,,Q42240,research
Q17012245,entity linking,the task of assigning a unique identity to entities mentioned in text,Q11862829,academic discipline,,,Q1649725,name resolution
Q120969779,entity matching,area of research,Q11862829,academic discipline,,,,
Q5381194,environmental anthropology,sub-discipline of anthropology around the study of complex relationships between humans and the environments which they inhabit,Q106720965,branch of anthropology,,,Q23404,anthropology
Q146326,environmental engineering,professional engineering discipline related to environmental science,Q12015335,branch of engineering,,,Q136580777,civil and environmental engineering
Q5381223,environmental epidemiology,science concerned with environmental exposure impacts on human health,Q135937959,branch of epidemiology,,,Q5381367,environmental studies
Q18235183,environmental fluid mechanics,scientific and academic discipline,Q11862829,academic discipline,,,Q172145,fluid mechanics
Q932068,environmental health,public health branch focused on environmental impacts on human health,Q11862829,academic discipline,,,Q189603,public health
Q113827235,environmental health sciences,subdiscipline within health sciences,Q11862829,academic discipline,,,Q843601,health sciences
Q5333239,environmental humanities,interdisciplinary field addressing environmental issues,Q11862829,academic discipline,,,Q80083,humanities
Q43455,ethnology,academic discipline,Q106720965,branch of anthropology,,,Q1143546,cultural studies
Q12572036,ethnopsychology,the psychology of races and peoples,Q60680430,branch of psychology,,,Q9418,psychology
Q1371704,etruscology,"study of ancient Etruscan civilization, antiquities, language, etc.",Q11862829,academic discipline,,,Q23498,archaeology
Q840400,evolutionary biology,study of the processes that produced the diversity of life,Q28598684,branch of biology,,,Q5333289,ecology and evolutionary biology
Q1382557,evolutionary ecology,study of how interactions among species and between species and their environment affect species through selection and adaptation,Q104193250,branch of ecology,,,Q840400,evolutionary biology
Q113207671,excited state chemistry,chemical study of excited states,Q11862829,academic discipline,,,Q11372,physical chemistry
Q3809431,exoplanetology,integrated field of astronomical science,Q131565179,branch of astronomy,,,Q125975922,ology
Q115255855,exotic animal medicine,subdiscipline of veterinary medicine: treatment of exotic animals,Q110527678,veterinary specialty,,,Q170201,veterinary medicine
Q130262075,experimental meteorology,branch of meteorology,Q11862829,academic discipline,,,Q25261,meteorology
Q40890078,explainable AI,AI whose processes can be understood by humans,Q11862829,academic discipline,,,Q11660,artificial intelligence
Q7958,explanation,set of statements constructed to describe reasons why such as for facts,Q11862829,academic discipline,,,Q628523,message
Q502038,extragalactic astronomy,astronomy dealing with objects outside the Milky Way,Q131565179,branch of astronomy,,,Q333,astronomy
Q970687,eye tracking,measuring the point of gaze or motion of an eye relative to the head,Q11862829,academic discipline,,,Q106518118,tracking
Q1519370,faceted search,method of information retrieval by filtering on multiple properties in a data set,Q11862829,academic discipline,,,Q816826,information retrieval
Q105160122,federated SPARQL query,query that is distributed over different SPARQL endpoints combining them to produce a result,Q11862829,academic discipline,,,Q105159989,federated query
Q5442878,feminist anthropology,subdiscipline of anthropology,Q106720965,branch of anthropology,,,Q23404,anthropology
Q116845672,film composition,subdiscipline of music composition,Q11862829,academic discipline,,,Q105107008,music composition
Q43015,finance,"academic discipline studying businesses, financing, investments and protection of economic value",Q11862829,academic discipline,,,Q113141571,"banking, finance and investment studies"
Q1409472,fire ecology,scientific discipline concerned with natural processes involving fire in an ecosystem and the ecological effects,Q104193250,branch of ecology,,,Q113114755,ecological applications
Q109276098,fish genetics,study of the genetics of fish,Q11862829,academic discipline,,,Q110310405,animal genetics
