qid,label,fast_id,gnd_id,lcsh_id,ddc,aat_id,lcc
Q1383285,Pedagogy of Religious Education in Schools,,4049412-3,,,,
Q9168,Persian,,4065403-5,sh85100070,491.55,300389088|300266822|300389087,
Q1517478,Pontifical Xavierian University,,,n81037147,,,
Q1381199,Protestant theology,,4015875-5,sh85107714,230.044,,
Q58635,Punjabi,1052139,4211719-7,sh85097451,491.42,300389057,
Q188602,Purana,,,n79139448,,,
Q26185,Quaternary,,4048009-4,sh85097144|sh85054111,551.79,300391278,
Q7335662,Ripon College,641378,,n88668016,,,
Q19814,Romance languages,,4115788-6,sh85114953,440,300389149,
Q1277348,Romance studies,1099881,4050484-0,sh85114963,840|440,,
Q2077256,Romanian literature,,,sh85115040,850,,
Q220,Rome,1204500,4050471-2,n79018704,2--45632,,
Q7737,Russian,,4051038-4,sh85115971,491.7|6--9171,300389168,
Q55693890,Russian philology,,,sh85116004,,,
Q11059,Sanskrit,,4051642-8,sh85117331,491.2,300389206|300389205,
Q922219,Scandinavian studies,,4077478-8,,,,
Q2251373,Schulmusik (Studienfach),,4124150-2,,,,
Q34049,Semitic,,4116476-3,sh85119961,492,300389236,
Q26331146,Serbo-Croatian studies,,,sh85120203,,,
Q457753,Sharia-compliant banking,,4272560-4,sh88004780,,,
Q33997,Sindhi,,,sh85122803,491.41,300389278,
Q23526,Slavic,,4120036-6,sh85123361,491.8,,
Q1321,Spanish,,4077640-2,sh85126261,460,300389311,
Q238499,Spanish literature,,7507710-3,sh85126268,860,,
Q7634642,Sufi psychology,1137266,,,,,
Q1864603,Tibetologist,,7635239-0|7635240-7,,,,
Q1143760,Tibetology,,4278702-6,,,,
Q8427,Turkology,,4186473-6,sh85138870,494.3|894.3,,
Q7161124,Universidade de Passo Fundo,,,n83007526,,,
Q1468481,University of Deusto,,1010559-1,n79084198,,,
Q2303432,University of Oviedo,533242,38079-9,n79059486,,,
Q339482,University of Oñati,,,no93033904,,,
Q6113985,Upanishads,,4062067-0,n80020526,,,
Q39950,Vedas,,,sh85142464|n80009843,,300386788,
Q1688921,Yiddish studies,,4162748-9,,,,
Q34311,Yoruba,,4120403-7,sh85149236,,300389608,
Q326653,accountant,,4122969-1|7586536-1,sh85000405,,300024982|300024985,
Q4116214,accounting,795379,4048732-5,sh85000411,657,300054345,HF5601-HF5688
Q860374,accounting studies,,4069455-0,,,,
Q222749,acting,,4012899-4,sh85039329,792.028,300264355,
Q33999,actor,,4052154-0|4153179-6,sh85000744,792.028092,300025658,
Q180507,adaptive radiation therapy,,4057833-1,sh00005896,615.842,,
Q171251,administrative law,,,sh85000913,342,,K3400-K3431
Q1319035,adult education,,4015428-2,sh85001028,374,300254108,
Q37038,advertising,797511,4065541-6,sh85001086,659.1|658.8,300054347,
Q8424,aerodynamics,,4000589-6,sh85001295,533.62|620.1074|629.1323,300056101,
Q4828699,aeronautical engineering,,4168244-0,,629.13,300162449,
Q8421,aeronautics,,,sh85001319,629.13,300138817,
Q3798668,aerospace engineering,798623,,sh95007821,629.1,300054478,
Q1955326,aesthetics of music,,4040808-5,,,,
Q4693953,agricultural communication,,,sh85029049,,,
Q3345348,agricultural education,800702,,sh85002310,,,S530-S539
Q10272925,agricultural engineer,,7546982-0|4141636-3,,,,
Q12159342,agricultural engineering,800726,,sh85002313,630,,
Q4693964,agricultural extension,,4034407-1,sh85002298,,,
Q11451,agriculture,801355,4034402-2,sh85002415,630,300054463,S1-S790.3
Q180969,algebraic geometry,,4001161-6,sh85054140,516.35,,
Q623221,algorithmic game theory,,1133091814,,,,
Q69570620,americanistics,,4142196-6,,427.973|810,,
Q474471,ampelography,,4419761-5,,634.8,,
Q615057,anaesthesiology,,4142321-5,sh85004972,,,
Q4752891,ancient Near Eastern studies,,4142081-0,,,,
Q2990593,animal behavior,,4062860-7,,,,QL750-QL795
Q80962,animal husbandry,,4117220-6,sh85005169,636,300254388,
Q11425,animation,809628,7703314-0,sh85005291,778.5347,300053160,
Q4773904,anthropologist,810184,4142642-3|4254397-6,sh85005579,301.092,300025583,
Q368325,anthropology of media,,,sh2003004295,,,
Q3737629,applied ecology,,,sh96009482,,,QH541.29
Q321249,applied linguistics,,4127822-7,sh85006168,418,300054247,
Q33521,applied mathematics,,4142443-8,sh93002523,519,300054524,
Q373065,applied physics,,4193885-9,,621,300054560,
Q235258,aqidah,,4900632-0,,,,
Q14623005,architectural draftsperson,,4125167-2|1139912127,,,300438663,
Q150737,architectural engineering,,4144204-0,,,,
Q50637,art history,,4138803-3,sh85007488,709,300054233,
Q11629,art of painting,,4037213-3,,750,300054216,
Q11634,art of sculpture,,4046277-8,sh85119004,730,300264383,NB1-NB1952
Q17386174,astronautical engineering,,4177061-4,,620.419|629.47,,
Q542,athletics,820127,4035163-4,sh85009153,796.4|796.42,300189623,
Q706835,auto mechanic,,4698904-3|4288271-0|4288272-2,sh85010164,629.222092|629.2092|629.2023,,
Q190117,automotive industry,,4032690-1,sh90002778,338.47629222,,
Q186531,axiology,,4079189-0,,,300054283,
Q184631,ballistics,,4004356-3,sh85011312,531.55,300232690,
Q463604,baltistics,,4576777-4,,,,
Q647525,behavioral economics,,7751254-6,sh85040859,,,HB74.P8
Q134995,bibliography,831351,4006432-3,sh85013838,010,300026497,
Q2901245,bibliology,,4146819-3,,002,,
Q603441,bibliometrics,,4145244-6,sh85013873,020.727,,
Q194294,bioethics,,4006791-9,sh85014136,174.957|205.64957|241.64957,,QH332
Q128570,bioinformatics,,4611085-9,sh00003585,570.285|004.015,,
Q3381576,black-and-white photography,,4121634-9,sh99002613,778.62|771,300162056,
Q15078788,broadcasting,839187,4050963-1,sh85017004,,300054351,
Q4986607,building services engineering,,4188027-4,,,,
Q811338,buildings archaeology,,4144149-7,sh85017757,,300266711,
Q4830453,business,842519,4061963-1,sh85018260,338.7,300025971|300160084,
Q24208053,business economics,,4507951-1,,330,,
Q126552,business informatics,,4112736-5,,,,
Q62689,cameralism,,4163148-1,,,,
Q2012719,cancer immunotherapy,,,sh87002642,,,
Q188462,canon law,,4073199-6,sh85019646,262.9,300235953,
Q235007,cardiac surgery,,4024641-3,sh85059711,617.412,,
Q3264451,cardiologist,,7627836-0|4202582-5,sh85020211,616.120092,,
Q203605,carpentry,,,sh85020435,694,300054085,
Q1735729,catechesis,,4073302-6,,268,,
Q13464614,ceramic art,,,,738,300151343|300386879,
Q911772,chemical technology,,4078178-1,sh85023029,,,
Q1455871,child care,,4278357-4,,,,
Q1029430,child protection,,4028935-7,sh85023396,,,
Q8812109,church music,,4030736-0,sh85025650,,,
Q16144339,cinema,,,,,300054141,
Q590870,cinematography,861484,,sh85026014,777,300054227,
Q2089905,circuit theory,,4171531-7,,,,
Q191600,civil and political rights,,,sh85026371,323,300068783,JC571
Q13582652,civil engineer,,4004812-3|1024171515,sh85026338,,300025070,
Q222249,civil law,,,sh85026344,,300054414,K623
Q1669589,classical archaeology,,4164039-1,,,300054331,
Q9730,classical music,,4164043-3,,781.68,,
Q16267607,classical philologist,,4199241-6|7626721-0,,,,
Q499500,clinical pathology,,4073931-4,sh85037496,,,
Q155491,clinical pharmacy,,4164215-6,,,,
Q63346654,clockmaking,,,,,300053600,
Q26643,commerce,,,,380,,
Q219186,commercial law,,4023249-9,sh85028940,343,,
Q1078351,communication science,,4120588-1,,302.2,,
Q878226,comparative linguistics,,4187739-1,sh85029301,410,,P143-P143.3
Q834903,comparative literature,,4062843-7,sh85077534,809,300054274,
Q1075827,comparative religion,1093898,,sh85112599,,,
Q207628,composed musical work,,4133320-2,,781.3,300417577,
Q1122625,computational visualistics,,7535806-2,,,,
Q68,computer,872776,4070083-5,sh85029552,004|621.39|004.1,300024521,
Q2670846,computer algebra,,4010449-7,,,,
Q428691,computer engineering,,4196734-3,sh85029495,004|621.39,,
Q82594,computer scientist,,4139395-8|4219059-9,sh85029497,004.092,300236481,
Q1461602,computer-supported cooperative work,,4288972-8,sh92006326,,,
Q2515460,constitutional history,,7504377-4,sh85031326,,,
Q11206,constitutional law,,4062801-2,sh85031329,342,,
Q385378,construction,840551,,,624|690,300054608,TH
Q833495,consumer choice,876441,4132976-4,sh85031496,,,
Q3674740,coordination chemistry,,4133952-6,,,,
Q2609670,corporate law,,,sh85032912,,,
Q2474068,cosmetology,,,sh85012726,613.488|646.72,,
Q631942,cosmography,,,sh85033167,,300054287,
Q586060,creative writing,882489,4165550-3,sh85033847,808.02|808.3,,
Q117488,criminal justice,,4057789-2,sh85034049,345.01,,
Q146491,criminal law,,4057795-8,sh85034058,345,300054415,
Q1141276,crisis management,,4127374-6,sh85034122,658.4056,,HD49-HD49.6
Q858517,cultural history,,7503708-7,,,,
Q997515,cultural institutions studies,,4309943-9,,,,
Q182290,customs agency,,4263956-6,sh85034969,382.7,,
Q123637,cybernetics,,4033888-5,sh85035046,003.5,300054473,Q300-Q390
Q11639,dance,,4059028-8,sh85035659,792.8,300054144,
Q389772,data transmission,,4011150-7,sh85037972,,,
Q489933,dental assistant,890382,4706766-4|4673587-2|4067294-3|4270011-5,sh85036862,,,
Q302542,deontic logic,,4133538-7,sh85037000,160,,
Q120207900,development finance,,4454600-2,,,,
Q134293,dharma,,4135700-0,,,300264384,
Q860372,digital art,,4010453-9,sh00007354,776,300386810,
Q1055825,digital journalism,,,sh2004000803,,,
Q93438884,directing,1149278,,sh85134542,,,
Q2137554,direction,,4177403-6,sh85099826,,,
Q3153007,distributed artificial intelligence,,4281805-9,sh88004324,,,
Q849697,doctorate,,4150376-4,,,300312081,
Q1235146,documentary filmmaker,,1175958913|1175959111,,,,
Q615498,documentary photography,,4142019-6,sh85101277,,300134547,
Q25372,drama,,,sh85039316,792.12,300417554|300054152,
Q492537,dramaturgy,,4124796-6,sh85039386,792.0233|791.430233,,
Q93184,drawing,,4127900-1,sh85039408,741,300033973,
Q1472221,early childhood education,900596,,sh87007854,,300054362,
Q5308718,early modern period,,7503866-3,,909.08,,
Q1577380,ecclesiastical law,,4056656-0,sh85040680,262.9,,
Q187097,economic geography,,4066446-6,sh85054016,330.9,,
Q582577,economic policy,902025,4066493-4,sh85040837|sh99005752,338.9,,HD87-HD87.55
Q806718,economics of banking,,4129045-8,sh85011609,332.1,,
Q59157,educational psychology,,4044321-8,sh85041141,,,LB1050.9-LB1091
Q1656208,ego psychology,903891,4123407-8,sh85041254,,,
Q126095,electronic engineering,,,,,300253978,
Q211830,emeritus,,4152069-5,,,,
Q380170,energy conservation,,4014700-9,,333.7916,300073222,
Q1048431,enterprise architecture,,7856257-0,,,,
Q3908516,entrepreneurship,,7588126-3,,338.04,,HB615
Q16000091,environmental design,,,,,300251190,
Q929380,environmental resource management,,4201709-9,sh95010683,,,
Q12765408,epidemiologist,,1028597347|1130736415,,,,
Q41870,ethnic studies,,,,,300197770,
Q18366,experimental physics,,4132579-5,,530.078,,
Q7884093,family and consumer science,,4023828-3,,,,
Q623006,family economics,,4123185-5,sh95007409,,,
Q29583,fashion design,,7510814-8,,,300138708,
Q8253,fiction,,4192723-0,sh85048050,,300055918,
Q12765827,film direction,,4129888-3,,,,
Q932586,film production,,4124971-9,,,300263841,
Q1660187,film studies,,4154385-3,,,,
Q28793,film theory,,4071216-3,sh2008108033,,,
Q2294553,financial economics,,,,332,,
Q4738155,financial management,,4139075-1,sh85018286,,,
Q219625,fine art,,,,,300054195,
Q1066582,fine-art photography,,,sh85101269,,,
Q484181,fiqh,979949,4409409-7,sh85068454,,,
Q107711,firefighter,,4154284-8|7521348-5,sh2002006171,363.37023|363.37092,300025862,
Q635139,fishing industry,,4017345-8,sh85048666,,,
Q36192,folklore,,4063849-2,sh85050104,390|398,300055920,GR1-GR950
Q1039642,food technology,,4034901-9,,664,,
Q1004343,fundamental theology,,4018877-2,sh85006028,230.01,,
Q1957816,furniture design,,,,,300435227,
Q1995140,galaxy formation and evolution,,,sh94008658|sh85052765,,,
Q1144718,gas kinetics,,4019339-1,sh85053291,533.2,,
Q83437,gemstone,,4052949-6,sh85053712,553.8,300201964,
Q1517835,gender history,,4547810-7,,,,
Q10660901,general economics,,4078943-3,,,,
Q1456948,geobotany,,4132141-8,,581.7,,
Q751404,geodetic astronomy,,4139787-3,,,,
Q1265151,geoecology,,4137703-5,,,,
Q918779,geoinformatics,1930737,7571300-7,sh2015002292,,,
Q159385,geopolitics,,4156741-9,sh85054192,320.12,300255147,JC319
Q127993,geothermal energy,,4020285-9,sh85054271,333.88,300055221,
Q52120,glaciology,942986,4205614-7,sh85055077,551.31,,
Q7181,globalization,,4557997-0,sh99010179,303.4|337,300379578,JZ1317.5-JZ1324
Q7188,government,,4049012-9,sh00005941,321,300055499|300386741,
Q20665717,government procurement,,,sh85056099,,,
Q185925,graphic design,,,,760,300054181,
Q1027879,graphics,,4021845-4,sh85056474,,,
Q1221899,gynaecology,949684,4018225-3,sh85058092,618,,
Q234343,hadith,950112,1153832267,sh85058192,,,KBP450
Q1137608,health administration,,,sh85059600,,,
Q1798773,"heating, ventilation, and air conditioning",,4031177-6,,697,,
Q5712543,hemorheology,,4123326-8,sh88007874,,,
Q861699,herbalism,,4774268-9,,636.0895321|615.53|615.321,,
Q9826,high school,,4159840-4,,373,300343452,
Q1109432,hispanism,,,sh85126190,,,
Q201788,historian,957686,4025098-2|4333423-4|4155430-9|7538693-8,sh85061091,907.202,300025539,
Q914856,historic preservation,957821,4011455-7,sh92002913,,300054166,
Q47491145,historical phonology,,,sh2002006230,,,
Q50675,historiography,958221,4020531-9,sh85061211|sh00006046,907.2,300055926,D13-D15
Q235329,history of Christianity,,4030720-7,,,,BR140-BR1510
Q28926,history of Iran,,,sh85067895,955,,
Q642379,history of Islam,,,sh87000556,,,
Q556079,history of Palestine,,,sh85097166,900|933,,
Q50641,history of art,,7503709-9,,,,
Q107478,history of film,,,sh87002438,,,
Q570018,history of ideas,,4138031-9,sh85067166,001.09,,
Q6497044,history of literature,,7503748-8,sh85077519,809,300174173,
Q27654,history of philosophy,,,,109,,
Q51615,history of the Middle East,,,sh85090506,956,,
Q425694,home economics,,4159290-6,sh85061673,640,300054406,
Q33487,homophobia,959727,,sh88006552,306.766,,
Q48803,horticulture,,4019294-5,sh85062204,635,300054512,
Q64809639,hotel management,,,sh85062482,,,
Q177626,human migration,,4120730-0,,325,300263931,
Q2602563,human nutrition,,4015332-0,,,,
Q1056396,human resource management,,4076000-5,sh85100143|sh00006939,023,,
Q8458,human rights,,4074725-6,sh85026379,323,300404862,K3236-K3268.5
Q207434,human–computer interaction,963494,4125909-9,sh88003229,,,QA76.9.H85
Q178659,illustration,,4123412-1,sh99001255,741.64,300015578,
Q10535277,inductive logic,,4161594-3,,004.015113|160|161|511.3,,
Q2045692,industrial and organizational psychology,,4135097-2,sh85108476,,,
Q6745636,industrial chemistry,,,,660,,
Q243606,industrial design,,4072788-9,sh85037199,745.2,300054183,
Q2267418,industrial engineer,,,,,300025082,
Q4489420,industrial engineering,,4026775-1,sh85065864,670,300054494,
Q932071,industrial relations,,,sh85065928,331,300054408,
Q1254373,information engineering,,4205982-3,,,,
Q579488,information management,,4114012-6,sh85066147,,300054624,ZA3085.5
Q11661,information technology,,4026926-7,,,300128218,
Q1473265,information technology management,,,sh2008006980,,,
Q794803,innovation management,,4161817-8,sh2008112644,,,
Q1195695,intellectual history,,,,,300054397,
Q1205196,intercultural communication,,4033569-0,sh85067222,303.482,,HM1211
Q179232,interior design,,,,747,300054184,
Q6054533,international communication,,,sh85029042,,,
Q4394526,international law,,4063693-8,sh85067417,341,300054418,KZ
Q1762091,international politics,,4072885-7,,,,
Q166542,international relations,977053,,sh85067435,327,300054441,
Q3312693,international security,,,sh85119471,327.116,,JZ5586-JZ6009
Q178803,international trade,977128,4003832-4,sh87004890,382,,
Q210439,interpretation,,4150394-6,,418.02,,
Q8341,jazz,,4028532-7,sh85069833,781.65,300266367,
Q18822510,jazz singing,,,n2004079564,,,
Q326358,joiner,983848,4125471-5|4288284-9,sh85070643,684.104023|684.104092,300025378|300025376|300025370,
Q11030,journalism,984032,4028779-8,sh85070736,070|070.4023,300054354,
Q1709909,journalism studies,,4337135-8,,,,
Q1930187,journalist,984188,4028781-6|4028786-5,sh85070788,070.4023|070.92|070.4082,300025501,
Q471855,jurisdiction,,,sh85071077,,,
Q185351,jurist,,4029050-5|4130076-2,,340.092,300236907,
Q629350,labor studies,,4002808-2,,,,
Q47844,landscape architecture,991814,7700528-4,sh85074398,712,300054157,
Q738011,landscape ecology,,4034352-2,sh90002545,577|333.72,,
Q246107,landscape planning,,4034354-6,,,,
Q315,language,,4056449-6,sh85074518,400,300055193,
Q2313213,language education,,4056505-1,,,,
Q6495391,late modern period,,,,909.8,,
Q40348,lawyer,994346,4048755-6|4177191-6,sh85075351|sh00006383,340.092,300025627,
Q484275,leadership,,4018776-7,sh85075480,658.4,,
Q178433,lexicology,,4114409-0,sh85076359,413,,
Q189329,liberal arts education,,4143124-8,,,,LC1001-LC1024
Q13420675,library and information science,,,,,,Z664.2-Z718.85
Q856600,library history,,4306765-7,,,,
Q58854,literary criticism,883735,4036020-9,sh85034149,800,300174160,PN80-PN99
Q172331,liturgy,,4036050-7,sh85077734,203.8,300055983,BV169-BV199
Q177777,logistics,,4036210-3,sh85078128,,,
Q2549249,magnetohydrodynamics,,4130803-7,sh85079784,538.6,,
Q899279,management control system,,4070102-5,,,,
Q2414942,management science,1007306,,sh85080363,658,,
Q11049265,manufacturing engineering,,1072438291,,,,
Q39809,marketing,,4037589-4,sh85081333,658.8,300054673,
Q1143466,marketing management,,,sh85081339,,,
Q853710,mass communication,,4037875-5,,,,
Q11033,mass media,1011219,4037877-9,sh85081863,302.23,300055812,
Q183816,master's degree,,4706762-7,,,300312342,
Q2143054,material culture,,4051157-1,,,300054239|300263553,
Q751611,mathematical biology,,,sh85014235,570.151,,
Q15824073,means of communication,,4169187-8,,,,
Q1906857,mechanical engineer,,4168997-5|7627826-8,,,,
Q50636,media history,,4114544-6,,,,
Q1212747,media informatics,,4875411-0,,,,
Q1507246,media literacy,,4680767-6,sh96010160,,,
Q165650,media studies,,4169194-5,,,,
Q223871,mediation,,4191538-0,sh85082846,303.69,300258346,
Q14970638,medical assistant,,4270817-5|4003163-9,,,,
Q931309,medical imaging,,4006617-4,sh85037507,616.0754,,
Q1120908,medical physics,,4130758-6,sh85083001,610.153,,
Q15812036,medieval German studies,,4142065-2,sh85054412,,,
Q1163234,medieval Latin,,,,477,300388857,
Q1671076,medieval archaeology,,,sh85006512,940.1,,
Q119190,medieval studies,,4038217-5,sh85085002,,300389816,
Q1175969,mental hygiene,,4047698-4,,,,
Q11467,metallurgy,,4074756-6,sh85084158,669,300054499,
Q1934048,micro system technology,,4221617-5,,,,
Q175403,microelectronics,,4039207-7,sh85084822,621.381,300253974,
Q627716,military aviation,,,sh85001371,,,
Q192781,military history,1021222,4169943-9,sh85085207|sh00005863,355.009,300249450,
Q1483473,military history of the United States,,,sh85140338,,,
Q192386,military science,,4169977-4,,350,,
Q219087,military strategy,,4309237-8,sh85128514,355.02,,
Q44497,mining,,4005614-4,,622,300054710,
Q1370637,mining engineering,1022890,4170498-8,sh85085712,,,
Q910375,missiology,,4170151-3,,,,
Q3317838,modeling,,,sh85086422,,300053130|300053130,
Q3281534,modern period,,4171678-4,sh85061236,,,
Q7202,molecular biology,1024734,4039983-7,sh85086577,572.8|611.01816,300054470,
Q55213915,molecular design,,4265444-0,,,,
Q2007033,molecular phylogenetics,,,sh2003004725,,,
Q15195740,moral theology,,4074972-1,,205,,
Q1851434,morphometrics,,4140696-5,,,,
Q41253,movie theater,,4129654-0,sh85088079,725.823,300007135,
Q460162,museology,1030114|2033919,4170787-4,sh85088722|sh2021008605,069,300054275,
Q10590700,music history,,4456406-5,,,,
Q2001895,music paleography,,,sh85097089,780.262,,
Q959049,music production,,4235850-4,,,,
Q193544,music theory,1030620,4040876-0,sh85088826,781,300417579,MT5.5-MT7
Q1049625,musical improvisation,968306,,sh85064678,781.36,,
Q1370345,musical theater,,4040874-7,,,,
Q382451,narratology,,4152975-3,sh85038364,,,
Q6456916,national economy,,4063885-6,,,,
Q258307,national security,,,sh85090122,,,
Q123654087,nautical cartography,,,,623.8922,,
Q1045712,neuroeconomics,,,sh2005008805,,,
Q683794,new media,,4196910-8,,302.231,,
Q378604,new media art,,4113418-7,,,300386814,
Q1097688,non-parametric statistics,,,sh85092349,,,
Q83504,nuclear engineering,1040032,,sh85092968,621.48,,
Q81197,nuclear physics,1040386,4030340-8,sh85093024,539.7,300054569,
Q186360,nurse,1041618,4165516-3|4032826-0,sh85093349,610.73092,300156142,
Q3475757,nursing science,,7603053-2,,,,
Q5284418,obstetrics,1042994,4019604-5,sh85093768,618.2,,
Q2064531,occupational safety,,4068817-3,,,300179384,
Q380141,occupational therapy,,4673586-0,sh85093850,616.89165|615.8515,300189220,
Q161437,ophthalmology,,4003593-1,sh85095071,617.7|617,,
Q14620,optics,1046845,4043650-0,sh85095181,535,300054570,
Q618211,optometry,,,sh85095209,617.75,300237219,
Q13445028,oral hygiene,,4067327-3,sh85087992|sh85036893,,,
Q3673891,oral medicine,,4077924-5,sh85128280,617.522|617.6,,
Q2027981,oral surgery,,4040729-9,sh85088002,,,
Q19483216,organizational behavior studies,,,sh85095524,,,HM791
Q149584,organizational theory,,4121434-1,sh91002392,,,
Q237200,organometallic chemistry,,4602390-2,sh86004134,547.05,,
Q189553,otolaryngology,1048946,4023088-0,sh85096050,617.51,,
Q3374341,painting,,,,,300161986,
Q7132695,paper studies,,,,,300260338,
Q7140480,particle-size analysis,,,,,300379895,
Q2056335,pastoral theology,,4075925-8,sh85098604,253,,
Q2056817,patholinguistics,,4075929-5,,,,
Q1741837,pediatric nursing,1056451,4129486-5,sh85099163,,,RJ245
Q1430816,pediatric surgery,,7509388-1,sh85023483,617.98,,
Q1399956,performance management,,,sh2008109057,,,
Q184485,performing arts,1057887,4129566-3,sh85099818,792|306.484|353.77|790.2|791,300054140,
Q938196,periodontology,,,sh85099922,,,
Q319616,pharmacognosy,,4045693-6,sh85100596,615.321,,RS160-RS167.2
Q614304,pharmacy,,4045705-9,sh85100603,615.1,300054520,
Q543219,pharmacy technician,,4045704-7|4748762-8,sh85100623,,,
Q1257388,philosophy and economics,,4066489-2,sh2008102562,,,
Q564371,philosophy of education,,4070955-3,,,,
Q11633,photography,1061714,4045895-7,sh85101206|sh00006943,770,300054225,TR
Q506858,photojournalism,1062022,4212482-7,sh85101288,,300054229|300386725,TR820
Q243253,physical education,,4077704-2,sh85101517,613.7,,
Q1294199,physics education,,4045977-9,sh85101667,,,
Q186005,physiotherapy,1062771,4045960-3,sh85101568,615.82,300156146,
Q486748,pianist,,4131406-2|4426550-5,sh85101720,786.2092,300235018,
Q5994,piano,,4030982-4,sh85101722,786.2,300042909,
Q1078913,plastic arts,,4046277-8,,,300311925,
Q835023,poetics,,4046449-0,sh85103703,801.93|808.1,300069325,
Q482,poetry,1067691,,sh85103704,808.81,300055931,PN1010-PN1551
Q47555,political economics,,4115586-5,,330,,
Q191320,political geography,,4046535-4,sh85054025,320.12,,Z6004.P7
Q1494494,political science and government,,4182687-5,,,,
Q745692,political sociology,,4046558-5,sh85104457,306.2,,
