qid,label,description,instance_of,instance_of_label,part_of,part_of_label,subclass_of,subclass_of_label
Q110408083,Archaeology of New Guinea and Pacific Islands (excl. New Zealand),field of research,Q11862829,,,,Q110408063,
Q112913855,"Architectural history, theory and criticism",field of research,Q11862829,,,,Q12271,
Q4787060,Architectural management,field of research,Q11862829,,,,,
Q4787572,Arctic geoengineering,climate change moderation effort,Q11862829,,,,Q921851,
Q513850,Armenian studies,field of research,Q11862829,,,,Q12211529,
Q114029871,Aromanian studies,Academic field centered on the study of the Aromanians,Q11862829,,,,,
Q12778063,Art studies,scientific discipline,Q11862829,,Q113296040,,Q944537,
Q119441624,Arthurian Studies,field of study,Q11862829,,,,Q208217,
Q25305034,Artificial economics,,Q11862829,,,,Q8134,
Q4801532,Arts in education,learning through arts experiences,Q11862829,,,,,
Q137303847,Arts in health,"Interdisciplinary field that studies and applies the arts to support health, wellbeing, and healthcare in community, clinical, and public health contexts.",Q11862829,,Q5690958,,Q5690958,
Q4806576,Asian American studies,Academic study of Asian American history and experiences,Q11862829,,,,Q1143546,
Q105396037,Asian and African studies,academic field,Q11862829,,,,Q928786,
Q100709157,Asian law,law of Asian countries,Q11862829,,,,Q4932206,
Q4806809,Asian studies,"study of Asia and Asian history, cultures, languages, etc.",Q11862829,,,,Q928786,
Q156859,Assyriology,study of ancient Mesopotamian cultures and languages,Q11862829,,,,Q4752891,
Q121046284,Assyriology,subject taught by the Department of Cross-Cultural and Regional Studies at the University of Copenhagen,Q11862829,,,,Q156859,
Q98593295,Atlantic Canada studies,,Q11862829,,,,Q4676302,
Q778187,Atmospheric dispersion modeling,mathematical simulation of how air pollutants disperse in the ambient atmosphere,Q11862829,,,,Q1116876,
Q1151533,"Atomic, molecular, and optical physics",study of matter-light interactions at small scales,Q11862829,,,,Q413,
Q4825228,Australian studies,academic field of cultural studies of Australia,Q11862829,,,,Q1595873,
Q9162435,Austronesian studies,,Q11862829,,,,Q476294,
Q104870168,Automation in construction,"combination of methods, processes, and systems",Q11862829,,,,Q385378,
Q110259434,Automotive engineering materials,field of research,Q11862829,,,,Q228736,
Q137918344,Avestan studies,subfield of linguistics,Q11862829,,,,,
Q24901047,Bachelor of Letters,academic degree,Q11862829,,,,,
Q27779502,Bahá'í studies,scholarly study of the Baháʼí Faith,Q11862829,,Q22679,,Q476294,
Q18110384,Bangla studies,academic field studying the Bengali culture,Q11862829,,,,Q625510,
Q4867057,Basic writing,"subdiscipline of composition studies focused on ""remedial"" or ""underprepared"" students",Q11862829,,,,,
Q4874481,Bayesian statistics,statistics theory that uses Bayes’ theorem to compute and update probabilities after obtaining new data,Q11862829,,Q12483,,,
Q133878530,Behavioral law and economics,application of behavioral economics to legal systems,Q11862829,,,,Q647525,
Q110259463,Behavioural epidemiology,field of research,Q11862829,,,,Q3919817,
Q816139,Belarusian studies,science dedicated to Belarus research,Q11862829,,,,Q156864,
Q136753014,Belief studies,"research about what people believe including their factors, reasons, and demographics",Q11862829,,,,,
Q2482496,Berestology,study of birch bark manuscripts,Q11862829,,Q179957,,,
Q136466753,Biasology,"Field of study focused on the role of epistemic injustice, diagnostic bias, and systemic misinterpretation of neurodivergent and relational experience.",Q11862829,,,,Q27333716,
Q47489173,Bible as literature,,Q11862829,,,,Q1965350,
Q110895422,Biodiscovery,collection and use of biological material for commercial applications,Q11862829,,,,,
Q112969963,Biogeography and phylogeography,field of research,Q11862829,,,,,
Q106508917,Biogerontology,sub-field of gerontology,Q11862829,,,,Q10387,
Q423731,Biographical evaluation,subfield of hadith studies that aims to distinguish reliable from unreliable hadith,Q11862829,,Q2737409,,,
Q110231341,Bioinformatics and computational biology,field of research,Q11862829,,,,Q420,
Q107292784,Biomagnetics,,Q11862829,,,,Q7108,
Q112933755,Biosecurity science and invasive species ecology,field of research,Q11862829,,,,Q113114755,
Q110955047,Black Canadian studies,"study of Black communities, culture, history and experiences in Canada",Q11862829,,,,Q1143546,
Q47011897,Black Loch Crannog,"crannog in Dumfries and Galloway, Scotland, UK",Q11862829,,,,,
Q136455925,Brazilian studies,area of research on Brazil,Q11862829,,,,Q1721024,
Q112939639,British and Irish literature,field of research,Q11862829,,,,,
Q764912,British literature,literary works published in Great Britain or by British writers,Q109551565,,Q112939639,,Q8242,
Q4971458,British studies,study of culture and history of Britain,Q11862829,,,,,
Q114562193,Brussels studies,"interdisciplinary academic field focused on Brusselian history, society and culture",Q11862829,,,,Q23578769,
Q1000976,Buddhist studies,academic study of Buddhism,Q11862829,,,,Q34187,
Q5258544,Buddhology,,Q11862829,,,,Q34187,
Q2882044,Buffy studies,academic study of the Buffyverse,Q11862829,,,,Q2065951,
Q112969975,Building information modelling and management,field of research,Q11862829,,,,Q385378,
Q4098870,Bulgakov studies,literary studies dedicated to Mikhail Bulgakov,Q11862829,,,,Q208217,
Q4090659,Bulgarian studies,academic discipline,Q11862829,,,,Q464974,
Q113408511,Bunin studies,literary studies dedicated to Ivan Bunin,Q11862829,,,,Q208217,
Q115669827,Burkina Faso studies,Broader: African studies,Q11862829,,,,,
Q4999358,Burma studies,"study of Burma (Myanmar) and Burmese history, culture, etc.",Q11862829,,,,Q7569309,
Q115669332,Cameroon studies,Broader: African studies,Q11862829,,,,,
Q4676302,Canadian studies,"academic field studying Canadian culture and society, history, government, literature, etc.",Q11862829,,,,Q1277348,
Q112939624,Cancer cell biology,field of research,Q11862829,,,,Q85709956,
Q115669342,Cape Verde studies,Broader: African studies,Q11862829,,,,,
Q85710429,Caribbean studies,study of cultures associated with the Caribbean Sea region,Q11862829,,,,Q928786,
Q124610402,Cartographic Communication,term describing communication in cartography,Q124610405,,,,Q42515,
Q2690276,Cartographic Semiology,particular field of semiology and visual semiotics,Q11862829,,,,,
Q124623978,Cartography & GIS,field of study at university / college/institute/academy,Q11862829,,Q106387954,,Q124624035,
Q1735560,Catalan philology,study of Catalan language and literature,Q11862829,,,,Q24260742,
Q591016,Catholic Bible,Catholic Church canon of Bible books,Q11862829,,,,Q5110307,
Q5775590,Catholic dogmatic theology,branch of Catholic theology,Q11862829,,Q5775678,,Q1367940,
Q25109832,Catholic ecclesiology,theological study of the Catholic Church,Q11862829,,Q223693,,Q223693,
Q118874912,Catholic studies,interdisciplinary academic field,Q11862829,,,,,
Q112956335,Cellular interactions,field of research,Q11862829,,,,Q7141,
Q5058556,Celtic literature,literature from or relating to the Celtic nations,Q11862829,,Q9706709,,Q8242,
Q27997,Celtic studies,study of cultural output relating to the Celtic-speaking peoples,Q11862829,,,,Q40634,
Q5060376,Central Asian studies,academic discipline,Q11862829,,,,Q4806809,
Q23019169,Central European studies,academic field,Q11862829,,,,Q1377029,
Q48127094,Chekhov studies,literary studies dedicated to Anton Chekhov,Q11862829,,,,Q208217,
Q5095927,Chicana/o studies,"study of Chicana/os, Latina/os and Mexican-Americans",Q11862829,,,,Q23010571,
Q5097921,Child safeguarding,"measures to protect the health, well-being and human rights of individuals",Q11862829,,,,Q21010924,
Q5369632,Chinese Classical Studies,,Q11862829,,,,Q9581,
Q756615,Chinese art,art originated in China,Q25679497,,Q12781386,,Q13150034,
Q30921574,Chinese epigraphy,epigraphy of ancient Chinese steles and inscriptions,Q11862829,,,,Q181260,
Q133908,Chinese historiography,study of methods used to study Chinese history,Q11862829,,,,Q50675,
Q2135373,Chinese law,ancient and contemporary legal tradition of China,Q11862829,,,,,
Q67312597,Chinese lexicology,,Q11862829,,Q178433,,,
Q456012,Chinese literature,literary works in Chinese language,Q109551565,,Q15945785,,Q15945785,
Q5110315,Christian counseling,application of Christian theology to psychotherapy,Q11862829,,,,Q7143049,
Q124399811,Christian economic ethics,moral guidance on economic behavior in Christian tradition,Q11862829,,Q85033220,,,
Q2665156,Christian ethics,branch of Christian theology that defines virtuous behavior and wrong behavior from a Christian perspective,Q11862829,,,,Q14254438,
Q104467841,Christian leadership,,Q11862829,,Q484275,,,
Q110419499,Christian studies,field of research,Q11862829,,,,Q1377029,
Q136505556,Cinematic Taxonomy,"A theoretical framework by Iranian scholar and filmmaker Alireza Kaveh that classifies cinema into five categories: medium, style, genre, format, and tradition.",Q11862829,,,,,
Q5124771,Civionics,combination of civil engineering with electronics engineering,Q11862829,,,,Q2858615,
Q120969801,Claims,area of research,Q11862829,,,,,
Q8011708,Classical Chinese semantics,,Q11862829,,,,Q10958685,
Q112939719,Classical Greek and Roman history,field of research,Q11862829,,Q7787,,Q309,
Q48550423,Classics,academic discipline at some universities in Sweden,Q11862829,,,,,
Q116457479,Claudel studies,discipline,Q11862829,,,,Q208217,
Q5133463,Climate change and ecosystems,How increased greenhouse gases are affecting wildlife,Q11862829,,,,,
Q110469028,Climate change law,,Q11862829,,,,Q328798,
Q112939741,Climate change processes,field of research,Q11862829,,,,Q112939747,
Q112939747,Climate change science,field of research,Q11862829,,,,Q52139,
Q115827802,Coastal hydrogeology,branch of hydrogeology,Q11862829,,,,Q179509,
Q124610929,Cognitive cartography,subdiscipline of cartography,Q11862829,,,,Q42515,
Q5145857,Collaborative software development model,area of research,Q11862829,,,,Q2904257,
Q30693854,Community Governance,,Q11862829,,,,Q1553864,
Q136759127,Computational Aesthetics,"Field of study that examines how algorithmic processes, computational systems, machine learning models, and digital environments produce, evaluate, or transform aesthetic form, perception, and meaning",Q11862829,,,,Q279438,
Q120969791,Computational folkloristics,area of research,Q11862829,,,,,
Q110259460,Computational physiology,field of research,Q11862829,,,,Q117801,
Q131289096,Computer technology,Academic major,Q11862829,,,,Q85753733,
Q83370911,Comunicação Empresarial e Relações Públicas,academic discipline,Q11862829,,,,Q1426058,
Q5159047,Concrete Industry Management,academic program developed for careers in the concrete industry,Q11862829,,,,Q8188423,
Q115669378,Congolese studies (Democratic Republic of Congo),(Zairian studies) Broader: African studies,Q11862829,,,,,
Q124811051,Conservation Biogeography,subdiscipline of Biogeography,Q11862829,,,,Q52106,
Q110408090,Conservation of Pacific Peoples heritage,field of research,Q11862829,,,,Q110408063,
Q60416418,Conservation paleobiology,Paleontological discipline,Q11862829,,,,,
Q105664419,Construction Technology,"Construction Technology, also known as ConTech, refers to the application of innovative tools, software, machinery, and methods to enhance efficiency, productivity, and safety in the construction industry.",Q11862829,,,,Q385378,
Q55338315,Contemporary Mediterranean Studies,"the academic study of European Union with focus on the contemporary mediterranean area. Including politics, economics, law and history of European Integration",Q11862829,,,,Q1377029,
Q1784169,Coptology,scientific study of the Coptic language and culture,Q11862829,,,,Q476294,
Q20122804,Creative technology,Wikimedia disambiguation page,Q11862829,,,,,
Q5186692,Critical applied linguistics,critical approach to linguistics,Q11862829,,,,Q301751,
Q5186711,Critical ethnography,,Q11862829,,,,Q301751,
Q1140539,Critical legal studies,movement in legal thought committed to shaping society based on a vision of human personality devoid of hidden interests and class domination,Q11862829,,,,Q4932206,
Q575929,Croatian studies,"the science of the Croatian language, Croatian culture and Croatian literature, a branch of Slavic studies",Q11862829,,Q114342310,,Q114342310,
Q112956198,Crop and pasture biochemistry and physiology,field of research,Q11862829,,,,Q110252479,
Q5191417,Crystal structure prediction,,Q11862829,,,,Q160398,
Q131544729,Cultural Resources Studies,Studies about Cultural Resources,Q11862829,,,,,
Q120910082,Cultural heritage access,area of research,Q11862829,,,,,
Q64869177,Culture and communication,,Q11862829,,,,Q11680831,
Q113001573,"Culture, representation and identity",field of research,Q11862829,,,,Q1143546,
Q112976895,Curriculum and pedagogy theory and development,field of research,Q11862829,,,,Q110542446,
Q59068,Czech studies,field of humanities,Q11862829,,Q16872093,,Q16872093,
Q120910095,DEO,area of research,Q11862829,,,,,
Q120969808,DL reasoners,area of research,Q11862829,,,,,
Q5225989,Darwin Industry,specialty in history of science,Q11862829,,Q201486,,,
Q840067,Defeasible reasoning,"Reasoning that is rationally compelling, though not deductively valid",Q11862829,,,,,
Q24833600,Department of Industrial Management,,Q11862829,,,,,
Q120910091,Description logic programs,area of research,Q11862829,,,,,
Q3011219,Design for X,technical guidelines for design of a product with excellence of a specific aspect,Q11862829,,,,Q1043226,
Q136715992,Didactics of Religious Education in Schools,,Q11862829,,,,Q7921,
Q136758824,Digital Epistemology,"field of study examining how digital infrastructures, algorithms, and computational systems shape the production, transmission, and validation of knowledge.",Q11862829,,Q279438,,Q279438,
Q104869363,Disability anthropology,subdiscipline of anthropology,Q11862829,,Q23404,,,
Q120910080,Discourse relations,area of research,Q11862829,,,,,
Q115669401,Djiboutian studies,Broader: African studies,Q11862829,,,,,
Q2754873,Doctor of Both Laws,scholar with a doctorate in both civil and church law,Q11862829,,,,Q4115013,
Q120969788,Document similarity,area of research,Q11862829,,,,,
Q1128227,Dravidian studies,academic study of Dravidian culture,Q11862829,,,,Q625510,
Q119285919,Dress history,study of history via clothing and textiles,Q11862829,,,,Q1066186,
Q839477,Dunhuangology,study of the ancient manuscripts found in the Mogao caves in Dunhuang,Q11862829,,,,Q269915,
Q1987969,Dutch studies,"study of Dutch language, literature, and cultural history",Q11862829,,,,Q2620112,
Q113208985,Dynamical systems applications,field of research,Q11862829,,,,Q33521,
Q3734933,EU project management,,Q96247293,,,,Q179012,
Q113098010,Earth and space science informatics,field of research,Q11862829,,,,Q918779,
Q8008,Earth science,fields of science dealing with planet Earth and its nearby planets in space,Q11862829,,,,Q107287417,
Q3013544,Earth systems engineering and management,,Q11862829,,,,,
Q162817,East Asian studies,field of scholarly enquiry and education about East Asia,Q11862829,,,,Q4806809,
Q1440799,Eastern Church Studies,,Q11862829,,,,Q34178,
Q1413113,Eastern European studies,academic discipline,Q11862829,,,,Q1377029,
Q3250393,Eastern religions,"religions that originated in East, South and Southeast Asia",Q11862829,,,,Q9174,
Q113732282,Eathworms study,,Q11862829,,,,Q431,
Q11551012,Edo studies,,Q11862829,,,,,
Q145903,Egyptology,scientific study of ancient Egypt,Q11862829,,,,Q4752891,
Q11616914,Eigaku,,Q11862829,,,,Q27968,
Q3587639,"Electronics, Electrical Engineering and Automation",academic discipline,Q11862829,,,,,
Q113203792,"Embedding Pacific Peoples knowledges, histories, culture, country, perspectives and ethics in education",field of research,Q11862829,,,,Q113203814,
Q125376696,English Rhetoric & Linguistics,,Q11862829,,,,,
Q133546019,English and Comparative Literature,degree or academic program that involves both study of the English language and comparing literature across cultures,Q11862829,,,,,
Q112977070,English and literacy curriculum and pedagogy,field of research,Q11862829,,,,Q110542446,
Q130192,English as a second or foreign language,use of English by speakers with different native languages,Q124561028,,,,Q7691272,
Q109587623,English literature,discipline that studies English-language literature,Q109551317,,Q27968,,,
Q107550344,English pedagogy,study of teaching and learning the English language,Q11862829,,Q112977070,,Q27968,
Q27968,English studies,discipline that studies the English language and literature,Q11862829,,,,Q11790583,
Q5379885,Enrollment management,,Q11862829,,,,,
Q109735643,Enterprise ontology,Study of ontology in enterprises,Q11862829,,,,Q1040393,
Q5380492,Entertainment technology,,Q11862829,,,,,
Q112939668,Environmental biogeochemistry,field of research,Q11862829,,,,Q5381367,
Q112980842,Environmental education curriculum and pedagogy,field of research,Q11862829,,,,Q110542446,
Q5381327,Environmental magnetism,,Q11862829,,,,,
Q112955700,Environmental rehabilitation,field of research,Q11862829,,,,,
Q110252455,Environmental studies in animal production,field of research,Q11862829,,,,Q5381367,
Q137780862,Epistemocriticism,study of non-literary knowledge present within literature,Q11862829,,,,Q208217,
Q136831181,Epistemology of the Image,"Theoretical field that treats the image as an active epistemological operator rather than a passive object of analysis, articulating methods such as theoretical disappropriation and critical fiction.",Q11862829,,,,Q9471,
Q115669424,Eritrean studies,Broader: African studies,Q11862829,,,,,
Q1334834,Estonian literature,literature written in Estonian or in Estonia,Q109551565,,,,,
Q257910,Ethiopian studies,overview about Ethiopian studies,Q11862829,,Q38157,,Q38157,
Q124611847,Ethnocartography,Subdiscipline of cartography and ethnography,Q11862829,,,,Q132151,
Q23019171,Eurasian studies,academic field,Q11862829,,,,Q1595873,
Q1377396,European Culture and Economy,,Q11862829,,,,,
Q64814369,European Law and Policy,Academic discipline - research on european legal and policy,Q11862829,,,,,
Q64808958,European and Nordic studies,,Q11862829,,,,,
Q15075764,European ethnology (Volkskunde),"scientific field of work, especially in German-speaking countries",Q11862829,,,,Q1143546,
Q1048268,European integration,"process of political, economic, social, and cultural integration of European states",Q370735,,,,,
Q108371114,European integration studies,academic discipline,Q11862829,,,,,
Q1377029,European studies,academic discipline,Q11862829,,,,Q1595873,
Q112939752,Evolutionary impacts of climate change,field of research,Q11862829,,,,Q112939747,
Q28130303,Exometabolomics,,Q11862829,,,,Q12149006,
Q114024742,Experimental jurisprudence,field of legal research,Q11862829,,,,Q4932206,
Q120969781,Factoid question answering,area of research,Q11862829,,,,,
Q110252335,"Farm management, rural management and agribusiness",field of research,Q11862829,,,,,
Q118906198,Fashion psychology,branch of applied human psychology,Q11862829,,,,Q538904,
Q5438164,Fault mechanics,field of study that investigates the behavior of geologic faults,Q11862829,,,,,
Q124610984,Feminist cartography,subdiscipline of cartography,Q124749729,,,,Q42515,
Q30324052,Feminist institutionalism,,Q11862829,,Q730099,,,
Q111954024,Feminist science and technology studies,,Q11862829,,,,Q2445082,
Q2088309,Filipinology,study of the Philippines and its people,Q11862829,,,,Q7569309,
Q120969816,Financial Transparency System,area of research,Q11862829,,,,,
Q657107,Financial econometrics,method to financial market data,Q11862829,,,,Q113141571,
Q64869210,Finnish and Finno-Ugrian language and culture,,Q11862829,,,,,
Q362748,Finnish studies,,Q11862829,,,,Q897219,
Q133260960,Finno-Ugric linguistics,study of Finno-Ugric languages,Q11862829,,,,Q897219,
Q897219,Finno-Ugric studies,"a research discipline of the comparative study of Finno-Ugric languages, and in a broader term the ethnolinguistic groups of their native speakers",Q11862829,,,,Q2499930,
Q116547272,Forestry biomass and bioproducts,field of research,Q11862829,,,,Q19924411,
Q116547270,Forestry product quality assessment,field of research,Q11862829,,,,Q19924411,
Q108366776,Francophone studies,academic discipline,Q11862829,,,,,
Q1453477,Freebase,online knowledge base (2007–2016),Q33002955,,,,,
Q17076284,French as a foreign language,academic discipline and major,Q124561028,,,,Q1450761,
Q105233699,French horn performance,performance of music on the French horn,Q11862829,,,,Q6942562,
Q120462065,French language and civilization,,Q11862829,,,,,
Q11333703,French language studies,discipline that studies the French language and literature,Q11862829,,,,Q11790583,
Q6689,French literature,literature written by French authors or French-speaking authors,Q11862829,,Q11891165,,Q8242,
Q90921731,French sociology,,Q11862829,,Q21201,,Q21201,
Q1450761,French studies,academic discipline and major,Q11862829,,,,Q1277348,
Q120969786,Full-Network embedding,area of research,Q11862829,,,,,
Q124623836,GIS analysis,type of analysis,Q11862829,,,,Q121775330,
Q124624042,GIS science,science about GIS; for GI Science use Q124468378,Q11862829,,,,Q124468378,
Q133898182,GIS technology,type of technology for GIS,Q11862829,,,,Q136656525,
Q125464837,Galician studies,academic discipline and major,Q11862829,,Q40634,,Q1277348,
Q61378343,Galician-Portuguese literature,,Q109551565,,Q11891165,,Q8242,
Q115669443,Gambian studies,Broader: African studies,Q11862829,,,,Q54255598,
Q1499017,Geistesgeschichte,"branch of study concerned with the undercurrents of cultural manifestations, within the history of a people, that are peculiar to a specific timeframe",Q19610271,,Q570018,,Q858517,
Q944537,Geisteswissenschaften,set of human sciences that are traditional in German universities,Q16889133,,,,Q1587903,
Q20919947,Gender and Law,,Q11862829,,,,Q4932206,
Q112947517,Gene expression,field of research (including microarray and other genome-wide approaches),Q11862829,,,,Q7162,
Q126131200,General Arts,academic field,Q11862829,,,,,
Q585511,Genographic Project,citizen science project,Q24577212,,,,,
Q112939581,Genomics and transcriptomics,field of research,Q11862829,,,,Q7162,
Q15734393,Geo-Government,subdiscipline in geospatial science with focus on governmental activities in geospatial,Q11862829,,,,Q918779,
Q2396610,GeoWeb,concept in the US,Q11862829,,,,Q75,
Q124623818,Geographical Analysis,type of analysis with geographic data or geographic information,Q11862829,,,,Q217602,
Q56313535,Geopoetics,geographic method incorporating poetry,Q11862829,,,,,
Q3736210,Georgian literature,literature written in the Georgian language or by Georgian authors,Q11862829,,,,Q107560101,
Q107560101,Georgian studies,academic discipline and major,Q11862829,,,,Q3647325,
Q120910086,Geospatial semantics,area of research,Q11862829,,,,,
Q133260943,German linguistics,study of the German language,Q11862829,,,,Q10894548,
Q76996465,German philology,,Q11862829,,,,Q166153,
Q166153,German studies,"field of humanities that researches, documents, and disseminates German language and literature",Q11862829,,,,Q2620112,
Q15805624,German-language poetry,poetry written in the German language,Q109551565,,Q181287,,Q482,
Q2620112,Germanic philology,philological study of Germanic languages,Q11862829,,,,Q11790583,
Q110252339,Germplasm management,field of research,Q11862829,,,,,
Q115669458,Ghana studies,Broader: African studies,Q11862829,,,,,
Q5593683,Grammatical Framework,programming language,Q11862829,,,,,
Q972132,Greek epigraphy,"the study of Greek inscriptions, or epigraphs, to clarify their meanings, classify their uses according to dates and cultural contexts, and draw conclusions about the writing and the writers",Q11862829,,,,Q16267481,
Q64968842,Greek philology,,Q11862829,,,,Q16267481,
Q16267481,Greek studies,study of the ancient Greek language and literature,Q11862829,,Q495527,,Q495527,
Q12310624,Greenlandic and Arctic Studies,area studies,Q11862829,,Q4532729,,,
Q124645587,Hacker Cartography,small branch of cartography,Q124749729,,,,Q5186702,
Q107427,Halakha,Jewish rabbinical law,Q11862829,,Q9268,,Q670732,
Q5684622,Hawaiian studies,academic discipline,Q11862829,,,,Q7122791,
Q29980364,Hebrew Bible studies,scholarly field focused on the Tanakh,Q11862829,,,,Q794605,
Q65048723,Hellenic Culture,,Q11862829,,,,,
Q489119,Hellenic studies,"academic discipline that focuses on the language, literature, history and politics of post-classical Greece",Q11862829,,,,Q1377029,
Q5862008,Hellenistic philology,philology during the Hellenistic period,Q11862829,,,,Q40634,
Q64688316,Hindi Language and Indian Culture,academic degree,Q11862829,,,,,
Q5766501,Hindu studies,study of traditions and practices of the Indian subcontinent,Q11862829,,,,Q34187,
Q137655696,History of French art,history of artistic production in France,Q11862829,,,,,
Q138340308,History of consumption,,Q17524420,,,,Q1066186,
Q491481,Hittitology,study of the Ancient Hittites and their Near Eastern Empire which was based in Hattusa in modern day Anatolia,Q11862829,,,,Q4752891,
Q1568255,Holocaust studies,Academic study of the Holocaust,Q11862829,,,,Q42002,
Q109505011,Holodomor studies,academic study of the Holodomor,Q11862829,,,,Q2515819,
Q5890329,Homeric scholarship,"study of any Homeric topic, especially the Iliad and Odyssey",Q11862829,,,,Q841090,
Q104628254,Hong Kong studies,area studies focused on Hong Kong,Q11862829,,Q476294,,Q476294,
Q112914409,Horticultural production,field of research,Q11862829,,,,Q110231626,
Q65007547,Huarahi Māori,academic major,Q11862829,,,,,
Q134564271,Human Resources Development,Academic discipline or course of study,Q11862829,,,,,
