qid,label,in_discipline_taxonomy,in_majors,fast_id,gnd_id,lcsh_id,ddc,aat_id,lcc
Q63985124,Clinical Microbiology and Infectious Diseases,no,yes,,,,,,
Q25368051,Composition,no,yes,,,,,,
Q131289096,Computer technology,no,yes,,,,,,
Q96702592,Comunicación Revista Internacional de Comunicación Audiovisual Publicidad y Literatura,no,yes,,,,,,
Q5159047,Concrete Industry Management,no,yes,,,,,,
Q55338315,Contemporary Mediterranean Studies,no,yes,,,,,,
Q9035,Danish,no,yes,,4113262-2,sh85035731,439.81,300388204,
Q110038592,Dante studies,no,yes,,,,,,
Q3025404,Development,no,yes,,,,,,
Q136674500,Digital Enterprise Management,no,yes,,,,,,
Q4618975,Doctor,no,yes,,4201591-1,,,,
Q913404,Doctor of Medicine,no,yes,,,,,,
Q111360322,Doctorado en Literatura con mención en Literatura Chilena e Hispana,no,yes,,,,,,
Q3039605,Droit de l'Internet,no,yes,,,,,,
Q3039756,Droit des télécommunications,no,yes,,,,,,
Q7411,Dutch,no,yes,899732,4122614-8,sh85040106,439.31,300388256,
Q1987969,Dutch studies,no,yes,,4283850-2,,,,
Q12580940,EMBA,no,yes,,,,,,
Q11054563,East Asian calligraphy,no,yes,,,,,,
Q245177,Eastern Christianity,no,yes,,,sh85040605,281,,BX100-BX183.2
Q1413113,Eastern European studies,no,yes,,,,,,
Q113052975,Economic Development,no,yes,,,,,,
Q3132462,Economics,no,yes,,4345428-8,n79099715,,,
Q15716712,Economics & Sociology,no,yes,,,,,,
Q60110670,Economics and Finance,no,yes,,,,,,
Q106040694,Economics and Foreign Economic Activity Management,no,yes,,,,,,
Q60086343,Educational Administration,no,yes,,,,,,
Q145903,Egyptology,no,yes,,4141476-7,sh85041367,893.1|932|493.1,300264391,
Q26220880,Electronic and Electrical Engineering building,no,yes,,,,,,
Q70915048,Engineering design and appropriate technology,no,yes,,,,,,
Q1860,English,no,yes,910920,4014777-0,sh85043413,420,300388277,PE
Q119441207,English Language Curriculum for Basic 8,no,yes,,,,,,
Q133546019,English and Comparative Literature,no,yes,,,,,,
Q108349950,English and literacy studies,no,yes,,,,,,
Q109587623,English literature,no,yes,,,,,,
Q107550344,English pedagogy,no,yes,,,,,,
Q27968,English studies,no,yes,912245,4002046-0,sh85043929,420|820,,PE
Q186579,English-language literature,no,yes,,,sh85043777,820,,PE
Q5380492,Entertainment technology,no,yes,,,,,,
Q134507581,Ethical Human-AI Interaction,no,yes,,,,,,
Q208202,European Union law,no,yes,,4153206-5,sh2009129017,341.2422,,
Q1377029,European studies,no,yes,,,,,,
Q12257590,Euskal Filologia,no,yes,,,,,,
Q3826673,Euskararen Gaitasun Agiria,no,yes,,,,,,
Q124169221,"Evaluation, Measurement and Research",no,yes,,,,,,
Q11639751,Faculty of Art and Design,no,yes,,,,,,
Q106359085,Faculty of Civil and Environmental Engineering,no,yes,,,,,,
Q106359154,Faculty of Earth Science and Technology,no,yes,,,,,,
Q106359183,Faculty of Industrial Technology,no,yes,,,,,,
Q106359190,Faculty of Mathematics and Natural Science,no,yes,,,,,,
Q106359254,Faculty of Mechanical and Aerospace Engineering,no,yes,,,,,,
Q106359261,Faculty of Mining and Petroleum Engineering,no,yes,,,,,,
Q92197816,Finances and Credit,no,yes,,,,,,
Q150,French,no,yes,934333,4113615-9,sh85051829,440|6--41,300388306,
Q105233699,French horn performance,no,yes,,,,,,
Q11333703,French language studies,no,yes,,7503327-6,,,,
Q6689,French literature,no,yes,934688,7507697-4,sh85051865,840,,
Q61436224,French literature,no,yes,,,,,,
Q1450761,French studies,no,yes,,,,,,
Q125464837,Galician studies,no,yes,,,,,,
Q31837702,Geodesy and Geoinformatics,no,yes,,,,,,
Q124623971,Geodesy and Geoinformation,no,yes,,,,,,
Q15760524,Geography,no,yes,,,,,,
Q107560101,Georgian studies,no,yes,,,,,,
Q188,German,no,yes,,4113292-0,sh85054365,430|6--31,300388344,
Q76996465,German philology,no,yes,,,sh85054411,,,
Q1203683,German philosophy,no,yes,,,,193,,
Q166153,German studies,no,yes,,4020383-9,,830|430,,
Q181287,German-language literature,no,yes,,7503128-0,sh85054380,830|831,,PT1-4897
Q15805624,German-language poetry,no,yes,941930,,sh85054413,831,,
Q109647876,German-language studies,no,yes,,,,,,
Q2620112,Germanic philology,no,yes,,,sh85054442,,,
Q272021,Gestalt psychology,no,yes,,4020725-0,sh85054723,150.1982,,
Q5570816,Global communication,no,yes,,,,,,
Q734575,Gloria,no,yes,,,,,,
Q9129,Greek,no,yes,,,sh85057151,,300389734,
Q64968842,Greek philology,no,yes,,,,,,
Q16267481,Greek studies,no,yes,,4315324-0,sh85057184,880|480,,
Q12310624,Greenlandic and Arctic Studies,no,yes,,,,,,
Q26473,Gregorian chant,no,yes,1726631,4021952-5,sh85022551,782.3222,300265207,
Q9288,Hebrew,no,yes,954191,4023922-6,sh85059867,492.4,300388401,
Q29980364,Hebrew Bible studies,no,yes,,,,,,
Q65048723,Hellenic Culture,no,yes,,,,,,
Q489119,Hellenic studies,no,yes,,7620854-0,,,,
Q1622065,Higher Education Teaching,no,yes,,4025226-7,,,,
Q5766501,Hindu studies,no,yes,,,,,,
Q100353774,History and International Relations: From the Ancient World to the 21st Century,no,yes,,,,,,
Q1622256,Hochschulforschung,no,yes,,,,,,
Q65007547,Huarahi Māori,no,yes,,,,,,
Q15765494,Human Development,no,yes,,,,,,
Q113884146,Hungarian-language studies,no,yes,,,,,,
Q35832005,Iberian studies,no,yes,,,,,,
Q12823214,Ilohiyot,no,yes,,,,,,
Q1413128,Indo-European studies,no,yes,,4161557-8,sh85065705,,,
Q58933675,Industrial Relations and Human Relations,no,yes,,,,,,
Q106545901,Infoeducação,no,yes,,,,,,
Q55586010,Inter-American Studies,no,yes,,,,,,
Q106371417,Interior Design,no,yes,,,,,,
Q64943345,International Business Administration,no,yes,,,,,,
Q126481638,International Media Computing,no,yes,,,,,,
Q55659899,International Trade,no,yes,,,,,,
Q96758157,International and European Studies,no,yes,,,,,,
Q113644071,Islamic development management,no,yes,,,,,,
Q55610541,Islamic education,no,yes,979927,4317554-5,sh85068397,297.77,,LC901-LC915
Q193104,Islamic philosophy,no,yes,,,sh85100934,181.07,,
Q107313311,Islamic sciences,no,yes,,,,,,
Q12230963,Islamic thought,no,yes,,,,,,
Q515601,Italian studies,no,yes,,4162604-7,,850|450,,
Q875592,Japanese studies,no,yes,,4162713-1,,306.0952|495.6|895.6|952,,
Q11723387,Javanology,no,yes,,,,,,
Q1540185,Juris Doctor,no,yes,,,,,,
Q4210217,Kalmykology,no,yes,,,,,,
Q2976200,Khâgne,no,yes,,,,,,
Q109607471,Korean literature,no,yes,,,,,,
Q7007095,Land of Israel Studies and Archaeology,no,yes,,,,,,
Q397,Latin,no,yes,,4114364-4,sh85074944,470,300388693,
Q28617,Latin American studies,no,yes,,,,,,
Q1806979,Latin studies,no,yes,,4166851-0,,,,
Q9259810,Latvian studies,no,yes,,,,,,
Q16871926,Law,no,yes,,,,,,
Q6508648,Leadership,no,yes,,,,,,
Q1491611,Lehramtsstudium,no,yes,,4131946-1,,,,
Q1115369,Librettology,no,yes,,,,,,
Q43236300,Licenciatura en Periodismo,no,yes,,,,,,
Q10978135,Lithuanian studies,no,yes,,4656569-3,,,,
Q4497731,MSU Faculty of Chemistry,no,yes,,,,,,
Q36109,Maithili,no,yes,,4104524-5,,,300388776,
Q55585049,Maltese studies,no,yes,,,,,,
Q60088863,Management Studies,no,yes,,,,,,
Q127598368,Management of Agro-Industrial Complex Enterprises,no,yes,,,,,,
Q96727508,Mass Communicator International Journal of Communication Studies,no,yes,,,,,,
Q2091008,Master of Arts,no,yes,,,sh85081990,,,
Q191701,Master of Business Administration,no,yes,,,sh85081991,,,
Q6785161,Master of Business Systems,no,yes,,,,,,
Q6785172,Master of Commerce,no,yes,,,,,,
Q6785179,Master of Economics,no,yes,,,,,,
Q113363555,Master of International Relations,no,yes,,,,,,
Q754848,Master of Laws,no,yes,,,,,,
Q12326374,Master of Public Health,no,yes,,,,,,
Q12497525,Matematika dan Ilmu Pengetahuan Alam,no,yes,,,,,,
Q6805456,Media Arts and Practice,no,yes,,,,,,
Q55586008,Medieval Icelandic Studies,no,yes,,,,,,
Q1924928,Metallplastik,no,yes,,4191461-2,,,,
Q64302951,Micro-Biology as Applied to Hygiene,no,yes,,,,,,
Q36510,Modern Greek,no,yes,,,sh85057166,489.3,300388361,
Q66490562,Modern Greek Studies,no,yes,,,,,,
Q1944500,Mongolian studies,no,yes,,4170448-4,,,,
Q137776711,Museum in Health,no,yes,,,,,,
Q1956258,Mvet,no,yes,,,,,300042085,
Q3332142,Mécanique navale,no,yes,,,,,,
Q258212,Near Eastern archaeology,no,yes,,,,,,
Q5185,Nematoda,no,yes,,4128872-5,sh85090702,592.57,300310241,
Q1980282,Neuere Deutsche Literaturwissenschaft,no,yes,,,,,,
Q54862900,Neuere und Neueste Geschichte,no,yes,,,,,,
Q21083421,New Hermeneutic,no,yes,,,,,,
Q18813,New Testament,no,yes,,4041771-2,n79023150,225,,
Q1981839,New Testament studies,no,yes,,,,,,
Q7878687,Nutritional Psychology,no,yes,,,,,,
Q7081376,Oil and gas,no,yes,,,,,,
Q55584434,Old Nordic Religion,no,yes,,,,,,
Q623313,Ottoman studies,no,yes,,4745131-2,,494.35|894.35,,
Q6147859,PLA National Defence University,no,yes,,,n87928460,,,
Q64800625,Pacific Policing,no,yes,,,,,,
Q12408688,Palestinian studies,no,yes,,,,,,
Q36727,Pali,no,yes,1051644,4044406-5,sh85097195,491.37,300404714,
Q1383285,Pedagogy of Religious Education in Schools,no,yes,,4049412-3,,,,
Q101110908,Pedagogía de la Madre Tierra,no,yes,,,,,,
Q127656899,Pekingology,no,yes,,,,,,
Q7168250,Performance psychology,no,yes,,,,,,
Q9168,Persian,no,yes,,4065403-5,sh85100070,491.55,300389088|300266822|300389087,
Q117321595,Persian literature,no,yes,,,,,,
Q7170261,Persian studies,no,yes,,,,,,
Q77477825,Personnel management,no,yes,,,,,,
Q97592191,PhD in computer science,no,yes,,,,,,
Q9306342,Philosophy and Humanities,no,yes,,,,,,
Q7186221,Philosophy and Literature,no,yes,,,,,,
Q2777850,"Philosophy, Politics and Economics",no,yes,,,,,,
Q1219728,Physics,no,yes,,,,,,
Q125367668,Political Economy of Natural Resources,no,yes,,,,,,
Q1517478,Pontifical Xavierian University,no,yes,,,n81037147,,,
Q138332594,Portuguese philology,no,yes,,,,,,
Q1381199,Protestant theology,no,yes,,4015875-5,sh85107714,230.044,,
Q7257499,Public Policy and Administration,no,yes,,,,,,
Q58635,Punjabi,no,yes,1052139,4211719-7,sh85097451,491.42,300389057,
Q188602,Purana,no,yes,,,n79139448,,,
Q26185,Quaternary,no,yes,,4048009-4,sh85097144|sh85054111,551.79,300391278,
Q2370897,Quranic studies,no,yes,,,,,,
Q15841966,Regensic science,no,yes,,,,,,
Q25111456,Renaissance studies,no,yes,,,,,,
Q7335662,Ripon College,no,yes,641378,,n88668016,,,
Q19814,Romance languages,no,yes,,4115788-6,sh85114953,440,300389149,
Q1277348,Romance studies,no,yes,1099881,4050484-0,sh85114963,840|440,,
Q2077256,Romanian literature,no,yes,,,sh85115040,850,,
Q220,Rome,no,yes,1204500,4050471-2,n79018704,2--45632,,
Q20640426,Romeins en hedendaags recht,no,yes,,,,,,
Q7737,Russian,no,yes,,4051038-4,sh85115971,491.7|6--9171,300389168,
Q55693890,Russian philology,no,yes,,,sh85116004,,,
Q11059,Sanskrit,no,yes,,4051642-8,sh85117331,491.2,300389206|300389205,
Q112107934,Sanskrit literature,no,yes,,,,,,
Q29573983,Saqafi,no,yes,,,,,,
Q922219,Scandinavian studies,no,yes,,4077478-8,,,,
Q106359297,"School of Architecture, Planning, and Policy Development",no,yes,,,,,,
Q106359304,School of Business and Management,no,yes,,,,,,
Q106359315,School of Electrical Engineering and Informatics,no,yes,,,,,,
Q11574463,School of Life Science and Technology,no,yes,,,,,,
Q106359331,School of Pharmacy,no,yes,,,,,,
Q2251373,Schulmusik (Studienfach),no,yes,,4124150-2,,,,
Q2375917,Scripture,no,yes,,,,,,
Q3952331,Security Science,no,yes,,,,,,
Q34049,Semitic,no,yes,,4116476-3,sh85119961,492,300389236,
Q26331146,Serbo-Croatian studies,no,yes,,,sh85120203,,,
Q6817915,Sharia Sciences,no,yes,,,,,,
Q136148690,Sharia judiciary,no,yes,,,,,,
Q457753,Sharia-compliant banking,no,yes,,4272560-4,sh88004780,,,
Q33997,Sindhi,no,yes,,,sh85122803,491.41,300389278,
Q23526,Slavic,no,yes,,4120036-6,sh85123361,491.8,,
Q112970946,Small Business Management,no,yes,,,,,,
Q124629477,Soil science and biogeography,no,yes,,,,,,
Q7559155,Somali studies,no,yes,,,,,,
Q105397778,South Asia studies,no,yes,,,,,,
Q149267,South Asian literature,no,yes,,,,,,
Q118987766,South and Southeast Asian languages,no,yes,,,,,,
Q7571745,Soviet and Communist studies,no,yes,,,,,,
Q1321,Spanish,no,yes,,4077640-2,sh85126261,460,300389311,
Q238499,Spanish literature,no,yes,,7507710-3,sh85126268,860,,
Q3381164,Spanish philology,no,yes,,,,,,
Q2651813,Speech Communication,no,yes,,,,,,
Q66816518,State Management of the National Economy,no,yes,,,,,,
Q89811128,State and Local Government,no,yes,,,,,,
Q11626477,Studies of Culture and Representation,no,yes,,,,,,
Q7634642,Sufi psychology,no,yes,1137266,,,,,
Q2208075,Suriname studies,no,yes,,,,,,
Q129978142,Sylheti studies,no,yes,,,,,,
Q123169615,Syracuse University Citizenship and Civic Engagement Undergraduate Program,no,yes,,,,,,
Q19309749,Szenisches Spiel,no,yes,,,,,,
Q12518544,Tafsir Al-Qur'an,no,yes,,,,,,
Q17149027,Taiwan studies,no,yes,,,,,,
Q26830783,Talmudic studies,no,yes,,,,,,
Q7683174,Tangutology,no,yes,,,,,,
Q106037198,Teknik Mesin Kapal,no,yes,,,,,,
Q1864603,Tibetologist,no,yes,,7635239-0|7635240-7,,,,
Q1143760,Tibetology,no,yes,,4278702-6,,,,
Q94092118,Tropical Medicine and Hygiene,no,yes,,,,,,
Q25472341,Turkic Kulturraum,no,yes,,,,,,
Q6098912,Turkish Language and Literature,no,yes,,,,,,
Q113884168,Turkish philology,no,yes,,,,,,
Q8427,Turkology,no,yes,,4186473-6,sh85138870,494.3|894.3,,
Q108398262,Técnicas y Lenguajes de Medias,no,yes,,,,,,
Q491679,Ukrainian studies,no,yes,,,,,,
Q7161124,Universidade de Passo Fundo,no,yes,,,n83007526,,,
Q1468481,University of Deusto,no,yes,,1010559-1,n79084198,,,
Q2303432,University of Oviedo,no,yes,533242,38079-9,n79059486,,,
Q339482,University of Oñati,no,yes,,,no93033904,,,
Q6113985,Upanishads,no,yes,,4062067-0,n80020526,,,
Q2321196,Usul al-fiqh,no,yes,,,,,,
Q3552726,Usūl al-Dīn in Twelver Shiism,no,yes,,,,,,
Q1120985,Vastu shastra,no,yes,,,,,,
Q39950,Vedas,no,yes,,,sh85142464|n80009843,,300386788,
Q55586006,Viking and Medieval Norse Studies,no,yes,,,,,,
Q106371391,Visual Communication Design,no,yes,,,,,,
Q96334885,Water Engineering and Management,no,yes,,,,,,
Q99600947,Wellness Coach-Health,no,yes,,,,,,
Q55586091,West Nordic Studies: Governance and Sustainable Management,no,yes,,,,,,
Q21112423,Westerse literatuur,no,yes,,,,,,
Q8036315,World Trade,no,yes,,,,,,
Q9378283,Wschodoznawstwo,no,yes,,,,,,
Q1688921,Yiddish studies,no,yes,,4162748-9,,,,
Q34311,Yoruba,no,yes,,4120403-7,sh85149236,,300389608,
Q66027248,"Zootechnics, biotechnology and selective breeding",no,yes,,,,,,
Q107514431,accordion performance,no,yes,,,,,,
Q326653,accountant,no,yes,,4122969-1|7586536-1,sh85000405,,300024982|300024985,
Q4116214,accounting,no,yes,795379,4048732-5,sh85000411,657,300054345,HF5601-HF5688
Q55713996,accounting and auditing,no,yes,,,,,,
Q64687797,accounting and finance,no,yes,,,,,,
Q860374,accounting studies,no,yes,,4069455-0,,,,
Q92177358,"accounting, control and analysis of economic activity",no,yes,,,,,,
Q222749,acting,no,yes,,4012899-4,sh85039329,792.028,300264355,
Q33999,actor,no,yes,,4052154-0|4153179-6,sh85000744,792.028092,300025658,
Q180507,adaptive radiation therapy,no,yes,,4057833-1,sh00005896,615.842,,
Q134561626,administration and planning,no,yes,,,,,,
Q97112388,administration of marines and shipbuilding units,no,yes,,,,,,
Q171251,administrative law,no,yes,,,sh85000913,342,,K3400-K3431
Q115982628,administrative management,no,yes,,,,,,
Q1319035,adult education,no,yes,,4015428-2,sh85001028,374,300254108,
Q4464,advanced mathematics,no,yes,,,,,,
Q37038,advertising,no,yes,797511,4065541-6,sh85001086,659.1|658.8,300054347,
Q8424,aerodynamics,no,yes,,4000589-6,sh85001295,533.62|620.1074|629.1323,300056101,
Q4828699,aeronautical engineering,no,yes,,4168244-0,,629.13,300162449,
Q8421,aeronautics,no,yes,,,sh85001319,629.13,300138817,
Q3798668,aerospace engineering,no,yes,798623,,sh95007821,629.1,300054478,
Q1955326,aesthetics of music,no,yes,,4040808-5,,,,
Q4693953,agricultural communication,no,yes,,,sh85029049,,,
Q65554733,agricultural development,no,yes,,,,,,
Q3345348,agricultural education,no,yes,800702,,sh85002310,,,S530-S539
Q10272925,agricultural engineer,no,yes,,7546982-0|4141636-3,,,,
Q12159342,agricultural engineering,no,yes,800726,,sh85002313,630,,
Q12779382,agricultural entomology,no,yes,,,,,,
Q4693964,agricultural extension,no,yes,,4034407-1,sh85002298,,,
Q4693974,agricultural soil science,no,yes,,,,,,
Q194118,agricultural technology,no,yes,,,,,,
Q11451,agriculture,no,yes,801355,4034402-2,sh85002415,630,300054463,S1-S790.3
Q66027417,agro-industrial complex management,no,yes,,,,,,
Q2059515,agrogeology,no,yes,,,,,,
Q906438,aircraft maintenance,no,yes,,,,,,
Q180969,algebraic geometry,no,yes,,4001161-6,sh85054140,516.35,,
Q623221,algorithmic game theory,no,yes,,1133091814,,,,
Q14565201,altmetrics,no,yes,,,,,,
Q69570620,americanistics,no,yes,,4142196-6,,427.973|810,,
Q474471,ampelography,no,yes,,4419761-5,,634.8,,
Q615057,anaesthesiology,no,yes,,4142321-5,sh85004972,,,
Q138455499,analytical journalism,no,yes,,,,,,
Q485396,analytics,no,yes,,,,,,
Q4752891,ancient Near Eastern studies,no,yes,,4142081-0,,,,
Q2990593,animal behavior,no,yes,,4062860-7,,,,QL750-QL795
Q80962,animal husbandry,no,yes,,4117220-6,sh85005169,636,300254388,
Q11425,animation,no,yes,809628,7703314-0,sh85005291,778.5347,300053160,
Q4773904,anthropologist,no,yes,810184,4142642-3|4254397-6,sh85005579,301.092,300025583,
Q368325,anthropology of media,no,yes,,,sh2003004295,,,
Q10309676,anthropology of tourism,no,yes,,,,,,
Q100326522,applied computing,no,yes,,,,,,
Q3737629,applied ecology,no,yes,,,sh96009482,,,QH541.29
Q3296256,applied economics,no,yes,,,,,,
Q4781596,applied engineering,no,yes,,,,,,
Q321249,applied linguistics,no,yes,,4127822-7,sh85006168,418,300054247,
Q33521,applied mathematics,no,yes,,4142443-8,sh93002523,519,300054524,
Q55033061,applied metrology,no,yes,,,,,,
Q373065,applied physics,no,yes,,4193885-9,,621,300054560,
Q235258,aqidah,no,yes,,4900632-0,,,,
Q4782633,aquacultural engineering,no,yes,,,,,,
Q115864634,aquaphotomics,no,yes,,,,,,
Q9295368,aquatic botany,no,yes,,,,,,
Q20431068,archaeological anthropology,no,yes,,,,,,
Q1254302,archaeology of the Roman provinces,no,yes,,,,,,
Q618692,archaeoparasitology,no,yes,,,,,,
Q14623005,architectural draftsperson,no,yes,,4125167-2|1139912127,,,300438663,
Q150737,architectural engineering,no,yes,,4144204-0,,,,
Q4787070,architectural technology,no,yes,,,,,,
Q23010558,"area, ethnic, cultural, gender, and group studies",no,yes,,,,,,
Q5705290,arquitectura técnica,no,yes,,,,,,
Q55336315,art,no,yes,,,,,,
Q45741429,art geography,no,yes,,,,,,
Q50637,art history,no,yes,,4138803-3,sh85007488,709,300054233,
Q11629,art of painting,no,yes,,4037213-3,,750,300054216,
Q11634,art of sculpture,no,yes,,4046277-8,sh85119004,730,300264383,NB1-NB1952
Q119003028,art studies,no,yes,,,,,,
Q1414089,art theory,no,yes,,,,,,
Q4801095,artificial psychology,no,yes,,,,,,
Q4801516,arts criticism,no,yes,,,,,,
Q131006663,arts du spectacle,no,yes,,,,,,
Q1791760,arts journalism,no,yes,,,,,,
Q17386174,astronautical engineering,no,yes,,4177061-4,,620.419|629.47,,
Q4813769,athletic training,no,yes,,,,,,
Q542,athletics,no,yes,820127,4035163-4,sh85009153,796.4|796.42,300189623,
Q4817130,atmospherics,no,yes,,,,,,
Q4819927,audiovisual art,no,yes,,,,,,
Q3755147,audiovisual communication,no,yes,,,,,,
Q706835,auto mechanic,no,yes,,4698904-3|4288271-0|4288272-2,sh85010164,629.222092|629.2092|629.2023,,
Q190117,automotive industry,no,yes,,4032690-1,sh90002778,338.47629222,,
Q186531,axiology,no,yes,,4079189-0,,,300054283,
Q59362650,bachelor's degree in economics,no,yes,,,,,,
Q4076591,ballet studies,no,yes,,,,,,
Q184631,ballistics,no,yes,,4004356-3,sh85011312,531.55,300232690,
Q463604,baltistics,no,yes,,4576777-4,,,,
Q136799183,bandura performance,no,yes,,,,,,
Q106148843,baroque flute performance,no,yes,,,,,,
Q3309206,basic education,no,yes,,,,,,
Q106421780,bassoon performance,no,yes,,,,,,
Q647525,behavioral economics,no,yes,,7751254-6,sh85040859,,,HB74.P8
Q1975133,bewegingswetenschappen,no,yes,,,,,,
Q134995,bibliography,no,yes,831351,4006432-3,sh85013838,010,300026497,
Q4086340,bibliography,no,yes,,,,,,
Q2901245,bibliology,no,yes,,4146819-3,,002,,
Q603441,bibliometrics,no,yes,,4145244-6,sh85013873,020.727,,
Q110715633,bicultural studies,no,yes,,,,,,
Q1920418,big history,no,yes,,,,,,
Q864269,biodiversity informatics,no,yes,,,,,,
Q12535586,bioecology,no,yes,,,,,,
Q194294,bioethics,no,yes,,4006791-9,sh85014136,174.957|205.64957|241.64957,,QH332
Q128570,bioinformatics,no,yes,,4611085-9,sh00003585,570.285|004.015,,
Q1048526,biomedical informatics,no,yes,,,,,,
Q13439429,biomedical sciences,no,yes,,,,,,
Q18657438,biomedical signal processing,no,yes,,,,,,
Q67364833,biometry,no,yes,,,,,,
