cidoc_class,wikidata_qid,wikidata_property,mapping_type,confidence,notes,chrystallum_fallback
P11_had_participant,,P710,Direct,High,General participation in events,Use HAS_PARTICIPANT relationship
P14_carried_out_by,,P170|P1640,Composite,High,Context-dependent: P170 creator P1640 curator,Use CARRIED_OUT_BY with context
P15_was_influenced_by,,P737,Direct,High,Influences on activity,Use INFLUENCED_BY relationship
P16_used_specific_object,,P518,Approximate,Medium,Tool usage - P518 applies to part is partial,Store as USED_TOOL relationship with qualifiers
P17_was_motivated_by,,P828,Approximate,Medium,Motivation - P828 has cause is close,Use MOTIVATED_BY relationship
P22_transferred_title_to,,P1830+P580,Composite,Medium,Ownership transfer - use P1830 owner + start time,Store as TRANSFERRED_TO with temporal
P23_transferred_title_from,,P1830+P582,Composite,Medium,Previous owner - use P1830 owner + end time,Store as TRANSFERRED_FROM with temporal
P31_has_modified,,,Composite,Medium,Object modification - combine P31 + sourcing circumstances,Use MODIFIED relationship with confidence
P32_used_general_technique,,P2079,Approximate,Medium,Technique/method - P2079 fabrication method partial,Store as USED_TECHNIQUE relationship
P33_used_specific_technique,,P2079,Approximate,Medium,Specific technique,Store as USED_TECHNIQUE with specificity qualifier
P46_is_composed_of,,P527,Direct,High,Physical parts - has part property,Use HAS_PART relationship
P48_has_preferred_identifier,,P528,Direct,High,Preferred ID in catalog system,Store in Entity.entity_id with preferred=True
P49_has_former_or_current_keeper,,P485,Approximate,Medium,Custodianship - P485 archives at is partial,Use KEPT_BY relationship with temporal
P51_has_former_or_current_owner,,P127,Direct,High,Ownership relationship,Use OWNED_BY relationship with temporal
P53_has_former_or_current_location,,P276+P580/P582,Composite,High,Object location with temporal qualifiers,Use LOCATED_AT with temporal bounds
P54_has_current_permanent_location,,P276,Direct,High,Current location without temporal qualifier,Use LOCATED_AT with current=True
P55_has_current_location,,P276,Approximate,Medium,Temporary location - may change,Use LOCATED_AT with temporary=True
P56_bears_feature,,P1299,Approximate,Low,Features on objects - depicted by is weak mapping,Store as HAS_FEATURE relationship
P62_depicts,,P180,Direct,High,Visual representation of subject,Use DEPICTS relationship
P65_shows_visual_item,,P18,Direct,High,Image of physical thing,Store as Entity.image_url with P18 property
P67_refers_to,,P921,Approximate,Medium,Subject matter - main subject is narrower,Use REFERS_TO relationship
P68_foresees_use_of,,P366,Approximate,Medium,Intended purpose - has use property,Store as HAS_PURPOSE relationship
P70_documents,,P1343,Direct,High,Documentary reference,Use DOCUMENTED_IN relationship
P74_has_current_or_former_residence,,P551,Direct,High,Person residence with temporal,Use RESIDED_AT relationship with temporal
P81_ongoing_throughout,,P585,Direct,High,Specific point in time,Use temporal.point_in_time property
P82_at_some_time_within,,P585,Approximate,Medium,Approximate dating - use P585 with qualifier uncertainty,Use temporal.circa with confidence reduction
P86_falls_within,,,None,Medium,Temporal containment - calculate from bounds,Use temporal overlap queries
P87_is_identified_by,,P625,Direct,High,Geographic coordinates for places,Store in Place.coordinates with P625
P89_falls_within,,P131,Direct,High,Administrative territorial containment,Use LOCATED_IN_ADMIN relationship
P92_brought_into_existence,,P571,Direct,High,Generic creation/inception,Use CREATED relationship with P571
P94_has_created,,P170+P571,Composite,High,Conceptual creation with creator + date,Use CREATED_BY relationship with temporal
P95_has_formed,,P571+P112,Composite,High,Group formation with founder,Use FORMED_BY relationship with temporal
P96_by_mother,,P25,Direct,High,Birth mother relationship,Use BORN_FROM_MOTHER relationship
P97_from_father,,P22,Direct,High,Birth father relationship,Use BORN_FROM_FATHER relationship
P106_is_composed_of,,P527,Direct,High,Conceptual parts,Use HAS_PART relationship with conceptual=True
P107_has_current_or_former_member,,P463,Direct,High,Group membership,Use HAS_MEMBER relationship with temporal
P108_has_produced,,P170,Direct,High,Production of physical thing,Use PRODUCED_BY relationship
P127_has_broader_term,,P279,Direct,High,Hierarchical subclass relationship,Use HAS_BROADER_TERM in subject hierarchy
P129_is_about,,P921,Direct,High,Primary topic/subject,Use ABOUT relationship
P130_shows_features_of,,P1889,Approximate,Low,Similarity - different from property is weak,Store as SIMILAR_TO relationship with qualifiers
P137_exemplifies,,P31+P279,Composite,Medium,Prototype relationship using instance + subclass,Use EXEMPLIFIES relationship
P138_represents,,P1299,Approximate,Medium,Symbolic representation,Use REPRESENTS relationship
P140_assigned_attribute_to,,,Custom,High,**E13 core: No direct Wikidata equivalent**,**Chrystallum Claim.subject (what received attribute)**
P141_assigned,,,Custom,High,**E13 core: The actual attribute assigned**,**Chrystallum Claim.object (what was assigned)**
P148_has_component,,P527,Direct,High,Generic parts relationship,Use HAS_COMPONENT relationship
P160_has_temporal_projection,,P580+P582,Composite,Medium,Spacetime volumes - use temporal bounds,Use temporal properties on Event nodes
P177_assigned_property_type,,,Custom,High,**E13 core: No Wikidata equivalent for meta-properties**,**Chrystallum Claim.relationship_type**
P186_produced_thing_of_product_type,,P31+P170,Composite,Medium,Type-based production,Use PRODUCED relationship with type qualifier
J2_concluded_that,,,Custom,High,**CRMinf: Inference conclusion**,**Chrystallum MultiAgentDebate.consensus_claim**
J4_that,,,Custom,High,**CRMinf: The proposition itself**,**Chrystallum Claim.label**
J5_holds_to_be,,,Custom,High,**CRMinf: Belief value/confidence**,**Chrystallum Claim.confidence**
