qid,P214,P213,P244,P2163,P227,P268,P349,P648,P1711,P245,P4212,P9106,P11252,P7041,P535,P1149
Q11768202,67147662864560550187,,,,1186415193,,,,177444,,,,,,,
Q11774972,83909811,,,,,,,,,,,,,,,
Q11801012,83830985,0000000057084621,,,1023826364,,,OL5475501A,,,,,,,,
Q11835032,7234149489171993810006,,,,1025023072,,,,,,,,,,,
Q11873066,24444084,0000000106534079,nr88011547,,,,,,,,,,,,,
Q11905711,199155566415813380008,,,,1183430574,,,,177604,,,,,,,
Q110367065,2829155566457413380000,,,,118343300X,,,,175788,,,,,,,
Q110367232,461155708731222580005,,,,1185089756,,,,177856,,,,,,,
Q110367656,1912155566455313380001,,,,1183431554,,,,94469,,,,,,,
Q110944853,9097155919351939730002,,,,1187000086,,,,175833,,,,,,,
Q111291264,5470155919283839730006,,,,1186999616,,,,176194,,,,,,,
Q111597958,,,,,,,,,175890,,,,,,,
Q112525523,24962577,,,,1055113770,,,,,,,,,,,
Q112993865,8216155708706822580001,,,,1185123822,,,,175542,,,,,,,
Q113639198,2634155708695622580004,,,,1185188703,,,,175607,,,,,,,
Q114680130,,,,,,,,,177545,,,,,,,
Q115178556,,,,,,,,,102056,,,,,,,
Q115191995,305392506,,,,1186416661,,,,175068,,,,,,,
Q115668546,6247155566442013380004,,,,1183432208,,,,175202,,,,,,,
Q115681244,3314155832964033490008,,,,1186421800,,,,177093,,,,,,,
Q115681494,2960155708716422580001,,,,1185227008,,,,175382,,,,,,,
Q115681629,4750155832946033490006,,,,1186420774,,,,176771,,,,,,,
Q115681808,7174155708724622580006,,,,1185097392,,,,177487,,,,,,,
Q115686177,795155919193439730006,,,,1186999098,,,,176229,,,,,,,
Q115686473,599155708691422580000,,,,1185098267,,,,95270,,,,,,,
Q115686594,7560155708705422580008,,,,118511291X,,,,175183,,,,,,,
Q115686605,7966155708706222580001,,,,1185123075,,,,175259,,,,,,,
Q115714344,2111155919072739730003,,,,1186999535,,,,93802,,,,,,,
Q115736100,392155769081827880009,,,,1185786023,,,,175638,,,,,,,
Q115736176,6122155769096727880007,,,,1185780890,,,,163941,,,,,,,
Q115736250,964155598031115600008,,,,1183966695,,,,176765,,,,,,,
Q115736367,2960155708696222580001,,,,1185124683,,,,175473,,,,,,,
Q115736588,7757155566469313380003,,,,1183429851,,,,176267,,,,,,,
Q115754079,8379155708726922580008,,,,1185218823,,,,177497,,,,,,,
Q115754261,9698155708709722580007,,,,1185218904,,,,175954,,,,,,,
Q115965650,6488155566442613380004,,,,1183430965,,,,177276,,,,,,,
Q115971870,1155155832959533490002,,,,118642110X,,,,175197,,,,,,,
Q115972442,7000155708724322580009,,,,1185123261,,,,177195,,,,,,,
Q116037513,,,,,,,,,175413,,,,,,,
Q116894312,5787155919291039730006,,,,118700071X,,,,175695,,,,,,,
Q116913415,8666155708727622580004,,,,1185220542,,,,175320,,,,,,,
Q116913440,7531155708705322580003,,,,1185219293,,,,175317,,,,,,,
Q116913475,9469155708729222580008,,,,1185221689,,,,175365,,,,,,,
Q116913494,4419155708699222580001,,,,118522193X,,,,175620,,,,,,,
Q116974343,9286155566448813380004,,,,1183431341,,,,175185,,,,,,,
Q116980733,7548155708705322580000,,,,1185226141,,,,175363,,,,,,,
Q116981101,3314155566434813380005,,,,1183429371,,,,175737,,,,,,,
Q117338165,,,,,,,,,93819,,,,,,,
Q117338244,1155155708712822580005,,,,1185216405,,,,175322,,,,,,,
Q117338256,6946155708704122580005,,,,1185214283,,,,175136,,,,,,,
Q117338263,9273155832955433490009,,,,1186422491,,,,175674,,,,,,,
Q117352223,96155832936133490008,,,,1186419431,,,,175077,,,,,,,
Q117355537,1923155566479813380001,,,,1183432771,,,,175236,,,,,,,
Q117355561,,,,,,,,,174407,,,,,,,
Q117715338,6962155708724222580006,,,,1185216952,,,,177097,,,,,,,
Q117715387,9081155708728422580000,,,,1185195130,,,,175097,,,,,,,
Q117715594,2234155832940833490007,,,,1186422408,,,,175380,,,,,,,
Q117715818,1792155769085427880008,,,,1185796177,,,,177077,,,,,,,
Q117715853,7030155769099227880002,,,,1185786635,,,,101576,,,,,,,
Q117715883,5342155769094827880002,,,,1185797564,,,,177204,,,,,,,
Q117716219,313155566416613380000,,,,1183429665,,,,175081,,,,,,,
Q117763815,2733155953598242630001,,,,1187544027,,,,177912,,,,,,,
Q11924411,57407314,0000000399139936,n88092240,233631,118594796,,,,177522,,,5107,,,,
Q11933550,,,,,,,,,,,,2822,,,,
Q11934088,,,,,,,,,177736,,,,,,,
Q11934097,,,,,,,,,100299,,,,,,,
Q11934108,,,,,,,,,,,,3443,,,,
Q11934146,4701155708699722580005,,,,1185227547,,,,177591,,,,,,,
Q11934889,,,,,,,,,175810,,,,,,,
Q11935087,3149155919260039730001,,,,1186998067,,,,177869,,,,,,,
Q11923503,,,,,,,,,88120,,,,,,,
Q11923509,,,,,,,,,174699,,,,,,,
Q11923514,,,,,,,,,177312,,,,,,,
Q11923521,6733155708703722580002,,,,1185095837,,,,177538,,,,,,,
Q11923526,58971736,0000000049607955,nr95022624,,,,,,,,,,,,,
Q11923552,14660655,0000000052381109,nr95024516,,10238617X,,,,,,,,4932,,,
Q11923563,7555155953608942630006,,,,1187543942,,,,177813,,,,,,,
Q11923620,165155708730622580005,,,,1185217657,,,,176811,,,,,,,
Q11923649,5315155832947233490007,,,,1186415045,,,,177102,,,,,,,
Q11923983,,,,,,,,,,,,,4939,,,
Q11924391,32386111,,,,10238262X,,,,,,,960,,1589,,
Q11924394,,,,,,,,,,,,1305,,,,
Q121076320,438155832936833490009,,,,1186417552,,,,177707,,,,,,,
Q120719712,540155566476113380004,,,,1183419120,,,,175383,,,,,,,
Q120729027,4551155832966633490005,,,,1186416297,,,,176809,,,,,,,
Q1196109,29685111,,,,,134877089,,,148588,,,,,,,
Q11935130,,,,,,,,,177631,,,,,,,
Q11935140,,,,,,,,,,,,,7872,,,
Q11935164,398574,0000000050985435,nr95033453,1810096,102383367,,,,,,,,4884,289,,
Q11935192,,,,,,,,,177471,,,,,,,
Q11935198,3729155708717922580005,,,,,,,,175618,,,,,,,
Q11935241,736155832937533490008,,,,1186421363,,,,176823,,,,,,,
Q11936850,993155832959233490008,,,,1186422173,,,,176161,,,,,,,
Q11943242,4820643,0000000054425048,nr95024512,,,,,,,,,,4922,,,
Q11943248,3556155953600042630007,,,,1187539082,,,,177630,,,,,,,
Q11943279,,,,,,,,,177309,,,,,,,
Q11943302,21575353,,n2006078308,,,,,,,,,,,,,
Q11944250,58971413,,nr95020972,,119148420,,,,177833,,,1880,4927,410,,
Q11944257,,,,,,,,,,,,2615,,,,
Q11944280,,,,,,,,,102065,,,,,,,
Q11944293,7217155919321739730000,,,,118700345X,,,,178056,,,,,,,
Q11985613,83887248,000000005883376X,,,1035297604,,,,,,,,,,,
Q11985967,18262431,0000000374399862,no2010070636,,117596078,,,,,,,,,,,
Q12016878,83736239,0000000109931635,no2021039133,,,,,,,,,,,,,
Q12016885,83974122,0000000056019078,no2015126397,,1159128928,,,,,,,,,,,
Q12016955,23666562,0000000055646619,n87870002,,,,,OL5290435A,,,,,,,,
Q12016990,83700197,,,,,,,,,,,,,,,
Q12017000,28521037,0000000116125113,n85263747,,143830090,,,,,,,,,,,
Q12017170,83770940,000000012282421X,,,1013611586,,,OL4692551A,,,,,,,,
Q12017213,88560856,0000000077777994,nr91043381,298077,173603629,10550320h,,OL6731298A,,,,,,,,
Q12017340,83834028,,,,,,,,,,,,,,,
Q12017545,40177281,0000000061241992,n81063313,74023,118927450,11558627t,,OL5256487A,,,,,,,,
Q12017686,45392737,0000000055443117,n96090629,380734,129838020,,,,,,,,,,,
Q12018525,83695275,0000000057774489,,,1331347912,,,,,,,,,,,
Q12022606,48971750,0000000061326507,no2005113242,,1055395288,,,,,,,,,,,
Q12024855,25938607,0000000106534589,n82001152,84911,1041852983,,,,,,,,,,,
Q12025457,83870463,0000000057218028,,,102669809X,,,,,,,,,,,
Q12026034,95328171,0000000118797044,nr94043448,,1011266512,,,OL1918049A,,,,,,,,
Q12026224,57424579,0000000055391871,no2019131889,,119433850,,,,,,,,,,,
Q12026580,38093132,000000005547305X,n85189781,165437,132954222,166959059,,,,,,,,,,
Q12026609,35640839,000000010887515X,n85102384,,133299503,,,OL1142314A,,,,,,,,
Q12026854,83920249,0000000057992101,,,1034113577,,,,,,,,,,,
Q12027881,83728000,,,,,,,OL2362261A,,,,,,,,
Q12028161,83682772,0000000057081658,,,,,,,,,,,,,,
Q12028567,1447691,0000000106762960,n85165516,,1101954299,,,OL160141A,,,,,,,,
Q12029333,42199730,0000000108303928,n83228177,,1051387892,,,OL1360608A,,,,,,,,
Q12032492,83720146,0000000058557400,,,1292387653,,,,,,,,,,,
Q12032844,38368057,0000000080289844,n85288968,175039,173185177,,,,,,,,,,,
Q12035501,83657928,0000000055910504,n2013031276,1955963,1048545253,,,,,,,,,,,
Q12043170,72173126,0000000055360039,n87914633,1481010,117504521,,,OL1229448A,,,,,,,,
Q12047002,16196379,0000000080957689,n85083896,152852,1034861832,103762124,,,,,,,,,,
Q12050236,44171803,0000000055663371,nr93025113,325390,1026278473,,,,,,,,,,,
Q12118997,309682600,,,,1055325220,,,,,,,,,,,
Q12129786,,,,,,,,,174694,,,,,,,
Q120435246,400155708731122580000,,,,1185222618,,,,75318,,,,,,,
Q120548958,261155598029315600009,,,,1183964986,,,,176172,,,,,,,
Q120549384,1138155708712722580006,,,,1185192190,,,,177427,,,,,,,
Q120549405,1434155708713322580006,,,,1185192913,,,,174655,,,,,,,
Q120549417,,,,,,,,,174509,,,,,,,
Q120549661,9500155919355139730006,,,,1187004073,,,,177680,,,,,,,
Q120550223,9197155708708722580005,,,,1185113150,,,,175089,,,,,,,
Q120599560,8044155832952833490004,,,,1186415363,,,,174497,,,,,,,
Q120599576,2102155598034015600005,,,,118396689X,,,,94478,,,,,,,
Q120599650,6330155832949333490003,,,,1186420553,,,,175186,,,,,,,
Q120629673,2055155708734422580002,,,,1185190708,,,,176857,,,,,,,
Q120629696,1619155708713722580002,,,,1185191062,,,,175835,,,,,,,
Q120629713,1638155708713722580003,,,,1185190384,,,,177499,,,,,,,
Q120629967,3084155832942533490005,,,,118642172X,,,,177919,,,,,,,
Q120637508,9104155919351939730003,,,,1187000558,,,,177829,,,,,,,
Q12276011,,,,,,,,,,,,4209,,,,
Q12276023,882156677151233770003,,,,1193286069,,,,,,,,,,,
Q12277943,3802155708698022580000,,,,1185196781,,,,176274,,,,,,,
Q12282828,47153180,,,,102405468,,,,,,,,6137,1250,,
Q12285197,8567155566471713380006,,,,1183434960,,,,59798,,,,,,,
Q12285221,1653155708693522580007,,,,1185218149,,,,176813,,,,,,,
Q12285229,4820997,,nr95026792,,,,,,,,,,5014,,,
Q12286136,,,,,,,,,177814,,,,,,,
Q1224,357159474334227662977,0000000108021832,n84078849,134912,122936159,12295424z,,,171008,,,,,,169981555,
Q1228,24715915,0000000055113425,n96058641,1799719,119487861,125506109,,OL5001192A,,,,,,,84149264,
Q1215347,54042073,0000000049445298,nr95038328,,,,,,,,,,5064,,,
Q1219017,27155103999376202517,,,,1178753581,,,,177469,,,,,,,
Q1223584,,,,,,,,,165318,,,,,,,
Q1227214,1643155919069339730007,,,,1187000973,,,,177812,,,5869,,,,
Q1227354,,,,,,,,,,,,2757,,,,
Q1228409,17965140,0000000066753890,nr96040547,,116095075,,,OL165081A,,,,,,,,
Q12218366,116953958,0000000109387676,n84179833,,123614244,,,,,,,,,,,
Q1233,7407265,0000000121193161,n79039970,33643,120135639,120376519,,OL425152A,,,,,,,21756360,
Q1235,232536136,0000000110317157,n94041525,338854,128564512,12183664w,,,,,,,,,156924680,
Q1238,6201149068629165730008,0000000081201058,n86055336,193292,122396588,11519727h,,OL5871907A,,,,,,,53690152,
Q1241,7514573,0000000078202578,n88213383,263958,119185245,12775858t,,OL274600A,,,,,,,57175048,
Q1242,309670614,0000000368572905,n50070289,19185,118688383,120277056,,OL128943A,,,,,,,57174498,
Q125414,305418913,0000000374485904,n80013395,1841849,118595636,11938643b,001147360,,148402,500355380,pcrtVl86Dcsi63,,8063,,,
Q125545,181149106165968491157,000000007905065X,n95011691,1849706,,,,,,,,1877,,,,
Q1229835,263119601,0000000110322909,n82165263,,129206873,13092438q,,,,,,,,,,
Q1230217,,,,,,,,,,,,534,,,,
Q1230850,1919156811368845390008,,,,1194272797,,,,,,,,,,,
Q1231649,,,,,,,,,,,,3861,,,,
Q1232866,64395449,,,,102382700,,,,,,,,5888,242,,
Q1234290,,,,,,,,,,,,5428,,,,
Q1234367,,,,,,,,,,,,958,,,,
Q1236503,,,,,,,,,,,,1845,,,,
Q1241376,315522689,,nr95037490,,102044252,,,,,,,307,,1916,,
Q1241388,13103107,,,,118760254,,,,,,,1865,4630,,,
Q1241419,191897805,0000000385976557,n88032502,244444,118613456,,,,,,,,,,,
Q1242632,341146284360415331209,,n94105889,347245,119383012,15127608j,,,60203,,pcrtvhS8tkcWoY,,,,,
Q1243545,245926859,,no2010155664,,1021706663,,,,177826,,,,,,,
Q1245175,,,,,,,,,,,,,1298,,,
Q1247730,8440155832953633490006,0000000044756986,no2002103966,,1186419717,,,,176022,,,,,,,
Q1254823,,,,,,,,,,,,3240,,,,
Q1261606,24990199,,,,102385785,,,,,,,1891,,,,
Q1266814,49376108,0000000354637325,,,,13487964b,,,,,,,,,,
Q1268058,39766893,0000000050056759,nr95023939,1830585,102397201,,,,,,,,4979,1927,,
Q1269660,281972159,,,,104957334X,,,,,,,5862,,,,
Q12291684,,,,,,,,,,,,2058,,,,
Q12291697,63437678,,n2006059771,,,,,,,,,,,,,
Q12291701,,,,,,,,,101971,,,,,,,
Q12291728,1768155769085327880003,,,,1185781285,,,,175830,,,,,,,
Q12292596,63899253,,nr95027544,,,,,,,,,,5048,,,
Q12296377,,,,,,,,,177282,,,,,,,
Q12316589,69310193,0000000433559513,,,1055278427,,,OL5050798A,,,,,,,,
Q12349691,22295045,000000011022548X,n50022850,,172287839,13488360j,,OL4861689A,,,,,,,,
Q12356670,83882034,,,,,,,,,,,,,,,
Q123471165,35155707080822412490,,,,1185195327,,,,176848,,,,,,,
Q124154812,,,,,,,,,174132,,,,,,,
Q124157670,5462155708701122580001,,,,1185193073,,,,176819,,,,,,,
Q124219571,4297155708719122580005,,,,1185227598,,,,175621,,,,,,,
Q124247480,,,,,,,,,174493,,,,,,,
Q124254347,6705155919116439730005,,,,1186997443,,,,176846,,,,,,,
Q124260644,,,,,,,,,174133,,,,,,,
Q124260651,1832155708694022580001,,,,1185227059,,,,175230,,,,,,,
Q124260661,,,,,,,,,174702,,,,,,,
Q124271611,3196155708716922580001,,,,1185102809,,,,177705,,,,,,,
Q124271916,467155708711422580005,,,,1185103163,,,,177205,,,,,,,
Q124277797,8080155708706522580005,,,,1185226575,,,,176822,,,,,,,
Q124279049,9448155708709222580000,,,,1185207465,,,,174428,,,,,,,
Q124279200,6900155708724122580008,,,,1185207201,,,,175366,,,,,,,
Q125706784,,,,,,,,,177862,,,,,,,
Q128694273,,,,,,,,,177107,,,,,,,
Q128694317,,,,,,,,,176874,,,,,,,
Q128698753,,,,,,,,,88146,,,,,,,
Q128709301,,,,,,,,,175227,,,,,,,
Q128709737,,,,,,,,,174591,,,,,,,
Q1273385,,,,,,,,,177529,,,5855,,,,
Q1274785,9919155708730022580003,,,,1185096787,,,,176049,,,1712,,,,
Q1275409,17112337,0000000399069915,nr95015551,357055,119520257,,,,176869,,,3703,4802,870,,
Q1275480,545155708691222580003,,,,1185093982,,,,177873,,,1707,,,,
Q1275684,13117457,,,,119408937,,,,,,,,,,,
Q1277391,,,,,,,,,,,,40,,,,
Q1278485,116151776729218010236,,,,,,,,,,,,,,,
Q1283509,2857961,,,,102393745,,,,,,,2759,,,,
Q1283514,315534793,0000000067894345,nr95024114,,102396892,,,,,,,3557,4971,1940,,
Q1283518,486155708691122580003,,,,1185088873,,,,88128,,,,,,,
Q1283524,5205155708700622580007,,,,1185193391,,,,94493,,,,,,,
Q1283539,7682155919124139730006,,,,1187000221,,,,93814,,,,527,,,
Q1283545,,,,,,,,,177886,,,,,,,
Q1283584,4690155566486013380007,,,,1183432321,,,,175632,,,,,,,
Q1283935,,,,,,,,,,,,5891,,,,
Q1284884,,,,,,,,,,,,1400,,,,
Q1284910,,,,,,,,,,,,2675,,,,
Q127703766,,,,,,,,,175184,,,,,,,
Q127862793,,,,,,,,,174483,,,,,,,
Q127882474,,,,,,,,,175176,,,,,,,
Q127948046,,,,,,,,,94518,,,,,,,
Q127948052,,,,,,,,,175401,,,,,,,
Q127948072,,,,,,,,,175640,,,,,,,
Q127948101,,,,,,,,,88869,,,,,,,
Q127948112,,,,,,,,,176184,,,,,,,
Q128127386,,,,,,,,,174491,,,,,,,
Q128127937,,,,,,,,,174495,,,,,,,
Q128211523,,,,,,,,,175098,,,,,,,
Q128211542,,,,,,,,,174769,,,,,,,
Q128211607,,,,,,,,,175164,,,,,,,
Q128234410,,,,,,,,,101938,,,,,,,
Q128235037,,,,,,,,,174554,,,,,,,
Q128235431,,,,,,,,,174693,,,,,,,
Q128236054,,,,,,,,,175090,,,,,,,
Q128310752,,,,,,,,,177224,,,,,,,
Q128648548,,,,,,,,,174353,,,,,,,
Q129460684,,,,,,,,,177683,,,,,,,
Q129460872,,,,,,,,,177685,,,,,,,
Q129461256,,,,,,,,,177526,,,,,,,
Q129522099,,,,,,,,,177742,,,,,,,
Q129524462,,,,,,,,,175463,,,,,,,
Q129524808,,,,,,,,,177738,,,,,,,
Q129588808,,,,,,,,,175634,,,,,,,
Q130777213,29265136,0000000116133762,,,104456573X,,,,,,,,,,,
Q133022108,5228149108712668780000,0000000080489280,n86042455,,119482533,,,,,,,,,,,
Q1405,736158790622738851366,0000000121227317,n79033006,32969,118505122,12326866z,00650422,OL32998A,57074,500058949,pcrtAtTY0l7OHm,979,138,237,8215554,DG279
Q1407,46738055,0000000109233028,n50049381,16826,118622501,120494832,,OL1828170A,60814,500115693,pcrtw0HNXSW3ZO,6440,3838,,8245972,
Q1413,851151247977144270004,0000000121416409,n50065376,18934,118586998,11936625x,00621202,,59557,500115696,pcrtWnojIIsfsq,4390,5010,970,,
Q152626,327159474180427661410,,,,,,,,,,,1210,,,,
Q1287231,,,,,,,,,,,,1347,,,,
Q1289275,,,,,,,,,,,,931,,,,
Q1289301,,,,,,,,,,,,2052,,,,
Q1289333,,,,,,,,,,,,1009,,,,
Q1297887,8569208,000000002221799X,,,13321415X,,,,,,,,,,,
Q1316621,29921085,,,,102407029,,,,,,,6219,6148,1358,,
Q1334712,190713560,0000000140085553,,,116948485,,,OL2510948A,,,,,,,,
Q1339771,59475691,000000004913609X,nr95022622,,102383561,,,,176216,,,5857,4891,,,
Q1345437,,,,,,,,,,,,1337,,,,
Q1351021,312627790,,,,118597485,,,,,,,5494,,,,
Q1357129,100117274,0000000115789604,n84210464,146349,119253208,11975160n,,OL5052020A,,,,,,,150515975,
Q1357931,77172071,0000000083961886,n80117367,60633,12146198X,,,OL5050166A,,,,,,,,
Q1358824,,,,,,,,,,,,3439,,,,
Q1364258,20569491,0000000110223070,no2008063187,1925478,12266468X,11062571x,,,28765,500031052,,,,,22455595,
Q1365491,89756850,,,,1183418477,,,,175541,,,,,,,
Q1384056,7689218,000000012336418X,n82132706,99865,117001651,15355039n,,OL3451037A,,,,,,,,
Q1394623,90278462,,,,1270683802,,,,,,,,,,,
Q1399121,106162664254955001277,0000000052820255,nr95026839,,102404100,,,,177530,,,5211,,,,
Q1401126,29424997,0000000436593995,nr95024518,,102386188,,,,,,,5756,4933,,,
Q1410618,42595071,0000000033475070,n91024511,,116675071,,,OL5033571A,,,,,,,,
Q1459210,308204417,,,,1050470214,,,,,,,,,,,
Q1491426,1369155708692922580002,,,,1185097864,,,,177671,,,,,,,
Q1491444,,,,,,,,,,,,1831,,,,
Q1491473,31887961,0000000052901661,nr95027440,1810717,10238357X,,,,,,,3403,,295,,
Q1491483,8027155708726322580001,,,,1185209050,,,,176795,,,,,,,
Q1491488,19569970,0000000079857971,nr95024121,,102401551,,,,,,,4719,4901,,,
Q13099492,2207155953619842630006,,,,1187544159,,,,176847,,,,,,,
Q14971389,83781958,0000000122131392,,,1013944879,,,,,,,,,,,
Q15005104,32756852,0000000081123184,,,116765488,,,OL6685731A,,,,,,,,
Q15146560,83856492,0000000056537780,,,1025705297,,,,,,,,,,,
Q128710018,,,,,,,,,175907,,,,,,,
Q128780312,,,,,,,,,175791,,,,,,,
Q128796369,,,,,,,,,176872,,,,,,,
Q128796588,1703155708733722580007,,,,1185104674,,,,175170,,,,,,,
Q128950836,,,,,,,,,177543,,,,,,,
Q129024623,,,,,,,,,177563,,,,,,,
Q129101339,,,,,,,,,174590,,,,,,,
Q129168974,,,,,,,,,97152,,,,,,,
Q129169161,,,,,,,,,174417,,,,,,,
Q129175237,,,,,,,,,174466,,,,,,,
Q129212545,,,,,,,,,174654,,,,,,,
Q129213009,,,,,,,,,86699,,,,,,,
Q129214002,,,,,,,,,174653,,,,,,,
Q129215975,,,,,,,,,174631,,,,,,,
Q129216464,,,,,,,,,174692,,,,,,,
Q129221076,,,,,,,,,175226,,,,,,,
Q129221714,,,,,,,,,175472,,,,,,,
Q129223783,,,,,,,,,175315,,,,,,,
Q129224027,,,,,,,,,175378,,,,,,,
Q129224275,,,,,,,,,175189,,,,,,,
Q129333344,,,,,,,,,176188,,,,,,,
Q129333369,,,,,,,,,175889,,,,,,,
Q129333379,,,,,,,,,176176,,,,,,,
Q129333556,,,,,,,,,175696,,,,,,,
Q129334022,,,,,,,,,176242,,,,,,,
Q129334306,,,,,,,,,175637,,,,,,,
Q129334815,,,,,,,,,176187,,,,,,,
Q129335426,,,,,,,,,176217,,,,,,,
Q129335784,,,,,,,,,175676,,,,,,,
Q129336061,,,,,,,,,175813,,,,,,,
Q129356234,,,,,,,,,177226,,,,,,,
Q129356843,,,,,,,,,177200,,,,,,,
Q129357767,3058155708696422580001,,,,1185227180,,,,177119,,,,,,,
