master_id,master_id_type,master_label,item_count,discipline_count,major_count
1133091814,gnd_id,algorithmic game theory,1,0,1
634.8,ddc,ampelography,1,0,1
sh85004599,lcsh_id,amphibian anatomy,1,1,0
sh85004972,lcsh_id,anaesthesiology,1,0,1
sh85023011,lcsh_id,analytical chemistry,1,1,0
sh85004835,lcsh_id,anatomy,1,1,0
4142081-0,gnd_id,ancient Near Eastern studies,1,0,1
4131285-5,gnd_id,ancient history,1,1,0
QL750-QL795,lcc,animal behavior,1,0,1
sh85005167,lcsh_id,animal communication,1,1,0
sh85005172,lcsh_id,animal ecology,1,1,0
sh91006269,lcsh_id,animal ecophysiology,1,1,0
sh85005190,lcsh_id,animal genetics,1,1,0
sh85005169,lcsh_id,animal husbandry,1,0,1
sh85087348,lcsh_id,animal morphology,1,1,0
sh85005291,lcsh_id,animation,1,0,1
4560829-5,gnd_id,annotation,1,1,0
sh85005579,lcsh_id,anthropologist,1,0,1
sh85005581,lcsh_id,anthropology,1,1,0
sh2003004295,lcsh_id,anthropology of media,1,0,1
sh89003038,lcsh_id,anthropology of music,1,1,0
300157724,aat_id,anthropology of religion,1,1,0
sh85005588,lcsh_id,anthropometry,1,1,0
005.3,ddc,application,1,1,0
sh98004527,lcsh_id,application programming interface,1,1,0
sh85006167,lcsh_id,applied anthropology,1,1,0
4216597-0,gnd_id,applied chemistry,1,1,0
4112526-5,gnd_id,applied computer science,1,1,0
sh96009482,lcsh_id,applied ecology,1,0,1
sh85006168,lcsh_id,applied linguistics,1,0,1
sh93002523,lcsh_id,applied mathematics,1,0,1
621,ddc,applied physics,1,0,1
sh85108472,lcsh_id,applied psychology,1,1,0
4142447-5,gnd_id,applied science,1,1,0
sh85000155,lcsh_id,aptitude,1,1,0
4900632-0,gnd_id,aqidah,1,0,1
sh85006231,lcsh_id,aquatic biology,1,1,0
sh85006232,lcsh_id,aquatic ecology,1,1,0
sh85006246,lcsh_id,aquatic science,1,1,0
sh85006517,lcsh_id,archaeological science,1,1,0
sh85006507,lcsh_id,archaeology,1,1,0
300054627,aat_id,archiving,1,1,0
sh85006988,lcsh_id,area studies,1,1,0
sh85007163,lcsh_id,arithmetic,1,1,0
815177,fast_id,art,1,1,0
sh85007488,lcsh_id,art history,1,0,1
300054196,aat_id,art of drawing,1,1,0
750,ddc,art of painting,1,0,1
sh85119004,lcsh_id,art of sculpture,1,0,1
sh85008334,lcsh_id,art therapy,1,1,0
sh85008180,lcsh_id,artificial intelligence,1,1,0
sh85008324,lcsh_id,arts,1,1,0
sh85008784,lcsh_id,asset,1,1,0
sh90004216,lcsh_id,astrobiology,1,1,0
sh85033157,lcsh_id,astrochemistry,1,1,0
sh85008942,lcsh_id,astrometry,1,1,0
sh85009003,lcsh_id,astronomy,1,1,0
sh85009032,lcsh_id,astrophysics,1,1,0
sh85009153,lcsh_id,athletics,1,0,1
sh85009289,lcsh_id,atmospheric physics,1,1,0
sh2018002590,lcsh_id,atmospheric sciences,1,1,0
sh85009391,lcsh_id,attention,1,1,0
153.1532,ddc,attentional control,1,1,0
sh85010164,lcsh_id,auto mechanic,1,0,1
sh90002778,lcsh_id,automotive industry,1,0,1
sh85010480,lcsh_id,auxiliary science of history,1,1,0
sh85113526,lcsh_id,award,1,1,0
4079189-0,gnd_id,axiology,1,0,1
sh85010864,lcsh_id,bacteriology,1,1,0
sh85011312,lcsh_id,ballistics,1,0,1
4576777-4,gnd_id,baltistics,1,0,1
sh85040859,lcsh_id,behavioral economics,1,0,1
4135590-8,gnd_id,biblical studies,1,1,0
sh85013838,lcsh_id,bibliography,1,0,1
002,ddc,bibliology,1,0,1
sh85013873,lcsh_id,bibliometrics,1,0,1
sh2012003227,lcsh_id,big data,1,1,0
sh85014119,lcsh_id,bioacoustics,1,1,0
sh85014171,lcsh_id,biochemistry,1,1,0
sh85014127,lcsh_id,bioclimatology,1,1,0
sh85014136,lcsh_id,bioethics,1,0,1
sh85014147,lcsh_id,biogeography,1,1,0
sh00003585,lcsh_id,bioinformatics,1,0,1
sh85101512,lcsh_id,biological anthropology,2,2,0
578.012,ddc,biological classification,1,1,0
sh85014203,lcsh_id,biology,1,1,0
sh85014236,lcsh_id,biomechanics,1,1,0
610.724,ddc,biomedicine,1,1,0
sh2010013493,lcsh_id,biomolecular archaeology,1,1,0
sh85014253,lcsh_id,biophysics,1,1,0
sh85097152,lcsh_id,biostratigraphy,1,1,0
sh85014263,lcsh_id,biotechnology,1,1,0
sh85014311,lcsh_id,bird anatomy,1,1,0
sh85014325,lcsh_id,bird physiology,1,1,0
sh99002613,lcsh_id,black-and-white photography,1,0,1
sh2016002790,lcsh_id,blockchain,1,1,0
615.851,ddc,body psychotherapy,1,1,0
sh85015976,lcsh_id,botany,1,1,0
sh2009007945,lcsh_id,braided river ecology,1,1,0
sh85017004,lcsh_id,broadcasting,1,0,1
sh85017757,lcsh_id,buildings archaeology,1,0,1
sh85018260,lcsh_id,business,1,0,1
300054343,aat_id,business activity,1,1,0
4069402-1,gnd_id,business administration,1,1,0
330,ddc,business economics,2,0,2
4112736-5,gnd_id,business informatics,1,0,1
sh85018802,lcsh_id,calculus,1,1,0
sh85018809,lcsh_id,calculus of variations,1,1,0
4163148-1,gnd_id,cameralism,2,0,2
sh85019430,lcsh_id,canal ecology,1,1,0
sh87002642,lcsh_id,cancer immunotherapy,1,0,1
sh85019646,lcsh_id,canon law,1,0,1
sh85059711,lcsh_id,cardiac surgery,1,0,1
sh85020211,lcsh_id,cardiologist,1,0,1
sh85020435,lcsh_id,carpentry,1,0,1
268,ddc,catechesis,1,0,1
4120552-2,gnd_id,category theory,1,1,0
611,ddc,cell biology,1,1,0
738,ddc,ceramic art,1,0,1
sh91002611,lcsh_id,chemical ecology,1,1,0
sh85023029,lcsh_id,chemical technology,1,0,1
sh2003001403,lcsh_id,cheminformatics,1,1,0
sh85022986,lcsh_id,chemistry,1,1,0
sh2005000482,lcsh_id,chemometrics,1,1,0
4278357-4,gnd_id,child care,1,0,1
sh2001002085,lcsh_id,child development,1,1,0
sh85023396,lcsh_id,child protection,1,0,1
sh85023380,lcsh_id,child psychology,1,1,0
sh85025406,lcsh_id,chronology,1,1,0
sh85025619,lcsh_id,church history,1,1,0
sh85025650,lcsh_id,church music,1,0,1
300054141,aat_id,cinema,1,0,1
sh85026014,lcsh_id,cinematography,1,0,1
4171531-7,gnd_id,circuit theory,1,0,1
sh85026371,lcsh_id,civil and political rights,1,0,1
sh85026344,lcsh_id,civil law,1,0,1
4164039-1,gnd_id,classical archaeology,1,0,1
4038168-7,gnd_id,classical mechanics,1,1,0
781.68,ddc,classical music,1,0,1
4199241-6,gnd_id,classical philologist,1,0,1
sh85026710,lcsh_id,classical philology,1,1,0
4134281-1,gnd_id,classical studies,2,2,0
sh99000303,lcsh_id,cliff ecology,1,1,0
sh85027044,lcsh_id,climatology,1,1,0
sh85027063,lcsh_id,clinical child psychology,1,1,0
sh85037496,lcsh_id,clinical pathology,1,0,1
4164215-6,gnd_id,clinical pharmacy,1,0,1
sh85027067,lcsh_id,clinical psychology,1,1,0
300053600,aat_id,clockmaking,1,0,1
sh2008004883,lcsh_id,cloud computing,1,1,0
sh85027299,lcsh_id,coaching,1,1,0
sh85027742,lcsh_id,cognition,1,1,0
4164463-3,gnd_id,cognitive anthropology,1,1,0
4114250-0,gnd_id,cognitive behavioral therapy,1,1,0
410.1835,ddc,cognitive linguistics,1,1,0
300264362,aat_id,cognitive process,1,1,0
sh87007652,lcsh_id,cognitive psychology,1,1,0
sh88006179,lcsh_id,cognitive science,1,1,0
sh85027984,lcsh_id,collectable,1,1,0
4128844-0,gnd_id,collection,1,1,0
sh85028802,lcsh_id,combinatorics,1,1,0
380,ddc,commerce,1,0,1
sh85028940,lcsh_id,commercial law,1,0,1
sh85029027,lcsh_id,communication,1,1,0
302.2,ddc,communication science,1,0,1
300054349,aat_id,communication studies,1,1,0
sh85029299,lcsh_id,comparative law,1,1,0
sh85029301,lcsh_id,comparative linguistics,1,0,1
sh85077534,lcsh_id,comparative literature,1,0,1
sh85112599,lcsh_id,comparative religion,1,0,1
300077124,aat_id,comparison,1,1,0
sh85052356,lcsh_id,complex analysis,1,1,0
781.3,ddc,composed musical work,1,0,1
sh2020006312,lcsh_id,computational chemistry,1,1,0
sh85077224,lcsh_id,computational linguistics,1,1,0
7535806-2,gnd_id,computational visualistics,1,0,1
sh85029552,lcsh_id,computer,1,0,1
4010449-7,gnd_id,computer algebra,1,0,1
4053059-0,gnd_id,computer interface,1,1,0
300419459,aat_id,computer language,1,1,0
sh85029511,lcsh_id,computer music,1,1,0
sh85029512,lcsh_id,computer network protocol,1,1,0
sh85029524,lcsh_id,computer program,1,1,0
sh85107310,lcsh_id,computer programming,1,1,0
sh89003285,lcsh_id,computer science,1,1,0
sh85029497,lcsh_id,computer scientist,1,0,1
sh92006326,lcsh_id,computer-supported cooperative work,1,0,1
sh85029623,lcsh_id,concept,1,1,0
sh85030765,lcsh_id,condensed matter physics,1,1,0
sh88001138,lcsh_id,connectionism,1,1,0
sh95000524,lcsh_id,conservation biology,1,1,0
sh85031260,lcsh_id,conservation education,1,1,0
sh85031326,lcsh_id,constitutional history,1,0,1
sh85031329,lcsh_id,constitutional law,1,0,1
840551,fast_id,construction,1,0,1
sh85031496,lcsh_id,consumer choice,1,0,1
sh85031576,lcsh_id,continuum mechanics,1,1,0
sh85031684,lcsh_id,convention,1,1,0
sh85032203,lcsh_id,cooperation,1,1,0
4133952-6,gnd_id,coordination chemistry,1,0,1
K1411-K1485,lcc,copyright,1,1,0
sh85032912,lcsh_id,corporate law,1,0,1
sh85012726,lcsh_id,cosmetology,1,0,1
sh85033150,lcsh_id,cosmic physics,1,1,0
sh85033167,lcsh_id,cosmography,1,0,1
sh85033169,lcsh_id,cosmology,1,1,0
sh85033421,lcsh_id,counseling,1,1,0
sh85033847,lcsh_id,creative writing,1,0,1
sh85034032,lcsh_id,criminal anthropology,1,1,0
sh85034049,lcsh_id,criminal justice,1,0,1
sh85034058,lcsh_id,criminal law,1,0,1
4033177-5,gnd_id,criminalistics,1,1,0
sh89002994,lcsh_id,criminology,1,1,0
sh85034122,lcsh_id,crisis management,1,0,1
sh85034498,lcsh_id,crystallography,1,1,0
305.8,ddc,cultural anthropology,1,1,0
7503708-7,gnd_id,cultural history,1,0,1
4309943-9,gnd_id,cultural institutions studies,1,0,1
sh85034748,lcsh_id,cultural policy,1,1,0
sh93005685,lcsh_id,cultural studies,1,1,0
sh85034969,lcsh_id,customs agency,1,0,1
sh85035046,lcsh_id,cybernetics,1,0,1
sh85035170,lcsh_id,cypress swamp ecology,1,1,0
sh85035240,lcsh_id,cytology,1,1,0
4169930-0,gnd_id,dairy science,1,1,0
sh85035659,lcsh_id,dance,1,0,1
005,ddc,data,1,1,0
1--028557,ddc,data,1,1,0
519.53,ddc,data analysis,3,3,0
sh85035852,lcsh_id,data dictionary,1,1,0
sh97002073,lcsh_id,data mining,1,1,0
sh85035859,lcsh_id,data protection,1,1,0
sh2018002256,lcsh_id,data set,1,1,0
sh85035862,lcsh_id,data structure,1,1,0
sh85037972,lcsh_id,data transmission,1,0,1
sh86007767,lcsh_id,database,1,1,0
4012005-3,gnd_id,decentralization,1,1,0
sh86006549,lcsh_id,decision support system,1,1,0
sh2008009697,lcsh_id,deep web,1,1,0
sh85036659,lcsh_id,demography,1,1,0
sh85036862,lcsh_id,dental assistant,1,0,1
sh85037000,lcsh_id,deontic logic,1,0,1
sh85037197,lcsh_id,design,1,1,0
sh87005579,lcsh_id,design,1,1,0
4454600-2,gnd_id,development finance,1,0,1
4014937-7,gnd_id,development studies,1,1,0
sh85037352,lcsh_id,developmental biology,1,1,0
sh85037359,lcsh_id,developmental psychology,1,1,0
4135700-0,gnd_id,dharma,1,0,1
sh85037526,lcsh_id,dialectology,1,1,0
sh85037878,lcsh_id,differential psychology,1,1,0
sh00007354,lcsh_id,digital art,1,0,1
sh2004000803,lcsh_id,digital journalism,1,0,1
sh98006600,lcsh_id,digital media,1,1,0
sh95004496,lcsh_id,digital preservation,1,1,0
sh85134542,lcsh_id,directing,1,0,1
sh85099826,lcsh_id,direction,1,0,1
4144335-4,gnd_id,disability policy,1,1,0
sh93003312,lcsh_id,discovery,1,1,0
sh88004324,lcsh_id,distributed artificial intelligence,1,0,1
sh85042293,lcsh_id,distributed computing,1,1,0
1229475885,gnd_id,distributed ledger,1,1,0
1175958913,gnd_id,documentary filmmaker,1,0,1
sh85101277,lcsh_id,documentary photography,1,0,1
4128313-2,gnd_id,documentation science,1,1,0
4027058-0,gnd_id,domestic policy,1,1,0
4073972-7,gnd_id,domestic studies,1,1,0
sh85039316,lcsh_id,drama,1,0,1
sh85039386,lcsh_id,dramaturgy,1,0,1
sh85039408,lcsh_id,drawing,1,0,1
sh85053976,lcsh_id,dynamic geology,1,1,0
sh85040311,lcsh_id,dynamic meteorology,1,1,0
sh87007854,lcsh_id,early childhood education,1,0,1
909.08,ddc,early modern period,1,0,1
4124846-6,gnd_id,earthquake prediction,1,1,0
sh85040680,lcsh_id,ecclesiastical law,1,0,1
sh85040752,lcsh_id,ecology,1,1,0
sh85040763,lcsh_id,econometrics,1,1,0
sh85040766,lcsh_id,economic anthropology,1,1,0
sh85054016,lcsh_id,economic geography,1,0,1
sh85054085,lcsh_id,economic geology,1,1,0
sh85040817,lcsh_id,economic history,1,1,0
sh85040837,lcsh_id,economic policy,1,0,1
sh85107209,lcsh_id,economic production,1,1,0
4066514-8,gnd_id,economic sociology,1,1,0
sh85040850,lcsh_id,economics,1,1,0
sh85011609,lcsh_id,economics of banking,1,0,1
sh85040802,lcsh_id,economy,1,1,0
sh91006274,lcsh_id,ecophysiology,1,1,0
sh93001294,lcsh_id,ecosystem management,1,1,0
4121813-9,gnd_id,ecotoxicology,1,1,0
sh85040989,lcsh_id,education,1,1,0
sh85041004,lcsh_id,education economics,1,1,0
sh85041108,lcsh_id,educational anthropology,1,1,0
sh85041141,lcsh_id,educational psychology,1,0,1
sh85041254,lcsh_id,ego psychology,1,0,1
sh85042383,lcsh_id,electronics,1,1,0
571.86,ddc,embryology,1,1,0
4152069-5,gnd_id,emeritus,1,0,1
333.7916,ddc,energy conservation,1,0,1
sh85043147,lcsh_id,energy policy,1,1,0
4629260-3,gnd_id,entity,1,1,0
sh85044125,lcsh_id,entomology,1,1,0
338.04,ddc,entrepreneurship,1,0,1
sh85044168,lcsh_id,environmental chemistry,1,1,0
300251190,aat_id,environmental design,1,0,1
sh93004763,lcsh_id,environmental economics,1,1,0
sh85044169,lcsh_id,environmental education,1,1,0
sh85044197,lcsh_id,environmental policy,1,1,0
sh95010683,lcsh_id,environmental resource management,1,0,1
sh92004048,lcsh_id,environmental science,1,1,0
sh96003462,lcsh_id,environmental toxicology,1,1,0
sh96010093,lcsh_id,enzymology,1,1,0
1028597347,gnd_id,epidemiologist,1,0,1
sh85044373,lcsh_id,epidemiology,1,1,0
sh85072732,lcsh_id,epistemology,1,1,0
sh85044600,lcsh_id,ergodic theory,1,1,0
sh85045096,lcsh_id,ethics,1,1,0
300197770,aat_id,ethnic studies,1,0,1
300054319,aat_id,ethnography,1,1,0
sh85045198,lcsh_id,ethnology,1,1,0
sh85045425,lcsh_id,ethnopsychology,1,1,0
sh85045421,lcsh_id,etnomusicology,1,1,0
sh85045469,lcsh_id,etruscology,1,1,0
sh85045926,lcsh_id,evaluation,1,1,0
4125453-3,gnd_id,event,1,1,0
sh85046029,lcsh_id,evolution,1,1,0
sh90004042,lcsh_id,evolutionary biology,1,1,0
4395809-6,gnd_id,evolutionary ecology,1,1,0
4015943-7,gnd_id,exact science,1,1,0
sh85046244,lcsh_id,excited state chemistry,1,1,0
sh85126898,lcsh_id,exercise physiology,1,1,0
sh85046374,lcsh_id,existential therapy,1,1,0
sh85046433,lcsh_id,experience,1,1,0
530.078,ddc,experimental physics,1,0,1
sh85108474,lcsh_id,experimental psychology,1,1,0
1263068472,gnd_id,explainable AI,1,1,0
sh85046453,lcsh_id,explanation,1,1,0
4023828-3,gnd_id,family and consumer science,1,0,1
sh95007409,lcsh_id,family economics,1,0,1
sh85047057,lcsh_id,family medicine,1,1,0
sh85047061,lcsh_id,family therapy,1,1,0
7510814-8,gnd_id,fashion design,1,0,1
sh93006951,lcsh_id,feminist anthropology,1,1,0
sh85047760,lcsh_id,feminist therapy,1,1,0
sh85047932,lcsh_id,festival,1,1,0
sh85048050,lcsh_id,fiction,1,0,1
001.433,ddc,field research,1,1,0
4129888-3,gnd_id,film direction,1,0,1
4124971-9,gnd_id,film production,1,0,1
4154385-3,gnd_id,film studies,1,0,1
sh2008108033,lcsh_id,film theory,1,0,1
sh85048256,lcsh_id,finance,1,1,0
332,ddc,financial economics,1,0,1
sh85018286,lcsh_id,financial management,1,0,1
300054195,aat_id,fine art,1,0,1
sh85101269,lcsh_id,fine-art photography,1,0,1
sh85068454,lcsh_id,fiqh,2,0,2
sh85048479,lcsh_id,fire ecology,1,1,0
sh2002006171,lcsh_id,firefighter,1,0,1
sh85048766,lcsh_id,fish genetics,1,1,0
sh85048793,lcsh_id,fish physiology,1,1,0
sh85048800,lcsh_id,fish reproduction,1,1,0
sh2005020061,lcsh_id,fisheries science,1,1,0
sh85048666,lcsh_id,fishing industry,1,0,1
sh85049342,lcsh_id,flower morphology,1,1,0
sh85049383,lcsh_id,fluid mechanics,1,1,0
sh85050104,lcsh_id,folklore,1,0,1
sh85050150,lcsh_id,folkloristics,1,1,0
sh85050191,lcsh_id,food chemistry,1,1,0
sh2018000786,lcsh_id,food science,1,1,0
664,ddc,food technology,1,0,1
sh85050519,lcsh_id,foreign policy,1,1,0
sh85050537,lcsh_id,forensic anthropology,1,1,0
sh2021003625,lcsh_id,forensic forestry,1,1,0
sh90001487,lcsh_id,forensic science,1,1,0
4134284-7,gnd_id,forensic technique,1,1,0
sh85050567,lcsh_id,forest conservation,1,1,0
sh85050575,lcsh_id,forest ecology,1,1,0
sh85063461,lcsh_id,forest hydrology,1,1,0
300379283,aat_id,forest management,1,1,0
4329718-3,gnd_id,forester,1,1,0
sh85050707,lcsh_id,forestry,1,1,0
sh88003739,lcsh_id,forestry science,1,1,0
sh85050802,lcsh_id,formal language,1,1,0
sh85051943,lcsh_id,freshwater biology,1,1,0
sh85051944,lcsh_id,freshwater ecology,1,1,0
sh85052162,lcsh_id,fruticulture,1,1,0
sh85052312,lcsh_id,functional analysis,1,1,0
sh85006028,lcsh_id,fundamental theology,1,0,1
sh85052453,lcsh_id,fungal physiology,1,1,0
300435227,aat_id,furniture design,1,0,1
sh94008658,lcsh_id,galaxy formation and evolution,1,0,1
sh85053291,lcsh_id,gas kinetics,1,0,1
sh85053479,lcsh_id,gastroenterology,1,1,0
sh85053712,lcsh_id,gemstone,1,0,1
4547810-7,gnd_id,gender history,1,0,1
4482930-9,gnd_id,gender studies,1,1,0
4078943-3,gnd_id,general economics,1,0,1
4141943-1,gnd_id,general psychology,1,1,0
sh85053853,lcsh_id,genetic counseling,1,1,0
sh85053877,lcsh_id,genetics,1,1,0
sh2002000809,lcsh_id,genomics,1,1,0
sh85053960,lcsh_id,geochemistry,1,1,0
4020199-5,gnd_id,geochronology,1,1,0
sh85053969,lcsh_id,geodesy,1,1,0
4139787-3,gnd_id,geodetic astronomy,1,0,1
4137703-5,gnd_id,geoecology,1,0,1
sh2003007733,lcsh_id,geographic information system,1,1,0
sh00005919,lcsh_id,geography,1,1,0
sh2015002292,lcsh_id,geoinformatics,1,0,1
sh85054037,lcsh_id,geology,1,1,0
