qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc
Q722609,MARC standards,,,,,Q2755217|Q3919686|Q28770433,UNIMARC|MARC 21|MARCXML,,4168864-8,sh85080966,025.316,,,,,
Q28770433,MARCXML,,,Q722609,MARC standards,,,,,,,,,,,
Q120969831,MCQ generation,,,,,,,,,,,,,,,
Q10322548,MQTT,,,Q251212,Internet of things,,,,1145336337,,004.62,,,,,
Q116757387,Maintenance 4.0,,,Q1661989,Industry 4.0,Q3182448,predictive maintenance,,,,,,,,,
Q120969813,Massive data,,,,,,,,,,,,,,,
Q65281046,Microblogging,,,,,,,,,,,,,,,
Q12211529,Middle Eastern studies,Q476294,oriental studies,,,Q4785363,genetic history of the Middle East,,,sh85090514,,,,MiddleEasternStudies,,
Q66490562,Modern Greek Studies,,,,,,,,,,,,,,,
Q120969787,Neural-symbolic integration,,,,,,,,,,,,,,,
Q120969785,OWL2 RL,,,,,,,,,,,,,,,
Q120910089,Ontobroker,,,,,,,,,,,,,,,
Q120969774,Ontology mining,,,,,,,,,,,,,,,
Q120910083,Ontology reasoning systems,,,,,,,,,,,,,,,
Q120910098,Ontology search,,,,,,,,,,,,,,,
Q120969777,Ontology use,,,,,,,,,,,,,,,
Q120969827,Open Knowledge Extraction,,,,,,,,,,,,,,,
Q120910100,PWO,,,,,,,,,,,,,,,
Q7125797,Pakistan studies,Q625510,Indology,,,,,,,,,,,PakistanStudies,,
Q127656899,Pekingology,Q269915|Q36442,sinology|political science,,,,,,,,,,,,,
Q591138,Plant evolutionary developmental biology,,,Q441,botany,,,,,,,,,,,
Q120969830,Property paths,,,,,,,,,,,,,,,
Q109450440,Q109450440,Q843601,health sciences,,,,,,,,,,,,,
Q1147173,Q1147173,Q2043282,business administration,,,,,,4120425-6,,381,,,,,
Q1521170,Q1521170,,,,,,,,,,,,,,,
Q18424298,Q18424298,Q11790208,Forest sciences,,,,,,,,,,,,,
Q3578749,Q3578749,Q8134|Q349,economics|sport,,,,,,,,,,,,,
Q9033886,Q9033886,,,,,,,,,,,,,,,
Q120969829,Question Answering over Linked Data,,,,,,,,,,,,,,,
Q109734057,R2RML,,,,,,,,,,,,,,,
Q120969784,RDF Data Cube,,,,,,,,,,,,,,,
Q120969834,RDF dataset profiling,,,,,,,,,,,,,,,
Q120969807,SHACL shape learning,,,,,,,,,,,,,,,
Q62522500,SPARQL query file format,,,,,,,,,,,,,,,
Q120910094,Scalable reasoning,,,,,,,,,,,,,,,
Q62211950,Semantic Sensor Network Ontology,,,,,,,,,,,,,,,
Q54837,Semantic Web,Q466|Q1045785|Q7449064,World Wide Web|semantic network|Semantic integration,,,Q515701|Q1370467,linked data|EuroVoc,1112076,4688372-1,sh2002000569,025.0427,300391330,02276858n,SemanticWeb,,TK5105.88815|ZA4240
Q120910069,Semantic Web of Things,,,,,,,,,,,,,,,
Q120910084,Semantic browsing,,,,,,,,,,,,,,,
Q120969832,Semantic entity annotation system,,,,,,,,,,,,,,,
Q7449064,Semantic integration,Q11802245|Q7449051,Integrated software|semantic computing,,,,,,,sh2004000479,,,,,,
Q7449072,Semantic matching,,,,,,,,,,,,,,,
Q120910090,Semantic publishing models,,,,,,,,,,,,,,,
Q2142577,Semitic studies,Q4806809|Q38157|Q476294,Asian studies|African studies|oriental studies,,,Q3621186,Arabic studies,,4180975-0,,,,,SemiticStudies,,
Q9393074,Sindhology,Q7125797,Pakistan studies,,,,,,,,,,,,,
Q156864,Slavic studies,Q1413113|Q11790583|Q1595873,Eastern European studies|modern philology|domestic studies,,,,,,4055287-1,,491.8,,,SlavicStudies,,
Q4423818,Slovak studies,Q16872093,West Slavic Studies,Q16872093,West Slavic Studies,,,,,,,,,,,
Q16856938,Smart Factory,Q83405|Q107307291,factory|artificially intelligent entity,,,,,,,,,,,,,
Q120910102,Smart environments,,,,,,,,,,,,,,,
Q26792203,Solap,,,,,,,,,,,,,,,
Q105397778,South Asia studies,Q476294|Q4806809,oriental studies|Asian studies,,,,,,,,,,,,,
Q15609389,South Asian languages,Q2624777,languages of Asia,Q122766954|Q118987766,South Asian culture|South and Southeast Asian languages,,,,,sh89003685,,,,,,
Q118987766,South and Southeast Asian languages,Q2624777,languages of Asia,,,,,,,,,,,,,
Q17149027,Taiwan studies,Q162817|Q269915,East Asian studies|sinology,,,,,,,,,,,,,
Q7681446,Tamilology,Q1128227|Q625510|Q105397778,Dravidian studies|Indology|South Asia studies,,,,,,,,,,,,,
Q120969800,Taxonomy enrichment,,,,,,,,,,,,,,,
Q120910096,Temporal reference system,,,,,,,,,,,,,,,
Q120910078,Terminology generation,,,,,,,,,,,,,,,
Q120969799,Topic evolution,,,,,,,,,,,,,,,
Q2755217,UNIMARC,,,Q722609,MARC standards,,,,4186896-1,sh85139700,025.316,,,,,Z699.4.U22
Q169411,Unified Modeling Language,,,,,,,1160249,4469781-8,sh97003561,,,02571962n,UnifiedModelingLanguage,,
Q112971079,Urban and regional economics,Q8134,economics,,,Q385256|Q1328737,urban economics|regional economics,,,,,,,,,
Q110857459,Victorian studies,,,,,,,,,,,,,,,
Q16872093,West Slavic Studies,Q156864,Slavic studies,Q156864,Slavic studies,,,,4830608-3,,,,,,,
Q466,World Wide Web,Q1668024|Q1076968,service on Internet|digital media,,,Q35127|Q221989|Q59164093|Q1476753,website|deep web|publicly indexable web|surface web,1181326,4363898-3,sh95000541,025.042,300263365,00080772n,WorldWideWeb-DynamicIndexedInfoSource,,
Q111597209,Yugoslav studies,Q156864,Slavic studies,,,,,,,,,,,,,
Q19829125,absence,Q813912,condition,,,,,,,,,,,,,
Q7048977,abstract entity,Q35120,entity,Q18205125,abstract and concrete,,,,4191666-9,,,,14781583n,,,
Q189533,academic degree,Q4218455|Q618779|Q427581,qualification|award|intangible asset,Q1815842,academic achievement,,,,4141686-7,sh85036481,378.2,300312080,00000554n,EducationalDegree,,
Q11862829,academic discipline,Q1047113,field of study,,,,,,4151461-0,sh85141103,,,00007985n,FieldOfStudy,,
Q4671286,academic major,Q11862829,academic discipline,,,,,,,,,,,CourseOfStudy,,
Q133261589,academic program,Q123421329|Q5341295,program|educational organization,,,,,,,,,,,,,
Q107514431,accordion performance,Q6942562,musical performance,,,,,,,,,,,,,
Q3882459,acoustic wave,Q3882429,elastic wave,,,,,,4191490-9,sh85125404,,,,,,
Q82811,acoustics,Q413,physics,,,,,,4000988-9,sh2002006100,534,300054562,00000989n,Acoustics,,
Q127069206,acridology,Q4337149,orthopterology,,,,,,,,,,,,,
Q110797464,action table,Q110113602,combat mechanic,,,,,,,,,,,,,
Q4677578,active recall,Q18733,recall,,,,,,,,,,,,,
Q1914636,activity,Q3249551,process,,,Q4026292|Q52948,action|interaction,,4058882-8,,,,00059125n,ActivityByType,,
Q4680662,adaptation,,,,,,,,,,,,,,,
Q5283295,administration,Q1047113|Q80083|Q29017603,field of study|humanities|control,Q1268199|Q43229,managerial finance|organization,,,1351613,4063317-2,sh85000898|sh2002007910,351,300133011,00001422n,,,
Q115982628,administrative management,,,,,,,,,,,,,,,
Q2405713,administrative organisation,,,Q16387,information science,,,,,,,,,,,
Q11943008,adolescent psychology,Q161272|Q175002,social psychology|developmental psychology,,,,,797018,,sh85000969,,,,,,BF724
Q6593690,aeromechanics,Q172145,fluid mechanics,,,,,,,,,,,,,
Q130236362,aeronautical climatology,Q28797|Q52139,applied science|climatology,,,,,,,,,,,,,
Q35986,aesthetics,Q5891,philosophy,Q186531,axiology,Q132776155,Islamic aesthetics,798702,4000626-8,sh85001441,701.17|801.93|701,300054280|300312347,00001719n,Aesthetics,,BH1-BH301
Q396340,agricultural economics,Q8134,economics,Q11451,agriculture,,,,4704302-7,sh85002427,338.1,,,AgriculturalEconomics,,
Q396198,agricultural policy,Q546113|Q582577,public policy|economic policy,,,,,801722,4000771-6,sh85002484,,,,,,
Q3606845,agricultural science,Q441|Q2920921|Q28797,botany|management|applied science,,,,,801593,4068473-8,sh86001792|sh85002415,630,300025604,00002095n|27267534n,AgriculturalResearch,,
Q4057127,agricultural technology,Q11016|Q3606845,technology|agricultural science,,,,,,,,,,,,,
Q194118,agricultural technology,Q11016,technology,,,,,,,,,,,,,
Q110231626,"agricultural, veterinary and food sciences",Q336,science,,,Q3606845|Q170201|Q1637030,agricultural science|veterinary medicine|food science,,,,,,,,,
Q1801887,agriculture and forestry,Q159810,economy,,,,,,,,,,,,,
Q396338,agroecology,Q7150|Q3606845,ecology|agricultural science,,,,,800685,4000769-8,sh85002307,,,,Agroecology,,S589.7
Q396152,agrometeorology,Q25261|Q3606845|Q1898366,meteorology|agricultural science|bioclimatology,,,,,1018517,4141642-9,sh85084356,630.2515,,,,,
Q173113,agronomy,Q3606845|Q110252479,agricultural science|crop and pasture production,,,,,801886,4421347-5,sh91006254,,300254393,00002115n,Agronomy,,
Q105208008,algal ecology,Q1387972|Q188391,plant ecology|phycology,,,,,804848,,sh2005003172,,,,,,
Q3968,algebra,,,Q395,mathematics,,,804885,4001156-2,sh85003425,512,300054523,00002676n,Algebra,,Z6654.A5
Q8366,algorithm,Q20920559|Q386724,procedure|work,Q21198|Q13636890|Q395,computer science|algorithmics|mathematics,,,805020,4001183-5,sh85003487,518.1,300065585,00002705n,Algorithm,,QA9.58
Q136262570,allied health sciences,Q843601,health sciences,,,,,,,,,,,,,
Q10818148,amphibian anatomy,Q8198634|Q10818163,animal anatomy|vertebrate anatomy,,,,,807902,,sh85004599,,,,,,QL669
Q111680417,amphibian genetics,Q4869597|Q110310405,batrachology|animal genetics,,,,,,,,,,,,,
Q127328327,amphibiology,Q174416,herpetology,,,,,,,,,,,,,
Q4751159,analytical chemical technique,Q18120378|Q3247516|Q732577|Q12453|Q100526288,measurement method|lab technique|publication|measurement|chemical technique,,,,,,,,,,,AnalyticalChemistryTechnique,,
Q2346,analytical chemistry,Q2329,chemistry,,,,,,4129906-1,sh85023011,543,,00065551n,AnalyticalChemistry,,
Q4936952,anatomical structure,Q55568967|Q27043948,biological structure|material anatomical entity,Q170494,body,,,,,,,,,AnatomicalStructure,,
Q514,anatomy,Q420,biology,Q420|Q11190,biology|medicine,Q220384|Q4021|Q819121|Q948647,zootomy|plant anatomy|osteology|neuroanatomy,,4001895-7,sh85004835,611,300054465,00003881n,Anatomy,,
Q435608,ancient history,Q1066186,study of history,,,Q757248,papyrology,,4131285-5,,,,,,,
Q11015354,anemology,Q25261,meteorology,,,,,,,,,,,,,
Q8198634,animal anatomy,Q514,anatomy,Q514,anatomy,,,,,,,,,,,
Q21012419,animal care,Q122442137,animal care,Q459426,animal welfare,,,,,,,,,,,
Q1434121,animal communication,Q1667324|Q2990593,biocommunication|animal behavior,,,,,809125,,sh85005167,,300389742,,Communication-Topic,,QL776
Q10900987,animal ecology,Q7150|Q431,ecology|zoology,,,,,809150,4129378-2,sh85005172,591.7,,,,,
Q111604218,animal ecophysiology,Q295425|Q10900987|Q2432331|Q431,ecophysiology|animal ecology|zoophysiology|zoology,,,,,809160,,sh91006269,,,,,,QP82|QP82.2
Q110310405,animal genetics,Q7162|Q431,genetics|zoology,,,,,809196,,sh85005190,,,,,,
Q111327198,animal immunology,Q101929|Q431,immunology|zoology,,,,,,,,,,,,,
Q16579254,animal morphology,Q431|Q183252,zoology|morphology,Q431,zoology,,,,,sh85087348,,,,,,
Q3427333,animal reproduction,Q11990,reproduction,,,,,,,,,,,,,
Q168091,animal science,Q3606845,agricultural science,,,,,,,,,,01308029n,,,
Q25570959,animal structure,Q4936952|Q55568967,anatomical structure|biological structure,Q729,Animalia,,,,,,,,,,,
Q1469725,animal taxonomy,Q8269924|Q11398,taxonomy|biological classification,,,,,,,,,,,,,
Q118323427,annelidology,Q124650805,vermeology,,,,,,,,,,,,,
Q857525,annotation,Q180160|Q386724,metadata|work,Q4769616,annotated bibliography,,,,4560829-5,,,300026100,,Note-Document,,
Q23404,anthropology,Q34749,social science,Q34749,social science,Q23498|Q177304|Q27172|Q28598|Q772835,archaeology|applied anthropology|biological anthropology|cultural anthropology|linguistic anthropology,810196,4002230-4,sh85005581,301|599.9,300054315,00004584n,Anthropology,,
Q97374093,anthropology of gender and sexuality,Q23404,anthropology,,,,,,,,,,,,,
Q1955092,anthropology of music,Q28598,cultural anthropology,,,,,,4237722-5,sh89003038,299.935,,,,,
Q27890,anthropology of religion,Q23404|Q34187,anthropology|religious studies,,,,,,,,,300157724,,,,
Q6656244,anthropometry,Q27172,biological anthropology,,,,,,,sh85005588,599.94,300054324,,Anthropometry,,
Q166142,application,Q7397,software,,,Q40056,computer program,,4120906-0,,005.3,,00005095n,ApplicationProgram,,
Q165194,application programming interface,Q23808|Q241317|Q132364,computer interface|computing platform|communication protocol,,,,,,4430243-5,sh98004527,,,,ApplicationProgrammingInterface,,
Q177304,applied anthropology,Q23404|Q28797,anthropology|applied science,,,,,,,sh85006167,,,,,,
Q11491273,applied chemistry,Q2329,chemistry,,,,,,4216597-0,,,,,,,
Q538722,applied computer science,Q21198|Q11016,computer science|technology,,,,,,4112526-5,,,,,,,
Q3296256,applied economics,Q8134|Q28797,economics|applied science,,,,,,,,,,,,,
Q1694247,applied geodesy,Q131089,geodesy,,,,,,,,,,,,,
Q112225704,applied hydrobiology,Q1130698|Q28797,hydrobiology|applied science,,,,,,,,,,,,,
Q11062968,applied meteorology,Q25261|Q28797,meteorology|applied science,,,,,,,,,,,,,
Q538904,applied psychology,Q9418|Q28797,psychology|applied science,Q113043917,applied and developmental psychology,,,,4002028-9,sh85108472,158,,,,,
Q28797,applied science,Q336,science,,,,,,4142447-5,,,,,AppliedTechnology,,
Q1347367,aptitude,Q1207505,quality,,,,,,4153521-2,sh85000155,,300220066,,Knack,,
Q5728861,aquatic biology,Q420|Q4782809,biology|aquatic science,,,,,811975,4026300-9,sh85006231,,,,,,
Q104196941,aquatic ecology,Q7150|Q5728861,ecology|aquatic biology,,,,,811988,4293663-9,sh85006232,577.6|577.7,,,,,QH541.5.W3
Q4782809,aquatic science,Q336|Q43518|Q864928,science|oceanography|life sciences,,,Q165838|Q43518|Q7173|Q42250,limnology|oceanography|marine biology|hydrology,812097,,sh85006246,,,,,,
Q136026858,arbovirology,Q7215,virology,,,,,,,,,,,,,
Q4785356,archaeobiology,Q420|Q23498,biology|archaeology,,,Q318668|Q636481,zooarchaeology|paleoethnobotany,,,,,,01305492n,,,
Q59220886,archaeological numismatics,,,Q23498|Q631286,archaeology|numismatics,,,,,,,,,,,
Q637284,archaeological science,Q23498,archaeology,,,,,,4130392-1,sh85006517,930.10285,300122729,,,,
Q23498,archaeology,Q1066186,study of history,Q113077601,"history, heritage and archaeology",Q59220886|Q819121|Q637284,archaeological numismatics|osteology|archaeological science,812938,4002827-6,sh85006507,930.1,300054328,00005391n,Archaeology,Archaeology,
Q635374,architectural education,Q8434|Q352842,education|teaching,,,,,813524,4002856-2,sh85006635,,300054377,,ArchitecturalEducation,,
Q12271,architecture,Q82604,design,Q89358787|Q113129241|Q114436249,AEC industry|built environment and design studies|environmental design,,,813346,4002851-3,sh85006611,720,300054156|300263552,00005442n,Architecture,,NA1-NA9428
Q10418049,archiving,Q17008276,collections management,,,,,,,,,300054627,,,,
Q928786,area studies,Q1665984|Q23010558|Q1143546,"interdisciplinary science|area, ethnic, cultural, gender, and group studies|cultural studies",,,,,,,sh85006988,,,,AreaStudies,,
Q23010558,"area, ethnic, cultural, gender, and group studies",Q34749,social science,,,,,,,,,,,,,
Q126733835,areology,Q333,astronomy,,,,,,,,,,,,,
Q11205,arithmetic,Q20920559,procedure,Q395,mathematics,,,,4002919-0,sh85007163,513,300054525,,Arithmetic,,
Q735,art,Q17537576,creative work,Q11042|Q2018526,culture|arts,,,815177,,,700,300054138,00005927n,Art,,N
Q2921001,art of drawing,Q36649|Q911059|Q115654911,visual arts|graphic arts|writing or drawing,,,,,,,,,300054196,,,,
Q928865,art therapy,Q838202,expressive therapy,,,,,,4125709-1,sh85008334,,300054236,,ArtTherapy,,
Q2845653,arthropod anatomy,Q25570959,animal structure,,,,,,,,,,,,,
Q3520855,arthropodology,Q12744095,invertebrate zoology,Q12744095,invertebrate zoology,Q39286|Q3331570|Q190979|Q2183296,entomology|myriapodology|arachnology|carcinology,,,,,,,,,
Q11660,artificial intelligence,Q21198|Q120208|Q1156402,computer science|emerging technology|reasoning,,,Q5514059|Q203790|Q105604957|Q2539,symbolic artificial intelligence|connectionism|ethical artificial intelligence|machine learning,,4033447-8,sh85008180,006.3,300251574,,ArtificialIntelligence,,Q334-Q342
Q16686448,artificial object,Q488383,object,,,,,,,,,300224592,,,,
Q107307291,artificially intelligent entity,Q16686448|Q123599121,artificial object|non-human intelligence,,,,,,,,,,,,,
Q47407603,artistic creation,Q11398090|Q16519399|Q2990593|Q8187769,creation|artistic activity|animal behavior|economic activity,,,,,,4166043-2,sh85033827,,,,,,
Q2018526,arts,Q451967|Q80083,intentional human activity|humanities,Q11042,culture,Q735,art,,4033422-3,sh85008324,700,300175240,,Arts,,
Q110512905,asexual studies,Q98929208,queer studies,,,,,,,,,,,,,
Q17524420,aspect of history,Q21040055|Q1047113,aspect|field of study,Q309,history,,,,,,,,,,,
Q46737,asset,Q1554231,resource,Q46834|Q21094121|Q864368,balance sheet|assets and liabilities|accounting equation,,,,4141749-5,sh85008784,,,,Assets-Economics,,
Q411,astrobiology,Q420|Q333,biology|astronomy,,,,,,4112608-7,sh90004216,576.839,,,,,
Q11680018,astrochemistry,Q2329|Q37547|Q11491273|Q333,chemistry|astrophysics|applied chemistry|astronomy,,,,,,4133733-5,sh85033157,523.02,,03576890n,Astrochemistry,,
Q181505,astrometry,Q333,astronomy,,,,,,4207657-2,sh85008942,522,,,Astrometry,,
Q333,astronomy,Q14632398|Q475023|Q7991|Q336,physical science|exact science|natural science|science,,,,,,4003311-9,sh85009003,520,300054534,00006663n,Astronomy,,QB
Q37547,astrophysics,Q333|Q413|Q25508843,astronomy|physics|cosmic physics,,,,,,4003326-0,sh85009032,523.01,300054535,00006667n,Astrophysics,,
Q5334416,atmospheric physics,Q14632398,physical science,,,,,,,sh85009289,,,,AtmosphericPhysics,,
Q757520,atmospheric sciences,Q8008|Q188847,Earth science|environmental science,,,Q25261|Q287919|Q5334416|Q52139|Q104499,meteorology|atmospheric chemistry|atmospheric physics|climatology|planetary science,2003481,,sh2018002590,,,,AtmosphericScience,,
Q6501338,attention,Q781413|Q2200417,cognitive process|cognition,Q77468620|Q110620109,psychological terminology|memory and attention,Q4818236,attentional control,820788,4068943-8,sh85009391,153.733|153.1532,,,,,
Q4818236,attentional control,Q1717246|Q29017603,prevention|control,Q77468620,psychological terminology,Q12888920|Q107338202,selection|ignoring,,,,153.1532,,,,,
Q2555318,automated reasoning,,,Q2878974|Q11660|Q8078,theoretical computer science|artificial intelligence|logic,,,,,,,,,,,
Q770723,auxiliary science of history,Q1066186|Q11790198,study of history|auxiliary science,Q1066186,study of history,Q47307,genealogy,,4128874-9,sh85010480,907.2,,01990001n,,,
Q122951657,avian pathology,Q7208,pathology,,,,,,,,,,,,,
Q618779,award,Q16686448|Q1791627|Q7302601,artificial object|cultural artifact|recognition,,,Q38033430,class of award,824442,4136668-2,sh85113526,,300026842,00000704n,Award,,AS935-AS945
Q243748,bacteriology,Q7193|Q598976,microbiology|medical microbiology,,,Q115254236,cytobacteriology,,4004304-6,sh85010864,579.3,,,Bacteriology,,
Q136799183,bandura performance,Q6942562,musical performance,,,,,,,,,,,,,
Q113141571,"banking, finance and investment studies",Q113043123,"commerce, management, tourism and services",,,Q43015,finance,,,,,,,,,
Q106148843,baroque flute performance,Q6942562,musical performance,,,,,,,,,,,,,
Q106421780,bassoon performance,Q6942562,musical performance,,,,,,,,,,,,,
Q20730570,batology,Q441,botany,,,,,,,,,,,,,
Q4869597,batrachology,Q174416,herpetology,,,,,,,,,,,,,
Q3919817,behavioral sciences,Q33122512,social sciences and humanities,,,Q1483503|Q147638|Q9418|Q1078351|Q161733|Q7922,comparative psychology|cognitive science|psychology|communication science|criminology|pedagogy,,,,,,,,,
Q794605,biblical studies,Q34187|Q42002|Q34178,religious studies|Jewish studies|theology,,,,,,4135590-8,,,300054307,03115041n,BiblicalStudies,,
Q858810,big data,Q42848,data,,,,,,4802620-7,sh2012003227,005.7,,,,,
Q864191,bioacoustics,Q82811,acoustics,,,,,,4125205-6,sh85014119,596.1594,,03444469n,,,
Q7094,biochemistry,Q420|Q11351,biology|organic chemistry,Q2329|Q420,chemistry|biology,,,831961,4006777-4,sh85014171,572,300054538,00010518n,Biochemistry,,QD415-QD436
Q1898366,bioclimatology,Q52139|Q7150,climatology|ecology,,,,,831991,4145609-9,sh85014127,577.22|560.4522,,,,,
Q12535586,bioecology,Q7150,ecology,,,,,,,,,,,,,
Q580689,bioengineering,Q11023|Q7108,engineering|biotechnology,,,,,,,sh85014134,,300250623,,BiologicalEngineering,,
Q52106,biogeography,Q420|Q52107,biology|physical geography,Q112969963,Biogeography and phylogeography,Q771220|Q599991,phytogeography|zoogeography,,4006801-8,sh85014147,578.09|581.9|591.9,,00010532n,Biogeography,,
Q27172,biological anthropology,Q23404,anthropology,Q23404,anthropology,,,1062357,,sh85101512,599.9,300054322,00062160n,BiologicalAnthropology,,
