qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc,flag_reason
Q30612,clinical trial,Q7247798|Q1331083|Q27166192|Q4892264|Q124222085,product testing|human subject research project|medical trial|clinical test|scientific study,Q5133849|Q2198549,clinical research|drug development,Q6900510|Q107302136,monitoring in clinical trials|research participant recruitment,,4164223-5,sh85027069,615.50724,,,ClinicalTrial,,,
Q5133889,clinomics,,,,,,,,,,,,,,,,
Q766002,cliodynamics,,,,,,,,,,,,,,,,
Q1433069,cliometrics,Q65928774,historical science,Q47398,economic history,,,,4459218-8,,907.2,,,,,,
Q120877,cloning,Q4115658|Q173432|Q1313923,artificial reproduction|asexual reproduction|kindred,,,,,864579,4192480-0,sh85027122,571.89,,00019914n,Cloning,,QH442.2,
Q11626612,clothing studies,,,Q425694,home economics,,,,,,,,,,,,
Q130798489,cluster physics,Q413,physics,,,,,,,,,,,,,,
Q5137484,co-operative studies,Q5001951|Q908604,business studies|social history,,,,,,4156647-6,,,,,,,,
Q106195625,coaching,Q3055155,sports training,,,,,865060,,sh85027299,,,,,,,
Q104200509,coastal ecology,Q7150,ecology,,,,,865723,,sh85027431,,,,,,,
Q126368892,coccidology,Q39286,entomology,,,,,,,,,,,,,,
Q134971503,cochlear pharmacology,Q128406,pharmacology,,,,,,,,,,,,,,
Q1338164,codicology,,,Q770723|Q2901245,auxiliary science of history|bibliology,,,866236,4140704-0,sh97008489,091,300251110,,,,,
Q17141634,codification,,,Q63302202,language standardization,,,,,,,,,,,,
Q900651,coenology,Q7150,ecology,,,Q1138244|Q1469726,phytosociology|zoocoenology,,,,,,,,,,
Q2200417,cognition,Q781413|Q14912053,cognitive process|nervous system process,Q77468620,psychological terminology,Q160402|Q6501338|Q18733|Q133500|Q309100|Q1937869,perception|attention|recall|learning|planning|orientation,,4031630-0,sh85027742,,300055149,00020452n,Cognition,,,
Q2853045,cognitive anthropology,Q147638|Q23404,cognitive science|anthropology,Q28598|Q27172,cultural anthropology|biological anthropology,,,,4164463-3,,,,00302745n,,,,
Q1147152,cognitive behavioral therapy,Q16262180|Q183257|Q199906|Q538904|Q3919817|Q2354820|Q147638,behavior therapy|psychotherapy|clinical psychology|applied psychology|behavioral sciences|evidence-based practice|cognitive science,Q77468620|Q9418,psychological terminology|psychology,Q5141234|Q1208421|Q17141942,cognitive processing therapy|dialectical behavior therapy|cognitive emotional behavioral therapy,,4114250-0,,,,,,,,
Q17141942,cognitive emotional behavioral therapy,Q1147152|Q13693745|Q16262180,cognitive behavioral therapy|cognitive therapy|behavior therapy,Q77468620,psychological terminology,,,,,,,,,,,,
Q1138951,cognitive neuroscience,Q147638,cognitive science,Q207011,neuroscience,,,,7666103-9,sh91005166,,,,CognitiveNeuroscience,,QP360.5,
Q5141229,cognitive phonology,Q40998,phonology,,,,,,,,,,,,,,
Q781413,cognitive process,Q12047513|Q2996394|Q12047512,mental process|biological process|psychological phenomenon,,,,,,,,,300264362,,StrictlyMentalEvent,,,
Q5141234,cognitive processing therapy,Q183257|Q1147152,psychotherapy|cognitive behavioral therapy,,,,,,,,,,,,,,
Q23373,cognitive psychology,Q9418,psychology,Q9418|Q77468620,psychology|psychological terminology,,,,4073586-2,sh87007652,155.413|155.6713|153|155.513,,,CognitivePsychology,,,
Q147638,cognitive science,Q9418|Q23407|Q8162|Q23404|Q207011,psychology|philosophy of mind|linguistics|anthropology|neuroscience,,,Q11660|Q9471|Q23373|Q660910|Q508969|Q207125,artificial intelligence|epistemology|cognitive psychology|neurophysiology|cognitive linguistics|nonverbal communication,,4193780-6,sh88006179,006.3|612.8233|153,,00020459n,,,,
Q5141544,coin catalog,Q2352616,catalogue,Q631286,numismatics,,,,,,,,,,,,
Q1437510,coin collecting,Q208165,collecting,,,,,,,,,,,,,,
Q64854398,cold climate engineering,,,,,,,,,,,,,,,,
Q64808433,collaborative and industrial design,,,,,,,,,,,,,,,,
Q124608832,collaborative cartography,Q42515,cartography,,,,,,,,,,,,,,
Q208165,collecting,Q47728|Q108634029,hobby|gathering,,,,,,4051494-8,,069.4,300077121,03127683n,Collecting-Hobby,,,
Q2668072,collection,Q386724|Q16887380|Q17489659|Q7725310,work|group|group of works|series of creative works,,,Q18593264,item of collection or exhibition,,4128844-0,,,300025976,,Collection,,,
Q119204227,college teaching,Q352842,teaching,,,,,,,sh85028395,,,,,,,university
Q11540642,colonial studies,,,,,,,,,,,,,,,,
Q110113602,combat mechanic,Q114950450,resolution mechanics,,,,,,,,,,,,,,
Q5150824,combinatorial design,Q76592,combinatorics,,,,,,,,,,,,,,
Q1320931,combinatorial game theory,Q2878974|Q44455|Q217602,theoretical computer science|game theory|analysis,,,,,,4164753-1,,,,,CombinatorialGameTheory,,,
Q1333872,combinatorial optimization,Q141495,mathematical optimization,,,,,,,,,,,,,,
Q76592,combinatorics,,,Q121416,discrete mathematics,,,,4164746-4,sh85028802,511.6,,03305061n,,,,
Q1481571,combinatory logic,Q8078,logic,,,,,,4164750-6,sh85028814,511.3,,,CombinatoryLogic,,,
Q24898950,combustion engineering,,,,,,,,,,,,,CombustionEngineering,,,
Q12029903,comeniology,Q59068,Czech studies,Q7922,pedagogy,,,,,,,,,,,,
Q131560888,cometology,Q333,astronomy,,,,,,,,,,,,,,
Q26643,commerce,Q8134,economics,Q113043123|Q8134,"commerce, management, tourism and services|economics",,,,,,380,,,Commerce,,,
Q113043123,"commerce, management, tourism and services",Q7406919,service,,,Q26643|Q49389|Q113209366|Q22811962|Q2414942,commerce|tourism|commercial services|management studies|management science,,,,,,,,,,
Q219186,commercial law,Q222249,civil law,Q110469055,law and legal studies,Q11418737,business law,,4023249-9,sh85028940,343,,,,,,
Q572564,commercial policy,Q582577|Q181648,economic policy|foreign policy,Q181648,foreign policy,,,,4023248-7,sh85028953,,,,,,,
Q2327751,commercial sciences,,,,,,,,,,,,,,,,
Q113209366,commercial services,Q113043123,"commerce, management, tourism and services",Q104840846,service industry,,,,,,,,,,,,
Q65007508,communication,,,,,,,,,,,,,,,,
Q11024,communication,Q6031064,information exchange,Q451967|Q2305441,intentional human activity|social process,Q1066689|Q1434121,human communication|animal communication,,4031883-7,sh85029027,302.2,300137794,00021221n,Communication,,,
Q16769609,communication arts,,,,,,,,,,,,,,,,
Q333657,communication design,,,,,,,,,,,,,CommunicationDesign,,,
Q1058691,communication disorder,Q7574983,specific developmental disorder,,,,,,,sh85029113,,,03364296n,CommunicationDisorder,,,
Q5154137,communication for social change,Q65007508,communication,,,,,,,,,,,,,,
Q132364,communication protocol,Q317623|Q6046311,technical standard|interface standard,,,,,,,,,,00021227n,CommunicationProtocol,,,
Q1078351,communication science,Q34749|Q80083,social science|humanities,,,Q187084,newspaper studies,,4120588-1,,302.2,,,,,,
Q11680831,communication studies,Q34749,social science,Q113128675,"language, communication, and cultural studies",,,,,,,300054349,,CommunicationStudies,,,
Q1780543,communication technology,Q11016|Q5268834,technology|information and communications technology,Q113208648,communication technology and digital media studies,Q1423187|Q4409030|Q104534|Q944584,mobile telecommunication|Satcom|digital subscriber line|telephony,,4031888-6,,,,,,,,
Q113208648,communication technology and digital media studies,Q11680831,communication studies,,,Q1780543|Q87660742,communication technology|digital media studies,,,,,,,,,,
Q83966,communication theory,Q17737,theory,,,,,,,,,,,,,,
Q340169,communications media,Q12774177|Q104450446,means|data carrier,Q11024,communication,Q386724|Q35758|Q15824073,work|matter|means of communication,,4169187-8,,,,00054149n,Media-Communication,,,
Q3645429,community archaeology,Q61971571,public archaeology,,,,,,,,,,,,,,
Q124473401,community culture,,,,,,,,,,,,,,,,
Q5154949,community education,Q8434,education,,,,,,,,,,,,,,
Q5154950,community engagement,Q1283504,social engagement,Q112970717,Public participation and community engagement,,,,,,,,,,,,
Q3473024,community health,Q31207|Q2518253,health care|health services research,,,,,,,,,,,,,,
Q67140949,community health service,Q9353606,health service,,,,,,,,,,,,,,
Q113468986,community mental health,Q317309,mental health,,,,,,,,,,,,,,
Q1500493,community planning,,,,,,,,,,,,,,,,
Q104777741,community services,Q11588306,social services,Q113192683,"counselling, wellbeing and community services",,,,,,,,,,,,
Q5155068,community studies,Q34749,social science,Q112981579,urban sociology and community studies,,,,,,,,,,,,
Q17625876,comparatism,,,,,,,,,,,,,,,,
Q113043899,comparative and cross-cultural education,Q7922,pedagogy,,,Q1346247,comparative education,,,,,,,,,,
Q2904159,comparative biology,Q420,biology,,,,,,,,,,,,,,
Q1346247,comparative education,Q7922,pedagogy,Q113043899,comparative and cross-cultural education,,,,,,,,,,,,
Q107689736,comparative government,Q32492,comparative politics,Q113126650,comparative government and politics,,,,4187735-4,,,,,,,,
Q113126650,comparative government and politics,Q36442,political science,,,Q107689736|Q32492,comparative government|comparative politics,,,,,,,,,,
Q2708569,comparative history,Q309,history,,,,,,,,,,,,,,
Q741338,comparative law,Q4932206,jurisprudence,Q113212643|Q17625876,international and comparative law|comparatism,,,,4115712-6,sh85029299,340|340.2,,,,,,
Q11126155,comparative librarianship,,,Q199655,library science,,,,,,,,,,,,
Q878226,comparative linguistics,Q8162,linguistics,Q113128713,"historical, comparative and typological linguistics",,,,4187739-1,sh85029301,410,,,,,P143-P143.3,
Q22907418,comparative medicine,,,,,,,1015232,,sh85083134,,,,,,,
Q640280,comparative mythology,Q580854,mythography,,,,,,,sh2010103037,,,,,,BL300-BL325,
Q5862006,comparative philology,Q40634|Q17625876,philology|comparatism,,,,,,,,,,,,,,
Q1284814,comparative philosophy,,,,,,,,,,,,,,,,
Q32492,comparative politics,Q36442,political science,Q113126650,comparative government and politics,,,,4137685-7,sh85029298,320.3,300054439,,,,,
Q1483503,comparative psychology,Q9418,psychology,,,,,,4185497-4,sh85108473,156|591.5,,,,,,
Q1075827,comparative religion,,,,,,,1093898,,sh85112599,,,,,,,
Q4208496,comparative theology,Q34178,theology,Q34178,theology,,,,,,,,,,,,
Q1720648,comparison,Q3249551|Q1379672,process|evaluation,,,,,,,,,300077124,,Comparison-Examination,,,
Q3456103,compensation and benefits,Q1148747,payment,Q1056396,human resource management,,,,,,,,,,,,
Q841654,competition,Q1656682|Q476300|Q106668099,event|competition|corporate body,Q23807345|Q1139327,competition|rivalry,,,,4065835-1,sh85031543,,300069186,00021338n,,,GV1201.6,
Q326498,competition law,Q7748,law,,,Q1808662|Q1734555,Q1808662|antitrust laws,,,sh85005782,,,,,,,
Q22935154,complementary medicine,,,Q113191939,"traditional, complementary and integrative medicine",,,,,,,,,,,,
Q193756,complex analysis,Q7754,mathematical analysis,Q114728138,complex analysis in several variables,,,,4018935-1,sh85052356,515.9,,03389002n,,,,
Q2755522,complexity theory,Q269699,systems theory,,,,,,,,,,,,,,
Q207628,composed musical work,Q2188189,musical work,,,,,,4133320-2,,781.3,300417577,00021408n,MusicalComposition,,,
Q116751803,composing,Q47407603|Q10843872,artistic creation|process,,,,,,,,,,,,,,
Q113114652,composite and hybrid materials,Q228736,materials science,,,,,,,,,,,,,,
Q2791145,composition studies,,,,,,,,,,,,,,,,
Q111327089,compound semiconductors,Q1710723,materials engineering,,,,,,,,,,,,,,
Q106626993,comptrollership,,,,,,,,,,,,,,,,
Q818930,computability theory,Q1166618|Q2878974|Q844718,mathematical logic|theoretical computer science|theory of computation,Q1166618|Q114682730,mathematical logic|theory of mathematical algorithms,,,,,,,,00775789n,ComputabilityTheory,,,
Q5157267,computable measure theory,,,Q5157264|Q15614122,computable analysis|measure theory,,,,,,,,,,,,
Q12525525,computation,Q622821,calculation,,,,,,,,,,,,,,
Q110852808,computational audiology,Q21198,computer science,Q569965|Q103884376,audiology|hearing science,,,,,,,,,,,,
Q177005,computational biology,Q420|Q117801|Q16387,biology|computational science|information science,,,,,,,,,,,,,,
Q369472,computational chemistry,Q117801|Q910164|Q110245486,computational science|cheminformatics|theoretical and computational chemistry,Q110245486,theoretical and computational chemistry,,,,,sh2020006312,,300380501,,ComputationalChemistry,,,
Q205084,computational complexity theory,Q818930|Q2755522,computability theory|complexity theory,Q395|Q2878974,mathematics|theoretical computer science,,,,4120591-1,sh85029473,511.3,,,,,,
Q5157307,computational criminology,Q161733,criminology,,,,,,,,,,,,,,
Q106195621,computational design,Q82604|Q179310|Q112936830,design|computing|data visualisation and computational design,,,,,,,,,,,,,,
Q112956383,computational ecology and phylogenetics,Q7150,ecology,,,,,,,,,,,,,,
Q362601,computational engineering,Q11023,engineering,,,,,,,,,,03673019n,ComputationalEngineering,,,
Q5157310,computational epidemiology,Q133805|Q117801,epidemiology|computational science,,,,,,,,,,,,,,
Q815820,computational fluid dynamics,Q216320|Q919765|Q1050567,fluid dynamics|computational mechanics|computer-aided engineering,,,,,,4690080-9,sh2007008173,532.05|620.1064015186,,,ComputationalFluidDynamics,,,
Q2091816,computational genomics,Q222046|Q177005,genomics|computational biology,,,,,,,,,,,,,,
Q5157316,computational geophysics,Q46255,geophysics,,,,,,,,,,,,,,
Q5157318,computational humor,Q182557|Q16247567,computational linguistics|humor studies,,,,,,,,,,,,,,
Q182557,computational linguistics,Q21198|Q12553063,computer science|mathematical linguistics,,,,,,4035843-4,sh85077224,006.35,300054250,00021463n,Linguistics-Computational,,,
Q1122491,computational mathematics,Q117801|Q395,computational science|mathematics,,,,,,,,,,,,,,
Q113095709,computational modelling and simulation in earth sciences,Q918779,geoinformatics,,,,,,,,,,,,,,
Q8037925,computational neuroscience,Q117801|Q207011,computational science|neuroscience,,,,,,,,,,,,,,
Q1122523,computational philology,Q40634|Q117801,philology|computational science,,,,,,,,,,,,,,
Q105580397,computational philosophy,Q5891,philosophy,,,,,,,,,,,,,,
Q66360528,computational protein engineering,,,,,,,,,,,,,,,,
Q117801,computational science,Q33521|Q21198,applied mathematics|computer science,,,,,,,,,,00316837n,,,,
Q28134198,computational social choice,Q1331926,decision making,Q1971461,social choice theory,,,,,,,,,,,,
Q5157340,computational statistics,Q1914636,activity,Q21198|Q12483,computer science|statistics,,,,,,,,,,,,
Q5157299,computational sustainability,Q21198|Q442321,computer science|sustainability science,,,,,,,,,,,,,,
Q5157344,computational transportation science,,,,,,,,,,,,,,,,
Q1122625,computational visualistics,,,,,,,,7535806-2,,,,,,,,
Q68,computer,Q11019|Q241317|Q1662611|Q115517465|Q3181395|Q1172400|Q1327500,machine|computing platform|IT system|computer file location|information processor|data terminal equipment|electronic musical instrument,,,Q2384798|Q7397|Q3966|Q250|Q5300|Q183484,input-output device|software|computer hardware|computer keyboard|central processing unit|graphics processing unit,872776,4070083-5,sh85029552,004|621.39|004.1,300024521,00021464n,Computer,,,
Q97379428,computer and information science,,,,,,,,,,,,,,,,
Q5157412,computer applications,Q841654,competition,,,,,,,,,,,,,,
Q111681249,computer applications,Q816264,formal science,Q21198,computer science,Q2878974|Q538722,theoretical computer science|applied computer science,,,,,,,,,,
Q428691,computer engineering,Q11023,engineering,Q15841889|Q43035|Q21198,computer engineering|electrical engineering|computer science,,,,4196734-3,sh85029495,004|621.39,,,ComputerEngineering,,,
Q878553,computer forensics,Q3246940,digital forensics,Q3510521,computer security,Q43504|Q179310|Q382995|Q26710929,criminalistics|computing|legal science|security science,,4774034-6,,005.8|364.168|363.2560285,,,,,,
Q150971,computer graphics,Q21198,computer science,Q21198|Q113127945,"computer science|graphics, augmented reality and games",,,,4010450-3,sh85029500,,,01104401n,,,,
Q1067601,computer industry,Q21157865,technology industry,,,,,,,,,,,ComputerIndustry,,,
Q107327315,computer information science,,,,,,,,,,,,,,,,
Q23808,computer interface,Q1129239|Q110558466,controller|interface,Q21198,computer science,,,,4053059-0,,,,00047090n,,,,
Q1122550,computer music,,,,,,,,4113239-7,sh85029511,,300393171,15075544n,ComputerMusic,,,
Q1301371,computer network,Q1900326|Q1068715,network|telecommunications network,,,Q5747224,heterogeneous network,872297,4070085-9,sh85029513|sh99005294,,300311885,00021488n,ComputerNetwork,,TK5105.5-TK5105.9,
Q15836568,computer network protocol,Q132364,communication protocol,,,,,,,sh85029512,,,,NetworkProtocol,,,
Q10336440,computer networking,Q21198,computer science,,,,,,,,,,,,,,
Q19367558,computer networking,Q11016,technology,,,,,,,,,,,,,,
Q80006,computer programming,Q1914636|Q205961,activity|skill,Q21198|Q638608,computer science|software development,,,872390,4076370-5,sh85107310,005,300054641,00021493n,ComputerProgramming,,,
Q21198,computer science,Q816264,formal science,,,Q2878974|Q538722|Q11660|Q844718,theoretical computer science|applied computer science|artificial intelligence|theory of computation,872451,4026894-9,sh89003285,004,300054575,00021494n,,,,
Q11492827,computer science and engineering,Q85753733|Q189533,computing education|academic degree,,,,,,,,,,,,,,
Q2312561,computer science in sport,,,,,,,,,,,,,,,,
Q3510521,computer security,Q2526135|Q189900|Q1067601,security|information security|computer industry,Q17233037,cybersecurity,Q68|Q1301371|Q17517|Q251212|Q878553,computer|computer network|mobile phone|Internet of things|computer forensics,872484,4274324-2,sh90001862,005.8|658.478,,,ComputerSecurity,,,
Q105981125,computer systems,,,,,,,,,,,,,,,,
Q55693885,computer systems and applications,,,Q21198,computer science,,,,,,,,,,,,
Q107782168,computer systems engineering,Q428691|Q682496,computer engineering|systems engineering,,,,,,,,,,,,,,
Q844240,computer vision,,,Q113212481,computer vision and multimedia computation,,,,,sh85029549,,,,ComputerVision,,,
Q113212481,computer vision and multimedia computation,Q21198,computer science,,,Q844240|Q31836481,computer vision|multimedia computing,,,,,,,,,,
Q1461602,computer-supported cooperative work,,,,,,,,4288972-8,sh92006326,,,,,,,
Q5157616,computers and writing,,,,,,,,,,,,,,,,
Q179310,computing,Q1914636|Q5268834,activity|information and communications technology,,,,,,,,,,,Computing,,,
Q113127938,computing applications in physical sciences,Q100326522,applied computing,,,,,,,,,,,,,,
Q85753733,computing education,Q8434,education,,,,,,,,,,,,,,
Q241317,computing platform,Q2424752|Q994895,product|technical system,,,,,,,,,,,ComputingPlatform,,,
Q151885,concept,Q7048977|Q15916540|Q2145290|Q1347367,abstract entity|semantic unit|mental representation|aptitude,,,,,,4005248-5,sh85029623,153.23,,00021547n,Concept,,,
Q120969792,conceptual clustering trees,,,,,,,,,,,,,,,,
Q13600188,conceptual framework,Q123691918|Q6671777,tool|structure,,,Q7102083,organizing principle,,,,,,,,,,
Q120910065,conceptual modeling,,,,,,,,,,,,,,,,
Q5158431,conceptual spaces,,,Q77468620,psychological terminology,,,,,,,,,,,,
Q17008777,conceptualization,Q2200417,cognition,,,,,,,,,,,,,,
Q126415892,concrete mix design,Q82604,design,,,,,,,,,,,,,,
Q113209220,condensed matter imaging,Q214781,condensed matter physics,,,,,,,,,,,,,,
Q214781,condensed matter physics,Q413|Q21213340,physics|continuum physics,,,,,,4132810-3,sh85030765,530.41,,,CondensedMatter,,,
Q6989196,conducting,Q6942562,musical performance,,,,,874582,4012435-6,sh85030804,781.45,,,MusicalConducting,,,
Q55659895,conflict analysis & resolution,,,,,,,,,,,,,,,,
Q1640893,conflict management,Q2920921,management,Q189447,risk management,,,,4164958-8,sh85030958,303.69,,,,,,
Q1194317,conflict resolution,Q11024|Q730920,communication|problem solving,Q55659895,conflict analysis & resolution,,,,,,,,,,,,
Q1781444,conflict studies,,,Q745692,political sociology,,,,4073678-7,,303.66072|327.17072,,,,,,
Q19367549,consciousness studies,,,,,,,,,,,,,,,,
Q628403,conservation,Q875686|Q832237,environmental ethics|environmental protection,,,,,,,,,,,Conservation,,,
Q17103917,"conservation and restoration of books, manuscripts, documents and ephemera",Q46993143,conservation and restoration of cultural heritage,,,,,,,,,,,,,,
Q46993143,conservation and restoration of cultural heritage,Q217102,restoration,,,Q1479406|Q1370468,preservation|architectural reconstruction,,4114279-2,sh99005331,,,,ConservationAndRestoration,,,
Q24960282,conservation behavior,,,,,Q7162|Q521|Q1205637|Q1063,genetics|physiology|behavioral ecology|evolution,,,,,,,,,,
Q641498,conservation biology,Q65246763,environmental management,Q420,biology,,,,,sh95000524,,,,,,,
Q105497417,conservation education,Q948732,environmental education,,,,,875552,,sh85031260,,,,,,,
Q110252710,conservation of Māori heritage,Q217102|Q110252680,"restoration|Māori culture, language and history",,,,,,,,,,,,,,
Q5163001,conservation science,Q228736|Q1066186|Q12227706,materials science|study of history|textile science,,,,,,,,,,,,,,
Q1489796,constitutional economics,,,Q8134,economics,,,,,,,,,,,,
Q11206,constitutional law,Q207892,public law,,,,,,4062801-2,sh85031329,342,,03415680n,,,,
Q120910075,constraints,,,,,,,,,,,,,,,,
Q3875186,construction,Q739302|Q119822504|Q11398090,economic production|technical activity|creation,,,,,,4206990-7,sh85017693,690,,,,,,
Q385378,construction,Q8187769|Q3875186,economic activity|construction,Q55639|Q89358787|Q112117701,secondary sector of the economy|AEC industry|section in classification of productive activities,Q13377238|Q73303844|Q29584305,building construction|civil engineering|specialised construction activities,840551,,,624|690,300054608,,Construction-Topic,,TH,
Q2674423,construction engineering,Q11023,engineering,Q77590,civil engineering,Q811115,construction management,,,,,,,,,,
Q3039678,construction law,Q7748,law,,,,,,,,,,,,,,
Q811115,construction management,,,Q2674423|Q2920921,construction engineering|management,,,,,,,,,,,,
Q811501,construction management,Q2920921,management,Q150737,architectural engineering,,,,,,,,,BuildingConstructionManagement,,,
Q138338122,construction of identity,,,,,,,,,,,,,,,,
Q110375097,construction research,,,,,,,,,,,,,,,,
Q811934,construction surveying,Q816425,surveying,,,,,,,,,,,,,,
Q5933911,consultation-liaison psychiatry,Q7867,psychiatry,Q7867,psychiatry,,,876214,4426372-7,sh86003591,,,,,,,
Q833495,consumer choice,Q8134|Q1416170,economics|preference,Q39072,microeconomics,,,876441,4132976-4,sh85031496,,,,ConsumerTheory,,,
Q581105,consumer electronics,Q2858615,electronic device,Q5358497,electronics industry,,,,4165117-0,sh85062582,,,01162806n,ConsumerElectronic,,,
Q105082676,consumer psychology,,,,,,,,,,,,,,,,
Q113093519,consumer-oriented product or service development,Q39809,marketing,,,,,,,,,,,,,,
Q113208775,consumption and everyday life,Q1143546,cultural studies,,,,,,,,,,,,,,
Q186030,contemporary art,Q838948|Q119175165,work of art|contemporary culture,,,,,,,,,300264737,,ContemporaryArt,,,
Q119175165,contemporary culture,Q11042,culture,,,,,,,,,,,,,,
Q64808571,contemporary design,,,,,,,,,,,,,,,,
Q186075,contemporary history,Q309,history,Q3281534|Q816829,modern period|periodization,,,,,,,,,,,,
Q3137989,contemporary history,Q309,history,,,,,,,,,,00020407n,,,,
Q105535151,contemporary performance,Q6942562,musical performance,,,,,,,,,,,,,,
Q943303,contemporary philosophy,Q842333,Western philosophy,,,,,,,,,,,,,B790-B5802,
Q64814366,contemporary screen industries,,,,,,,,,,,,,,,,
Q193463,continuum mechanics,Q11397|Q21213340,classical mechanics|continuum physics,Q21213340|Q41217,continuum physics|mechanics,,,,4032296-8,sh85031576,531,,03415511n,,,,
Q21213340,continuum physics,Q413,physics,,,,,,,,,,,,,,
Q18603648,contributing factor,Q813912|Q67518978,condition|occurrent,Q2574811,cause,,,,,,,,,,,,
Q338754,control,Q29017603,control,Q3565078|Q9418,tripartite classification of authority|psychology,,,877062,,sh85031655,,,,,,,
Q29017603,control,Q1914636|Q1347367,activity|aptitude,,,,,,,,,,,,,,
Q4917288,control engineering,Q11023|Q682496,engineering|systems engineering,Q787422|Q1777655|Q113104535,"automation technology|engineering cybernetics|control engineering, mechatronics and robotics",,,,4076594-5,,,,,ControlEngineering,,,
Q113104535,"control engineering, mechatronics and robotics",Q11023,engineering,,,Q4917288|Q180165|Q170978,control engineering|mechatronics|robotics,,,,,,,,,,
Q390516,control room,Q13226383|Q180516,facility|room,Q159719|Q671224|Q476796|Q1460420|Q2678338|Q1248784,power station|data center|call center|emergency management|railway network|airport,Q3518405|Q2354216|Q1301371|Q2603074|Q239001|Q945434,terminal|telephone network|computer network|intercom|control panel|alarm device,,,,,300004511,00022300n,ControlRoom,,,
Q959968,control system,Q994895,technical system,,,Q167676|Q98534678,sensor|control device,,4133165-5,sh85047649,621.381537,,,,,TJ214-TJ225,
Q12778074,control systems,,,,,,,,,,,,,,,,
Q6501221,control theory,Q11984976,automatic control,Q113208892,"calculus of variations, systems theory and control theory",,,,4032317-1,sh85031658,003.5|515.642,,,,,,
Q367293,convention,Q16889133,class,,,,,877170,,sh85031684,390,300055807,,Normal-Usual,,,
Q3979448,convergence test,Q937228,property,Q7754,mathematical analysis,,,,,,,,,,,,
Q64809297,con­tem­por­ary so­ci­et­y,,,,,,,,,,,,,,,,
Q1783823,coordination,Q1914636,activity,,,Q309100|Q2920921,planning|management,,,,,,,,,,
Q104376880,coral reef biology,Q7173,marine biology,,,,,878839,,sh85032521,,,,,,QH95.8,
Q104376780,coral reef ecology,Q104376784|Q104376880,reef ecology|coral reef biology,,,,,878847,,sh85032522,,,,,,QH541.5.C7,
Q1426058,corporate communication,Q1937189,organizational communication,,,,,,7505733-5,,,,,,,,
Q1134763,corporate finance,Q4738155,financial management,Q43015,finance,,,,4269795-5,sh85032938,658.15,,,CorporateFinance,,,
Q2609670,corporate law,Q7748,law,,,,,,,sh85032912,,,,BusinessLawService,,,
Q2498492,corporate policy,Q1156854,policy,,,,,,,,,,,,,,
Q110419534,corporations and associations law,,,,,Q2609670|Q4809578,corporate law|association law,,,,,,,,,,
Q113115825,correctional theory,Q161733,criminology,,,,,,,,,,,,,,
Q130304484,correlative meteorology,Q25261,meteorology,,,,,,,,,,,,,,
Q3511129,corrosion engineering,,,Q11467|Q11023|Q228736,metallurgy|engineering|materials science,,,,,,,,,,,,
Q129261095,cosmecology,Q336,science,,,,,,,,,,,,,,
Q2474068,cosmetology,,,,,,,,,sh85012726,613.488|646.72,,,,,,
Q25508843,cosmic physics,Q413|Q1195766,physics|space sciences,,,,,,,sh85033150,,,,,,,
Q113884132,cosmochronology,Q130788|Q338,chronology|cosmology,,,,,,,,,,,,,,
Q631942,cosmography,,,,,,,,,sh85033167,,300054287,,,,,
Q338,cosmology,Q333|Q413|Q35277|Q37547,astronomy|physics|metaphysics|astrophysics,,,,,880600,4114294-9,sh85033169,113|523.1,300054294,00022989n,Cosmology,,,
Q16331597,costume design,Q82604,design,,,,,880794,,sh85033269,,300163423,00506818n,CostumeDesign,,PN2067,
Q59379566,costume interpretation,,,,,,,,,,,,,,,,
Q105375581,coulee ecology,Q104780697|Q104780631|Q7150,stream ecology|valley ecology|ecology,,,,,881177,,sh85033397,,,,,,QH541.5.C73,
Q4390239,counseling,Q11588306|Q11024|Q9353606|Q5710255|Q183257,social services|communication|health service|helping behavior|psychotherapy,Q107432112|Q113192683|Q4382888,"guidance and counseling|counselling, wellbeing and community services|mental health care",,,,,sh85033421,,,,,,,
Q113192683,"counselling, wellbeing and community services",Q205398,social work,,,,,,,,,,,,,,
Q600134,course,Q386724|Q15900616,work|event sequence,Q1211427|Q113463316|Q8434,academia|Strand|education,Q753877|Q27318|Q18185|Q782369|Q603773|Q504703|Q199657|Q535741|Q42240|Q113464248,homework|test|grade|course credit|lecture|seminar|reading|tutorial|research|content standard,,4166215-5,,,,,Course-Academic,,,
Q67615463,couselling studies,,,,,,,,,,,,,,,,
Q11398090,creation,Q104637332,planned process,,,,,,,,,,,,,,
Q113209507,creative and professional writing,Q110484020|Q105606485,writing|intellectual activity,,,Q586060|Q3953114,creative writing|professional writing,,,,,,,,,,
Q64808704,creative sustainability,,,,,,,,,,,,,,,,
Q16930522,creative technology,Q11016,technology,,,Q179310|Q82604|Q735|Q80083,computing|design|art|humanities,,,,,,,,,,
Q17537576,creative work,Q15621286,intellectual work,,,,,,,,,,,CreativeWork,,,
Q586060,creative writing,Q37260,writing,Q113209507,creative and professional writing,,,882489,4165550-3,sh85033847,808.02|808.3,,00158268n,CreativeWriting,,,
Q13526509,creolistics,Q8162,linguistics,,,,,,,,,,,,,,
