qid,label,master_id,master_id_type,master_label,source,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc
Q9228,Burmese,sh85018133,lcsh_id,Burmese,major,,,,,,,,4120159-0,sh85018133,,300388042,,,,
Q648154,Byzantine studies,sh85018523,lcsh_id,Byzantine studies,major,,,,,,,,4147095-3,sh85018523,,,,,,
Q4676302,Canadian studies,427.971,ddc,Canadian studies,major,,,,,,,,7686561-7,,427.971|810,,,,,
Q1735560,Catalan philology,4249908-2,gnd_id,Catalan philology,major,,,,,,,,4249908-2,,,,,,,
Q1367940,Catholic theology,4030005-5,gnd_id,Catholic theology,major,,,,,,,,4030005-5,,,,,,,
Q27997,Celtic studies,4163569-3,gnd_id,Celtic studies,major,,,,,,,,4163569-3,,,,,,,
Q160,Cetacea,sh85022218,lcsh_id,Cetacea,major,,,,,,,,4064432-7,sh85022218,599.5,300310322,,,,
Q7850,Chinese,sh85024301,lcsh_id,Chinese,major,,,,,,,,4113214-2,sh85024301,495.1,300388113,,,,PL1001-PL1960
Q1760972,Christian archaeology,sh85025009,lcsh_id,Christian archaeology,major,,,,,,,,,sh85025009,930.1,,,,,
Q216545,Christian theology,sh85134665,lcsh_id,Christian theology,discipline,Q34178,theology,,,Q5405836,Eucharistic theology,1149559,,sh85134665,230,,,ChristianTheology,,BR118-BR119.2
Q235955,Clarice Lispector,n50051357,lcsh_id,Clarice Lispector,major,,,,,,,17375,118780158,n50051357,,,,,,PQ9697.L585
Q59068,Czech studies,4186370-7,gnd_id,Czech studies,discipline,Q16872093,West Slavic Studies,Q16872093,West Slavic Studies,,,,4186370-7,,,,,,,
Q9035,Danish,sh85035731,lcsh_id,Danish,major,,,,,,,,4113262-2,sh85035731,439.81,300388204,,,,
Q7411,Dutch,sh85040106,lcsh_id,Dutch,major,,,,,,,899732,4122614-8,sh85040106,439.31,300388256,,,,
Q1987969,Dutch studies,4283850-2,gnd_id,Dutch studies,major,,,,,,,,4283850-2,,,,,,,
Q8008,Earth science,sh85040468,lcsh_id,Earth science,discipline,Q107287417|Q7991,earth and planetary science|natural science,,,,,900729,4020288-4|4131991-6,sh85040468,550,300054542,00029440n,EarthScience,,
Q162817,East Asian studies,4312428-8,gnd_id,East Asian studies,discipline,Q4806809,Asian studies,,,,,,4312428-8,,,,02575816n,,,
Q245177,Eastern Christianity,sh85040605,lcsh_id,Eastern Christianity,major,,,,,,,,,sh85040605,281,,,,,BX100-BX183.2
Q3132462,Economics,n79099715,lcsh_id,Economics,major,,,,,,,,4345428-8,n79099715,,,,,,
Q145903,Egyptology,sh85041367,lcsh_id,Egyptology,major,,,,,,,,4141476-7,sh85041367,893.1|932|493.1,300264391,,,,
Q1860,English,sh85043413,lcsh_id,English,major,,,,,,,910920,4014777-0,sh85043413,420,300388277,,,,PE
Q27968,English studies,sh85043929,lcsh_id,English studies,major,,,,,,,912245,4002046-0,sh85043929,420|820,,,,,PE
Q186579,English-language literature,sh85043777,lcsh_id,English-language literature,major,,,,,,,,,sh85043777,820,,,,,PE
Q1370467,EuroVoc,4474210-1,gnd_id,EuroVoc,discipline,,,Q54837|Q75487064,Semantic Web|EU Vocabularies,,,,4474210-1,,,,00472535n,,,
Q208202,European Union law,sh2009129017,lcsh_id,European Union law,major,,,,,,,,4153206-5,sh2009129017,341.2422,,,,,
Q15075764,European ethnology (Volkskunde),4078937-8,gnd_id,European ethnology (Volkskunde),discipline,Q34749|Q1143546,social science|cultural studies,,,,,,4078937-8,,,,,,,
Q150,French,sh85051829,lcsh_id,French,major,,,,,,,934333,4113615-9,sh85051829,440|6--41,300388306,,,,
Q11333703,French language studies,7503327-6,gnd_id,French language studies,major,,,,,,,,7503327-6,,,,,,,
Q6689,French literature,sh85051865,lcsh_id,French literature,major,,,,,,,934688,7507697-4,sh85051865,840,,,,,
Q944537,Geisteswissenschaften,001.3,ddc,Geisteswissenschaften,discipline,Q1587903|Q336,human science|science,,,,,,4019838-8,,001.3,,,,,
Q188,German,sh85054365,lcsh_id,German,major,,,,,,,,4113292-0,sh85054365,430|6--31,300388344,,,,
Q76996465,German philology,sh85054411,lcsh_id,German philology,major,,,,,,,,,sh85054411,,,,,,
Q1203683,German philosophy,193,ddc,German philosophy,major,,,,,,,,,,193,,,,,
Q166153,German studies,830,ddc,German studies,major,,,,,,,,4020383-9,,830|430,,,,,
Q181287,German-language literature,sh85054380,lcsh_id,German-language literature,major,,,,,,,,7503128-0,sh85054380,830|831,,,,,PT1-4897
Q2620112,Germanic philology,sh85054442,lcsh_id,Germanic philology,major,,,,,,,,,sh85054442,,,,,,
Q272021,Gestalt psychology,sh85054723,lcsh_id,Gestalt psychology,major,,,,,,,,4020725-0,sh85054723,150.1982,,,,,
Q9129,Greek,sh85057151,lcsh_id,Greek,major,,,,,,,,,sh85057151,,300389734,,,,
Q16267481,Greek studies,sh85057184,lcsh_id,Greek studies,major,,,,,,,,4315324-0,sh85057184,880|480,,,,,
Q26473,Gregorian chant,sh85022551,lcsh_id,Gregorian chant,major,,,,,,,1726631,4021952-5,sh85022551,782.3222,300265207,,,,
Q9288,Hebrew,sh85059867,lcsh_id,Hebrew,major,,,,,,,954191,4023922-6,sh85059867,492.4,300388401,,,,
Q489119,Hellenic studies,7620854-0,gnd_id,Hellenic studies,major,,,,,,,,7620854-0,,,,,,,
Q1622065,Higher Education Teaching,4025226-7,gnd_id,Higher Education Teaching,major,,,,,,,,4025226-7,,,,,,,
Q2551624,IPv6,4462513-3,gnd_id,IPv6,discipline,,,Q251212,Internet of things,,,,4462513-3,,,,,InternetProtocol-v6,,
Q1413128,Indo-European studies,sh85065705,lcsh_id,Indo-European studies,major,,,,,,,,4161557-8,sh85065705,,,,,,
Q625510,Indology,491.1,ddc,Indology,discipline,Q105397778,South Asia studies,,,,,,4161576-1,,491.1|891.1,,00567413n,Indology,,
Q11802245,Integrated software,sh88000222,lcsh_id,Integrated software,discipline,Q7397,software,,,,,,,sh88000222,,,,,,
Q251212,Internet of things,sh2013000266,lcsh_id,Internet of things,discipline,Q11253473,smart device,,,Q10322548|Q18761595|Q2551624|Q379626|Q483639|Q62029351,MQTT|internet of things protocol|IPv6|Advanced Message Queuing Protocol|cloud computing|5G NR,,7713781-4,sh2013000266,658.514|338.064|004.678,,,,,
Q1367176,Iranian studies,sh85067916,lcsh_id,Iranian studies,discipline,Q12211529,Middle Eastern studies,Q12211529,Middle Eastern studies,,,,4162398-8,sh85067916,891.5|491.5,,,IranianStudies,,
Q55610541,Islamic education,sh85068397,lcsh_id,Islamic education,major,,,,,,,979927,4317554-5,sh85068397,297.77,,,,,LC901-LC915
Q193104,Islamic philosophy,sh85100934,lcsh_id,Islamic philosophy,major,,,,,,,,,sh85100934,181.07,,,,,
Q843909,Islamic studies,sh85068408,lcsh_id,Islamic studies,discipline,Q476294,oriental studies,,,Q757248,papyrology,979852,4162468-3,sh85068408,297|297.071,,,IslamicStudies,,
Q3155376,Islamology,sh85068408,lcsh_id,Islamic studies,discipline,,,,,,,,,sh85068408,,,,,,
Q3745495,Italian philology,sh85068840,lcsh_id,Italian philology,discipline,Q40634,philology,,,,,,,sh85068840,,,,,,
Q515601,Italian studies,850,ddc,Italian studies,major,,,,,,,,4162604-7,,850|450,,,,,
Q875592,Japanese studies,306.0952,ddc,Japanese studies,major,,,,,,,,4162713-1,,306.0952|495.6|895.6|952,,,,,
Q42002,Jewish studies,sh85070866,lcsh_id,Jewish studies,discipline,Q34187|Q1143546|Q1066186,religious studies|cultural studies|study of history,,,Q739465|Q3592613|Q108823107|Q7007095|Q757248,study of the Hebrew language|genetic studies of Jews|Jewish communities studies|Land of Israel Studies and Archaeology|papyrology,,4162796-9,sh85070866,,,,,,
Q17884,LGBTQ,7705503-2,gnd_id,LGBTQ,discipline,,,,,,,,7705503-2,,,300400510,03517991n,LGBT,,
Q397,Latin,sh85074944,lcsh_id,Latin,major,,,,,,,,4114364-4,sh85074944,470,300388693,,,,
Q1806979,Latin studies,4166851-0,gnd_id,Latin studies,major,,,,,,,,4166851-0,,,,,,,
Q1491611,Lehramtsstudium,4131946-1,gnd_id,Lehramtsstudium,major,,,,,,,,4131946-1,,,,,,,
Q10978135,Lithuanian studies,4656569-3,gnd_id,Lithuanian studies,major,,,,,,,,4656569-3,,,,,,,
Q722609,MARC standards,sh85080966,lcsh_id,MARC standards,discipline,,,,,Q2755217|Q3919686|Q28770433,UNIMARC|MARC 21|MARCXML,,4168864-8,sh85080966,025.316,,,,,
Q10322548,MQTT,004.62,ddc,MQTT,discipline,,,Q251212,Internet of things,,,,1145336337,,004.62,,,,,
Q36109,Maithili,4104524-5,gnd_id,Maithili,major,,,,,,,,4104524-5,,,300388776,,,,
Q1924928,Metallplastik,4191461-2,gnd_id,Metallplastik,major,,,,,,,,4191461-2,,,,,,,
Q12211529,Middle Eastern studies,sh85090514,lcsh_id,Middle Eastern studies,discipline,Q476294,oriental studies,,,Q4785363,genetic history of the Middle East,,,sh85090514,,,,MiddleEasternStudies,,
Q36510,Modern Greek,sh85057166,lcsh_id,Modern Greek,major,,,,,,,,,sh85057166,489.3,300388361,,,,
Q1944500,Mongolian studies,4170448-4,gnd_id,Mongolian studies,major,,,,,,,,4170448-4,,,,,,,
Q1956258,Mvet,300042085,aat_id,Mvet,major,,,,,,,,,,,300042085,,,,
Q5185,Nematoda,sh85090702,lcsh_id,Nematoda,major,,,,,,,,4128872-5,sh85090702,592.57,300310241,,,,
Q18813,New Testament,n79023150,lcsh_id,New Testament,major,,,,,,,,4041771-2,n79023150,225,,,,,
Q623313,Ottoman studies,494.35,ddc,Ottoman studies,major,,,,,,,,4745131-2,,494.35|894.35,,,,,
Q36727,Pali,sh85097195,lcsh_id,Pali,major,,,,,,,1051644,4044406-5,sh85097195,491.37,300404714,,,,
Q9168,Persian,sh85100070,lcsh_id,Persian,major,,,,,,,,4065403-5,sh85100070,491.55,300389088|300266822|300389087,,,,
Q1381199,Protestant theology,sh85107714,lcsh_id,Protestant theology,major,,,,,,,,4015875-5,sh85107714,230.044,,,,,
Q58635,Punjabi,sh85097451,lcsh_id,Punjabi,major,,,,,,,1052139,4211719-7,sh85097451,491.42,300389057,,,,
Q188602,Purana,n79139448,lcsh_id,Purana,major,,,,,,,,,n79139448,,,,,,
Q1147173,Q1147173,381,ddc,Q1147173,discipline,Q2043282,business administration,,,,,,4120425-6,,381,,,,,
Q26185,Quaternary,sh85097144,lcsh_id,Quaternary,major,,,,,,,,4048009-4,sh85097144|sh85054111,551.79,300391278,,,,
Q19814,Romance languages,sh85114953,lcsh_id,Romance languages,major,,,,,,,,4115788-6,sh85114953,440,300389149,,,,
Q1277348,Romance studies,sh85114963,lcsh_id,Romance studies,major,,,,,,,1099881,4050484-0,sh85114963,840|440,,,,,
Q2077256,Romanian literature,sh85115040,lcsh_id,Romanian literature,major,,,,,,,,,sh85115040,850,,,,,
Q220,Rome,n79018704,lcsh_id,Rome,major,,,,,,,1204500,4050471-2,n79018704,2--45632,,,,,
Q7737,Russian,sh85115971,lcsh_id,Russian,major,,,,,,,,4051038-4,sh85115971,491.7|6--9171,300389168,,,,
Q55693890,Russian philology,sh85116004,lcsh_id,Russian philology,major,,,,,,,,,sh85116004,,,,,,
Q11059,Sanskrit,sh85117331,lcsh_id,Sanskrit,major,,,,,,,,4051642-8,sh85117331,491.2,300389206|300389205,,,,
Q922219,Scandinavian studies,4077478-8,gnd_id,Scandinavian studies,major,,,,,,,,4077478-8,,,,,,,
Q2251373,Schulmusik (Studienfach),4124150-2,gnd_id,Schulmusik (Studienfach),major,,,,,,,,4124150-2,,,,,,,
Q54837,Semantic Web,sh2002000569,lcsh_id,Semantic Web,discipline,Q466|Q1045785|Q7449064,World Wide Web|semantic network|Semantic integration,,,Q515701|Q1370467,linked data|EuroVoc,1112076,4688372-1,sh2002000569,025.0427,300391330,02276858n,SemanticWeb,,TK5105.88815|ZA4240
Q7449064,Semantic integration,sh2004000479,lcsh_id,Semantic integration,discipline,Q11802245|Q7449051,Integrated software|semantic computing,,,,,,,sh2004000479,,,,,,
Q34049,Semitic,sh85119961,lcsh_id,Semitic,major,,,,,,,,4116476-3,sh85119961,492,300389236,,,,
Q2142577,Semitic studies,4180975-0,gnd_id,Semitic studies,discipline,Q4806809|Q38157|Q476294,Asian studies|African studies|oriental studies,,,Q3621186,Arabic studies,,4180975-0,,,,,SemiticStudies,,
Q26331146,Serbo-Croatian studies,sh85120203,lcsh_id,Serbo-Croatian studies,major,,,,,,,,,sh85120203,,,,,,
Q457753,Sharia-compliant banking,sh88004780,lcsh_id,Sharia-compliant banking,major,,,,,,,,4272560-4,sh88004780,,,,,,
Q33997,Sindhi,sh85122803,lcsh_id,Sindhi,major,,,,,,,,,sh85122803,491.41,300389278,,,,
Q23526,Slavic,sh85123361,lcsh_id,Slavic,major,,,,,,,,4120036-6,sh85123361,491.8,,,,,
Q156864,Slavic studies,491.8,ddc,Slavic studies,discipline,Q1413113|Q11790583|Q1595873,Eastern European studies|modern philology|domestic studies,,,,,,4055287-1,,491.8,,,SlavicStudies,,
Q15609389,South Asian languages,sh89003685,lcsh_id,South Asian languages,discipline,Q2624777,languages of Asia,Q122766954|Q118987766,South Asian culture|South and Southeast Asian languages,,,,,sh89003685,,,,,,
Q1321,Spanish,sh85126261,lcsh_id,Spanish,major,,,,,,,,4077640-2,sh85126261,460,300389311,,,,
Q238499,Spanish literature,sh85126268,lcsh_id,Spanish literature,major,,,,,,,,7507710-3,sh85126268,860,,,,,
Q7634642,Sufi psychology,1137266,fast_id,Sufi psychology,major,,,,,,,1137266,,,,,,,,
Q1864603,Tibetologist,7635239-0,gnd_id,Tibetologist,major,,,,,,,,7635239-0|7635240-7,,,,,,,
Q1143760,Tibetology,4278702-6,gnd_id,Tibetology,major,,,,,,,,4278702-6,,,,,,,
Q8427,Turkology,sh85138870,lcsh_id,Turkology,major,,,,,,,,4186473-6,sh85138870,494.3|894.3,,,,,
Q2755217,UNIMARC,sh85139700,lcsh_id,UNIMARC,discipline,,,Q722609,MARC standards,,,,4186896-1,sh85139700,025.316,,,,,Z699.4.U22
Q169411,Unified Modeling Language,sh97003561,lcsh_id,Unified Modeling Language,discipline,,,,,,,1160249,4469781-8,sh97003561,,,02571962n,UnifiedModelingLanguage,,
Q7161124,Universidade de Passo Fundo,n83007526,lcsh_id,Universidade de Passo Fundo,major,,,,,,,,,n83007526,,,,,,
Q6113985,Upanishads,n80020526,lcsh_id,Upanishads,major,,,,,,,,4062067-0,n80020526,,,,,,
Q39950,Vedas,sh85142464,lcsh_id,Vedas,major,,,,,,,,,sh85142464|n80009843,,300386788,,,,
Q16872093,West Slavic Studies,4830608-3,gnd_id,West Slavic Studies,discipline,Q156864,Slavic studies,Q156864,Slavic studies,,,,4830608-3,,,,,,,
Q466,World Wide Web,sh95000541,lcsh_id,World Wide Web,discipline,Q1668024|Q1076968,service on Internet|digital media,,,Q35127|Q221989|Q59164093|Q1476753,website|deep web|publicly indexable web|surface web,1181326,4363898-3,sh95000541,025.042,300263365,00080772n,WorldWideWeb-DynamicIndexedInfoSource,,
Q1688921,Yiddish studies,4162748-9,gnd_id,Yiddish studies,major,,,,,,,,4162748-9,,,,,,,
Q34311,Yoruba,sh85149236,lcsh_id,Yoruba,major,,,,,,,,4120403-7,sh85149236,,300389608,,,,
Q7048977,abstract entity,4191666-9,gnd_id,abstract entity,discipline,Q35120,entity,Q18205125,abstract and concrete,,,,4191666-9,,,,14781583n,,,
Q189533,academic degree,sh85036481,lcsh_id,academic degree,discipline,Q4218455|Q618779|Q427581,qualification|award|intangible asset,Q1815842,academic achievement,,,,4141686-7,sh85036481,378.2,300312080,00000554n,EducationalDegree,,
Q11862829,academic discipline,sh85141103,lcsh_id,academic discipline,discipline,Q1047113,field of study,,,,,,4151461-0,sh85141103,,,00007985n,FieldOfStudy,,
Q4116214,accounting,sh85000411,lcsh_id,accounting,major,,,,,,,795379,4048732-5,sh85000411,657,300054345,,,,HF5601-HF5688
Q860374,accounting studies,4069455-0,gnd_id,accounting studies,major,,,,,,,,4069455-0,,,,,,,
Q3882459,acoustic wave,sh85125404,lcsh_id,acoustic wave,discipline,Q3882429,elastic wave,,,,,,4191490-9,sh85125404,,,,,,
Q82811,acoustics,sh2002006100,lcsh_id,acoustics,discipline,Q413,physics,,,,,,4000988-9,sh2002006100,534,300054562,00000989n,Acoustics,,
Q222749,acting,sh85039329,lcsh_id,acting,major,,,,,,,,4012899-4,sh85039329,792.028,300264355,,,,
Q1914636,activity,4058882-8,gnd_id,activity,discipline,Q3249551,process,,,Q4026292|Q52948,action|interaction,,4058882-8,,,,00059125n,ActivityByType,,
Q180507,adaptive radiation therapy,sh00005896,lcsh_id,adaptive radiation therapy,major,,,,,,,,4057833-1,sh00005896,615.842,,,,,
Q5283295,administration,sh85000898,lcsh_id,administration,discipline,Q1047113|Q80083|Q29017603,field of study|humanities|control,Q1268199|Q43229,managerial finance|organization,,,1351613,4063317-2,sh85000898|sh2002007910,351,300133011,00001422n,,,
Q171251,administrative law,sh85000913,lcsh_id,administrative law,major,,,,,,,,,sh85000913,342,,,,,K3400-K3431
Q11943008,adolescent psychology,sh85000969,lcsh_id,adolescent psychology,discipline,Q161272|Q175002,social psychology|developmental psychology,,,,,797018,,sh85000969,,,,,,BF724
Q1319035,adult education,sh85001028,lcsh_id,adult education,major,,,,,,,,4015428-2,sh85001028,374,300254108,,,,
Q37038,advertising,sh85001086,lcsh_id,advertising,major,,,,,,,797511,4065541-6,sh85001086,659.1|658.8,300054347,,,,
Q8424,aerodynamics,sh85001295,lcsh_id,aerodynamics,major,,,,,,,,4000589-6,sh85001295,533.62|620.1074|629.1323,300056101,,,,
Q8421,aeronautics,sh85001319,lcsh_id,aeronautics,major,,,,,,,,,sh85001319,629.13,300138817,,,,
Q35986,aesthetics,sh85001441,lcsh_id,aesthetics,discipline,Q5891,philosophy,Q186531,axiology,Q132776155,Islamic aesthetics,798702,4000626-8,sh85001441,701.17|801.93|701,300054280|300312347,00001719n,Aesthetics,,BH1-BH301
Q1955326,aesthetics of music,4040808-5,gnd_id,aesthetics of music,major,,,,,,,,4040808-5,,,,,,,
Q4693953,agricultural communication,sh85029049,lcsh_id,agricultural communication,major,,,,,,,,,sh85029049,,,,,,
Q396340,agricultural economics,sh85002427,lcsh_id,agricultural economics,discipline,Q8134,economics,Q11451,agriculture,,,,4704302-7,sh85002427,338.1,,,AgriculturalEconomics,,
Q3345348,agricultural education,sh85002310,lcsh_id,agricultural education,major,,,,,,,800702,,sh85002310,,,,,,S530-S539
Q4693964,agricultural extension,sh85002298,lcsh_id,agricultural extension,major,,,,,,,,4034407-1,sh85002298,,,,,,
Q396198,agricultural policy,sh85002484,lcsh_id,agricultural policy,discipline,Q546113|Q582577,public policy|economic policy,,,,,801722,4000771-6,sh85002484,,,,,,
Q3606845,agricultural science,sh86001792,lcsh_id,agricultural science,discipline,Q441|Q2920921|Q28797,botany|management|applied science,,,,,801593,4068473-8,sh86001792|sh85002415,630,300025604,00002095n|27267534n,AgriculturalResearch,,
Q11451,agriculture,sh85002415,lcsh_id,agriculture,major,,,,,,,801355,4034402-2,sh85002415,630,300054463,,,,S1-S790.3
Q396338,agroecology,sh85002307,lcsh_id,agroecology,discipline,Q7150|Q3606845,ecology|agricultural science,,,,,800685,4000769-8,sh85002307,,,,Agroecology,,S589.7
Q396152,agrometeorology,sh85084356,lcsh_id,agrometeorology,discipline,Q25261|Q3606845|Q1898366,meteorology|agricultural science|bioclimatology,,,,,1018517,4141642-9,sh85084356,630.2515,,,,,
Q173113,agronomy,sh91006254,lcsh_id,agronomy,discipline,Q3606845|Q110252479,agricultural science|crop and pasture production,,,,,801886,4421347-5,sh91006254,,300254393,00002115n,Agronomy,,
Q105208008,algal ecology,sh2005003172,lcsh_id,algal ecology,discipline,Q1387972|Q188391,plant ecology|phycology,,,,,804848,,sh2005003172,,,,,,
Q3968,algebra,sh85003425,lcsh_id,algebra,discipline,,,Q395,mathematics,,,804885,4001156-2,sh85003425,512,300054523,00002676n,Algebra,,Z6654.A5
Q180969,algebraic geometry,sh85054140,lcsh_id,algebraic geometry,major,,,,,,,,4001161-6,sh85054140,516.35,,,,,
Q8366,algorithm,sh85003487,lcsh_id,algorithm,discipline,Q20920559|Q386724,procedure|work,Q21198|Q13636890|Q395,computer science|algorithmics|mathematics,,,805020,4001183-5,sh85003487,518.1,300065585,00002705n,Algorithm,,QA9.58
Q623221,algorithmic game theory,1133091814,gnd_id,algorithmic game theory,major,,,,,,,,1133091814,,,,,,,
Q474471,ampelography,634.8,ddc,ampelography,major,,,,,,,,4419761-5,,634.8,,,,,
Q10818148,amphibian anatomy,sh85004599,lcsh_id,amphibian anatomy,discipline,Q8198634|Q10818163,animal anatomy|vertebrate anatomy,,,,,807902,,sh85004599,,,,,,QL669
Q615057,anaesthesiology,sh85004972,lcsh_id,anaesthesiology,major,,,,,,,,4142321-5,sh85004972,,,,,,
Q2346,analytical chemistry,sh85023011,lcsh_id,analytical chemistry,discipline,Q2329,chemistry,,,,,,4129906-1,sh85023011,543,,00065551n,AnalyticalChemistry,,
Q514,anatomy,sh85004835,lcsh_id,anatomy,discipline,Q420,biology,Q420|Q11190,biology|medicine,Q220384|Q4021|Q819121|Q948647,zootomy|plant anatomy|osteology|neuroanatomy,,4001895-7,sh85004835,611,300054465,00003881n,Anatomy,,
Q4752891,ancient Near Eastern studies,4142081-0,gnd_id,ancient Near Eastern studies,major,,,,,,,,4142081-0,,,,,,,
Q435608,ancient history,4131285-5,gnd_id,ancient history,discipline,Q1066186,study of history,,,Q757248,papyrology,,4131285-5,,,,,,,
Q2990593,animal behavior,QL750-QL795,lcc,animal behavior,major,,,,,,,,4062860-7,,,,,,,QL750-QL795
Q1434121,animal communication,sh85005167,lcsh_id,animal communication,discipline,Q1667324|Q2990593,biocommunication|animal behavior,,,,,809125,,sh85005167,,300389742,,Communication-Topic,,QL776
Q10900987,animal ecology,sh85005172,lcsh_id,animal ecology,discipline,Q7150|Q431,ecology|zoology,,,,,809150,4129378-2,sh85005172,591.7,,,,,
Q111604218,animal ecophysiology,sh91006269,lcsh_id,animal ecophysiology,discipline,Q295425|Q10900987|Q2432331|Q431,ecophysiology|animal ecology|zoophysiology|zoology,,,,,809160,,sh91006269,,,,,,QP82|QP82.2
Q110310405,animal genetics,sh85005190,lcsh_id,animal genetics,discipline,Q7162|Q431,genetics|zoology,,,,,809196,,sh85005190,,,,,,
Q80962,animal husbandry,sh85005169,lcsh_id,animal husbandry,major,,,,,,,,4117220-6,sh85005169,636,300254388,,,,
Q16579254,animal morphology,sh85087348,lcsh_id,animal morphology,discipline,Q431|Q183252,zoology|morphology,Q431,zoology,,,,,sh85087348,,,,,,
Q11425,animation,sh85005291,lcsh_id,animation,major,,,,,,,809628,7703314-0,sh85005291,778.5347,300053160,,,,
Q857525,annotation,4560829-5,gnd_id,annotation,discipline,Q180160|Q386724,metadata|work,Q4769616,annotated bibliography,,,,4560829-5,,,300026100,,Note-Document,,
Q4773904,anthropologist,sh85005579,lcsh_id,anthropologist,major,,,,,,,810184,4142642-3|4254397-6,sh85005579,301.092,300025583,,,,
Q23404,anthropology,sh85005581,lcsh_id,anthropology,discipline,Q34749,social science,Q34749,social science,Q23498|Q177304|Q27172|Q28598|Q772835,archaeology|applied anthropology|biological anthropology|cultural anthropology|linguistic anthropology,810196,4002230-4,sh85005581,301|599.9,300054315,00004584n,Anthropology,,
Q368325,anthropology of media,sh2003004295,lcsh_id,anthropology of media,major,,,,,,,,,sh2003004295,,,,,,
Q1955092,anthropology of music,sh89003038,lcsh_id,anthropology of music,discipline,Q28598,cultural anthropology,,,,,,4237722-5,sh89003038,299.935,,,,,
Q27890,anthropology of religion,300157724,aat_id,anthropology of religion,discipline,Q23404|Q34187,anthropology|religious studies,,,,,,,,,300157724,,,,
Q6656244,anthropometry,sh85005588,lcsh_id,anthropometry,discipline,Q27172,biological anthropology,,,,,,,sh85005588,599.94,300054324,,Anthropometry,,
Q166142,application,005.3,ddc,application,discipline,Q7397,software,,,Q40056,computer program,,4120906-0,,005.3,,00005095n,ApplicationProgram,,
Q165194,application programming interface,sh98004527,lcsh_id,application programming interface,discipline,Q23808|Q241317|Q132364,computer interface|computing platform|communication protocol,,,,,,4430243-5,sh98004527,,,,ApplicationProgrammingInterface,,
Q177304,applied anthropology,sh85006167,lcsh_id,applied anthropology,discipline,Q23404|Q28797,anthropology|applied science,,,,,,,sh85006167,,,,,,
