qid,label,statement_count,property_count,with_qualifiers,with_references,qualifier_rate,reference_rate,unsupported_statement_count,unsupported_pair_rate,unsupported_pairs,status
Q120241324,Changes that accompany the political transition in the ancient Greek polis: from non-citizens to citizens,23,5,0,4,0.000000,0.173913,0,0.000000,{},pass
Q1202928,Lusitanian War,11,10,3,3,0.272727,0.272727,0,0.000000,{},pass
Q1223584,Gaius Marcius Censorinus,36,26,8,12,0.222222,0.333333,0,0.000000,{},pass
Q12253460,Battle of Andagoste,11,8,0,1,0.000000,0.090909,0,0.000000,{},pass
Q1227220,Titus Quinctius Crispinus Sulpicianus,25,23,1,10,0.040000,0.400000,0,0.000000,{},pass
Q122732170,stasis.hypotheses.org,40,16,5,4,0.125000,0.100000,0,0.000000,{},pass
Q122746681,"Civil War in Ancient Greece and Rome: Contexts of Disintegration and Reintegration, ed. Henning Börm, Marco Mattheis, Johannes Wienand. Stuttgart: Steiner 2016",38,13,4,0,0.105263,0.000000,0,0.000000,{},pass
Q122746922,Monarchische Herrschaft im Altertum,42,12,1,0,0.023810,0.000000,0,0.000000,{},pass
Q122751016,"Stefan Rebenich, Johannes Wienand: Monarchische Herrschaft im Altertum. Zugänge und Perspektiven, in: Monarchische Herrschaft im Altertum, ed. S. Rebenich in cooperation with J. Wienand, Berlin: De Gruyter 2017, 1-41",23,10,0,0,0.000000,0.000000,0,0.000000,{},pass
Q122764589,Internal War. Society: Social Order and Political Conflict in Antiquity,34,10,0,0,0.000000,0.000000,0,0.000000,{},pass
Q122861593,Carsten Hjort Lange: From Hannibal to Sulla: The Birth of Civil War in Republican Rome. Berlin: De Gruyter 2024,20,9,4,0,0.200000,0.000000,0,0.000000,{},pass
Q1228632,victoriatus,14,12,0,2,0.000000,0.142857,0,0.000000,{},pass
Q122865066,"Johannes Wienand: Stasis. An Academic Blog on Ancient Civil War, in: Stasis – Avenues to Ancient Civil War, October 9, 2023, doi: 10.59350/377m7-vkt78",19,9,0,0,0.000000,0.000000,0,0.000000,{},pass
Q122918768,Pompey's eastern settlement,8,5,0,0,0.000000,0.000000,0,0.000000,{},pass
Q123002123,"Carsten Hjort Lange: Civil War Seen Through the Lens of Ancient History, in: Stasis – Avenues to Ancient Civil War, October 10, 2023, doi: 10.59350/5b9hv-1xz57",18,9,0,0,0.000000,0.000000,0,0.000000,{},pass
Q123039428,Les històries romanes,12,10,1,0,0.083333,0.000000,0,0.000000,{},pass
Q123039445,Livre de Tytus Livius de hystoire roumaine,14,12,1,0,0.071429,0.000000,0,0.000000,{},pass
Q123116313,History program for Italian primary school,136,5,0,135,0.000000,0.992647,0,0.000000,{},pass
Q123157468,History program for Italian junior high school,207,5,0,206,0.000000,0.995169,0,0.000000,{},pass
Q123245395,Imperatores victi,13,4,1,0,0.076923,0.000000,0,0.000000,{},pass
Q123310379,Siege of Bassania,6,5,1,0,0.166667,0.000000,0,0.000000,{},pass
Q1234467,dodrans,10,10,0,7,0.000000,0.700000,0,0.000000,{},pass
Q12356285,Latin War,9,8,2,3,0.222222,0.333333,0,0.000000,{},pass
Q124714225,Battle of Placentia,6,5,2,0,0.333333,0.000000,0,0.000000,{},pass
Q124798662,,4,4,0,1,0.000000,0.250000,0,0.000000,{},pass
Q1249059,triens,23,18,3,5,0.130435,0.217391,0,0.000000,{},pass
Q1249076,quadrans,24,19,3,1,0.125000,0.041667,0,0.000000,{},pass
Q1249093,semis,16,14,0,6,0.000000,0.375000,0,0.000000,{},pass
Q124988,Punic Wars,61,44,22,19,0.360656,0.311475,0,0.000000,{},pass
Q125727661,March on Rome,6,6,0,0,0.000000,0.000000,0,0.000000,{},pass
Q12594116,political violence in the late Roman Republic,5,5,0,0,0.000000,0.000000,0,0.000000,{},pass
Q1260622,Battle of the Axona,15,12,1,6,0.066667,0.400000,0,0.000000,{},pass
Q127525629,Romerrikets historie - republikkens vekst og fall,9,9,0,0,0.000000,0.000000,0,0.000000,{},pass
Q127606735,Conquest of Conistorgis,7,5,2,0,0.285714,0.000000,0,0.000000,{},pass
Q129059100,The scene of the Apennine Peninsula in the Pyrrhic War,12,6,2,0,0.166667,0.000000,0,0.000000,{},pass
Q129571642,20-As,9,8,0,0,0.000000,0.000000,0,0.000000,{},pass
Q129571668,40-As,9,8,0,0,0.000000,0.000000,0,0.000000,{},pass
Q129571682,60-As,8,7,0,0,0.000000,0.000000,0,0.000000,{},pass
Q129571751,denarius serratus,8,8,0,4,0.000000,0.500000,0,0.000000,{},pass
Q129571920,double-litra,6,6,0,4,0.000000,0.666667,0,0.000000,{},pass
Q129571942,double victoriatus,8,8,0,6,0.000000,0.750000,0,0.000000,{},pass
Q129571969,half victoriatus,7,7,0,6,0.000000,0.857143,0,0.000000,{},pass
Q129571980,half-litra,6,6,0,4,0.000000,0.666667,0,0.000000,{},pass
Q130318424,Conquest of Oxthracae,7,5,1,0,0.142857,0.000000,0,0.000000,{},pass
Q130329121,Siege of Ocile,6,5,1,0,0.166667,0.000000,0,0.000000,{},pass
Q130329781,Siege of Pallantia,6,5,1,0,0.166667,0.000000,0,0.000000,{},pass
Q130329807,Siege of the Blastophoenicians,7,5,1,0,0.142857,0.000000,0,0.000000,{},pass
Q130343589,Res Publica,4,3,0,0,0.000000,0.000000,0,0.000000,{},pass
Q130348963,Raid of Carpetania,6,5,2,0,0.333333,0.000000,0,0.000000,{},pass
Q130534948,Siege of Acerra,6,5,1,1,0.166667,0.166667,0,0.000000,{},pass
Q130857859,Battle of Delos,6,5,1,0,0.166667,0.000000,0,0.000000,{},pass
Q131686739,Battle of the Tagus,6,5,3,0,0.500000,0.000000,0,0.000000,{},pass
Q132452152,Siege of Aiginion,6,5,1,0,0.166667,0.000000,0,0.000000,{},pass
Q132795814,Marianne Coudry,38,34,5,31,0.131579,0.815789,0,0.000000,{},pass
Q133480177,Battle of Uskana,7,5,2,0,0.285714,0.000000,0,0.000000,{},pass
Q1337302,Hannibal's crossing of the Alps,14,11,3,4,0.214286,0.285714,0,0.000000,{},pass
Q133737719,Michel Humm,33,27,3,27,0.090909,0.818182,0,0.000000,{},pass
Q134836736,Roman invasion of Africa,10,7,4,0,0.400000,0.000000,0,0.000000,{},pass
Q134878258,,4,4,0,3,0.000000,0.750000,0,0.000000,{},pass
Q136716728,Demetrius's Winter offensive in Southern Illyria,6,5,3,0,0.500000,0.000000,0,0.000000,{},pass
Q137217360,Bellum Dardanicum,6,5,1,0,0.166667,0.000000,0,0.000000,{},pass
Q137219487,Falling Sky: The Gallic Revolt Against Caesar,13,9,2,9,0.153846,0.692308,0,0.000000,{},pass
Q137719648,Roman–Dardanian wars,7,5,1,0,0.142857,0.000000,0,0.000000,{},pass
Q137921341,Siege of Nola,9,7,3,0,0.333333,0.000000,0,0.000000,{},pass
Q137972719,Siege of Carthago Nova,17,8,1,6,0.058824,0.352941,0,0.000000,{},pass
Q1422780,nexum,10,7,4,2,0.400000,0.200000,0,0.000000,{},pass
Q1500211,Battle of Cissa,12,10,6,3,0.500000,0.250000,0,0.000000,{},pass
Q1503611,Numantine War,20,12,6,3,0.300000,0.150000,0,0.000000,{},pass
Q15078648,ancient drachma,29,20,3,4,0.103448,0.137931,0,0.000000,{},pass
Q15282014,Lex Iulia de civitate,6,6,1,0,0.166667,0.000000,0,0.000000,{},pass
Q15651483,First secessio plebis in 494 BC,7,7,1,0,0.142857,0.000000,0,0.000000,{},pass
Q1591145,Battle of New Carthage,12,10,3,3,0.250000,0.250000,0,0.000000,{},pass
Q1660324,Imperium,27,26,1,7,0.037037,0.259259,0,0.000000,{},pass
Q16683525,Siege of Mytistraton,6,5,0,0,0.000000,0.000000,0,0.000000,{},pass
Q17277303,Battle of Halys,8,7,0,2,0.000000,0.250000,0,0.000000,{},pass
Q1747689,Ancient Rome,148,114,40,34,0.270270,0.229730,0,0.000000,{},pass
Q1812526,Constitutional reforms of Lucius Cornelius Sulla,5,5,1,1,0.200000,0.200000,0,0.000000,{},pass
Q181733,Praetorian Guard,44,25,13,5,0.295455,0.113636,0,0.000000,{},pass
Q18408280,Pontic War,11,7,3,0,0.272727,0.000000,0,0.000000,{},pass
Q18649467,Battle of Orongis,8,7,2,1,0.250000,0.125000,0,0.000000,{},pass
Q18649505,Battle of Munda,9,8,3,1,0.333333,0.111111,0,0.000000,{},pass
Q18667552,Battle of Campi Veteres,7,6,2,0,0.285714,0.000000,0,0.000000,{},pass
Q188322,Ebro Treaty,9,7,0,0,0.000000,0.000000,0,0.000000,{},pass
Q1888820,culture of the Roman Republic,6,6,1,1,0.166667,0.166667,0,0.000000,{},pass
Q1974201,Battle of Geronium,8,8,0,4,0.000000,0.500000,0,0.000000,{},pass
Q1975400,Battle of the Nile,14,10,7,3,0.500000,0.214286,0,0.000000,{},pass
Q20008151,Siege of Arpi,8,7,1,0,0.125000,0.000000,0,0.000000,{},pass
Q20008414,Parthian campaigns of Publius Ventidius,5,4,2,0,0.400000,0.000000,0,0.000000,{},pass
Q20102510,Battle of Cartagena,23,9,2,1,0.086957,0.043478,0,0.000000,{},pass
Q201038,Roman Kingdom,44,38,6,8,0.136364,0.181818,0,0.000000,{},pass
Q20108410,Lex Mamilia de senatoribus,6,5,1,1,0.166667,0.166667,0,0.000000,{},pass
Q2022780,Suci,6,4,0,1,0.000000,0.166667,0,0.000000,{},pass
Q210718,Asia,45,35,12,16,0.266667,0.355556,0,0.000000,{},pass
Q21162234,Dictator,22,21,1,5,0.045455,0.227273,0,0.000000,{},pass
Q2123159,half aureus,12,10,0,5,0.000000,0.416667,0,0.000000,{},pass
Q2123190,quincussis,8,8,0,4,0.000000,0.500000,0,0.000000,{},pass
Q21234831,Battle of Sapriportis,9,8,3,1,0.333333,0.111111,0,0.000000,{},pass
Q21328960,122 BC eruption of Mount Etna,7,7,0,1,0.000000,0.142857,0,0.000000,{},pass
Q2331925,Battle of Chalcedon,11,10,2,5,0.181818,0.454545,0,0.000000,{},pass
Q233402,Battle of Nola,10,9,2,3,0.200000,0.300000,0,0.000000,{},pass
Q2334699,Antony's Parthian War,13,8,0,5,0.000000,0.384615,0,0.000000,{},pass
Q24045885,Battle of Petilia,7,6,1,0,0.142857,0.000000,0,0.000000,{},pass
Q2505574,Ambiorix's revolt,13,11,3,7,0.230769,0.538462,0,0.000000,{},pass
Q25414978,Battle of Chaeronea,6,5,2,0,0.333333,0.000000,0,0.000000,{},pass
Q25421066,Battle of the Douro,11,9,2,0,0.181818,0.000000,0,0.000000,{},pass
Q2617894,Battle of Pydna,9,8,3,2,0.333333,0.222222,0,0.000000,{},pass
Q2705449,Battle of Mount Algidus,10,9,3,3,0.300000,0.300000,0,0.000000,{},pass
Q2707112,Battle of the Lycus,9,8,2,4,0.222222,0.444444,0,0.000000,{},pass
Q277376,tressis,6,6,0,3,0.000000,0.500000,0,0.000000,{},pass
Q2815472,Late Roman Republic,11,10,2,0,0.181818,0.000000,0,0.000000,{},pass
Q2839628,Early Roman Republic,10,8,1,0,0.100000,0.000000,0,0.000000,{},pass
Q28665781,Battle of the Granicus,6,5,2,0,0.333333,0.000000,0,0.000000,{},pass
Q28668107,Hannibal's crossing of the Apennines,8,6,2,0,0.250000,0.000000,0,0.000000,{},pass
Q28670084,Roman conquest of Hispania during the Second Punic War,11,7,4,1,0.363636,0.090909,0,0.000000,{},pass
Q2890429,Battle of Zama,7,6,2,0,0.285714,0.000000,0,0.000000,{},pass
Q2890613,Battle of the Point of Italy,6,5,1,0,0.166667,0.000000,0,0.000000,{},pass
Q2935356,Octavian's military campaigns in Illyricum,13,7,1,1,0.076923,0.076923,0,0.000000,{},pass
Q30557111,"Geschichte Roms in seinem Übergange vor der republikanischen zur monarchischen Verfassung oder Pompeius, Caesar, Cicero und ihre Zeitgenossen",9,9,0,0,0.000000,0.000000,0,0.000000,{},pass
Q3256634,litra,16,14,2,4,0.125000,0.250000,0,0.000000,{},pass
Q476078,aureus,31,28,3,4,0.096774,0.129032,0,0.000000,{},pass
Q486761,classical antiquity,86,68,25,17,0.290698,0.197674,0,0.000000,{},pass
Q548953,sextans,22,16,4,3,0.181818,0.136364,0,0.000000,{},pass
Q6106068,Middle Roman Republic,8,8,1,0,0.125000,0.000000,0,0.000000,{},pass
Q6503456,Law of majestas,10,6,0,0,0.000000,0.000000,0,0.000000,{},pass
Q663270,Semuncia,18,15,0,6,0.000000,0.333333,0,0.000000,{},pass
Q671292,quartuncia,12,11,0,4,0.000000,0.333333,0,0.000000,{},pass
Q815183,Siege of Numantia,13,10,3,5,0.230769,0.384615,0,0.000000,{},pass
Q829397,bes,15,13,1,5,0.066667,0.333333,0,0.000000,{},pass
Q9172749,Battle of Apamea,8,7,3,1,0.375000,0.125000,0,0.000000,{},pass
