cip_id,cip_label,cip_header,cip_category,cip_subclass,cip_level,qid,qid_label,qid_description,P31_qids,P31_labels,P279_qids,P279_labels,P361_qids,P361_labels,P101_qids,P101_labels,P2579_qids,P2579_labels,P921_qids,P921_labels,P527_qids,P527_labels,P2283_qids,P2283_labels,P366_qids,P366_labels,P1889_qids,P1889_labels,P1343_qids,P1343_labels,P1269_qids,P1269_labels,P1268_qids,P1268_labels,P2578_qids,P2578_labels,P228_qids,P228_labels,P155_qids,P155_labels,P156_qids,P156_labels,P170_qids,P170_labels,P176_qids,P176_labels,P178_qids,P178_labels,P138_qids,P138_labels,P2348_qids,P2348_labels,P580_qids,P580_labels,P582_qids,P582_labels,P585_qids,P585_labels,P793_qids,P793_labels,P276_qids,P276_labels,P17_qids,P17_labels,P131_qids,P131_labels,P625_qids,P625_labels,P2043_qids,P2043_labels,P2048_qids,P2048_labels,P2049_qids,P2049_labels,P2054_qids,P2054_labels,P2068_qids,P2068_labels,P2101_qids,P2101_labels,P2102_qids,P2102_labels,P2325_qids,P2325_labels,P2326_qids,P2326_labels,P2327_qids,P2327_labels,P4511_qids,P4511_labels,P4512_qids,P4512_labels,P4513_qids,P4513_labels,P215_qids,P215_labels,P2114_qids,P2114_labels,P2115_qids,P2115_labels,P2120_qids,P2120_labels,P1538_qids,P1538_labels,P1539_qids,P1539_labels,P1540_qids,P1540_labels,P2669_qids,P2669_labels,P1419_qids,P1419_labels,P1880_qids,P1880_labels
01.1001,Food Science.,01,10,01,6-digit,Q1637030,food science,applied science devoted to the study of food,Q28797,,Q336,,Q420,,,,,,,,,,,,,,,,,,,,,,Q2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.1101,"Plant Sciences, General.",01,11,01,6-digit,Q441,botany,science of plant life,Q1047113,,Q420,,,,,,,,,,Q272737,,,,,,,,Q106727050,,Q420,,,,Q756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.1103,Horticultural Science.,01,11,03,6-digit,Q27725869,"Zahradnictvi (Prague, Czech Republic : 1992)",journal,Q737498,,,,,,,,,,Q173113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.1203,Soil Microbiology.,01,12,03,6-digit,Q7554937,soil microbiology,microbiology of soils,,,Q7193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.0103,Environmental Studies.,03,01,03,6-digit,Q5381367,environmental studies,multidisciplinary academic field which systematically studies human interaction with the environment in the interests of solving complex problems,Q2465832,,Q1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.0104,Environmental Science.,03,01,04,6-digit,Q27020386,Environmental Science,journal,Q5633421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.0204,Natural Resource Economics.,03,02,04,6-digit,Q56557294,resource economics,interactions between economic and natural systems,Q29028649,,,,Q8134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.0501,"Forestry, General.",03,05,01,6-digit,Q38112,forestry,"science and craft of creating, managing, using, conserving and repairing forests, woodlands, and associated resources for human and environmental benefits",Q268592,,Q11023,,Q1801887,,,,,,,,Q720362,,,,,,Q19924411,,Q20078554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.0506,Forest Management/Forest Resources Management.,03,05,06,6-digit,Q372561,forest management,branch of forestry,Q11862829,,Q720362,,Q38112,,,,,,,,,,,,,,,,Q20078554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.0508,Urban Forestry.,03,05,08,6-digit,Q822620,urban forestry,land use management system in which trees or shrubs are cared or protected for well-being,,,Q38112,,,,,,,,,,,,,,,,,,,,,,,,Q109453857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.0401,Environmental Design/Architecture.,04,04,01,6-digit,Q16000091,environmental design,"process of addressing surrounding environmental parameters when devising plans, programs, policies, buildings, or products",Q11862829,,,,Q188847,,,,,,,,,,,,,,Q114436249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.0501,Interior Architecture.,04,05,01,6-digit,Q1329946,interior architecture,"design of a building or shelter from inside out, or the design of a new interior for a type of home that can be fixed",Q11862829,,,,,,,,,,,,,,,,,,,,,,,,,,Q1299240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.0901,Architectural Technology/Technician.,04,09,01,6-digit,Q4787070,architectural technology,application of technology to the design of buildings,Q11862829,,Q11016,,,,,,,,,,,,,,,,Q811936,,,,Q385378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0101,African Studies.,05,01,01,6-digit,Q4689921,African Studies,academic journal,Q5633421,,,,,,,,,,Q309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0103,Asian Studies/Civilization.,05,01,03,6-digit,Q476294,oriental studies,"study of Asia and Asian history, cultures, languages, peoples, etc.",Q4671286,,Q928786,,,,,,,,,,Q843909,,,,,,Q42865,,Q4532135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0104,East Asian Studies.,05,01,04,6-digit,Q162817,East Asian studies,field of scholarly enquiry and education about East Asia,Q627436,,Q4806809,,,,,,,,,,,,,,,,,,,,,,,,Q27231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0106,European Studies/Civilization.,05,01,06,6-digit,Q1377029,European studies,academic discipline,Q627436,,Q1595873,,,,,,,,,,,,,,,,,,,,,,,,Q46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0107,Latin American Studies.,05,01,07,6-digit,Q28617,Latin American studies,academic discipline focused on the analysis of Latin American culture,Q4671286,,Q928786,,,,,,,,,,,,,,,,,,,,,,,,Q12585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0108,Near and Middle Eastern Studies.,05,01,08,6-digit,Q12211529,Middle Eastern studies,academic discipline,Q4671286,,Q476294,,,,,,,,,,Q4785363,,,,,,,,,,,,,,Q7204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0109,Pacific Area/Pacific Rim Studies.,05,01,09,6-digit,Q7122791,Pacific studies,"the study of the Pacific region (Oceania) across academic disciplines such as anthropology, archeology, art, economics, geography, history, linguistics, literature, music, politics, or sociology",,,Q928786,,,,,,,,,,,,,,,,,,,,,,,,Q98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0110,Russian Studies.,05,01,10,6-digit,Q63717754,Russian Studies,Chinese journal,Q737498,,,,,,,,,,,,,,,,,,Q375470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0111,Scandinavian Studies.,05,01,11,6-digit,Q922219,Scandinavian studies,field of study,Q11862829,,Q2620112,,,,,,,,,,,,,,,,,,,,,,,,Q20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0112,South Asian Studies.,05,01,12,6-digit,Q15746530,South Asian Studies,academic journal,Q5633421,,,,,,,,,,Q309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0113,Southeast Asian Studies.,05,01,13,6-digit,Q7569309,Southeast Asian studies,"study of Southeast Asia history, culture, etc.",Q11862829,,Q4806809,,,,,,,,,,,,,,,,,,,,,,,,Q11708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0115,Canadian Studies.,05,01,15,6-digit,Q4676302,Canadian studies,"academic field studying Canadian culture and society, history, government, literature, etc.",Q4671286,,Q27968,,,,,,,,,,Q2945,,,,,,,,,,,,,,Q16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0116,Balkans Studies.,05,01,16,6-digit,Q464974,Balkan studies,academic field,,,Q928786,,,,,,,,,,,,,,,,Q2880986,,,,,,,,Q23522,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0118,Slavic Studies.,05,01,18,6-digit,Q156864,Slavic studies,"studies of Slavic peoples, languages and culture",Q11862829,,Q1413113,,,,,,,,,,,,,,,,,,Q602358,,,,,,Q23526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0119,Caribbean Studies.,05,01,19,6-digit,Q27715697,Caribbean Studies,"multidisciplinary academic journal published by the Institute of Caribbean Studies at the University of Puerto Rico, Río Piedras",Q737498,,,,,,Q1071,,,,Q1071,,,,,,,,Q3592588,,Q109717365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0123,Chinese Studies.,05,01,23,6-digit,Q269915,sinology,"study of the Chinese and especially their language, literature, history, and culture",Q11862829,,Q162817,,Q476294,,,,,,,,,,,,,,Q5646725,,Q3181656,,,,,,Q7850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0124,French Studies.,05,01,24,6-digit,Q5501928,French Studies,academic journal,Q5633421,,,,,,,,,,Q309,,,,,,,,Q1450761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0125,German Studies.,05,01,25,6-digit,Q166153,German studies,"field of humanities that researches, documents, and disseminates German language and literature",Q1047113,,Q2620112,,,,,,,,,,,,,,,,,,,,,,,,Q188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0126,Italian Studies.,05,01,26,6-digit,Q15764180,Italian Studies,academic journal,Q5633421,,,,,,,,,,Q309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0127,Japanese Studies.,05,01,27,6-digit,Q15753133,Japanese Studies,academic journal,Q5633421,,,,,,,,,,Q309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0128,Korean Studies.,05,01,28,6-digit,Q714838,Korean studies,academic discipline that focuses on the study of Korea,Q11862829,,Q162817,,Q476294,,,,,,,,,,,,,,,,,,,,,,Q9176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0129,Polish Studies.,05,01,29,6-digit,Q1463332,Polish studies,study of Polish language and literature,Q11862829,,Q16872093,,Q16872093,,,,,,,,,,,,,,,,,,,,,,Q809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0131,Tibetan Studies.,05,01,31,6-digit,Q96728129,Tibetan Studies,,Q5633421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0133,Irish Studies.,05,01,33,6-digit,Q15765966,Irish Studies Review,academic journal,Q5633421,,,,,,,,,,Q309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0134,Latin American and Caribbean Studies.,05,01,34,6-digit,Q96724347,Latin American and Caribbean Studies,,Q5633421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0200,Ethnic Studies.,05,02,00,4-digit,Q41870,ethnic studies,academic field focused on ethnic communities and their culture,Q4671286,,Q1143546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0202,American Indian/Native American Studies.,05,02,02,6-digit,Q15751537,American Indian and Alaska Native Mental Health Research,academic journal,Q5633421,,,,,,,,,,Q309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0206,Asian-American Studies.,05,02,06,6-digit,Q4806576,Asian American studies,Academic study of Asian American history and experiences,Q11862829,,Q1143546,,,,,,,,,,,,,,,,,,,,,,,,Q727928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0207,Women's Studies.,05,02,07,6-digit,Q35069,women's studies,"interdisciplinary academic field that explores politics, society, media, and history from women's and/or feminist perspectives",Q849359,,Q1662673,,Q1662673,,,,,,,,,,,,,,Q132158220,,,,Q4810748,,,,Q467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0210,Disability Studies.,05,02,10,6-digit,Q627208,disability studies,academic discipline,Q4671286,,Q1143546,,,,,,,,,,,,,,,,,,Q21083510,,,,,,Q12131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0211,Deaf Studies.,05,02,11,6-digit,Q5245796,deaf studies,academic disciplines concerned with the study of the deaf social life of human groups and individuals,Q11862829,,Q1143546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.0101,Communication Studies/Speech Communication and Rhetoric.,09,01,01,6-digit,Q65007508,communication,academic major,Q4671286,,,,,,,,,,Q11024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.0102,Mass Communication/Media Studies.,09,01,02,6-digit,Q853710,mass communication,mass media information exchange,Q11862829,,Q11024,,,,,,Q187084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.0701,Radio and Television.,09,07,01,6-digit,Q80959271,radio and television,,Q11862829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.0904,Political Communication.,09,09,04,6-digit,Q1660049,political communication,subfield of communication and political science,Q11862829,,Q7163,,,,,,Q36442,,,,,,,,,,,,,,Q847301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.0905,Health Communication.,09,09,05,6-digit,Q15756151,Health Communication,journal,Q5633421,,,,,,,,,,Q4353774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.0906,Sports Communication.,09,09,06,6-digit,Q7579398,sports communication,academic discipline,Q11862829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0105,Communications Technology/Technician.,10,01,05,6-digit,Q1780543,communication technology,collective term for technologies for the technically-based communications,,,Q11016,,Q113208648,,,,Q1061219,,,,Q104534,,,,Q11024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0103,Information Technology.,11,01,03,6-digit,Q11661,information technology,"development, management, and use of computer-based information systems",Q2465832,,Q5268834,,Q5268834,,,,Q4027615,,,,,,,,,,Q4027615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0104,Informatics.,11,01,04,6-digit,Q21198,computer science,study of computation,Q4671286,,Q816264,,,,,,Q11492827,,,,Q11660,,,,,,Q16387,,Q1768199,,,,,,Q179310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0601,"Data Entry/Microcomputer Applications, General.",11,06,01,6-digit,Q918751,data entry clerk,profession,Q28640,,Q58487031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0701,Computer Science.,11,07,01,6-digit,Q21198,computer science,study of computation,Q4671286,,Q816264,,,,,,Q11492827,,,,Q11660,,,,,,Q16387,,Q1768199,,,,,,Q179310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.1005,Information Technology Project Management.,11,10,05,6-digit,Q131411262,Information Technology Project Management,book by Jack T. Marchewka,Q47461344,,,,,,,,,,Q21198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
