cip_id,cip_label,cip_type,cip_header,cip_category,cip_subclass
13.0201,Bilingual and Multilingual Education.,main,13,02,01
13.0202,Multicultural Education.,main,13,02,02
13.0203,Indian/Native American Education.,main,13,02,03
13.0301,Curriculum and Instruction.,main,13,03,01
13.0401,"Educational Leadership and Administration, General.",main,13,04,01
13.0402,Administration of Special Education.,main,13,04,02
13.0403,Adult and Continuing Education Administration.,main,13,04,03
13.0404,"Educational, Instructional, and Curriculum Supervision.",main,13,04,04
13.0406,Higher Education/Higher Education Administration.,main,13,04,06
13.0407,Community College Education.,main,13,04,07
13.0408,Elementary and Middle School Administration/Principalship.,main,13,04,08
13.0409,Secondary School Administration/Principalship.,main,13,04,09
13.0410,Urban Education and Leadership.,main,13,04,10
13.0411,Superintendency and Educational System Administration.,main,13,04,11
13.0501,Educational/Instructional Media Design.,main,13,05,01
13.0601,Educational Evaluation and Research.,main,13,06,01
13.0603,Educational Statistics and Research Methods.,main,13,06,03
13.0604,"Educational Assessment, Testing, and Measurement.",main,13,06,04
13.0607,Learning Sciences.,main,13,06,07
13.0701,International and Comparative Education.,main,13,07,01
13.0901,Social and Philosophical Foundations of Education.,main,13,09,01
13.1001,"Special Education and Teaching, General.",main,13,10,01
13.1003,Education/Teaching of Individuals with Hearing Impairments Including Deafness.,main,13,10,03
13.1004,Education/Teaching of the Gifted and Talented.,main,13,10,04
13.1005,Education/Teaching of Individuals with Emotional Disturbances.,main,13,10,05
13.1006,Education/Teaching of Individuals with Mental Retardation.,main,13,10,06
13.1007,Education/Teaching of Individuals with Multiple Disabilities.,main,13,10,07
13.1008,Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments.,main,13,10,08
13.1009,Education/Teaching of Individuals with Vision Impairments Including Blindness.,main,13,10,09
13.1011,Education/Teaching of Individuals with Specific Learning Disabilities.,main,13,10,11
13.1012,Education/Teaching of Individuals with Speech or Language Impairments.,main,13,10,12
13.1013,Education/Teaching of Individuals with Autism.,main,13,10,13
13.1014,Education/Teaching of Individuals Who are Developmentally Delayed.,main,13,10,14
13.1015,Education/Teaching of Individuals in Early Childhood Special Education Programs.,main,13,10,15
13.1016,Education/Teaching of Individuals with Traumatic Brain Injuries.,main,13,10,16
13.1017,Education/Teaching of Individuals in Elementary Special Education Programs.,main,13,10,17
13.1018,Education/Teaching of Individuals in Junior High/Middle School Special Education Programs.,main,13,10,18
13.1019,Education/Teaching of Individuals in Secondary Special Education Programs.,main,13,10,19
13.1101,Counselor Education/School Counseling and Guidance Services.,main,13,11,01
13.1102,College Student Counseling and Personnel Services.,main,13,11,02
13.1201,Adult and Continuing Education and Teaching.,main,13,12,01
13.1202,Elementary Education and Teaching.,main,13,12,02
13.1203,Junior High/Intermediate/Middle School Education and Teaching.,main,13,12,03
13.1205,Secondary Education and Teaching.,main,13,12,05
13.1206,"Teacher Education, Multiple Levels.",main,13,12,06
13.1207,Montessori Teacher Education.,main,13,12,07
13.1208,Waldorf/Steiner Teacher Education.,main,13,12,08
13.1209,Kindergarten/Preschool Education and Teaching.,main,13,12,09
13.1210,Early Childhood Education and Teaching.,main,13,12,10
13.1301,Agricultural Teacher Education.,main,13,13,01
13.1302,Art Teacher Education.,main,13,13,02
13.1303,Business Teacher Education.,main,13,13,03
13.1304,Driver and Safety Teacher Education.,main,13,13,04
13.1305,English/Language Arts Teacher Education.,main,13,13,05
13.1306,Foreign Language Teacher Education.,main,13,13,06
13.1307,Health Teacher Education.,main,13,13,07
13.1308,Family and Consumer Sciences/Home Economics Teacher Education.,main,13,13,08
13.1309,Technology Teacher Education/Industrial Arts Teacher Education.,main,13,13,09
13.1310,Sales and Marketing Operations/Marketing and Distribution Teacher Education.,main,13,13,10
13.1311,Mathematics Teacher Education.,main,13,13,11
13.1312,Music Teacher Education.,main,13,13,12
13.1314,Physical Education Teaching and Coaching.,main,13,13,14
13.1315,Reading Teacher Education.,main,13,13,15
13.1316,Science Teacher Education/General Science Teacher Education.,main,13,13,16
13.1317,Social Science Teacher Education.,main,13,13,17
13.1318,Social Studies Teacher Education.,main,13,13,18
13.1319,Technical Teacher Education.,main,13,13,19
13.1320,Trade and Industrial Teacher Education.,main,13,13,20
13.1321,Computer Teacher Education.,main,13,13,21
13.1322,Biology Teacher Education.,main,13,13,22
13.1323,Chemistry Teacher Education.,main,13,13,23
13.1324,Drama and Dance Teacher Education.,main,13,13,24
13.1325,French Language Teacher Education.,main,13,13,25
13.1326,German Language Teacher Education.,main,13,13,26
13.1327,Health Occupations Teacher Education.,main,13,13,27
13.1328,History Teacher Education.,main,13,13,28
13.1329,Physics Teacher Education.,main,13,13,29
13.1330,Spanish Language Teacher Education.,main,13,13,30
13.1331,Speech Teacher Education.,main,13,13,31
13.1332,Geography Teacher Education.,main,13,13,32
13.1333,Latin Teacher Education.,main,13,13,33
13.1334,School Librarian/School Library Media Specialist.,main,13,13,34
13.1335,Psychology Teacher Education.,main,13,13,35
13.1337,Earth Science Teacher Education.,main,13,13,37
13.1338,Environmental Education.,main,13,13,38
13.1401,Teaching English as a Second or Foreign Language/ESL Language Instructor.,main,13,14,01
13.1402,Teaching French as a Second or Foreign Language.,main,13,14,02
13.1501,Teacher Assistant/Aide.,main,13,15,01
13.1502,Adult Literacy Tutor/Instructor.,main,13,15,02
14.0101,"Engineering, General.",main,14,01,01
14.0102,Pre-Engineering.,main,14,01,02
14.0201,"Aerospace, Aeronautical and Astronautical Engineering.",main,14,02,01
14.0301,Agricultural/Biological Engineering and Bioengineering.,main,14,03,01
14.0401,Architectural Engineering.,main,14,04,01
14.0501,Biomedical/Medical Engineering.,main,14,05,01
14.0601,Ceramic Sciences and Engineering.,main,14,06,01
14.0701,Chemical Engineering.,main,14,07,01
14.0702,Chemical and Biomolecular Engineering.,main,14,07,02
14.0801,"Civil Engineering, General.",main,14,08,01
14.0802,Geotechnical Engineering.,main,14,08,02
14.0803,Structural Engineering.,main,14,08,03
14.0804,Transportation and Highway Engineering.,main,14,08,04
14.0805,Water Resources Engineering.,main,14,08,05
14.0901,"Computer Engineering, General.",main,14,09,01
14.0902,Computer Hardware Engineering.,main,14,09,02
14.0903,Computer Software Engineering.,main,14,09,03
14.1001,"Electrical, Electronics and Communications Engineering.",main,14,10,01
14.1003,Laser and Optical Engineering.,main,14,10,03
14.1004,Telecommunications Engineering.,main,14,10,04
14.1101,Engineering Mechanics.,main,14,11,01
14.1201,Engineering Physics.,main,14,12,01
14.1301,Engineering Science.,main,14,13,01
14.1401,Environmental/Environmental Health Engineering.,main,14,14,01
14.1801,Materials Engineering.,main,14,18,01
14.1901,Mechanical Engineering.,main,14,19,01
14.2001,Metallurgical Engineering.,main,14,20,01
14.2101,Mining and Mineral Engineering.,main,14,21,01
14.2201,Naval Architecture and Marine Engineering.,main,14,22,01
14.2301,Nuclear Engineering.,main,14,23,01
14.2401,Ocean Engineering.,main,14,24,01
14.2501,Petroleum Engineering.,main,14,25,01
14.2701,Systems Engineering.,main,14,27,01
14.2801,Textile Sciences and Engineering.,main,14,28,01
14.3201,Polymer/Plastics Engineering.,main,14,32,01
14.3301,Construction Engineering.,main,14,33,01
14.3401,Forest Engineering.,main,14,34,01
14.3501,Industrial Engineering.,main,14,35,01
14.3601,Manufacturing Engineering.,main,14,36,01
14.3701,Operations Research.,main,14,37,01
14.3801,Surveying Engineering.,main,14,38,01
14.3901,Geological/Geophysical Engineering.,main,14,39,01
14.4001,Paper Science and Engineering.,main,14,40,01
14.4101,Electromechanical Engineering.,main,14,41,01
14.4201,"Mechatronics, Robotics, and Automation Engineering.",main,14,42,01
14.4301,Biochemical Engineering.,main,14,43,01
14.4401,Engineering Chemistry.,main,14,44,01
14.4501,Biological/Biosystems Engineering.,main,14,45,01
15.0000,"Engineering Technology, General.",main,15,00,00
15.0101,Architectural Engineering Technology/Technician.,main,15,01,01
15.0201,Civil Engineering Technology/Technician.,main,15,02,01
15.0303,"Electrical, Electronic and Communications Engineering Technology/Technician.",main,15,03,03
15.0304,Laser and Optical Technology/Technician.,main,15,03,04
15.0305,Telecommunications Technology/Technician.,main,15,03,05
15.0306,Integrated Circuit Design.,main,15,03,06
15.0401,Biomedical Technology/Technician.,main,15,04,01
15.0403,Electromechanical Technology/Electromechanical Engineering Technology.,main,15,04,03
15.0404,Instrumentation Technology/Technician.,main,15,04,04
15.0405,Robotics Technology/Technician.,main,15,04,05
15.0406,Automation Engineer Technology/Technician.,main,15,04,06
15.0501,"Heating, Air Conditioning and Refrigeration Technology/Technician (ACH/ACR/ACHR/HRAC/HVAC/AC Technology).",main,15,05,01
15.0503,Energy Management and Systems Technology/Technician.,main,15,05,03
15.0505,Solar Energy Technology/Technician.,main,15,05,05
15.0506,Water Quality and Wastewater Treatment Management and Recycling Technology/Technician.,main,15,05,06
15.0507,Environmental Engineering Technology/Environmental Technology.,main,15,05,07
15.0508,Hazardous Materials Management and Waste Technology/Technician.,main,15,05,08
15.0607,Plastics Engineering Technology/Technician.,main,15,06,07
15.0611,Metallurgical Technology/Technician.,main,15,06,11
15.0612,Industrial Technology/Technician.,main,15,06,12
15.0613,Manufacturing Technology/Technician.,main,15,06,13
15.0614,Welding Engineering Technology/Technician.,main,15,06,14
15.0615,Chemical Engineering Technology/Technician.,main,15,06,15
15.0616,Semiconductor Manufacturing Technology.,main,15,06,16
15.0701,Occupational Safety and Health Technology/Technician.,main,15,07,01
15.0702,Quality Control Technology/Technician.,main,15,07,02
15.0703,Industrial Safety Technology/Technician.,main,15,07,03
15.0704,Hazardous Materials Information Systems Technology/Technician.,main,15,07,04
15.0801,Aeronautical/Aerospace Engineering Technology/Technician.,main,15,08,01
15.0803,Automotive Engineering Technology/Technician.,main,15,08,03
15.0805,Mechanical Engineering/Mechanical Technology/Technician.,main,15,08,05
15.0901,Mining Technology/Technician.,main,15,09,01
15.0903,Petroleum Technology/Technician.,main,15,09,03
15.1001,Construction Engineering Technology/Technician.,main,15,10,01
15.1102,Surveying Technology/Surveying.,main,15,11,02
15.1103,Hydraulics and Fluid Power Technology/Technician.,main,15,11,03
15.1201,Computer Engineering Technology/Technician.,main,15,12,01
15.1202,Computer Technology/Computer Systems Technology.,main,15,12,02
15.1203,Computer Hardware Technology/Technician.,main,15,12,03
15.1204,Computer Software Technology/Technician.,main,15,12,04
15.1301,"Drafting and Design Technology/Technician, General.",main,15,13,01
15.1302,CAD/CADD Drafting and/or Design Technology/Technician.,main,15,13,02
15.1303,Architectural Drafting and Architectural CAD/CADD.,main,15,13,03
15.1304,Civil Drafting and Civil Engineering CAD/CADD.,main,15,13,04
15.1305,Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD.,main,15,13,05
15.1306,Mechanical Drafting and Mechanical Drafting CAD/CADD.,main,15,13,06
15.1401,Nuclear Engineering Technology/Technician.,main,15,14,01
15.1501,Engineering/Industrial Management.,main,15,15,01
15.1502,Engineering Design.,main,15,15,02
15.1503,Packaging Science.,main,15,15,03
15.1601,Nanotechnology.,main,15,16,01
16.0101,"Foreign Languages and Literatures, General.",main,16,01,01
16.0102,Linguistics.,main,16,01,02
16.0103,Language Interpretation and Translation.,main,16,01,03
16.0104,Comparative Literature.,main,16,01,04
16.0105,Applied Linguistics.,main,16,01,05
16.0201,"African Languages, Literatures, and Linguistics.",main,16,02,01
16.0300,"East Asian Languages, Literatures, and Linguistics, General.",main,16,03,00
16.0301,Chinese Language and Literature.,main,16,03,01
16.0302,Japanese Language and Literature.,main,16,03,02
16.0303,Korean Language and Literature.,main,16,03,03
16.0304,Tibetan Language and Literature.,main,16,03,04
16.0400,"Slavic Languages, Literatures, and Linguistics, General.",main,16,04,00
16.0401,"Baltic Languages, Literatures, and Linguistics.",main,16,04,01
16.0402,Russian Language and Literature.,main,16,04,02
16.0404,Albanian Language and Literature.,main,16,04,04
16.0405,Bulgarian Language and Literature.,main,16,04,05
16.0406,Czech Language and Literature.,main,16,04,06
16.0407,Polish Language and Literature.,main,16,04,07
16.0408,"Serbian, Croatian, and Serbo-Croatian Languages and Literatures.",main,16,04,08
16.0409,Slovak Language and Literature.,main,16,04,09
16.0410,Ukrainian Language and Literature.,main,16,04,10
16.0500,"Germanic Languages, Literatures, and Linguistics, General.",main,16,05,00
16.0501,German Language and Literature.,main,16,05,01
16.0502,"Scandinavian Languages, Literatures, and Linguistics.",main,16,05,02
16.0503,Danish Language and Literature.,main,16,05,03
16.0504,Dutch/Flemish Language and Literature.,main,16,05,04
16.0505,Norwegian Language and Literature.,main,16,05,05
16.0506,Swedish Language and Literature.,main,16,05,06
16.0601,Modern Greek Language and Literature.,main,16,06,01
16.0700,"South Asian Languages, Literatures, and Linguistics, General.",main,16,07,00
16.0701,Hindi Language and Literature.,main,16,07,01
16.0702,"Sanskrit and Classical Indian Languages, Literatures, and Linguistics.",main,16,07,02
16.0704,Bengali Language and Literature.,main,16,07,04
16.0705,Punjabi Language and Literature.,main,16,07,05
16.0706,Tamil Language and Literature.,main,16,07,06
16.0707,Urdu Language and Literature.,main,16,07,07
16.0801,"Iranian/Persian Languages, Literatures, and Linguistics.",main,16,08,01
16.0900,"Romance Languages, Literatures, and Linguistics, General.",main,16,09,00
16.0901,French Language and Literature.,main,16,09,01
16.0902,Italian Language and Literature.,main,16,09,02
16.0904,Portuguese Language and Literature.,main,16,09,04
16.0905,Spanish Language and Literature.,main,16,09,05
16.0906,Romanian Language and Literature.,main,16,09,06
16.0907,Catalan Language and Literature.,main,16,09,07
16.0908,"Hispanic and Latin American Languages, Literatures, and Linguistics, General.",main,16,09,08
16.1001,"American Indian/Native American Languages, Literatures, and Linguistics.",main,16,10,01
16.1100,"Semitic Languages, Literatures, and Linguistics, General.",main,16,11,00
16.1101,Arabic Language and Literature.,main,16,11,01
16.1102,Hebrew Language and Literature.,main,16,11,02
16.1103,"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics.",main,16,11,03
16.1200,"Classics and Classical Languages, Literatures, and Linguistics, General.",main,16,12,00
16.1202,Ancient/Classical Greek Language and Literature.,main,16,12,02
16.1203,Latin Language and Literature.,main,16,12,03
16.1301,"Celtic Languages, Literatures, and Linguistics.",main,16,13,01
16.1400,"Southeast Asian Languages, Literatures, and Linguistics, General.",main,16,14,00
16.1401,"Australian/Oceanic/Pacific Languages, Literatures, and Linguistics.",main,16,14,01
16.1402,Bahasa Indonesian/Bahasa Malay Languages and Literatures.,main,16,14,02
16.1403,Burmese Language and Literature.,main,16,14,03
16.1404,Filipino/Tagalog Language and Literature.,main,16,14,04
16.1405,Khmer/Cambodian Language and Literature.,main,16,14,05
16.1406,Lao/Laotian Language and Literature.,main,16,14,06
16.1407,Thai Language and Literature.,main,16,14,07
16.1408,Vietnamese Language and Literature.,main,16,14,08
16.1501,Turkish Language and Literature.,main,16,15,01
16.1502,"Finnish and Related Languages, Literatures, and Linguistics.",main,16,15,02
16.1503,Hungarian/Magyar Language and Literature.,main,16,15,03
16.1504,Mongolian Language and Literature.,main,16,15,04
16.1601,American Sign Language (ASL).,main,16,16,01
16.1602,Linguistics of ASL and Other Sign Languages.,main,16,16,02
16.1603,Sign Language Interpretation and Translation.,main,16,16,03
19.0000,Work and Family Studies.,main,19,00,00
19.0101,"Family and Consumer Sciences/Human Sciences, General.",main,19,01,01
19.0201,Business Family and Consumer Sciences/Human Sciences.,main,19,02,01
19.0202,Family and Consumer Sciences/Human Sciences Communication.,main,19,02,02
19.0203,Consumer Merchandising/Retailing Management.,main,19,02,03
19.0401,"Family Resource Management Studies, General.",main,19,04,01
19.0402,Consumer Economics.,main,19,04,02
19.0403,Consumer Services and Advocacy.,main,19,04,03
19.0501,"Foods, Nutrition, and Wellness Studies, General.",main,19,05,01
19.0504,Human Nutrition.,main,19,05,04
19.0505,Foodservice Systems Administration/Management.,main,19,05,05
19.0601,"Housing and Human Environments, General.",main,19,06,01
19.0604,Facilities Planning and Management.,main,19,06,04
19.0605,Home Furnishings and Equipment Installers.,main,19,06,05
19.0701,"Human Development and Family Studies, General.",main,19,07,01
19.0702,Adult Development and Aging.,main,19,07,02
19.0704,Family Systems.,main,19,07,04
19.0706,Child Development.,main,19,07,06
19.0707,Family and Community Services.,main,19,07,07
19.0708,Child Care and Support Services Management.,main,19,07,08
19.0709,Child Care Provider/Assistant.,main,19,07,09
19.0710,Developmental Services Worker.,main,19,07,10
19.0901,"Apparel and Textiles, General.",main,19,09,01
19.0902,Apparel and Textile Manufacture.,main,19,09,02
19.0904,Textile Science.,main,19,09,04
19.0905,Apparel and Textile Marketing Management.,main,19,09,05
19.0906,Fashion and Fabric Consultant.,main,19,09,06
22.0000,"Legal Studies, General.",main,22,00,00
22.0001,Pre-Law Studies.,main,22,00,01
22.0101,"Law (LL.B., J.D.)",main,22,01,01
