cip_id,cip_label,cip_header,cip_category,cip_subclass,cip_level,qid,qid_label,qid_description,P31_qids,P31_labels,P279_qids,P279_labels,P361_qids,P361_labels,P101_qids,P101_labels,P2579_qids,P2579_labels,P921_qids,P921_labels,P527_qids,P527_labels,P2283_qids,P2283_labels,P366_qids,P366_labels,P1889_qids,P1889_labels,P1343_qids,P1343_labels,P1269_qids,P1269_labels,P1268_qids,P1268_labels,P2578_qids,P2578_labels,P228_qids,P228_labels,P155_qids,P155_labels,P156_qids,P156_labels,P170_qids,P170_labels,P176_qids,P176_labels,P178_qids,P178_labels,P138_qids,P138_labels,P2348_qids,P2348_labels,P580_qids,P580_labels,P582_qids,P582_labels,P585_qids,P585_labels,P793_qids,P793_labels,P276_qids,P276_labels,P17_qids,P17_labels,P131_qids,P131_labels,P625_qids,P625_labels,P2043_qids,P2043_labels,P2048_qids,P2048_labels,P2049_qids,P2049_labels,P2054_qids,P2054_labels,P2068_qids,P2068_labels,P2101_qids,P2101_labels,P2102_qids,P2102_labels,P2325_qids,P2325_labels,P2326_qids,P2326_labels,P2327_qids,P2327_labels,P4511_qids,P4511_labels,P4512_qids,P4512_labels,P4513_qids,P4513_labels,P215_qids,P215_labels,P2114_qids,P2114_labels,P2115_qids,P2115_labels,P2120_qids,P2120_labels,P1538_qids,P1538_labels,P1539_qids,P1539_labels,P1540_qids,P1540_labels,P2669_qids,P2669_labels,P1419_qids,P1419_labels,P1880_qids,P1880_labels,node_type,subject_type
14.4401,Engineering Chemistry.,14,44,01,6-digit,Q121316255,Engineering Chemistry with Laboratory Experiments,a 2016 book by Kumar Ranjan Mohapatra,Q47461344,,,,,,,,,,Q64331382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,
14.4501,Biological/Biosystems Engineering.,14,45,01,6-digit,Q1954904,The Biological Bulletin,scientific journal,Q5633421,,,,,,,,,,Q420,,,,,,,,Q15766928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
15.0000,"Engineering Technology, General.",15,00,00,2-digit,Q96325759,Engineering Technology,UK scientific journal,Q5633421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
15.0404,Instrumentation Technology/Technician.,15,04,04,6-digit,Q96331696,Instrumentation Technology,US scientific journal,Q5633421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
15.0903,Petroleum Technology/Technician.,15,09,03,6-digit,Q96725259,Petroleum Technology,US scientific journal,Q5633421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
16.0302,Japanese Language and Literature.,16,03,02,6-digit,Q6158249,Japanese Language and Literature,journal,Q737498,,,,,,,,,,Q5287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
16.1001,"American Indian/Native American Languages, Literatures, and Linguistics.",16,10,01,6-digit,Q15751537,American Indian and Alaska Native Mental Health Research,academic journal,Q5633421,,,,,,,,,,Q309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
16.1401,"Australian/Oceanic/Pacific Languages, Literatures, and Linguistics.",16,14,01,6-digit,Q781542,Australian Journal of Chemistry,journal,Q5633421,,,,,,,,,,Q2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
19.0501,"Foods, Nutrition, and Wellness Studies, General.",19,05,01,6-digit,Q27726931,Foods,scientific journal,Q737498,,,,,,,,,,Q911772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-01T00:00:00Z,,,,,,,,,,Q39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
19.0706,Child Development.,19,07,06,6-digit,Q5097720,Child Development,journal,Q737498,,,,,,,,,,Q407784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
22.0000,"Legal Studies, General.",22,00,00,2-digit,Q15759899,Legal Studies,journal,Q5633421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
22.0302,Legal Assistant/Paralegal.,22,03,02,6-digit,Q620413,paralegal,professional of legal science that performs as part of a legal assistance system,Q28640,,Q7135767,,,,,,,,,,,,,,,,Q6517489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_profession,
26.0307,Plant Physiology.,26,03,07,6-digit,Q3906288,Plant Physiology,peer-reviewed scientific journal,Q5633421,,,,,,Q185973,,,,Q441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
26.0308,Plant Molecular Biology.,26,03,08,6-digit,Q15761850,Plant Molecular Biology,journal,Q5633421,,,,,,,,,,Q441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
26.0508,Microbiology and Immunology.,26,05,08,6-digit,Q15767399,Microbiology and Immunology,scientific journal,Q737498,,,,,,,,,,Q7193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q73376505,,,,Q17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
26.0709,Wildlife Biology.,26,07,09,6-digit,Q15759265,Wildlife Biology,journal,Q737498,,,,,,,,,,Q420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
26.0804,Animal Genetics.,26,08,04,6-digit,Q2028353,Animal Genetics,scientific journal,Q737498,,,,,,,,,,Q110310405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
26.0904,Endocrinology.,26,09,04,6-digit,Q3054009,Endocrinology,scientific journal,Q5633421,,,,,,,,,,Q162606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
26.1002,Molecular Pharmacology.,26,10,02,6-digit,Q1943386,Molecular Pharmacology,journal,Q737498,,,,,,,,,,Q128406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
26.1003,Neuropharmacology.,26,10,03,6-digit,Q15332439,Neuropharmacology,peer-reviewed scientific journal,Q5633421,,,,,,Q3026765,,,,Q128406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
26.1005,Molecular Toxicology.,26,10,05,6-digit,Q26839895,Molecular toxicology,journal,Q16024164,,,,,,,,,,Q113884260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
26.1304,Aquatic Biology/Limnology.,26,13,04,6-digit,Q15756911,Aquatic Biology,scientific journal,Q737498,,,,,,,,,,Q420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
26.1307,Conservation Biology.,26,13,07,6-digit,Q1127305,Conservation Biology,academic journal,Q737498,,,,,,,,,,Q641498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
26.1308,Systematic Biology/Biological Systematics.,26,13,08,6-digit,Q7663761,Systematic Biology,journal,Q737498,,,,,,Q3516404,,,,Q3516404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
26.1501,Neuroscience.,26,15,01,6-digit,Q15708571,Neuroscience,scientific journal,Q737498,,,,,,,,,,Q207011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
29.0201,"Intelligence, General.",29,02,01,6-digit,Q1665657,Intelligence,peer-reviewed academic journal of psychology,Q737498,,,,Q77468620,,,,,,Q83500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
30.0801,Mathematics and Computer Science.,30,08,01,6-digit,Q96727858,Mathematics and Computer Science,US scientific journal,Q5633421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
30.1501,"Science, Technology and Society.",30,15,01,6-digit,Q192864,Science,academic journal of the American Association for the Advancement of Science,Q41298,,,,,,Q336,,,,Q336,,Q7762584,,,,,,Q525592,,,,,,,,,,,,,,,,,,,,,,,,,,1880-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
30.2701,Human Biology.,30,27,01,6-digit,Q2093146,Human Biology,Academic journal,Q5633421,,,,,,,,,,Q27172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
30.2901,Maritime Studies.,30,29,01,6-digit,Q15761133,Maritime Studies,journal,Q5633421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
36.0119,Aircraft Pilot (Private).,36,01,19,6-digit,Q2095549,aircraft pilot,person controlling an aircraft in flight,Q28640,,Q373021,,,,,,,,,,,,,,,,Q373021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_profession,
39.0201,Bible/Biblical Studies.,39,02,01,6-digit,Q1845,Bible,collection of sacred books in Judaism and Christianity,Q12910132,,Q846882,,,,,,Q794605,,Q9268,,Q19786,,,,,,Q2375917,,Q123560817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,
39.0401,Religious Education.,39,04,01,6-digit,Q15755032,Religious Education,academic journal,Q737498,,,,,,,,,,Q309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
39.0705,Lay Ministry.,39,07,05,6-digit,Q6505424,lay minister,Christian minister not ordained or regarded as clergy,Q12737077,,Q15995642,,,,,,,,,,,,,,,,Q924774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_profession,
40.0501,"Chemistry, General.",40,05,01,6-digit,Q898737,Chemistry—A European Journal,scientific journal for chemistry in Europe,Q5633421,,,,,,,,,,Q2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
40.0502,Analytical Chemistry.,40,05,02,6-digit,Q485223,Analytical Chemistry,journal,Q737498,,,,,,,,,,Q2346,,,,,,,,Q15817559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
