qid,label,description
Q107746241,Wikidata property for authority control for fencers,type of Wikidata property
Q107746242,Wikidata property for authority control for triathletes,type of Wikidata property
Q107746735,Wikidata property related to canoeing and kayaking,type of Wikidata property
Q107746736,Wikidata property related to diving,type of Wikidata property
Q107746737,Wikidata property related to rowing,type of Wikidata property
Q107746738,Wikidata property related to sailing,type of Wikidata property
Q107746739,Wikidata property related to surfing,type of Wikidata property
Q107746740,Wikidata property related to swimming,type of Wikidata property
Q107746741,Wikidata property related to water polo,type of Wikidata property
Q107746742,Wikidata property for authority control for canoeists,type of Wikidata property
Q107746743,Wikidata property for authority control for divers,type of Wikidata property
Q107746745,Wikidata property for authority control for rowers,type of Wikidata property
Q107746746,Wikidata property for authority control for sport sailors,type of Wikidata property
Q107746747,Wikidata property for authority control for swimmers,type of Wikidata property
Q107746748,Wikidata property for authority control for water polo players,type of Wikidata property
Q107746777,Wikidata property for authority control for surfers,type of Wikidata property
Q107773598,Wikidata property for authority control for alpine skiers,type of Wikidata property
Q107773599,Wikidata property for authority control for bandy players,type of Wikidata property
Q107773600,Wikidata property for authority control for bobsledders,type of Wikidata property
Q107773601,Wikidata property for authority control for curlers,type of Wikidata property
Q107773602,Wikidata property for authority control for figure skaters,type of Wikidata property
Q107773603,Wikidata property for authority control for lugers,type of Wikidata property
Q107773604,Wikidata property for authority control for skeleton racers,type of Wikidata property
Q107773605,Wikidata property for authority control for ski jumpers,type of Wikidata property
Q107773608,Wikidata property for authority control for skiers,type of Wikidata property
Q107773609,Wikidata property for authority control for snowboarders,type of Wikidata property
Q107773610,Wikidata property for authority control for speed skaters,type of Wikidata property
Q107773611,Wikidata property related to alpine skiing,type of Wikidata property
Q107773612,Wikidata property related to bandy,type of Wikidata property
Q107773613,Wikidata property related to bobsleigh,type of Wikidata property
Q107773614,Wikidata property related to curling,type of Wikidata property
Q107773615,Wikidata property related to figure skating,type of Wikidata property
Q107773616,Wikidata property related to luge,type of Wikidata property
Q107773617,Wikidata property related to skeleton,type of Wikidata property
Q107773618,Wikidata property related to ski jumping,type of Wikidata property
Q107773619,Wikidata property related to skiing,type of Wikidata property
Q107773620,Wikidata property related to snowboarding,type of Wikidata property
Q107773621,Wikidata property related to speed skating,type of Wikidata property
Q107782652,Wikidata property related to judo,type of Wikidata property
Q107782653,Wikidata property related to karate,type of Wikidata property
Q107782654,Wikidata property related to mixed martial arts,type of Wikidata property
Q107782655,Wikidata property related to sumo,type of Wikidata property
Q107782656,Wikidata property related to taekwondo,type of Wikidata property
Q107782657,Wikidata property related to wrestling,type of Wikidata property
Q107782660,Wikidata property for authority control for judoka,type of Wikidata property
Q107782661,Wikidata property for authority control for karateka,type of Wikidata property
Q107782662,Wikidata property for authority control for mixed martial artists,type of Wikidata property
Q107782663,Wikidata property for authority control for sumo wrestlers,type of Wikidata property
Q107782665,Wikidata property for authority control for taekwondo practitioners,type of Wikidata property
Q107782667,Wikidata property for authority control for wrestlers,type of Wikidata property
Q107784814,Wikidata property for authority control for Canadian football players,type of Wikidata property
Q107784819,Wikidata property for authority control for weightlifters,type of Wikidata property
Q107784822,Wikidata property for authority control for poker players,type of Wikidata property
Q107785090,Wikidata property related to poker,type of Wikidata property
Q107785163,Wikidata property related to weightlifting,type of Wikidata property
Q107785166,Wikidata property related to Canadian football,type of Wikidata property
Q107785208,Wikidata property related to contract bridge,type of Wikidata property
Q107785224,Wikidata property for authority control for bridge players,type of Wikidata property
Q107785691,Wikidata property related to Lego,type of Wikidata property
