qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc
Q15609389,South Asian languages,Q2624777,languages of Asia,Q122766954|Q118987766,South Asian culture|South and Southeast Asian languages,,,,,sh89003685,,,,,,
Q118987766,South and Southeast Asian languages,Q2624777,languages of Asia,,,,,,,,,,,,,
Q17149027,Taiwan studies,Q162817|Q269915,East Asian studies|sinology,,,,,,,,,,,,,
Q7681446,Tamilology,Q1128227|Q625510|Q105397778,Dravidian studies|Indology|South Asia studies,,,,,,,,,,,,,
Q120969800,Taxonomy enrichment,,,,,,,,,,,,,,,
Q120910096,Temporal reference system,,,,,,,,,,,,,,,
Q120910078,Terminology generation,,,,,,,,,,,,,,,
Q120969799,Topic evolution,,,,,,,,,,,,,,,
Q169411,Unified Modeling Language,,,,,,,1160249,4469781-8,sh97003561,,,02571962n,UnifiedModelingLanguage,,
Q110857459,Victorian studies,,,,,,,,,,,,,,,
Q111597209,Yugoslav studies,Q156864,Slavic studies,,,,,,,,,,,,,
Q107514431,accordion performance,Q6942562,musical performance,,,,,,,,,,,,,
Q127069206,acridology,Q4337149,orthopterology,,,,,,,,,,,,,
Q110797464,action table,Q110113602,combat mechanic,,,,,,,,,,,,,
Q4680662,adaptation,,,,,,,,,,,,,,,
Q115982628,administrative management,,,,,,,,,,,,,,,
Q11943008,adolescent psychology,Q161272|Q175002,social psychology|developmental psychology,,,,,797018,,sh85000969,,,,,,BF724
Q130236362,aeronautical climatology,Q28797|Q52139,applied science|climatology,,,,,,,,,,,,,
Q4057127,agricultural technology,Q11016|Q3606845,technology|agricultural science,,,,,,,,,,,,,
Q396338,agroecology,Q7150|Q3606845,ecology|agricultural science,,,,,800685,4000769-8,sh85002307,,,,Agroecology,,S589.7
Q396152,agrometeorology,Q25261|Q3606845|Q1898366,meteorology|agricultural science|bioclimatology,,,,,1018517,4141642-9,sh85084356,630.2515,,,,,
Q136262570,allied health sciences,Q843601,health sciences,,,,,,,,,,,,,
Q10818148,amphibian anatomy,Q8198634|Q10818163,animal anatomy|vertebrate anatomy,,,,,807902,,sh85004599,,,,,,QL669
Q111680417,amphibian genetics,Q4869597|Q110310405,batrachology|animal genetics,,,,,,,,,,,,,
Q127328327,amphibiology,Q174416,herpetology,,,,,,,,,,,,,
Q435608,ancient history,Q1066186,study of history,,,Q757248,papyrology,,4131285-5,,,,,,,
Q11015354,anemology,Q25261,meteorology,,,,,,,,,,,,,
Q111604218,animal ecophysiology,Q295425|Q10900987|Q2432331|Q431,ecophysiology|animal ecology|zoophysiology|zoology,,,,,809160,,sh91006269,,,,,,QP82|QP82.2
Q110310405,animal genetics,Q7162|Q431,genetics|zoology,,,,,809196,,sh85005190,,,,,,
Q111327198,animal immunology,Q101929|Q431,immunology|zoology,,,,,,,,,,,,,
Q1469725,animal taxonomy,Q8269924|Q11398,taxonomy|biological classification,,,,,,,,,,,,,
Q118323427,annelidology,Q124650805,vermeology,,,,,,,,,,,,,
Q857525,annotation,Q180160|Q386724,metadata|work,Q4769616,annotated bibliography,,,,4560829-5,,,300026100,,Note-Document,,
Q97374093,anthropology of gender and sexuality,Q23404,anthropology,,,,,,,,,,,,,
Q1955092,anthropology of music,Q28598,cultural anthropology,,,,,,4237722-5,sh89003038,299.935,,,,,
Q27890,anthropology of religion,Q23404|Q34187,anthropology|religious studies,,,,,,,,,300157724,,,,
Q165194,application programming interface,Q23808|Q241317|Q132364,computer interface|computing platform|communication protocol,,,,,,4430243-5,sh98004527,,,,ApplicationProgrammingInterface,,
Q177304,applied anthropology,Q23404|Q28797,anthropology|applied science,,,,,,,sh85006167,,,,,,
Q1694247,applied geodesy,Q131089,geodesy,,,,,,,,,,,,,
Q112225704,applied hydrobiology,Q1130698|Q28797,hydrobiology|applied science,,,,,,,,,,,,,
Q11062968,applied meteorology,Q25261|Q28797,meteorology|applied science,,,,,,,,,,,,,
Q5728861,aquatic biology,Q420|Q4782809,biology|aquatic science,,,,,811975,4026300-9,sh85006231,,,,,,
Q136026858,arbovirology,Q7215,virology,,,,,,,,,,,,,
Q635374,architectural education,Q8434|Q352842,education|teaching,,,,,813524,4002856-2,sh85006635,,300054377,,ArchitecturalEducation,,
Q12271,architecture,Q82604,design,Q89358787|Q113129241|Q114436249,AEC industry|built environment and design studies|environmental design,,,813346,4002851-3,sh85006611,720,300054156|300263552,00005442n,Architecture,,NA1-NA9428
Q126733835,areology,Q333,astronomy,,,,,,,,,,,,,
Q928865,art therapy,Q838202,expressive therapy,,,,,,4125709-1,sh85008334,,300054236,,ArtTherapy,,
Q2845653,arthropod anatomy,Q25570959,animal structure,,,,,,,,,,,,,
Q110512905,asexual studies,Q98929208,queer studies,,,,,,,,,,,,,
Q411,astrobiology,Q420|Q333,biology|astronomy,,,,,,4112608-7,sh90004216,576.839,,,,,
Q11680018,astrochemistry,Q2329|Q37547|Q11491273|Q333,chemistry|astrophysics|applied chemistry|astronomy,,,,,,4133733-5,sh85033157,523.02,,03576890n,Astrochemistry,,
Q181505,astrometry,Q333,astronomy,,,,,,4207657-2,sh85008942,522,,,Astrometry,,
Q2555318,automated reasoning,,,Q2878974|Q11660|Q8078,theoretical computer science|artificial intelligence|logic,,,,,,,,,,,
Q122951657,avian pathology,Q7208,pathology,,,,,,,,,,,,,
Q136799183,bandura performance,Q6942562,musical performance,,,,,,,,,,,,,
Q106148843,baroque flute performance,Q6942562,musical performance,,,,,,,,,,,,,
Q106421780,bassoon performance,Q6942562,musical performance,,,,,,,,,,,,,
Q20730570,batology,Q441,botany,,,,,,,,,,,,,
Q4869597,batrachology,Q174416,herpetology,,,,,,,,,,,,,
Q864191,bioacoustics,Q82811,acoustics,,,,,,4125205-6,sh85014119,596.1594,,03444469n,,,
Q1898366,bioclimatology,Q52139|Q7150,climatology|ecology,,,,,831991,4145609-9,sh85014127,577.22|560.4522,,,,,
Q12535586,bioecology,Q7150,ecology,,,,,,,,,,,,,
Q27172,biological anthropology,Q23404,anthropology,Q23404,anthropology,,,1062357,,sh85101512,599.9,300054322,00062160n,BiologicalAnthropology,,
Q1048526,biomedical informatics,Q4027615,informatics,,,,,,,,,,,,,
Q130320558,biomolecular archaeology,Q637284,archaeological science,,,,,1763661,,sh2010013493,,,,,,CC79.B56
Q136352,bird anatomy,Q8198634|Q10818163,animal anatomy|vertebrate anatomy,,,,,,,sh85014311,,,,,,QL697|SF767.B57
Q111680421,bird genetics,Q4869597|Q110310405,batrachology|animal genetics,,,,,,,,,,,,,
Q111680396,bird physiology,Q2432331|Q44703,zoophysiology|ornithology,,,,,833051,,sh85014325,,,,,,QL698
Q20514253,blockchain,Q25110971|Q8513|Q339678|Q15836568|Q175263|Q27948,distributed ledger|database|distributed data storage|computer network protocol|data structure|list,,,Q104886715,block,1981761,,sh2016002790,,,17407540n,,,
Q130236442,blood physiology,Q521,physiology,,,,,,,,,,,,,
Q108226334,braided river ecology,Q104780697|Q7150,stream ecology|ecology,,,,,1748955,,sh2009007945,,,,,,
Q109727983,burn surgery,Q40821,surgery,,,,,,,,,,,,,
Q111843526,business anthropology,Q23404|Q177304,anthropology|applied anthropology,Q21505779,social and cultural anthropology,,,,,,,,,,,
Q1017569,business development,Q1150070|Q192581|Q5001951,change|job activity|business studies,,,,,,,,,,,,,
Q107278510,canal ecology,Q104193250|Q104196941|Q7150,branch of ecology|aquatic ecology|ecology,,,,,845222,,sh85019430,,,,,,QH541.5.C24
Q112269680,cartooning,Q21550668|Q2921001,illustration|art of drawing,,,,,,,,,,,,,
Q5051759,catchment hydrology,Q42250,hydrology,,,,,,,,,,,,,
Q126368867,cecidiology,Q420,biology,,,,,,,,,,,,,
Q10472873,cell engineering,Q580689,bioengineering,,,,,,,,,,,,,
Q105279359,cello music performance,Q6942562,musical performance,,,,,,,,,,,,,
Q57629717,chaos engineering,Q2193887,reliability engineering,,,,,,,,,,,,,
Q24002214,cheloniology,Q9307400,reptiliology,,,,,,,,,,,,,
Q700919,chemical ecology,Q7150|Q2329,ecology|chemistry,,,,,852881,4123004-8,sh91002611,,,,ChemicalEcology,,
Q2329,chemistry,Q14632398,physical science,,,Q11351|Q11372|Q11165|Q369472|Q321150|Q7094|Q2346|Q910172|Q321355|Q750446,organic chemistry|physical chemistry|inorganic chemistry|computational chemistry|theoretical chemistry|biochemistry|analytical chemistry|food chemistry|environmental chemistry|polymer chemistry,,4009816-3,sh85022986,540,300054537,00018123n,Chemistry,,
Q910067,chemometrics,Q2329|Q12483|Q2539,chemistry|statistics|machine learning,,,,,,4299578-4,sh2005000482,543.015195,300379926,02494238n,,,
Q128284215,chromosomology,Q3009579,cytology,,,,,,,,,,,,,
Q1800439,church history,Q846742|Q216545,history of religions|Christian theology,,,,,860740,,sh85025619,,300054308,,,,
Q77590,civil engineering,Q11023|Q136580777,engineering|civil and environmental engineering,,,Q775325|Q1349130|Q633538|Q11888449|Q2674423|Q811115,transportation engineering|geotechnical engineering|structural engineering|foundation engineering|construction engineering|construction management,,4004955-3,sh85026331,624,300054481,00019361n,CivilEngineering,,
Q106991653,clarinet performance,Q6942562,musical performance,,,,,,,,,,,,,
Q107278364,cliff ecology,Q7150,ecology,,,,,864216,,sh99000303,,,,,,QH541.5.C62
Q110477651,climate change ecology,Q52139|Q7150,climatology|ecology,,,,,,,,,,,,,
Q130109910,climatopathology,Q7208,pathology,,,,,,,,,,,,,
Q113097664,clinical child psychology,Q199906|Q3411686,clinical psychology|child psychology,,,,,864344,,sh85027063,,,,,,RJ503.3
Q106195625,coaching,Q3055155,sports training,,,,,865060,,sh85027299,,,,,,
Q126368892,coccidology,Q39286,entomology,,,,,,,,,,,,,
Q2200417,cognition,Q781413|Q14912053,cognitive process|nervous system process,Q77468620,psychological terminology,Q160402|Q6501338|Q18733|Q133500|Q309100|Q1937869,perception|attention|recall|learning|planning|orientation,,4031630-0,sh85027742,,300055149,00020452n,Cognition,,
Q2853045,cognitive anthropology,Q147638|Q23404,cognitive science|anthropology,Q28598|Q27172,cultural anthropology|biological anthropology,,,,4164463-3,,,,00302745n,,,
Q2668072,collection,Q386724|Q16887380|Q17489659|Q7725310,work|group|group of works|series of creative works,,,Q18593264,item of collection or exhibition,,4128844-0,,,300025976,,Collection,,
Q131560888,cometology,Q333,astronomy,,,,,,,,,,,,,
Q333657,communication design,,,,,,,,,,,,,CommunicationDesign,,
Q11680831,communication studies,Q34749,social science,Q113128675,"language, communication, and cultural studies",,,,,,,300054349,,CommunicationStudies,,
Q1122550,computer music,,,,,,,,4113239-7,sh85029511,,300393171,15075544n,ComputerMusic,,
Q11492827,computer science and engineering,Q85753733|Q189533,computing education|academic degree,,,,,,,,,,,,,
Q120969792,conceptual clustering trees,,,,,,,,,,,,,,,
Q120910065,conceptual modeling,,,,,,,,,,,,,,,
Q5158431,conceptual spaces,,,Q77468620,psychological terminology,,,,,,,,,,,
Q214781,condensed matter physics,Q413|Q21213340,physics|continuum physics,,,,,,4132810-3,sh85030765,530.41,,,CondensedMatter,,
Q105497417,conservation education,Q948732,environmental education,,,,,875552,,sh85031260,,,,,,
Q120910075,constraints,,,,,,,,,,,,,,,
Q105535151,contemporary performance,Q6942562,musical performance,,,,,,,,,,,,,
Q130304484,correlative meteorology,Q25261,meteorology,,,,,,,,,,,,,
Q4390239,counseling,Q11588306|Q11024|Q9353606|Q5710255|Q183257,social services|communication|health service|helping behavior|psychotherapy,Q107432112|Q113192683|Q4382888,"guidance and counseling|counselling, wellbeing and community services|mental health care",,,,,sh85033421,,,,,,
Q3624786,criminal anthropology,Q6656244,anthropometry,,,,,,,sh85034032,364.2,,,,,
Q43504,criminalistics,Q7991,natural science,,,Q495304,forensic science,,4033177-5,,,,,,,
Q161733,criminology,Q34749,social science,,,Q110965311|Q60761185|Q4915287,rural criminology|public criminology|biosocial criminology,,4033197-0,sh89002994,364,300054356,,Criminology,,
Q132583791,cryoenzymology,Q2880775|Q672832,enzymology|cryobiology,,,,,,,,,,,,,
Q120910067,cyber-physical systems,,,,,,,,,,,,,,,
Q104774297,cypress swamp ecology,Q104200524|Q7150,swamp ecology|ecology,,,,,886131,,sh85035170,,,,,,QH541.5.C95
Q113884152,cytomorphology,Q3009579|Q183252,cytology|morphology,,,,,,,,,,,,,
Q122705444,dairy science,Q168091|Q3606845,animal science|agricultural science,,,,,,4169930-0,,,,,,,
Q42417149,data exploration,,,,,,,,,,,,,,,
Q120910074,data interlinking,,,,,,,,,,,,,,,
Q2330408,data mapping,Q6723621,machine-readable data,,,,,,,,,,,,,
Q4368942,data retrieval,Q816826,information retrieval,,,,,,,,,,,,,
Q108509507,deaconess studies,Q107508911,theological studies,,,,,,,,,,,,,
Q330268,decision support system,Q11660|Q1391080|Q121182|Q8366,artificial intelligence|business software|information system|algorithm,,,,,889080,4191815-0,sh86006549,006.33,,03238389n,,,HD30.213|T58.62
Q73941450,demographic anthropology,Q23404|Q37732,anthropology|demography,,,,,,,,,,,,,
Q125994057,dendropathology,Q188956,plant pathology,,,,,,,,,,,,,
Q5700493,dental anthropology,Q12128|Q23404,dentistry|anthropology,,,,,,,,,,,,,
Q387196,description logic,Q192161,formal language,Q8078,logic,,,,,,,,01076164n,,,
Q120969809,description logic reasoning systems,,,,,,,,,,,,,,,
Q119175782,desert science,Q8008,Earth science,,,,,,,,,,,,,
Q131344606,desmidiology,Q441,botany,,,,,,,,,,,,,
Q1345628,development anthropology,Q23404|Q651571,anthropology|development studies,,,,,,,,,,,,,
Q130261998,digestive physiology,Q2432331,zoophysiology,,,,,,,,,,,,,
Q601854,digital anthropology,Q23404,anthropology,,,,,,,,,,,,,
Q632897,digital preservation,Q48797981|Q123751128|Q123819222,data preservation|gathering|storing,,,,,893721,,sh95004496,025.84,300379431,00610635n,,,
Q12773591,discipline of pedagogy,Q7922,pedagogy,,,,,,,,,,,,,
Q120910072,disjointness learning,,,,,,,,,,,,,,,
Q180634,distributed computing,Q179310|Q232661|Q11862829|Q21198,computing|parallel computing|academic discipline|computer science,,,,,906987,7545389-7,sh85042293,004.36,,,,,
Q120910068,distributed reasoning,,,,,,,,,,,,,,,
Q5283178,distributed social network,Q180634|Q111381712,distributed computing|decentralized social network,,,,,,,,,,,,,
Q5283209,distributional semantics,Q182557|Q39645,computational linguistics|semantics,,,,,,,,,,16010764n,,,
Q105237946,double bass performance,Q6942562,musical performance,,,,,,,,,,,,,
Q3630257,dynamic geology,Q128894857|Q46255,physical geology|geophysics,,,,,940406,,sh85053976,,,,,,
Q130217834,dynamic meteorology,Q25261,meteorology,,,,,,,sh85040311,,,,,,
Q116845132,early performance,Q6942562,musical performance,,,,,,,,,,,,,
Q909789,earthquake engineering,,,,,,,,,sh85040490,,,,EarthquakeEngineering,,
Q130111976,eccrinology,Q521,physiology,,,,,,,,,,,,,
Q127420314,echinology,Q12744095,invertebrate zoology,,,,,,,,,,,,,
Q2984315,ecological anthropology,Q23404,anthropology,,,,,,,,,,,,,
Q130304428,ecological climatology,Q52139,climatology,,,,,,,,,,,,,
Q7150,ecology,Q5333289,ecology and evolutionary biology,,,Q720858|Q1387972|Q48997455|Q10900987,human ecology|plant ecology|genetic ecology|animal ecology,,4043207-5,sh85040752|sh99005735,577,300054468,00010564n,Ecology,,
Q5333289,ecology and evolutionary biology,Q420,biology,,,Q7150|Q840400,ecology|evolutionary biology,,,,,,,,,
Q27841,economic anthropology,Q23404,anthropology,,,,,,4321994-9,sh85040766,306.3,,,EconomicAnthropology,,GN448-GN450.8
Q5333460,economic entomology,Q39286,entomology,,,,,,,,,,,,,
Q853915,economic geology,Q1069,geology,,,,,940720,4140085-9,sh85054085,553,,00029669n,,,
Q8134,economics,Q34749,social science,Q3475802|Q34749,economic and social sciences|social science,Q39072|Q39680|Q160039|Q2248246|Q861689|Q28161|Q1127188|Q47417|Q753291|Q1118654|Q1411783|Q31218|Q47398|Q3578710|Q660564|Q385256|Q3578760|Q396340|Q3578749|Q56557294,microeconomics|macroeconomics|econometrics|public economics|education economics|labour economics|development economics|international economics|environmental economics|institutional economics|industrial organization|health economics|economic history|organizational economics|transport economics|urban economics|geographical economy|agricultural economics|Q3578749|resource economics,902116,4066528-8,sh85040850,330,300054359,00029676n,Economics,,HB1-HB130
Q15088481,ecopsychology,Q9418,psychology,,,,,,,,,,,,,
Q1412144,ecotoxicology,Q3995923|Q7150,environmental toxicology|ecology,Q113114761,bioavailability and ecotoxicology,,,,4121813-9,,,,,Ecotoxicology,,
Q5341272,educational anthropology,Q23404,anthropology,,,,,,4044308-5,sh85041108,,,,AnthropologyOfEducation,,
Q120969820,egocentric reference system,,,,,,,,,,,,,,,
Q2474620,electrochemical engineering,Q83588|Q43035,chemical engineering|electrical engineering,,,,,,,,,,02368252n,ElectrochemicalEngineering,,
Q124326537,electropathology,Q7208,pathology,,,,,,,,,,,,,
Q113884103,electrorheology,Q271707,rheology,,,,,,,,,,,,,
Q5374252,empirical psychology,Q9418,psychology,,,,,,,,,,,,,
Q1341277,energy research,Q42240,research,,,,,,,,,,,,,
Q17012245,entity linking,Q1649725,name resolution,,,,,,,,,,,,,
Q120969779,entity matching,,,,,,,,,,,,,,,
Q5381194,environmental anthropology,Q23404,anthropology,,,,,,,,,,,,,
Q146326,environmental engineering,Q11023|Q136580777,engineering|civil and environmental engineering,,,,,912934,4061650-2,sh85044170,628,300054483,,EnvironmentalEngineering,,
Q5381223,environmental epidemiology,Q5381367|Q133805,environmental studies|epidemiology,,,,,,,,,,,,,
Q18235183,environmental fluid mechanics,Q172145,fluid mechanics,,,,,,,,,,,,,
Q932068,environmental health,Q189603,public health,,,,,,,,,,,EnvironmentalHealth,,
Q113827235,environmental health sciences,Q843601,health sciences,,,,,,,,,,,,,
Q5333239,environmental humanities,Q80083,humanities,,,,,,,,,,,EnvironmentalHumanities,,
Q43455,ethnology,Q28598|Q1143546,cultural anthropology|cultural studies,,,Q26237583|Q208365,ethnopolitics|etnomusicology,916106,4078931-7,sh85045198,305.8,300054316,00031731n,Ethnology,,
Q12572036,ethnopsychology,Q9418,psychology,,,,,,4188478-4,sh85045425,155.82,,,,,GN502-GN519
Q1371704,etruscology,Q23498|Q8162,archaeology|linguistics,,,,,,4219655-3,sh85045469,937.501,,,,,
Q840400,evolutionary biology,Q5333289,ecology and evolutionary biology,,,,,,4153283-1,sh90004042,,,,EvolutionaryBiology,,QH359-QH425
Q1382557,evolutionary ecology,Q7150|Q840400,ecology|evolutionary biology,,,,,,4395809-6,,,,,,,
Q113207671,excited state chemistry,Q11372,physical chemistry,,,,,917720,,sh85046244,,,,,,QD461.5
Q3809431,exoplanetology,Q104499|Q125975922,planetary science|ology,,,,,,,,,,,Exoplanetology,,
Q115255855,exotic animal medicine,Q170201,veterinary medicine,,,,,,,,,,,,,
Q130262075,experimental meteorology,Q25261,meteorology,,,,,,,,,,,,,
Q40890078,explainable AI,Q11660,artificial intelligence,,,,,,1263068472,,,,,,,
Q7958,explanation,Q628523|Q151885,message|concept,,,Q474328,declarative sentence,,4015293-5,sh85046453,,,,Explanation,,BD237
Q502038,extragalactic astronomy,Q333,astronomy,,,,,,,,,,,,,
Q970687,eye tracking,Q106518118,tracking,,,,,,,,,,,,,
Q1519370,faceted search,Q816826,information retrieval,,,,,,,,,,,,,
Q105160122,federated SPARQL query,Q105159989|Q62522500,federated query|SPARQL query file format,,,,,,,,,,,,,
Q5442878,feminist anthropology,Q23404,anthropology,,,,,,,sh93006951,,,,,,
Q116845672,film composition,Q105107008,music composition,,,,,,,,,,,,,
Q43015,finance,Q18564125|Q113141571,"business management|banking, finance and investment studies",,,,,,,sh85048256,332,300055715,00034524n,Finance,,
Q1409472,fire ecology,Q7150|Q113114755,ecology|ecological applications,,,,,925297,4638558-7,sh85048479,,,,,,
Q109276098,fish genetics,Q110310405|Q60242,animal genetics|ichthyology,,,,,926487,,sh85048766,,,,,,
Q122935277,fish pathology,Q7208,pathology,,,,,,,,,,,,,
Q5454658,fish physiology,Q2432331|Q60242,zoophysiology|ichthyology,,,,,926577,,sh85048793,,,,FishPhysiology,,QL639.1
Q110297482,fish physiology and genetics,Q60242|Q2432331|Q110310405,ichthyology|zoophysiology|animal genetics,,,Q5454658|Q109276098,fish physiology|fish genetics,,,,,,,,,
Q17013672,fish reproduction,Q3427333|Q5454658,animal reproduction|fish physiology,,,,,926594,,sh85048800,,,,FishReproduction,,
Q8248157,fisheries biology,Q420|Q1772875|Q1420050,biology|wildlife biology|fisheries science,,,,,,,,,,,,,
Q30594891,floral biology,Q441,botany,,,,,,,,,,,,,
Q107708708,flower morphology,Q655362,plant morphology,,,,,927888,,sh85049342,,,,,,
Q172145,fluid mechanics,Q193463,continuum mechanics,Q193463|Q113210559,continuum mechanics|fluid mechanics and thermal engineering,Q6593690|Q31191973,aeromechanics|hydromechanics,927999,4077970-1,sh85049383,532,,00035430n,FluidMechanics,,
Q106148879,flute performance,Q6942562,musical performance,,,,,,,,,,,,,
Q132116,folkloristics,Q28598,cultural anthropology,,,,,,4329183-1,sh85050150,398.092,300055920,,,,
Q28065,forensic anthropology,Q495304|Q23404,forensic science|anthropology,,,,,,,sh85050537,614.17,,,ForensicAnthropology,,
Q108570409,forensic forestry,Q495304|Q38112,forensic science|forestry,,,,,,,sh2021003625,,,,,,
Q2249329,forest ecology,Q7150|Q19924411,ecology|forestry science,,,,,932104,4017951-5,sh85050575,577.3,,,ForestEcology,,
