periodo_ark,label,start_year,end_year,qid,source,authority,broader_periods,narrower_periods,spatial_coverage
http://n2t.net/ark:/99152/p0ghrgf2c6z,Мезолит,-9999,-6999,,"Cultural Monuments in Serbia Timeline | Mathematical Institute SANU | Šegan-Radonjić, Marija",http://n2t.net/ark:/99152/p0ghrgf,http://n2t.net/ark:/99152/p0ghrgfkbcj,,"Serbia, Balkans, Culture of Lepenski vir | Balkans | Serbia"
http://n2t.net/ark:/99152/p06v8w4fpkn,Мезоліт,-9999,-6999,,FASTI - Home | L - P : Archaeology | AIAC,http://n2t.net/ark:/99152/p06v8w4,,,Ukraine
http://n2t.net/ark:/99152/p08tf6pv9w3,Mesolithic,-8999,-6999,,"Handbook to life in ancient Mesopotamia | Bertman, Stephen.",http://n2t.net/ark:/99152/p08tf6p,,,Ancient Mesopotamia | Iraq | Syria | Turkey
http://n2t.net/ark:/99152/p0qv6m86wwk,Pre-Pottery Neolithic B,-8799,-6999,,Digitizing Early Farming Cultures (DEFC) | Austrian Academy of Sciences (ÖAW) | Institut für Orientalische und Europäische Archäologie (OREA) | Anatolian Aegean Prehistoric Phenomena (AAPP),http://n2t.net/ark:/99152/p0qv6m8,,,Anatolia | Turkey
http://n2t.net/ark:/99152/p0njrb4m4w7,Aceramic Neolithic,-8499,-6999,,"Ancient Mesopotamia : new perspectives | McIntosh, Jane.",http://n2t.net/ark:/99152/p0njrb4,,,Near East | Iran | Iraq
http://n2t.net/ark:/99152/p0ckt9xf9f4,PPNB,-8499,-6999,,Levantine Chronology | Ilan Sharon | Sveta Matskevich,http://n2t.net/ark:/99152/p0ckt9x,http://n2t.net/ark:/99152/p0ckt9xjf45,,"Levant, Cyprus | Cyprus | Levant"
http://n2t.net/ark:/99152/p0zmdxzf369,Pre-pottery Neolithic,-7499,-6999,,"The city of Ugarit at Tell Ras Shamra | Yon, Marguerite.",http://n2t.net/ark:/99152/p0zmdxz,,,Ras Shamra | Ugarit
http://n2t.net/ark:/99152/p086kj9bp8z,Early Archaic,-9550,-6950,,Digital Index of North American Archaeology (DINAA) | Thaddeus Bissett | David G. Anderson | Sephen Yerka | Eric C. Kansa | Sarah W. Kansa | R Carl DeMuth | Joshua Wells | Kelsey Noack Myers,http://n2t.net/ark:/99152/p086kj9,,,Alabama
http://n2t.net/ark:/99152/p0qhb66b9pt,Mésolithique moyen,-8300,-6901,,ARIADNE Data Collection | ARIADNE Consortium |,http://n2t.net/ark:/99152/p0qhb66,,,France
http://n2t.net/ark:/99152/p02chr4b8ww,Mésolithique moyen,-8300,-6901,,PACTOLS chronology periods used in DOLIA data | INRAP: Institut National de Recherches Archeologiques Preventive,http://n2t.net/ark:/99152/p02chr4,,,France
http://n2t.net/ark:/99152/p086kj97nm8,Early Archaic Kirk,-8750,-6900,,Digital Index of North American Archaeology (DINAA) | Thaddeus Bissett | David G. Anderson | Sephen Yerka | Eric C. Kansa | Sarah W. Kansa | R Carl DeMuth | Joshua Wells | Kelsey Noack Myers,http://n2t.net/ark:/99152/p086kj9,,,Florida
http://n2t.net/ark:/99152/p09hq4nhckg,Mésolithique moyen,-8299,-6900,,"ArkeOpen chronology periods used in ArkeoGIS, a FAIR platform based on ontology organized spatiotemporal data about archaeology, history and environment. | ArkeoGIS authors | Philippe Jullien | Lizzie Scholtus",http://n2t.net/ark:/99152/p09hq4n,http://n2t.net/ark:/99152/p09hq4n5h9w,,Parts of central continental western Europe | Ukraine | Poland | Austria | Czech Republic | France | Netherlands | Belgium | Slovakia | Italy | Hungary | Romania | Germany | England | Switzerland
http://n2t.net/ark:/99152/p0rrjd9ccmn,Mésolithique moyen,-8030,-6900,,INRAP: Chronologie Generale | INRAP |,http://n2t.net/ark:/99152/p0rrjd9,,,France
http://n2t.net/ark:/99152/p072r4qc48j,Pre-Pottery Neolithic B,-8999,-6899,,"The Brown University Petra Archaeological Project: Landscape Archaeology in the Northern Hinterland of Petra, Jordan | Gary O. Rollefson | Susan E. Alcock | Christopher A. Tuttle | Christian F. Cloke | Clive Vella | Ceceilia Feldman | Alex R. Knodell | Micaela Sinibaldi | Thomas M. Urban | Tali Erickson-Gini",http://n2t.net/ark:/99152/p072r4q,,,Petra | Jordan
http://n2t.net/ark:/99152/p07fthdqd8t,Paleoindian period,-9550,-6850,,Archeology in Central Texas | Michael B. Collins | Timothy K. Perttula,http://n2t.net/ark:/99152/p07fthd,,http://n2t.net/ark:/99152/p07fthdrsfd http://n2t.net/ark:/99152/p07fthd7n9t,Central Texas | Texas
http://n2t.net/ark:/99152/p0m448vm427,Late Paleoindian,-7450,-6850,,The radiocarbon chronology of the Lower Pecos River Region | Solveig A. Turpin,http://n2t.net/ark:/99152/p0m448v,,,Lower Pecos River Region | Texas
http://n2t.net/ark:/99152/p086kj9cckk,Hardin,-7250,-6850,,Digital Index of North American Archaeology (DINAA) | Thaddeus Bissett | David G. Anderson | Sephen Yerka | Eric C. Kansa | Sarah W. Kansa | R Carl DeMuth | Joshua Wells | Kelsey Noack Myers,http://n2t.net/ark:/99152/p086kj9,,,Iowa
http://n2t.net/ark:/99152/p0qhb66x8n3,Μεσολιθική,-11000,-6801,,ARIADNE Data Collection | ARIADNE Consortium |,http://n2t.net/ark:/99152/p0qhb66,,,Crete
http://n2t.net/ark:/99152/p0m64td9nsf,"Neolithic, Early/Aceramic/Pre-Pottery B",-8550,-6800,,EAMENA Database | University of Southampton | University of Oxford,http://n2t.net/ark:/99152/p0m64td,http://n2t.net/ark:/99152/p0m64tdbthk,,Levant/Mesopotamia | Jordan | Palestine | State of Palestine | Israel | Syria | Lebanon | Kuwait | Iraq
http://n2t.net/ark:/99152/p0s2rwkgggp,Early Acacus,-7800,-6800,,ROCEEH Out of Africa Database (ROAD) | The Role of Culture in Early Expansions of Humans (ROCEEH) research center | Sarah Wurz | Andrew Kandel,http://n2t.net/ark:/99152/p0s2rwk,http://n2t.net/ark:/99152/p0s2rwk5zjw,,North Africa | Sudan | Morocco | Egypt | Algeria | South Sudan | Libya | Tunisia
http://n2t.net/ark:/99152/p0ds9qj2wwg,Mesolithic,-10999,-6799,,The British School at Athens: archaeological periods of Greece | British School at Athens,http://n2t.net/ark:/99152/p0ds9qj,http://n2t.net/ark:/99152/p0ds9qjjf69,,Greece
http://n2t.net/ark:/99152/p0vn2frdds2,Äldre mesolitikum,-9499,-6799,,Sök i samlingarna (beta) | Historiska museet,http://n2t.net/ark:/99152/p0vn2fr,,,Sweden
http://n2t.net/ark:/99152/p0gtzvd2xg9,Mésolithique,-9050,-6799,,La Chronique des fouilles en ligne / Archaeology in Greece Online | École française d'Athènes | British School at Athens,http://n2t.net/ark:/99152/p0gtzvd,,,Greece
http://n2t.net/ark:/99152/p0339m9vhhw,Μεσολιθική,-9050,-6799,,Hellenic History on the Internet | Foundation of the Hellenic World |,http://n2t.net/ark:/99152/p0339m9,,,Greece
http://n2t.net/ark:/99152/p0jtch48nn8,Early Holocene Hunter-Gatherer,-8500,-6700,,"Hunter-gatherers of the ""empty quarter of the early Holocene"" to the last Neolithic societies: chronology of the late prehistory of south-eastern Arabia (8000-3100 BC) | Charpentier, Vincent",http://n2t.net/ark:/99152/p0jtch4,http://n2t.net/ark:/99152/p0jtch43rtd,http://n2t.net/ark:/99152/p0jtch4sfmq,Eastern Arabia | Oman | United Arab Emirates
http://n2t.net/ark:/99152/p0qhb66g674,Mesolitic,-7500,-6601,,ARIADNE Data Collection | ARIADNE Consortium |,http://n2t.net/ark:/99152/p0qhb66,,,Romania
http://n2t.net/ark:/99152/p0w7s2mnw46,Intihuasi IV,-7290,-6569,,"La estratigrafía de la gruta de Intihuasi (Prov. de San Luis, R.A.) y sus relaciones con otros sitios precerámicos de Sudamérica | González, A. R. | Izeta, A. D.",http://n2t.net/ark:/99152/p0w7s2m,,,"Córdoba (provincia, Argentina) | Argentina"
http://n2t.net/ark:/99152/p089gcfhjgj,Middle Cypro-Pre-Pottery Neolithic B,-7150,-6550,,The neolithic revolution in the Near East : transforming the human landscape | Alan H. Simmons,http://n2t.net/ark:/99152/p089gcf,,,Cyprus
http://n2t.net/ark:/99152/p086kj9t9hp,Early Archaic (8500 - 6501 B.C.),-8500,-6501,,Digital Index of North American Archaeology (DINAA) | Thaddeus Bissett | David G. Anderson | Sephen Yerka | Eric C. Kansa | Sarah W. Kansa | R Carl DeMuth | Joshua Wells | Kelsey Noack Myers,http://n2t.net/ark:/99152/p086kj9,,,Virginia
http://n2t.net/ark:/99152/p0m64td6f66,Epipalaeolithic,-18000,-6500,,EAMENA Database | University of Southampton | University of Oxford,http://n2t.net/ark:/99152/p0m64td,,http://n2t.net/ark:/99152/p0m64tdx82c http://n2t.net/ark:/99152/p0m64tdjq9c,Arabia | United Arab Emirates | Saudi Arabia | Qatar | Oman | Bahrain | Yemen
http://n2t.net/ark:/99152/p09hq4n5h9w,Mésolithique,-9599,-6500,,"ArkeOpen chronology periods used in ArkeoGIS, a FAIR platform based on ontology organized spatiotemporal data about archaeology, history and environment. | ArkeoGIS authors | Philippe Jullien | Lizzie Scholtus",http://n2t.net/ark:/99152/p09hq4n,,http://n2t.net/ark:/99152/p09hq4njd7z http://n2t.net/ark:/99152/p09hq4nhckg http://n2t.net/ark:/99152/p09hq4nbj8z,Parts of central continental western Europe | France | Belgium | Czech Republic | Poland | Romania | England | Netherlands | Hungary | Slovakia | Ukraine | Switzerland | Italy | Austria | Germany
http://n2t.net/ark:/99152/p0m64tdx82c,"Epipalaeolithic, Late",-9000,-6500,,EAMENA Database | University of Southampton | University of Oxford,http://n2t.net/ark:/99152/p0m64td,http://n2t.net/ark:/99152/p0m64td6f66,,Arabia | Qatar | United Arab Emirates | Oman | Bahrain | Saudi Arabia | Yemen
http://n2t.net/ark:/99152/p09hq4njd7z,Mésolithique récent,-6899,-6500,,"ArkeOpen chronology periods used in ArkeoGIS, a FAIR platform based on ontology organized spatiotemporal data about archaeology, history and environment. | ArkeoGIS authors | Philippe Jullien | Lizzie Scholtus",http://n2t.net/ark:/99152/p09hq4n,http://n2t.net/ark:/99152/p09hq4n5h9w,,Parts of central continental western Europe | Italy | England | Slovakia | Switzerland | Germany | Romania | Austria | Ukraine | France | Poland | Czech Republic | Netherlands | Hungary | Belgium
http://n2t.net/ark:/99152/p0m64tdpxk6,"Neolithic, Early/Aceramic/Pre-Pottery C",-6800,-6500,,EAMENA Database | University of Southampton | University of Oxford,http://n2t.net/ark:/99152/p0m64td,http://n2t.net/ark:/99152/p0m64tdbthk,,South Levant | Jordan | Palestine | State of Palestine | Israel
http://n2t.net/ark:/99152/p0jtbzwrxbm,Proto-Neolithic,-8799,-6499,,Cypriot antiquities text panels | Andrew Jamieson,http://n2t.net/ark:/99152/p0jtbzw,,,Cyprus
http://n2t.net/ark:/99152/p06vx8jx6vj,Mezolitic,-7999,-6499,,Institutul Național al Patrimoniului periodizare | Bogdan Șandric,http://n2t.net/ark:/99152/p06vx8j,http://n2t.net/ark:/99152/p06vx8j4qxw,http://n2t.net/ark:/99152/p06vx8jvhc9 http://n2t.net/ark:/99152/p06vx8jj5pc,Romania
http://n2t.net/ark:/99152/p06vx8jvhc9,Tardenoasianul,-7999,-6499,,Institutul Național al Patrimoniului periodizare | Bogdan Șandric,http://n2t.net/ark:/99152/p06vx8j,http://n2t.net/ark:/99152/p06vx8jx6vj,,"Moldova, Dobrogea, Estul Munteniei | Bacău County | Vaslui County | Galați County | Călărași County | Constanța County | Buzău County | Vrancea County | Tulcea County | Brăila County | Neamț County | Ialomița County | Iași County"
http://n2t.net/ark:/99152/p0t3585b2rd,Paleoindian Era,-7699,-6499,,"A New Try at Dating and Characterizing Holocene Climates, as well as Archeological Periods, on the Eastern Edwards Plateau | LeRoy Johnson | Glenn Goode",http://n2t.net/ark:/99152/p0t3585,,,Central Texas | Texas
http://n2t.net/ark:/99152/p06vx8jj5pc,Schela Cladovei,-7699,-6499,,Institutul Național al Patrimoniului periodizare | Bogdan Șandric,http://n2t.net/ark:/99152/p06vx8j,http://n2t.net/ark:/99152/p06vx8jx6vj,,Vestul Olteniei | Mehedinți County | Gorj County | Dolj County
http://n2t.net/ark:/99152/p0qv6m86g6j,Aceramic Neolithic,-6999,-6499,,Digitizing Early Farming Cultures (DEFC) | Austrian Academy of Sciences (ÖAW) | Institut für Orientalische und Europäische Archäologie (OREA) | Anatolian Aegean Prehistoric Phenomena (AAPP),http://n2t.net/ark:/99152/p0qv6m8,,,"Peloponnese, Central Greece, Epirus-Northwestern Greece, Ionian Islands, Western Greece, Cyclades, Crete | Greece"
http://n2t.net/ark:/99152/p053rvtksmf,Early Pottery Neolithic,-6999,-6499,,The Dispersal of Neolithic Lifeways: Absolute Chronology and Rapid Climate Change | B. Weninger | L. Clare |,http://n2t.net/ark:/99152/p053rvt,,,Turkey and Eastern Aegean | Greece | Turkey
http://n2t.net/ark:/99152/p0ckt9x2986,PPNC,-6999,-6499,,Levantine Chronology | Ilan Sharon | Sveta Matskevich,http://n2t.net/ark:/99152/p0ckt9x,http://n2t.net/ark:/99152/p0ckt9xjf45,,Levant
http://n2t.net/ark:/99152/p0ds9qjrr5n,Pre-Pottery or Aceramic Neolithic,-6799,-6499,,The British School at Athens: archaeological periods of Greece | British School at Athens,http://n2t.net/ark:/99152/p0ds9qj,http://n2t.net/ark:/99152/p0ds9qj3x2t,,Greece
http://n2t.net/ark:/99152/p0339m9mbpj,Προκεραμική ή Ακεραμική Νεολιθική,-6799,-6499,,Hellenic History on the Internet | Foundation of the Hellenic World |,http://n2t.net/ark:/99152/p0339m9,,,Greece
http://n2t.net/ark:/99152/p0qhb66n4wb,Midden Mesolithicum,-7100,-6451,,ARIADNE Data Collection | ARIADNE Consortium |,http://n2t.net/ark:/99152/p0qhb66,http://n2t.net/ark:/99152/p0qhb66hzfs,,Netherlands
http://n2t.net/ark:/99152/p0pqptc2ww5,Mesolithicum midden,-7099,-6449,,Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed,http://n2t.net/ark:/99152/p0pqptc,,,Netherlands
http://n2t.net/ark:/99152/p0r8d9c4xtg,Maglemosekultur,-9000,-6400,,MUD - Museernes Udgravningsdata Danmark Dateringskodetabel | Fund og Fortidsminder (Slots og Kulturstyrelsen) | MUD - Museernes Udgravningsdata Danmark  |,http://n2t.net/ark:/99152/p0r8d9c,,,Denmark
http://n2t.net/ark:/99152/p0r8d9c9vjp,Yngre Maglemosekultur,-7000,-6400,,MUD - Museernes Udgravningsdata Danmark Dateringskodetabel | Fund og Fortidsminder (Slots og Kulturstyrelsen) | MUD - Museernes Udgravningsdata Danmark  |,http://n2t.net/ark:/99152/p0r8d9c,,,Denmark
http://n2t.net/ark:/99152/p0m63nj6xtw,Pottery Neolithic,-6900,-6400,,The Levantine Ceramics Project | Andrea Berlin,http://n2t.net/ark:/99152/p0m63nj,,,Turkey
http://n2t.net/ark:/99152/p0tsmchgsw5,Initial Neolithic,-6999,-6399,,"Neolithic: Strata IX–VII, VII–VIB, VIA–V, IV, IIIB, IIIA, IIB, IIA and IC Groups,  British School at Athens Studies, Vol. 14, Knossos Pottery Handbook: Neolithic and Bronze Age (Minoan) | P. Tomkins |",http://n2t.net/ark:/99152/p0tsmch,,,Crete | Greece
http://n2t.net/ark:/99152/p0ds9qjb2tf,Initial Neolithic Crete,-6999,-6399,,The British School at Athens: archaeological periods of Greece | British School at Athens,http://n2t.net/ark:/99152/p0ds9qj,http://n2t.net/ark:/99152/p0ds9qj3x2t,,Crete
http://n2t.net/ark:/99152/p089gcfd5g2,Middle Pre-Pottery Neolithic B,-7350,-6350,,The neolithic revolution in the Near East : transforming the human landscape | Alan H. Simmons,http://n2t.net/ark:/99152/p089gcf,,,Near East; Southwest Asia; Levant | Syria | Turkey
http://n2t.net/ark:/99152/p072r4qpk7m,early prehistory,-999999,-6349,,"The Brown University Petra Archaeological Project: Landscape Archaeology in the Northern Hinterland of Petra, Jordan | Gary O. Rollefson | Susan E. Alcock | Christopher A. Tuttle | Christian F. Cloke | Clive Vella | Ceceilia Feldman | Alex R. Knodell | Micaela Sinibaldi | Thomas M. Urban | Tali Erickson-Gini",http://n2t.net/ark:/99152/p072r4q,,,Petra | Jordan
http://n2t.net/ark:/99152/p072r4qdm9p,Pre-Pottery Neolithic C,-6899,-6349,,"The Brown University Petra Archaeological Project: Landscape Archaeology in the Northern Hinterland of Petra, Jordan | Gary O. Rollefson | Susan E. Alcock | Christopher A. Tuttle | Christian F. Cloke | Clive Vella | Ceceilia Feldman | Alex R. Knodell | Micaela Sinibaldi | Thomas M. Urban | Tali Erickson-Gini",http://n2t.net/ark:/99152/p072r4q,,,Petra | Jordan
http://n2t.net/ark:/99152/p0qhb66qv7k,мезолит,-10000,-6301,,ARIADNE Data Collection | ARIADNE Consortium |,http://n2t.net/ark:/99152/p0qhb66,,,Bulgaria
http://n2t.net/ark:/99152/p06v8w4pr9d,Mesolithic,-10000,-6300,,FASTI - Home | L - P : Archaeology | AIAC,http://n2t.net/ark:/99152/p06v8w4,,,Bulgaria
http://n2t.net/ark:/99152/p06v8w4d47b,Mesolithic,-10000,-6300,,FASTI - Home | L - P : Archaeology | AIAC,http://n2t.net/ark:/99152/p06v8w4,,,Romania
http://n2t.net/ark:/99152/p086kj9rvj8,Frederick?,-7500,-6300,,Digital Index of North American Archaeology (DINAA) | Thaddeus Bissett | David G. Anderson | Sephen Yerka | Eric C. Kansa | Sarah W. Kansa | R Carl DeMuth | Joshua Wells | Kelsey Noack Myers,http://n2t.net/ark:/99152/p086kj9,,,Iowa
http://n2t.net/ark:/99152/p0m64tdsfrp,"Neolithic, Early/Aceramic/Pre-pottery",-7100,-6300,,EAMENA Database | University of Southampton | University of Oxford,http://n2t.net/ark:/99152/p0m64td,http://n2t.net/ark:/99152/p0m64tdp3pt,,"Southern Zagros, Iran | Iran"
http://n2t.net/ark:/99152/p0dx86h9k6j,Mellommesolitikum,-8299,-6299,,Steinalderen i Sørøst-Norge: Faglig program for steinalderundersøkelser ved Kulturhistorisk museum | Hege Damlien | Inger Marie Berg-Hansen | Axel Mjærum | Almut Schülke | Per Persson | Lene Melheim | Steinar Solheim,http://n2t.net/ark:/99152/p0dx86h,http://n2t.net/ark:/99152/p0dx86hrn8j,http://n2t.net/ark:/99152/p0dx86hnq6s,Southeastern Norway | Southern Norway | Eastern Norway
http://n2t.net/ark:/99152/p0dx86hnq6s,"Mesolitikum, Fase 2",-8299,-6299,,Steinalderen i Sørøst-Norge: Faglig program for steinalderundersøkelser ved Kulturhistorisk museum | Hege Damlien | Inger Marie Berg-Hansen | Axel Mjærum | Almut Schülke | Per Persson | Lene Melheim | Steinar Solheim,http://n2t.net/ark:/99152/p0dx86h,http://n2t.net/ark:/99152/p0dx86h9k6j,,Southeastern Norway | Eastern Norway | Southern Norway
http://n2t.net/ark:/99152/p0fk6s47r4c,PPNB,-7299,-6299,,Chronologies in old world archaeology | Robert W. Ehrich,http://n2t.net/ark:/99152/p0fk6s4,,,Palestine | Lebanon | Syria | Israel | State of Palestine | Jordan
http://n2t.net/ark:/99152/p0f65r2xwp5,Pre-Pottery Neolithic B (PPNB),-7299,-6299,,"Life in biblical Israel | Stager, Lawrence E. | King, Philip J.",http://n2t.net/ark:/99152/p0f65r2,,,Levant | Jordan | Turkey | Egypt | Israel | Syria | Lebanon | Cyprus
http://n2t.net/ark:/99152/p09qtgwhs5k,Greenlandian Age,-9750,-6250,,Geologic Time Scale (2020) | International Union of Geological Sciences | Arizona Geological Survey | Commonwealth Scientific and Industrial Research Organisation | International Commission on Stratigraphy,http://n2t.net/ark:/99152/p09qtgw,http://n2t.net/ark:/99152/p09qtgwzn5f,,World | Earth
http://n2t.net/ark:/99152/p0m64td9v78,"Neolithic, Early/Aceramic/Pre-pottery",-7000,-6200,,EAMENA Database | University of Southampton | University of Oxford,http://n2t.net/ark:/99152/p0m64td,http://n2t.net/ark:/99152/p0m64tdp3pt,,Northeast Iran | Iran
http://n2t.net/ark:/99152/p0ftkd78f3m,Cazadores-Recolectores Tempranos,-6499,-6199,,Prehistoria de San Juan | Gambier Mariano | Aguilar Humberto,http://n2t.net/ark:/99152/p0ftkd7,,,"San Juan, Argentina | Argentina"
http://n2t.net/ark:/99152/p08m57hvzgb,Eburran,-11050,-6050,,British Museum,http://n2t.net/ark:/99152/p08m57h,,,East Africa
